Datum;Anfang;Ende;Generation_DE Vianden M6 [MW] Originalauflösungen;Generation_DE Vianden M7 [MW] Originalauflösungen;Generation_DE Vianden M8 [MW] Originalauflösungen;Generation_DE Vianden M9 [MW] Originalauflösungen;Generation_DE Vianden M1 [MW] Originalauflösungen;Generation_DE Vianden M2 [MW] Originalauflösungen;Generation_DE Vianden M3 [MW] Originalauflösungen;Generation_DE Vianden M4 [MW] Originalauflösungen;Generation_DE Vianden M10 [MW] Originalauflösungen;Generation_DE Vianden M5 [MW] Originalauflösungen;Generation_DE Vianden M11 [MW] Originalauflösungen
01.01.2023;00:00;01:00;0;0;0;0;98;0;101;0;0;0;1
01.01.2023;01:00;02:00;0;0;0;0;33;0;35;0;0;0;1
01.01.2023;02:00;03:00;0;0;0;0;15;0;15;0;0;0;0
01.01.2023;03:00;04:00;0;0;0;0;28;0;30;0;0;0;0
01.01.2023;04:00;05:00;0;0;0;0;28;0;30;0;0;0;0
01.01.2023;05:00;06:00;0;0;0;0;25;0;24;0;0;0;0
01.01.2023;06:00;07:00;0;0;0;0;28;0;0;0;0;0;0
01.01.2023;07:00;08:00;0;0;0;0;18;0;0;0;0;0;0
01.01.2023;08:00;09:00;0;0;0;0;8;0;0;0;0;0;1
01.01.2023;09:00;10:00;0;0;0;0;1;0;0;0;0;0;1
01.01.2023;10:00;11:00;0;0;0;0;0;0;0;0;0;0;1
01.01.2023;11:00;12:00;0;0;0;0;0;0;0;0;0;0;1
01.01.2023;12:00;13:00;0;0;0;0;0;0;0;0;0;0;1
01.01.2023;13:00;14:00;0;0;0;0;0;0;0;0;0;0;1
01.01.2023;14:00;15:00;0;7;0;0;22;22;0;23;0;8;1
01.01.2023;15:00;16:00;0;1;0;0;37;18;0;11;0;1;1
01.01.2023;16:00;17:00;0;0;0;0;54;39;0;14;0;0;1
01.01.2023;17:00;18:00;0;0;0;0;14;39;0;27;0;0;1
01.01.2023;18:00;19:00;0;0;0;0;31;20;0;0;0;0;1
01.01.2023;19:00;20:00;0;0;0;0;1;6;0;0;0;0;1
01.01.2023;20:00;21:00;0;0;0;0;0;18;0;0;0;0;1
01.01.2023;21:00;22:00;0;0;0;0;0;16;17;16;0;0;1
01.01.2023;22:00;23:00;0;0;0;0;0;39;34;32;0;0;1
01.01.2023;23:00;00:00;0;0;0;0;0;29;50;40;0;0;1
02.01.2023;00:00;01:00;0;0;0;0;0;25;0;0;0;0;1
02.01.2023;01:00;02:00;0;0;0;0;0;17;0;0;0;0;1
02.01.2023;02:00;03:00;0;0;0;0;0;15;0;0;0;0;1
02.01.2023;03:00;04:00;0;0;0;0;0;15;0;0;0;0;1
02.01.2023;04:00;05:00;0;0;0;0;0;15;0;0;0;0;1
02.01.2023;05:00;06:00;0;0;0;0;0;3;0;0;0;0;0
02.01.2023;06:00;07:00;0;0;0;0;43;32;36;34;0;0;1
02.01.2023;07:00;08:00;0;0;0;0;40;41;20;19;0;0;1
02.01.2023;08:00;09:00;0;0;0;0;45;19;0;1;0;0;1
02.01.2023;09:00;10:00;0;0;0;0;31;35;0;30;0;0;1
02.01.2023;10:00;11:00;0;0;0;0;41;8;0;35;0;30;1
02.01.2023;11:00;12:00;0;0;0;0;40;0;0;0;0;0;1
02.01.2023;12:00;13:00;0;0;0;0;0;0;0;0;0;0;1
02.01.2023;13:00;14:00;0;0;0;0;0;0;0;0;0;0;1
02.01.2023;14:00;15:00;0;0;0;0;0;0;0;0;0;0;1
02.01.2023;15:00;16:00;0;0;0;0;27;0;0;0;0;50;1
02.01.2023;16:00;17:00;0;0;0;0;41;0;0;0;0;36;1
02.01.2023;17:00;18:00;72;58;35;34;81;92;89;67;171;56;178
02.01.2023;18:00;19:00;57;34;34;33;45;76;80;46;195;40;110
02.01.2023;19:00;20:00;29;18;44;43;72;30;22;72;62;30;1
02.01.2023;20:00;21:00;1;0;0;0;1;12;1;1;0;15;1
02.01.2023;21:00;22:00;0;0;0;0;0;20;27;0;0;0;1
02.01.2023;22:00;23:00;0;0;0;0;0;19;45;0;0;0;1
02.01.2023;23:00;00:00;0;0;0;0;0;15;49;0;0;0;1
03.01.2023;00:00;01:00;0;0;0;0;0;15;25;0;0;0;0
03.01.2023;01:00;02:00;0;0;0;0;0;15;14;0;0;0;0
03.01.2023;02:00;03:00;0;0;0;0;0;15;18;0;0;0;0
03.01.2023;03:00;04:00;0;0;0;0;0;15;31;0;0;0;0
03.01.2023;04:00;05:00;0;0;0;0;0;15;39;0;0;0;0
03.01.2023;05:00;06:00;0;0;0;0;0;15;11;0;0;0;0
03.01.2023;06:00;07:00;0;0;0;0;0;15;23;1;0;1;1
03.01.2023;07:00;08:00;0;0;0;0;0;39;20;53;0;12;1
03.01.2023;08:00;09:00;0;64;0;0;0;68;0;65;0;64;1
03.01.2023;09:00;10:00;0;53;52;0;0;70;0;48;0;70;1
03.01.2023;10:00;11:00;0;0;0;0;0;16;0;5;0;0;1
03.01.2023;11:00;12:00;0;0;0;0;0;65;0;22;0;56;1
03.01.2023;12:00;13:00;0;0;0;0;0;15;0;0;0;0;1
03.01.2023;13:00;14:00;0;0;0;0;0;35;0;0;0;0;1
03.01.2023;14:00;15:00;0;0;0;0;0;20;0;42;0;0;1
03.01.2023;15:00;16:00;0;0;16;0;80;21;0;100;0;19;41
03.01.2023;16:00;17:00;0;5;96;5;13;21;0;58;31;97;199
03.01.2023;17:00;18:00;0;99;95;98;99;21;42;75;171;94;198
03.01.2023;18:00;19:00;0;52;5;42;40;20;89;16;5;67;25
03.01.2023;19:00;20:00;0;0;0;0;0;6;9;0;0;8;1
03.01.2023;20:00;21:00;0;0;0;0;0;13;0;0;0;0;1
03.01.2023;21:00;22:00;0;0;0;0;0;13;0;0;0;0;1
