Datum;Anfang;Ende;Generation_DE HKW Reuter West Dampfturbine D [MW] Originalauflösungen;Generation_DE HKW Reuter West Dampfturbine E [MW] Originalauflösungen
01.01.2023;00:00;01:00;81;113
01.01.2023;01:00;02:00;83;113
01.01.2023;02:00;03:00;82;113
01.01.2023;03:00;04:00;83;113
01.01.2023;04:00;05:00;84;113
01.01.2023;05:00;06:00;86;113
01.01.2023;06:00;07:00;84;113
01.01.2023;07:00;08:00;84;114
01.01.2023;08:00;09:00;83;113
01.01.2023;09:00;10:00;87;113
01.01.2023;10:00;11:00;86;113
01.01.2023;11:00;12:00;83;114
01.01.2023;12:00;13:00;83;114
01.01.2023;13:00;14:00;83;114
01.01.2023;14:00;15:00;83;114
01.01.2023;15:00;16:00;85;114
01.01.2023;16:00;17:00;83;114
01.01.2023;17:00;18:00;83;114
01.01.2023;18:00;19:00;83;114
01.01.2023;19:00;20:00;83;114
01.01.2023;20:00;21:00;83;114
01.01.2023;21:00;22:00;83;114
01.01.2023;22:00;23:00;83;114
01.01.2023;23:00;00:00;83;114
02.01.2023;00:00;01:00;83;114
02.01.2023;01:00;02:00;83;113
02.01.2023;02:00;03:00;86;113
02.01.2023;03:00;04:00;87;113
02.01.2023;04:00;05:00;77;110
02.01.2023;05:00;06:00;74;109
02.01.2023;06:00;07:00;81;114
02.01.2023;07:00;08:00;126;134
02.01.2023;08:00;09:00;122;135
02.01.2023;09:00;10:00;126;133
02.01.2023;10:00;11:00;127;134
02.01.2023;11:00;12:00;167;134
02.01.2023;12:00;13:00;175;134
02.01.2023;13:00;14:00;149;134
02.01.2023;14:00;15:00;126;134
02.01.2023;15:00;16:00;126;134
02.01.2023;16:00;17:00;161;133
02.01.2023;17:00;18:00;167;134
02.01.2023;18:00;19:00;174;134
02.01.2023;19:00;20:00;175;134
02.01.2023;20:00;21:00;175;134
02.01.2023;21:00;22:00;155;133
02.01.2023;22:00;23:00;138;134
02.01.2023;23:00;00:00;131;134
03.01.2023;00:00;01:00;130;132
03.01.2023;01:00;02:00;126;133
03.01.2023;02:00;03:00;128;134
03.01.2023;03:00;04:00;130;134
03.01.2023;04:00;05:00;129;134
03.01.2023;05:00;06:00;130;134
03.01.2023;06:00;07:00;158;134
03.01.2023;07:00;08:00;167;133
03.01.2023;08:00;09:00;166;133
03.01.2023;09:00;10:00;165;134
03.01.2023;10:00;11:00;165;133
03.01.2023;11:00;12:00;165;134
03.01.2023;12:00;13:00;165;133
03.01.2023;13:00;14:00;165;134
03.01.2023;14:00;15:00;165;133
03.01.2023;15:00;16:00;165;134
03.01.2023;16:00;17:00;165;131
03.01.2023;17:00;18:00;165;132
03.01.2023;18:00;19:00;165;132
03.01.2023;19:00;20:00;165;133
03.01.2023;20:00;21:00;165;132
03.01.2023;21:00;22:00;150;132
03.01.2023;22:00;23:00;137;133
03.01.2023;23:00;00:00;105;125
04.01.2023;00:00;01:00;63;97
04.01.2023;01:00;02:00;54;96
04.01.2023;02:00;03:00;54;96
04.01.2023;03:00;04:00;55;96
04.01.2023;04:00;05:00;55;96
04.01.2023;05:00;06:00;55;96
04.01.2023;06:00;07:00;67;103
04.01.2023;07:00;08:00;126;130
04.01.2023;08:00;09:00;127;132
04.01.2023;09:00;10:00;127;135
04.01.2023;10:00;11:00;127;131
04.01.2023;11:00;12:00;127;130
04.01.2023;12:00;13:00;127;131
04.01.2023;13:00;14:00;127;130
04.01.2023;14:00;15:00;106;129
04.01.2023;15:00;16:00;53;97
04.01.2023;16:00;17:00;53;96
04.01.2023;17:00;18:00;53;94
04.01.2023;18:00;19:00;53;96
04.01.2023;19:00;20:00;53;95
04.01.2023;20:00;21:00;53;96
04.01.2023;21:00;22:00;53;94
04.01.2023;22:00;23:00;53;96
04.01.2023;23:00;00:00;53;98
05.01.2023;00:00;01:00;53;97
05.01.2023;01:00;02:00;53;94
05.01.2023;02:00;03:00;53;97
05.01.2023;03:00;04:00;57;97
05.01.2023;04:00;05:00;56;96
05.01.2023;05:00;06:00;54;97
05.01.2023;06:00;07:00;63;101
05.01.2023;07:00;08:00;122;131
05.01.2023;08:00;09:00;127;133
05.01.2023;09:00;10:00;127;132
05.01.2023;10:00;11:00;127;130
05.01.2023;11:00;12:00;127;124
05.01.2023;12:00;13:00;127;124
05.01.2023;13:00;14:00;131;112
05.01.2023;14:00;15:00;166;113
05.01.2023;15:00;16:00;167;116
05.01.2023;16:00;17:00;165;114
05.01.2023;17:00;18:00;164;114
05.01.2023;18:00;19:00;164;116
05.01.2023;19:00;20:00;164;120
05.01.2023;20:00;21:00;164;121
05.01.2023;21:00;22:00;139;124
05.01.2023;22:00;23:00;127;123
05.01.2023;23:00;00:00;127;124
06.01.2023;00:00;01:00;127;124
06.01.2023;01:00;02:00;128;124
06.01.2023;02:00;03:00;128;124
06.01.2023;03:00;04:00;128;123
06.01.2023;04:00;05:00;128;124
06.01.2023;05:00;06:00;128;124
06.01.2023;06:00;07:00;128;124
06.01.2023;07:00;08:00;128;125
06.01.2023;08:00;09:00;128;122
06.01.2023;09:00;10:00;128;122
06.01.2023;10:00;11:00;128;124
06.01.2023;11:00;12:00;128;120
06.01.2023;12:00;13:00;127;120
06.01.2023;13:00;14:00;128;122
06.01.2023;14:00;15:00;128;124
06.01.2023;15:00;16:00;128;122
06.01.2023;16:00;17:00;149;123
06.01.2023;17:00;18:00;166;123
06.01.2023;18:00;19:00;168;124
06.01.2023;19:00;20:00;165;124
06.01.2023;20:00;21:00;165;124
06.01.2023;21:00;22:00;147;123
06.01.2023;22:00;23:00;137;123
06.01.2023;23:00;00:00;132;123
07.01.2023;00:00;01:00;111;123
07.01.2023;01:00;02:00;0;124
07.01.2023;02:00;03:00;0;126
07.01.2023;03:00;04:00;0;125
07.01.2023;04:00;05:00;0;124
07.01.2023;05:00;06:00;0;127
07.01.2023;06:00;07:00;0;127
07.01.2023;07:00;08:00;0;125
07.01.2023;08:00;09:00;0;126
07.01.2023;09:00;10:00;0;125
07.01.2023;10:00;11:00;0;124
07.01.2023;11:00;12:00;0;125
07.01.2023;12:00;13:00;0;124
07.01.2023;13:00;14:00;0;125
07.01.2023;14:00;15:00;0;126
07.01.2023;15:00;16:00;0;125
07.01.2023;16:00;17:00;0;126
07.01.2023;17:00;18:00;0;125
07.01.2023;18:00;19:00;0;125
07.01.2023;19:00;20:00;0;125
07.01.2023;20:00;21:00;0;108
07.01.2023;21:00;22:00;0;23
07.01.2023;22:00;23:00;0;30
07.01.2023;23:00;00:00;0;36
08.01.2023;00:00;01:00;0;34
08.01.2023;01:00;02:00;0;35
08.01.2023;02:00;03:00;0;34
08.01.2023;03:00;04:00;0;34
08.01.2023;04:00;05:00;0;35
08.01.2023;05:00;06:00;0;35
08.01.2023;06:00;07:00;0;34
08.01.2023;07:00;08:00;0;118
08.01.2023;08:00;09:00;0;125
08.01.2023;09:00;10:00;0;124
08.01.2023;10:00;11:00;0;125
08.01.2023;11:00;12:00;0;126
08.01.2023;12:00;13:00;0;125
08.01.2023;13:00;14:00;0;125
08.01.2023;14:00;15:00;0;127
08.01.2023;15:00;16:00;0;126
08.01.2023;16:00;17:00;0;124
08.01.2023;17:00;18:00;0;124
08.01.2023;18:00;19:00;0;124
08.01.2023;19:00;20:00;0;125
08.01.2023;20:00;21:00;0;124
08.01.2023;21:00;22:00;0;128
08.01.2023;22:00;23:00;0;126
08.01.2023;23:00;00:00;0;124
09.01.2023;00:00;01:00;0;125
09.01.2023;01:00;02:00;0;128
09.01.2023;02:00;03:00;0;127
09.01.2023;03:00;04:00;0;124
09.01.2023;04:00;05:00;0;126
09.01.2023;05:00;06:00;0;126
09.01.2023;06:00;07:00;0;124
09.01.2023;07:00;08:00;0;128
09.01.2023;08:00;09:00;0;124
09.01.2023;09:00;10:00;0;124
09.01.2023;10:00;11:00;0;124
09.01.2023;11:00;12:00;0;124
09.01.2023;12:00;13:00;0;124
09.01.2023;13:00;14:00;0;124
09.01.2023;14:00;15:00;0;124
09.01.2023;15:00;16:00;0;126
09.01.2023;16:00;17:00;0;124
09.01.2023;17:00;18:00;0;124
09.01.2023;18:00;19:00;0;126
09.01.2023;19:00;20:00;0;125
09.01.2023;20:00;21:00;0;127
09.01.2023;21:00;22:00;0;124
09.01.2023;22:00;23:00;0;126
09.01.2023;23:00;00:00;0;123
10.01.2023;00:00;01:00;0;128
10.01.2023;01:00;02:00;0;126
10.01.2023;02:00;03:00;0;125
10.01.2023;03:00;04:00;0;124
10.01.2023;04:00;05:00;0;125
10.01.2023;05:00;06:00;0;127
10.01.2023;06:00;07:00;0;126
10.01.2023;07:00;08:00;0;125
10.01.2023;08:00;09:00;0;124
10.01.2023;09:00;10:00;0;126
10.01.2023;10:00;11:00;0;125
10.01.2023;11:00;12:00;0;123
10.01.2023;12:00;13:00;0;126
10.01.2023;13:00;14:00;0;127
10.01.2023;14:00;15:00;0;127
10.01.2023;15:00;16:00;0;125
10.01.2023;16:00;17:00;0;125
10.01.2023;17:00;18:00;0;126
10.01.2023;18:00;19:00;0;127
10.01.2023;19:00;20:00;0;124
10.01.2023;20:00;21:00;0;126
10.01.2023;21:00;22:00;0;127
10.01.2023;22:00;23:00;0;125
10.01.2023;23:00;00:00;0;66
11.01.2023;00:00;01:00;0;51
11.01.2023;01:00;02:00;0;48
11.01.2023;02:00;03:00;0;50
11.01.2023;03:00;04:00;0;52
