Date;Start;End;Generation_DE Iffezheim M1-M5 [MW] Original resolutions
01.01.2021;00:00;01:00;88
01.01.2021;01:00;02:00;85
01.01.2021;02:00;03:00;83
01.01.2021;03:00;04:00;84
01.01.2021;04:00;05:00;85
01.01.2021;05:00;06:00;84
01.01.2021;06:00;07:00;85
01.01.2021;07:00;08:00;89
01.01.2021;08:00;09:00;89
01.01.2021;09:00;10:00;89
01.01.2021;10:00;11:00;88
01.01.2021;11:00;12:00;89
01.01.2021;12:00;13:00;90
01.01.2021;13:00;14:00;90
01.01.2021;14:00;15:00;87
01.01.2021;15:00;16:00;86
01.01.2021;16:00;17:00;85
01.01.2021;17:00;18:00;85
01.01.2021;18:00;19:00;85
01.01.2021;19:00;20:00;87
01.01.2021;20:00;21:00;87
01.01.2021;21:00;22:00;86
01.01.2021;22:00;23:00;85
01.01.2021;23:00;00:00;84
02.01.2021;00:00;01:00;82
02.01.2021;01:00;02:00;80
02.01.2021;02:00;03:00;80
02.01.2021;03:00;04:00;77
02.01.2021;04:00;05:00;74
02.01.2021;05:00;06:00;76
02.01.2021;06:00;07:00;82
02.01.2021;07:00;08:00;81
02.01.2021;08:00;09:00;83
02.01.2021;09:00;10:00;83
02.01.2021;10:00;11:00;85
02.01.2021;11:00;12:00;85
02.01.2021;12:00;13:00;83
02.01.2021;13:00;14:00;80
02.01.2021;14:00;15:00;79
02.01.2021;15:00;16:00;78
02.01.2021;16:00;17:00;78
02.01.2021;17:00;18:00;79
02.01.2021;18:00;19:00;79
02.01.2021;19:00;20:00;78
02.01.2021;20:00;21:00;77
02.01.2021;21:00;22:00;76
02.01.2021;22:00;23:00;77
02.01.2021;23:00;00:00;77
03.01.2021;00:00;01:00;76
03.01.2021;01:00;02:00;76
03.01.2021;02:00;03:00;74
03.01.2021;03:00;04:00;73
03.01.2021;04:00;05:00;75
03.01.2021;05:00;06:00;77
03.01.2021;06:00;07:00;77
03.01.2021;07:00;08:00;75
03.01.2021;08:00;09:00;73
03.01.2021;09:00;10:00;71
03.01.2021;10:00;11:00;72
03.01.2021;11:00;12:00;71
03.01.2021;12:00;13:00;73
03.01.2021;13:00;14:00;75
03.01.2021;14:00;15:00;75
03.01.2021;15:00;16:00;76
