Datum;Anfang;Ende;Generation_DE Iffezheim M1-M5 [MW] Originalauflösungen
01.01.2022;00:00;01:00;103
01.01.2022;01:00;02:00;103
01.01.2022;02:00;03:00;103
01.01.2022;03:00;04:00;103
01.01.2022;04:00;05:00;104
01.01.2022;05:00;06:00;104
01.01.2022;06:00;07:00;103
01.01.2022;07:00;08:00;102
01.01.2022;08:00;09:00;104
01.01.2022;09:00;10:00;103
01.01.2022;10:00;11:00;103
01.01.2022;11:00;12:00;104
01.01.2022;12:00;13:00;104
01.01.2022;13:00;14:00;104
01.01.2022;14:00;15:00;105
01.01.2022;15:00;16:00;105
01.01.2022;16:00;17:00;104
01.01.2022;17:00;18:00;105
01.01.2022;18:00;19:00;105
01.01.2022;19:00;20:00;105
01.01.2022;20:00;21:00;106
01.01.2022;21:00;22:00;106
01.01.2022;22:00;23:00;105
01.01.2022;23:00;00:00;106
02.01.2022;00:00;01:00;106
02.01.2022;01:00;02:00;106
02.01.2022;02:00;03:00;105
02.01.2022;03:00;04:00;106
02.01.2022;04:00;05:00;106
02.01.2022;05:00;06:00;107
02.01.2022;06:00;07:00;106
02.01.2022;07:00;08:00;106
02.01.2022;08:00;09:00;106
02.01.2022;09:00;10:00;106
02.01.2022;10:00;11:00;107
02.01.2022;11:00;12:00;107
02.01.2022;12:00;13:00;106
02.01.2022;13:00;14:00;106
02.01.2022;14:00;15:00;106
02.01.2022;15:00;16:00;105
02.01.2022;16:00;17:00;106
02.01.2022;17:00;18:00;105
02.01.2022;18:00;19:00;105
02.01.2022;19:00;20:00;106
02.01.2022;20:00;21:00;107
02.01.2022;21:00;22:00;107
02.01.2022;22:00;23:00;107
02.01.2022;23:00;00:00;108
03.01.2022;00:00;01:00;108
03.01.2022;01:00;02:00;109
03.01.2022;02:00;03:00;109
03.01.2022;03:00;04:00;109
03.01.2022;04:00;05:00;110
03.01.2022;05:00;06:00;109
03.01.2022;06:00;07:00;108
03.01.2022;07:00;08:00;108
03.01.2022;08:00;09:00;109
03.01.2022;09:00;10:00;110
03.01.2022;10:00;11:00;110
03.01.2022;11:00;12:00;110
03.01.2022;12:00;13:00;110
03.01.2022;13:00;14:00;109
03.01.2022;14:00;15:00;109
03.01.2022;15:00;16:00;109
03.01.2022;16:00;17:00;109
03.01.2022;17:00;18:00;109
03.01.2022;18:00;19:00;109
03.01.2022;19:00;20:00;109
03.01.2022;20:00;21:00;109
03.01.2022;21:00;22:00;109
03.01.2022;22:00;23:00;109
03.01.2022;23:00;00:00;109
04.01.2022;00:00;01:00;109
04.01.2022;01:00;02:00;110
04.01.2022;02:00;03:00;110
04.01.2022;03:00;04:00;110
04.01.2022;04:00;05:00;110
04.01.2022;05:00;06:00;110
04.01.2022;06:00;07:00;109
04.01.2022;07:00;08:00;107
04.01.2022;08:00;09:00;108
04.01.2022;09:00;10:00;109
04.01.2022;10:00;11:00;109
04.01.2022;11:00;12:00;109
04.01.2022;12:00;13:00;109
04.01.2022;13:00;14:00;109
04.01.2022;14:00;15:00;109
04.01.2022;15:00;16:00;109
04.01.2022;16:00;17:00;109
04.01.2022;17:00;18:00;109
04.01.2022;18:00;19:00;110
04.01.2022;19:00;20:00;110
04.01.2022;20:00;21:00;110
04.01.2022;21:00;22:00;108
04.01.2022;22:00;23:00;108
04.01.2022;23:00;00:00;108
05.01.2022;00:00;01:00;109
05.01.2022;01:00;02:00;109
05.01.2022;02:00;03:00;108
05.01.2022;03:00;04:00;107
05.01.2022;04:00;05:00;106
05.01.2022;05:00;06:00;106
05.01.2022;06:00;07:00;106
05.01.2022;07:00;08:00;106
05.01.2022;08:00;09:00;105
05.01.2022;09:00;10:00;106
05.01.2022;10:00;11:00;105
05.01.2022;11:00;12:00;104
05.01.2022;12:00;13:00;105
05.01.2022;13:00;14:00;104
05.01.2022;14:00;15:00;103
05.01.2022;15:00;16:00;104
05.01.2022;16:00;17:00;104
05.01.2022;17:00;18:00;104
05.01.2022;18:00;19:00;104
05.01.2022;19:00;20:00;102
05.01.2022;20:00;21:00;102
05.01.2022;21:00;22:00;102
05.01.2022;22:00;23:00;102
05.01.2022;23:00;00:00;103
06.01.2022;00:00;01:00;103
06.01.2022;01:00;02:00;103
06.01.2022;02:00;03:00;103
06.01.2022;03:00;04:00;104
06.01.2022;04:00;05:00;103
06.01.2022;05:00;06:00;102
06.01.2022;06:00;07:00;103
06.01.2022;07:00;08:00;104
06.01.2022;08:00;09:00;103
06.01.2022;09:00;10:00;103
06.01.2022;10:00;11:00;104
06.01.2022;11:00;12:00;105
06.01.2022;12:00;13:00;105
