Datum;Anfang;Ende;Generation_DE Iffezheim M1-M5 [MW] Originalauflösungen
01.01.2023;00:00;01:00;119
01.01.2023;01:00;02:00;118
01.01.2023;02:00;03:00;115
01.01.2023;03:00;04:00;117
01.01.2023;04:00;05:00;117
01.01.2023;05:00;06:00;118
01.01.2023;06:00;07:00;115
01.01.2023;07:00;08:00;112
01.01.2023;08:00;09:00;112
01.01.2023;09:00;10:00;111
01.01.2023;10:00;11:00;111
01.01.2023;11:00;12:00;111
01.01.2023;12:00;13:00;113
01.01.2023;13:00;14:00;116
01.01.2023;14:00;15:00;112
01.01.2023;15:00;16:00;113
01.01.2023;16:00;17:00;114
01.01.2023;17:00;18:00;113
01.01.2023;18:00;19:00;108
01.01.2023;19:00;20:00;107
01.01.2023;20:00;21:00;103
01.01.2023;21:00;22:00;104
01.01.2023;22:00;23:00;101
01.01.2023;23:00;00:00;102
02.01.2023;00:00;01:00;105
02.01.2023;01:00;02:00;105
02.01.2023;02:00;03:00;103
02.01.2023;03:00;04:00;105
02.01.2023;04:00;05:00;107
02.01.2023;05:00;06:00;110
02.01.2023;06:00;07:00;110
02.01.2023;07:00;08:00;110
02.01.2023;08:00;09:00;108
02.01.2023;09:00;10:00;107
02.01.2023;10:00;11:00;107
02.01.2023;11:00;12:00;106
02.01.2023;12:00;13:00;104
02.01.2023;13:00;14:00;101
02.01.2023;14:00;15:00;103
02.01.2023;15:00;16:00;103
02.01.2023;16:00;17:00;105
02.01.2023;17:00;18:00;105
02.01.2023;18:00;19:00;102
02.01.2023;19:00;20:00;105
02.01.2023;20:00;21:00;108
02.01.2023;21:00;22:00;109
02.01.2023;22:00;23:00;109
02.01.2023;23:00;00:00;109
03.01.2023;00:00;01:00;108
03.01.2023;01:00;02:00;106
03.01.2023;02:00;03:00;105
03.01.2023;03:00;04:00;105
03.01.2023;04:00;05:00;107
03.01.2023;05:00;06:00;105
03.01.2023;06:00;07:00;103
03.01.2023;07:00;08:00;105
03.01.2023;08:00;09:00;102
03.01.2023;09:00;10:00;103
03.01.2023;10:00;11:00;107
03.01.2023;11:00;12:00;104
03.01.2023;12:00;13:00;105
03.01.2023;13:00;14:00;105
03.01.2023;14:00;15:00;104
03.01.2023;15:00;16:00;105
03.01.2023;16:00;17:00;106
03.01.2023;17:00;18:00;107
03.01.2023;18:00;19:00;107
03.01.2023;19:00;20:00;109
03.01.2023;20:00;21:00;111
03.01.2023;21:00;22:00;111
03.01.2023;22:00;23:00;113
03.01.2023;23:00;00:00;112
04.01.2023;00:00;01:00;107
04.01.2023;01:00;02:00;106
04.01.2023;02:00;03:00;108
04.01.2023;03:00;04:00;110
04.01.2023;04:00;05:00;109
04.01.2023;05:00;06:00;108
04.01.2023;06:00;07:00;105
04.01.2023;07:00;08:00;106
04.01.2023;08:00;09:00;104
04.01.2023;09:00;10:00;105
04.01.2023;10:00;11:00;107
04.01.2023;11:00;12:00;107
04.01.2023;12:00;13:00;106
04.01.2023;13:00;14:00;103
04.01.2023;14:00;15:00;100
04.01.2023;15:00;16:00;98
04.01.2023;16:00;17:00;98
04.01.2023;17:00;18:00;98
04.01.2023;18:00;19:00;96
04.01.2023;19:00;20:00;98
04.01.2023;20:00;21:00;99
04.01.2023;21:00;22:00;103
04.01.2023;22:00;23:00;100
04.01.2023;23:00;00:00;97
05.01.2023;00:00;01:00;99
05.01.2023;01:00;02:00;97
05.01.2023;02:00;03:00;99
05.01.2023;03:00;04:00;101
05.01.2023;04:00;05:00;99
05.01.2023;05:00;06:00;99
05.01.2023;06:00;07:00;100
05.01.2023;07:00;08:00;102
05.01.2023;08:00;09:00;102
05.01.2023;09:00;10:00;103
05.01.2023;10:00;11:00;101
05.01.2023;11:00;12:00;100
05.01.2023;12:00;13:00;98
05.01.2023;13:00;14:00;100
05.01.2023;14:00;15:00;98
05.01.2023;15:00;16:00;98
05.01.2023;16:00;17:00;101
05.01.2023;17:00;18:00;101
05.01.2023;18:00;19:00;102
05.01.2023;19:00;20:00;101
05.01.2023;20:00;21:00;99
05.01.2023;21:00;22:00;103
05.01.2023;22:00;23:00;104
05.01.2023;23:00;00:00;104
06.01.2023;00:00;01:00;100
06.01.2023;01:00;02:00;98
06.01.2023;02:00;03:00;102
06.01.2023;03:00;04:00;101
06.01.2023;04:00;05:00;99
06.01.2023;05:00;06:00;101
06.01.2023;06:00;07:00;103
06.01.2023;07:00;08:00;102
06.01.2023;08:00;09:00;101
06.01.2023;09:00;10:00;98
06.01.2023;10:00;11:00;97
06.01.2023;11:00;12:00;97
06.01.2023;12:00;13:00;95
06.01.2023;13:00;14:00;94
06.01.2023;14:00;15:00;91
06.01.2023;15:00;16:00;90
06.01.2023;16:00;17:00;93
06.01.2023;17:00;18:00;90
06.01.2023;18:00;19:00;90
06.01.2023;19:00;20:00;93
06.01.2023;20:00;21:00;95
06.01.2023;21:00;22:00;99
06.01.2023;22:00;23:00;100
06.01.2023;23:00;00:00;101
07.01.2023;00:00;01:00;95
07.01.2023;01:00;02:00;96
07.01.2023;02:00;03:00;97
07.01.2023;03:00;04:00;98
07.01.2023;04:00;05:00;97
07.01.2023;05:00;06:00;96
07.01.2023;06:00;07:00;92
07.01.2023;07:00;08:00;95
07.01.2023;08:00;09:00;94
07.01.2023;09:00;10:00;95
07.01.2023;10:00;11:00;97
07.01.2023;11:00;12:00;94
07.01.2023;12:00;13:00;92
07.01.2023;13:00;14:00;92
