Datum;Anfang;Ende;Generation_DE  [MW] Originalauflösungen
01.01.2017;00:00;01:00;0
01.01.2017;01:00;02:00;0
01.01.2017;02:00;03:00;0
01.01.2017;03:00;04:00;0
01.01.2017;04:00;05:00;0
01.01.2017;05:00;06:00;0
01.01.2017;06:00;07:00;0
01.01.2017;07:00;08:00;0
01.01.2017;08:00;09:00;0
01.01.2017;09:00;10:00;0
01.01.2017;10:00;11:00;0
01.01.2017;11:00;12:00;0
01.01.2017;12:00;13:00;0
01.01.2017;13:00;14:00;0
01.01.2017;14:00;15:00;0
01.01.2017;15:00;16:00;93
01.01.2017;16:00;17:00;156
01.01.2017;17:00;18:00;176
01.01.2017;18:00;19:00;207
01.01.2017;19:00;20:00;195
01.01.2017;20:00;21:00;101
01.01.2017;21:00;22:00;53
01.01.2017;22:00;23:00;56
01.01.2017;23:00;00:00;0
02.01.2017;00:00;01:00;0
02.01.2017;01:00;02:00;0
02.01.2017;02:00;03:00;0
02.01.2017;03:00;04:00;0
02.01.2017;04:00;05:00;0
02.01.2017;05:00;06:00;0
02.01.2017;06:00;07:00;46
02.01.2017;07:00;08:00;96
02.01.2017;08:00;09:00;99
02.01.2017;09:00;10:00;150
02.01.2017;10:00;11:00;167
02.01.2017;11:00;12:00;200
02.01.2017;12:00;13:00;206
02.01.2017;13:00;14:00;200
02.01.2017;14:00;15:00;207
02.01.2017;15:00;16:00;210
02.01.2017;16:00;17:00;198
02.01.2017;17:00;18:00;211
02.01.2017;18:00;19:00;197
02.01.2017;19:00;20:00;26
02.01.2017;20:00;21:00;0
02.01.2017;21:00;22:00;0
02.01.2017;22:00;23:00;0
02.01.2017;23:00;00:00;0
03.01.2017;00:00;01:00;0
03.01.2017;01:00;02:00;0
03.01.2017;02:00;03:00;0
03.01.2017;03:00;04:00;0
03.01.2017;04:00;05:00;0
03.01.2017;05:00;06:00;0
03.01.2017;06:00;07:00;0
03.01.2017;07:00;08:00;11
03.01.2017;08:00;09:00;99
03.01.2017;09:00;10:00;185
03.01.2017;10:00;11:00;35
03.01.2017;11:00;12:00;40
03.01.2017;12:00;13:00;43
03.01.2017;13:00;14:00;23
03.01.2017;14:00;15:00;0
03.01.2017;15:00;16:00;83
03.01.2017;16:00;17:00;107
03.01.2017;17:00;18:00;144
03.01.2017;18:00;19:00;0
03.01.2017;19:00;20:00;0
03.01.2017;20:00;21:00;0
03.01.2017;21:00;22:00;0
