Datum;Anfang;Ende;Generation_DE Säckingen [MW] Originalauflösungen
01.01.2022;00:00;01:00;0
01.01.2022;01:00;02:00;0
01.01.2022;02:00;03:00;0
01.01.2022;03:00;04:00;0
01.01.2022;04:00;05:00;0
01.01.2022;05:00;06:00;0
01.01.2022;06:00;07:00;0
01.01.2022;07:00;08:00;0
01.01.2022;08:00;09:00;0
01.01.2022;09:00;10:00;0
01.01.2022;10:00;11:00;0
01.01.2022;11:00;12:00;0
01.01.2022;12:00;13:00;0
01.01.2022;13:00;14:00;0
01.01.2022;14:00;15:00;0
01.01.2022;15:00;16:00;0
01.01.2022;16:00;17:00;42
01.01.2022;17:00;18:00;167
01.01.2022;18:00;19:00;168
01.01.2022;19:00;20:00;62
01.01.2022;20:00;21:00;17
01.01.2022;21:00;22:00;6
01.01.2022;22:00;23:00;0
01.01.2022;23:00;00:00;0
02.01.2022;00:00;01:00;0
02.01.2022;01:00;02:00;0
02.01.2022;02:00;03:00;0
02.01.2022;03:00;04:00;0
02.01.2022;04:00;05:00;0
02.01.2022;05:00;06:00;0
02.01.2022;06:00;07:00;0
02.01.2022;07:00;08:00;0
02.01.2022;08:00;09:00;29
02.01.2022;09:00;10:00;46
02.01.2022;10:00;11:00;0
02.01.2022;11:00;12:00;0
02.01.2022;12:00;13:00;0
02.01.2022;13:00;14:00;0
02.01.2022;14:00;15:00;0
02.01.2022;15:00;16:00;0
02.01.2022;16:00;17:00;0
02.01.2022;17:00;18:00;0
02.01.2022;18:00;19:00;9
02.01.2022;19:00;20:00;86
02.01.2022;20:00;21:00;86
02.01.2022;21:00;22:00;14
02.01.2022;22:00;23:00;110
02.01.2022;23:00;00:00;28
03.01.2022;00:00;01:00;2
03.01.2022;01:00;02:00;0
03.01.2022;02:00;03:00;0
03.01.2022;03:00;04:00;0
03.01.2022;04:00;05:00;0
03.01.2022;05:00;06:00;0
03.01.2022;06:00;07:00;0
03.01.2022;07:00;08:00;0
03.01.2022;08:00;09:00;49
03.01.2022;09:00;10:00;17
03.01.2022;10:00;11:00;27
03.01.2022;11:00;12:00;24
03.01.2022;12:00;13:00;0
03.01.2022;13:00;14:00;0
03.01.2022;14:00;15:00;16
03.01.2022;15:00;16:00;153
03.01.2022;16:00;17:00;101
03.01.2022;17:00;18:00;116
03.01.2022;18:00;19:00;7
03.01.2022;19:00;20:00;103
03.01.2022;20:00;21:00;60
03.01.2022;21:00;22:00;0
03.01.2022;22:00;23:00;0
03.01.2022;23:00;00:00;0
04.01.2022;00:00;01:00;0
04.01.2022;01:00;02:00;0
04.01.2022;02:00;03:00;0
04.01.2022;03:00;04:00;0
04.01.2022;04:00;05:00;0
04.01.2022;05:00;06:00;0
04.01.2022;06:00;07:00;0
04.01.2022;07:00;08:00;0
04.01.2022;08:00;09:00;52
04.01.2022;09:00;10:00;82
04.01.2022;10:00;11:00;90
04.01.2022;11:00;12:00;34
04.01.2022;12:00;13:00;74
04.01.2022;13:00;14:00;11
04.01.2022;14:00;15:00;0
04.01.2022;15:00;16:00;0
04.01.2022;16:00;17:00;0
04.01.2022;17:00;18:00;104
04.01.2022;18:00;19:00;59
04.01.2022;19:00;20:00;94
04.01.2022;20:00;21:00;129
04.01.2022;21:00;22:00;98
04.01.2022;22:00;23:00;56
04.01.2022;23:00;00:00;32
05.01.2022;00:00;01:00;0
05.01.2022;01:00;02:00;0
05.01.2022;02:00;03:00;0
05.01.2022;03:00;04:00;0
05.01.2022;04:00;05:00;0
05.01.2022;05:00;06:00;0
05.01.2022;06:00;07:00;0
05.01.2022;07:00;08:00;0
05.01.2022;08:00;09:00;27
05.01.2022;09:00;10:00;38
05.01.2022;10:00;11:00;0
05.01.2022;11:00;12:00;0
05.01.2022;12:00;13:00;0
05.01.2022;13:00;14:00;1
05.01.2022;14:00;15:00;20
05.01.2022;15:00;16:00;20
05.01.2022;16:00;17:00;73
05.01.2022;17:00;18:00;122
05.01.2022;18:00;19:00;6
05.01.2022;19:00;20:00;0
05.01.2022;20:00;21:00;21
05.01.2022;21:00;22:00;0
05.01.2022;22:00;23:00;0
05.01.2022;23:00;00:00;0
06.01.2022;00:00;01:00;0
06.01.2022;01:00;02:00;0
06.01.2022;02:00;03:00;0
06.01.2022;03:00;04:00;0
06.01.2022;04:00;05:00;8
06.01.2022;05:00;06:00;0
06.01.2022;06:00;07:00;8
06.01.2022;07:00;08:00;52
06.01.2022;08:00;09:00;77
06.01.2022;09:00;10:00;57
06.01.2022;10:00;11:00;62
06.01.2022;11:00;12:00;37
06.01.2022;12:00;13:00;11
06.01.2022;13:00;14:00;0
06.01.2022;14:00;15:00;5
06.01.2022;15:00;16:00;81
06.01.2022;16:00;17:00;71
06.01.2022;17:00;18:00;107
06.01.2022;18:00;19:00;68
06.01.2022;19:00;20:00;47
06.01.2022;20:00;21:00;0
06.01.2022;21:00;22:00;22
06.01.2022;22:00;23:00;0
06.01.2022;23:00;00:00;0
07.01.2022;00:00;01:00;0
07.01.2022;01:00;02:00;0
07.01.2022;02:00;03:00;0
07.01.2022;03:00;04:00;0
07.01.2022;04:00;05:00;0
07.01.2022;05:00;06:00;0
07.01.2022;06:00;07:00;0
07.01.2022;07:00;08:00;0
07.01.2022;08:00;09:00;0
07.01.2022;09:00;10:00;0
07.01.2022;10:00;11:00;0
07.01.2022;11:00;12:00;0
07.01.2022;12:00;13:00;0
07.01.2022;13:00;14:00;0
07.01.2022;14:00;15:00;34
07.01.2022;15:00;16:00;78
07.01.2022;16:00;17:00;69
07.01.2022;17:00;18:00;177
07.01.2022;18:00;19:00;177
07.01.2022;19:00;20:00;94
07.01.2022;20:00;21:00;11
07.01.2022;21:00;22:00;0
07.01.2022;22:00;23:00;0
07.01.2022;23:00;00:00;0
08.01.2022;00:00;01:00;0
08.01.2022;01:00;02:00;0
08.01.2022;02:00;03:00;0
08.01.2022;03:00;04:00;0
08.01.2022;04:00;05:00;0
08.01.2022;05:00;06:00;0
08.01.2022;06:00;07:00;0
08.01.2022;07:00;08:00;0
08.01.2022;08:00;09:00;52
08.01.2022;09:00;10:00;56
08.01.2022;10:00;11:00;99
08.01.2022;11:00;12:00;136
08.01.2022;12:00;13:00;44
08.01.2022;13:00;14:00;0
08.01.2022;14:00;15:00;0
08.01.2022;15:00;16:00;0
08.01.2022;16:00;17:00;0
08.01.2022;17:00;18:00;0
08.01.2022;18:00;19:00;0
08.01.2022;19:00;20:00;0
08.01.2022;20:00;21:00;0
08.01.2022;21:00;22:00;0
08.01.2022;22:00;23:00;0
08.01.2022;23:00;00:00;0
09.01.2022;00:00;01:00;0
09.01.2022;01:00;02:00;0
09.01.2022;02:00;03:00;0
09.01.2022;03:00;04:00;0
09.01.2022;04:00;05:00;0
09.01.2022;05:00;06:00;0
09.01.2022;06:00;07:00;0
09.01.2022;07:00;08:00;0
09.01.2022;08:00;09:00;0
09.01.2022;09:00;10:00;0
09.01.2022;10:00;11:00;0
09.01.2022;11:00;12:00;13
09.01.2022;12:00;13:00;0
09.01.2022;13:00;14:00;0
09.01.2022;14:00;15:00;10
09.01.2022;15:00;16:00;39
09.01.2022;16:00;17:00;14
09.01.2022;17:00;18:00;68
09.01.2022;18:00;19:00;115
09.01.2022;19:00;20:00;39
09.01.2022;20:00;21:00;22
09.01.2022;21:00;22:00;60
09.01.2022;22:00;23:00;0
09.01.2022;23:00;00:00;0
10.01.2022;00:00;01:00;0
10.01.2022;01:00;02:00;8
10.01.2022;02:00;03:00;0
10.01.2022;03:00;04:00;5
10.01.2022;04:00;05:00;2
10.01.2022;05:00;06:00;5
10.01.2022;06:00;07:00;92
10.01.2022;07:00;08:00;23
10.01.2022;08:00;09:00;0
10.01.2022;09:00;10:00;0
10.01.2022;10:00;11:00;1
10.01.2022;11:00;12:00;3
10.01.2022;12:00;13:00;0
10.01.2022;13:00;14:00;0
10.01.2022;14:00;15:00;40
10.01.2022;15:00;16:00;87
10.01.2022;16:00;17:00;68
10.01.2022;17:00;18:00;32
10.01.2022;18:00;19:00;28
10.01.2022;19:00;20:00;3
10.01.2022;20:00;21:00;9
10.01.2022;21:00;22:00;6
10.01.2022;22:00;23:00;4
10.01.2022;23:00;00:00;0
11.01.2022;00:00;01:00;0
11.01.2022;01:00;02:00;0
11.01.2022;02:00;03:00;0
11.01.2022;03:00;04:00;0
11.01.2022;04:00;05:00;0
11.01.2022;05:00;06:00;0
11.01.2022;06:00;07:00;0
11.01.2022;07:00;08:00;8
11.01.2022;08:00;09:00;121
11.01.2022;09:00;10:00;118
11.01.2022;10:00;11:00;29
11.01.2022;11:00;12:00;0
11.01.2022;12:00;13:00;0
11.01.2022;13:00;14:00;0
11.01.2022;14:00;15:00;0
11.01.2022;15:00;16:00;19
11.01.2022;16:00;17:00;26
11.01.2022;17:00;18:00;6
11.01.2022;18:00;19:00;60
11.01.2022;19:00;20:00;43
11.01.2022;20:00;21:00;0
11.01.2022;21:00;22:00;0
11.01.2022;22:00;23:00;0
11.01.2022;23:00;00:00;0
12.01.2022;00:00;01:00;0
