Datum;Anfang;Ende;Generation_DE A [MW] Originalauflösungen;Generation_DE Schkopau B [MW] Originalauflösungen
01.01.2020;00:00;01:00;235;0
01.01.2020;01:00;02:00;238;0
01.01.2020;02:00;03:00;238;0
01.01.2020;03:00;04:00;237;0
01.01.2020;04:00;05:00;237;0
01.01.2020;05:00;06:00;239;0
01.01.2020;06:00;07:00;236;0
01.01.2020;07:00;08:00;233;0
01.01.2020;08:00;09:00;223;0
01.01.2020;09:00;10:00;221;0
01.01.2020;10:00;11:00;223;0
01.01.2020;11:00;12:00;222;0
01.01.2020;12:00;13:00;221;0
01.01.2020;13:00;14:00;222;0
01.01.2020;14:00;15:00;222;0
01.01.2020;15:00;16:00;222;0
01.01.2020;16:00;17:00;222;0
01.01.2020;17:00;18:00;220;0
01.01.2020;18:00;19:00;222;0
01.01.2020;19:00;20:00;207;0
01.01.2020;20:00;21:00;208;0
01.01.2020;21:00;22:00;208;0
01.01.2020;22:00;23:00;208;0
01.01.2020;23:00;00:00;217;0
02.01.2020;00:00;01:00;221;0
02.01.2020;01:00;02:00;222;0
02.01.2020;02:00;03:00;220;0
02.01.2020;03:00;04:00;223;0
02.01.2020;04:00;05:00;220;0
02.01.2020;05:00;06:00;222;0
02.01.2020;06:00;07:00;214;0
02.01.2020;07:00;08:00;216;0
02.01.2020;08:00;09:00;218;0
02.01.2020;09:00;10:00;217;0
02.01.2020;10:00;11:00;225;0
02.01.2020;11:00;12:00;230;0
02.01.2020;12:00;13:00;232;0
02.01.2020;13:00;14:00;245;0
02.01.2020;14:00;15:00;245;0
02.01.2020;15:00;16:00;245;0
02.01.2020;16:00;17:00;245;0
02.01.2020;17:00;18:00;245;0
02.01.2020;18:00;19:00;244;0
02.01.2020;19:00;20:00;245;0
02.01.2020;20:00;21:00;227;0
02.01.2020;21:00;22:00;213;0
02.01.2020;22:00;23:00;214;0
02.01.2020;23:00;00:00;214;0
03.01.2020;00:00;01:00;213;0
03.01.2020;01:00;02:00;214;0
03.01.2020;02:00;03:00;214;0
03.01.2020;03:00;04:00;214;0
03.01.2020;04:00;05:00;211;0
03.01.2020;05:00;06:00;213;0
03.01.2020;06:00;07:00;212;0
03.01.2020;07:00;08:00;212;0
03.01.2020;08:00;09:00;214;0
03.01.2020;09:00;10:00;212;0
03.01.2020;10:00;11:00;214;0
03.01.2020;11:00;12:00;213;0
03.01.2020;12:00;13:00;213;0
03.01.2020;13:00;14:00;214;0
03.01.2020;14:00;15:00;213;0
03.01.2020;15:00;16:00;215;0
03.01.2020;16:00;17:00;213;0
03.01.2020;17:00;18:00;213;0
03.01.2020;18:00;19:00;213;0
03.01.2020;19:00;20:00;213;0
03.01.2020;20:00;21:00;214;0
03.01.2020;21:00;22:00;213;0
03.01.2020;22:00;23:00;215;0
03.01.2020;23:00;00:00;212;0
04.01.2020;00:00;01:00;213;0
04.01.2020;01:00;02:00;214;0
04.01.2020;02:00;03:00;214;0
04.01.2020;03:00;04:00;213;0
04.01.2020;04:00;05:00;212;0
04.01.2020;05:00;06:00;213;0
04.01.2020;06:00;07:00;214;0
04.01.2020;07:00;08:00;211;0
04.01.2020;08:00;09:00;213;0
04.01.2020;09:00;10:00;212;0
04.01.2020;10:00;11:00;219;0
04.01.2020;11:00;12:00;216;0
04.01.2020;12:00;13:00;214;0
04.01.2020;13:00;14:00;213;0
04.01.2020;14:00;15:00;217;0
04.01.2020;15:00;16:00;215;0
04.01.2020;16:00;17:00;218;0
04.01.2020;17:00;18:00;213;0
04.01.2020;18:00;19:00;212;0
04.01.2020;19:00;20:00;213;0
04.01.2020;20:00;21:00;214;0
04.01.2020;21:00;22:00;212;0
04.01.2020;22:00;23:00;214;0
04.01.2020;23:00;00:00;214;0
05.01.2020;00:00;01:00;214;0
05.01.2020;01:00;02:00;213;0
05.01.2020;02:00;03:00;213;0
05.01.2020;03:00;04:00;214;0
05.01.2020;04:00;05:00;213;0
05.01.2020;05:00;06:00;213;0
05.01.2020;06:00;07:00;212;0
05.01.2020;07:00;08:00;213;0
05.01.2020;08:00;09:00;214;0
05.01.2020;09:00;10:00;214;0
05.01.2020;10:00;11:00;213;0
05.01.2020;11:00;12:00;214;0
05.01.2020;12:00;13:00;213;0
05.01.2020;13:00;14:00;211;0
05.01.2020;14:00;15:00;214;0
05.01.2020;15:00;16:00;214;0
05.01.2020;16:00;17:00;214;0
05.01.2020;17:00;18:00;212;0
05.01.2020;18:00;19:00;219;0
05.01.2020;19:00;20:00;212;0
05.01.2020;20:00;21:00;214;0
05.01.2020;21:00;22:00;213;0
05.01.2020;22:00;23:00;214;0
05.01.2020;23:00;00:00;211;0
06.01.2020;00:00;01:00;215;0
06.01.2020;01:00;02:00;214;0
06.01.2020;02:00;03:00;213;0
06.01.2020;03:00;04:00;213;0
06.01.2020;04:00;05:00;213;0
06.01.2020;05:00;06:00;213;0
06.01.2020;06:00;07:00;213;0
06.01.2020;07:00;08:00;214;0
06.01.2020;08:00;09:00;213;0
06.01.2020;09:00;10:00;214;0
06.01.2020;10:00;11:00;212;0
06.01.2020;11:00;12:00;213;0
06.01.2020;12:00;13:00;215;0
06.01.2020;13:00;14:00;213;0
06.01.2020;14:00;15:00;213;0
06.01.2020;15:00;16:00;214;0
06.01.2020;16:00;17:00;213;0
06.01.2020;17:00;18:00;226;0
06.01.2020;18:00;19:00;315;0
06.01.2020;19:00;20:00;320;0
06.01.2020;20:00;21:00;252;0
06.01.2020;21:00;22:00;223;0
06.01.2020;22:00;23:00;217;0
06.01.2020;23:00;00:00;211;0
07.01.2020;00:00;01:00;208;0
07.01.2020;01:00;02:00;211;0
07.01.2020;02:00;03:00;209;0
07.01.2020;03:00;04:00;208;0
07.01.2020;04:00;05:00;209;0
07.01.2020;05:00;06:00;209;0
07.01.2020;06:00;07:00;230;0
07.01.2020;07:00;08:00;269;0
07.01.2020;08:00;09:00;271;0
07.01.2020;09:00;10:00;295;0
07.01.2020;10:00;11:00;312;0
07.01.2020;11:00;12:00;306;0
07.01.2020;12:00;13:00;262;0
07.01.2020;13:00;14:00;266;0
07.01.2020;14:00;15:00;235;0
