Datum;Anfang;Ende;Generation_DE  [MW] Originalauflösungen
06.07.2020;00:00;01:00;-
06.07.2020;01:00;02:00;-
06.07.2020;02:00;03:00;-
06.07.2020;03:00;04:00;-
06.07.2020;04:00;05:00;-
06.07.2020;05:00;06:00;-
06.07.2020;06:00;07:00;-
06.07.2020;07:00;08:00;-
06.07.2020;08:00;09:00;-
06.07.2020;09:00;10:00;-
06.07.2020;10:00;11:00;-
06.07.2020;11:00;12:00;-
06.07.2020;12:00;13:00;-
06.07.2020;13:00;14:00;-
06.07.2020;14:00;15:00;-
06.07.2020;15:00;16:00;-
06.07.2020;16:00;17:00;-
06.07.2020;17:00;18:00;-
06.07.2020;18:00;19:00;-
06.07.2020;19:00;20:00;-
06.07.2020;20:00;21:00;-
06.07.2020;21:00;22:00;-
06.07.2020;22:00;23:00;-
06.07.2020;23:00;00:00;-
07.07.2020;00:00;01:00;-
07.07.2020;01:00;02:00;-
07.07.2020;02:00;03:00;-
07.07.2020;03:00;04:00;-
07.07.2020;04:00;05:00;-
07.07.2020;05:00;06:00;-
07.07.2020;06:00;07:00;-
07.07.2020;07:00;08:00;-
07.07.2020;08:00;09:00;-
07.07.2020;09:00;10:00;-
07.07.2020;10:00;11:00;-
07.07.2020;11:00;12:00;-
07.07.2020;12:00;13:00;-
07.07.2020;13:00;14:00;-
07.07.2020;14:00;15:00;-
07.07.2020;15:00;16:00;-
07.07.2020;16:00;17:00;-
07.07.2020;17:00;18:00;-
07.07.2020;18:00;19:00;-
07.07.2020;19:00;20:00;-
07.07.2020;20:00;21:00;-
07.07.2020;21:00;22:00;-
07.07.2020;22:00;23:00;-
07.07.2020;23:00;00:00;-
08.07.2020;00:00;01:00;-
08.07.2020;01:00;02:00;-
08.07.2020;02:00;03:00;-
08.07.2020;03:00;04:00;-
08.07.2020;04:00;05:00;-
08.07.2020;05:00;06:00;-
08.07.2020;06:00;07:00;-
08.07.2020;07:00;08:00;-
08.07.2020;08:00;09:00;-
08.07.2020;09:00;10:00;-
08.07.2020;10:00;11:00;-
08.07.2020;11:00;12:00;-
08.07.2020;12:00;13:00;-
08.07.2020;13:00;14:00;-
08.07.2020;14:00;15:00;-
08.07.2020;15:00;16:00;-
08.07.2020;16:00;17:00;-
08.07.2020;17:00;18:00;-
08.07.2020;18:00;19:00;-
08.07.2020;19:00;20:00;-
08.07.2020;20:00;21:00;-
08.07.2020;21:00;22:00;-
08.07.2020;22:00;23:00;-
08.07.2020;23:00;00:00;-
09.07.2020;00:00;01:00;84
09.07.2020;01:00;02:00;85
09.07.2020;02:00;03:00;85
09.07.2020;03:00;04:00;83
09.07.2020;04:00;05:00;83
09.07.2020;05:00;06:00;85
09.07.2020;06:00;07:00;86
09.07.2020;07:00;08:00;84
09.07.2020;08:00;09:00;83
09.07.2020;09:00;10:00;84
09.07.2020;10:00;11:00;86
09.07.2020;11:00;12:00;84
09.07.2020;12:00;13:00;83
09.07.2020;13:00;14:00;85
09.07.2020;14:00;15:00;85
09.07.2020;15:00;16:00;84
09.07.2020;16:00;17:00;83
09.07.2020;17:00;18:00;85
09.07.2020;18:00;19:00;86
09.07.2020;19:00;20:00;83
09.07.2020;20:00;21:00;83
09.07.2020;21:00;22:00;84
09.07.2020;22:00;23:00;86
09.07.2020;23:00;00:00;85
10.07.2020;00:00;01:00;83
10.07.2020;01:00;02:00;83
10.07.2020;02:00;03:00;85
10.07.2020;03:00;04:00;84
10.07.2020;04:00;05:00;83
10.07.2020;05:00;06:00;83
10.07.2020;06:00;07:00;84
10.07.2020;07:00;08:00;84
10.07.2020;08:00;09:00;83
10.07.2020;09:00;10:00;81
10.07.2020;10:00;11:00;84
10.07.2020;11:00;12:00;85
10.07.2020;12:00;13:00;84
10.07.2020;13:00;14:00;82
10.07.2020;14:00;15:00;83
10.07.2020;15:00;16:00;84
10.07.2020;16:00;17:00;84
10.07.2020;17:00;18:00;82
10.07.2020;18:00;19:00;82
10.07.2020;19:00;20:00;84
10.07.2020;20:00;21:00;84
10.07.2020;21:00;22:00;85
10.07.2020;22:00;23:00;81
10.07.2020;23:00;00:00;84
11.07.2020;00:00;01:00;85
11.07.2020;01:00;02:00;83
11.07.2020;02:00;03:00;82
11.07.2020;03:00;04:00;83
11.07.2020;04:00;05:00;84
11.07.2020;05:00;06:00;84
11.07.2020;06:00;07:00;82
11.07.2020;07:00;08:00;82
11.07.2020;08:00;09:00;85
11.07.2020;09:00;10:00;85
11.07.2020;10:00;11:00;83
11.07.2020;11:00;12:00;82
11.07.2020;12:00;13:00;83
11.07.2020;13:00;14:00;84
11.07.2020;14:00;15:00;85
11.07.2020;15:00;16:00;83
11.07.2020;16:00;17:00;81
11.07.2020;17:00;18:00;84
11.07.2020;18:00;19:00;85
11.07.2020;19:00;20:00;83
11.07.2020;20:00;21:00;83
11.07.2020;21:00;22:00;82
11.07.2020;22:00;23:00;86
11.07.2020;23:00;00:00;85
12.07.2020;00:00;01:00;82
12.07.2020;01:00;02:00;82
12.07.2020;02:00;03:00;84
12.07.2020;03:00;04:00;85
12.07.2020;04:00;05:00;84
12.07.2020;05:00;06:00;81
12.07.2020;06:00;07:00;83
12.07.2020;07:00;08:00;85
12.07.2020;08:00;09:00;84
12.07.2020;09:00;10:00;83
12.07.2020;10:00;11:00;82
12.07.2020;11:00;12:00;85
12.07.2020;12:00;13:00;85
12.07.2020;13:00;14:00;82
12.07.2020;14:00;15:00;80
12.07.2020;15:00;16:00;80
12.07.2020;16:00;17:00;86
12.07.2020;17:00;18:00;80
12.07.2020;18:00;19:00;74
12.07.2020;19:00;20:00;74
12.07.2020;20:00;21:00;79
12.07.2020;21:00;22:00;81
12.07.2020;22:00;23:00;81
12.07.2020;23:00;00:00;83
05.10.2020;00:00;01:00;-
05.10.2020;01:00;02:00;-
05.10.2020;02:00;03:00;-
05.10.2020;03:00;04:00;-
05.10.2020;04:00;05:00;-
05.10.2020;05:00;06:00;-
05.10.2020;06:00;07:00;-
05.10.2020;07:00;08:00;-
05.10.2020;08:00;09:00;-
05.10.2020;09:00;10:00;-
05.10.2020;10:00;11:00;-
05.10.2020;11:00;12:00;-
05.10.2020;12:00;13:00;-
05.10.2020;13:00;14:00;-
05.10.2020;14:00;15:00;-
05.10.2020;15:00;16:00;-
05.10.2020;16:00;17:00;-
05.10.2020;17:00;18:00;-
05.10.2020;18:00;19:00;-
05.10.2020;19:00;20:00;-
05.10.2020;20:00;21:00;-
05.10.2020;21:00;22:00;-
05.10.2020;22:00;23:00;-
05.10.2020;23:00;00:00;-
06.10.2020;00:00;01:00;-
06.10.2020;01:00;02:00;-
06.10.2020;02:00;03:00;-
06.10.2020;03:00;04:00;-
06.10.2020;04:00;05:00;-
06.10.2020;05:00;06:00;-
06.10.2020;06:00;07:00;-
06.10.2020;07:00;08:00;-
06.10.2020;08:00;09:00;-
06.10.2020;09:00;10:00;-
06.10.2020;10:00;11:00;-
06.10.2020;11:00;12:00;-
06.10.2020;12:00;13:00;-
06.10.2020;13:00;14:00;-
06.10.2020;14:00;15:00;-
06.10.2020;15:00;16:00;-
06.10.2020;16:00;17:00;-
06.10.2020;17:00;18:00;-
06.10.2020;18:00;19:00;-
06.10.2020;19:00;20:00;-
06.10.2020;20:00;21:00;-
06.10.2020;21:00;22:00;-
06.10.2020;22:00;23:00;-
06.10.2020;23:00;00:00;-
07.10.2020;00:00;01:00;-
07.10.2020;01:00;02:00;-
07.10.2020;02:00;03:00;-
07.10.2020;03:00;04:00;-
07.10.2020;04:00;05:00;-
07.10.2020;05:00;06:00;-
07.10.2020;06:00;07:00;-
07.10.2020;07:00;08:00;-
07.10.2020;08:00;09:00;-
07.10.2020;09:00;10:00;-
07.10.2020;10:00;11:00;-
07.10.2020;11:00;12:00;-
07.10.2020;12:00;13:00;-
07.10.2020;13:00;14:00;-
07.10.2020;14:00;15:00;-
07.10.2020;15:00;16:00;-
07.10.2020;16:00;17:00;-
07.10.2020;17:00;18:00;-
07.10.2020;18:00;19:00;-
07.10.2020;19:00;20:00;-
07.10.2020;20:00;21:00;-
07.10.2020;21:00;22:00;-
07.10.2020;22:00;23:00;-
07.10.2020;23:00;00:00;-
08.10.2020;00:00;01:00;-
08.10.2020;01:00;02:00;-
08.10.2020;02:00;03:00;-
08.10.2020;03:00;04:00;-
08.10.2020;04:00;05:00;-
08.10.2020;05:00;06:00;-
08.10.2020;06:00;07:00;-
08.10.2020;07:00;08:00;-
08.10.2020;08:00;09:00;-
08.10.2020;09:00;10:00;-
08.10.2020;10:00;11:00;-
08.10.2020;11:00;12:00;-
08.10.2020;12:00;13:00;-
08.10.2020;13:00;14:00;-
08.10.2020;14:00;15:00;-
08.10.2020;15:00;16:00;-
08.10.2020;16:00;17:00;-
08.10.2020;17:00;18:00;-
08.10.2020;18:00;19:00;-
08.10.2020;19:00;20:00;-
08.10.2020;20:00;21:00;-
08.10.2020;21:00;22:00;-
08.10.2020;22:00;23:00;-
08.10.2020;23:00;00:00;-
09.10.2020;00:00;01:00;-
09.10.2020;01:00;02:00;-
09.10.2020;02:00;03:00;-
09.10.2020;03:00;04:00;-
09.10.2020;04:00;05:00;-
09.10.2020;05:00;06:00;-
09.10.2020;06:00;07:00;-
09.10.2020;07:00;08:00;-
09.10.2020;08:00;09:00;-
09.10.2020;09:00;10:00;-
09.10.2020;10:00;11:00;-
09.10.2020;11:00;12:00;-
09.10.2020;12:00;13:00;-
09.10.2020;13:00;14:00;-
09.10.2020;14:00;15:00;-
09.10.2020;15:00;16:00;-
09.10.2020;16:00;17:00;-
09.10.2020;17:00;18:00;-
09.10.2020;18:00;19:00;-
09.10.2020;19:00;20:00;-
09.10.2020;20:00;21:00;-
09.10.2020;21:00;22:00;-
09.10.2020;22:00;23:00;-
09.10.2020;23:00;00:00;-
10.10.2020;00:00;01:00;-
10.10.2020;01:00;02:00;-
10.10.2020;02:00;03:00;-
10.10.2020;03:00;04:00;-
10.10.2020;04:00;05:00;-
10.10.2020;05:00;06:00;-
10.10.2020;06:00;07:00;-
10.10.2020;07:00;08:00;-
10.10.2020;08:00;09:00;-
10.10.2020;09:00;10:00;-
10.10.2020;10:00;11:00;-
10.10.2020;11:00;12:00;-
10.10.2020;12:00;13:00;-
10.10.2020;13:00;14:00;-
10.10.2020;14:00;15:00;-
10.10.2020;15:00;16:00;-
10.10.2020;16:00;17:00;-
10.10.2020;17:00;18:00;-
10.10.2020;18:00;19:00;-
10.10.2020;19:00;20:00;-
10.10.2020;20:00;21:00;-
10.10.2020;21:00;22:00;-
10.10.2020;22:00;23:00;-
10.10.2020;23:00;00:00;-
11.10.2020;00:00;01:00;23
