Datum;Anfang;Ende;Generation_DE  [MW] Originalauflösungen
01.01.2022;00:00;01:00;4
01.01.2022;01:00;02:00;11
01.01.2022;02:00;03:00;0
01.01.2022;03:00;04:00;0
01.01.2022;04:00;05:00;15
01.01.2022;05:00;06:00;11
01.01.2022;06:00;07:00;0
01.01.2022;07:00;08:00;7
01.01.2022;08:00;09:00;20
01.01.2022;09:00;10:00;18
01.01.2022;10:00;11:00;18
01.01.2022;11:00;12:00;29
01.01.2022;12:00;13:00;30
01.01.2022;13:00;14:00;57
01.01.2022;14:00;15:00;59
01.01.2022;15:00;16:00;39
01.01.2022;16:00;17:00;44
01.01.2022;17:00;18:00;52
01.01.2022;18:00;19:00;52
01.01.2022;19:00;20:00;52
01.01.2022;20:00;21:00;53
01.01.2022;21:00;22:00;28
01.01.2022;22:00;23:00;52
01.01.2022;23:00;00:00;30
02.01.2022;00:00;01:00;0
02.01.2022;01:00;02:00;7
02.01.2022;02:00;03:00;20
02.01.2022;03:00;04:00;19
02.01.2022;04:00;05:00;3
02.01.2022;05:00;06:00;0
02.01.2022;06:00;07:00;0
02.01.2022;07:00;08:00;0
02.01.2022;08:00;09:00;0
02.01.2022;09:00;10:00;0
02.01.2022;10:00;11:00;0
02.01.2022;11:00;12:00;3
02.01.2022;12:00;13:00;8
02.01.2022;13:00;14:00;25
02.01.2022;14:00;15:00;52
02.01.2022;15:00;16:00;50
02.01.2022;16:00;17:00;53
02.01.2022;17:00;18:00;52
02.01.2022;18:00;19:00;53
02.01.2022;19:00;20:00;53
02.01.2022;20:00;21:00;51
02.01.2022;21:00;22:00;26
02.01.2022;22:00;23:00;25
02.01.2022;23:00;00:00;0
03.01.2022;00:00;01:00;1
03.01.2022;01:00;02:00;5
03.01.2022;02:00;03:00;0
03.01.2022;03:00;04:00;0
03.01.2022;04:00;05:00;0
03.01.2022;05:00;06:00;0
03.01.2022;06:00;07:00;0
03.01.2022;07:00;08:00;0
03.01.2022;08:00;09:00;37
03.01.2022;09:00;10:00;56
03.01.2022;10:00;11:00;54
03.01.2022;11:00;12:00;53
03.01.2022;12:00;13:00;26
03.01.2022;13:00;14:00;14
03.01.2022;14:00;15:00;51
03.01.2022;15:00;16:00;72
03.01.2022;16:00;17:00;55
03.01.2022;17:00;18:00;75
03.01.2022;18:00;19:00;73
03.01.2022;19:00;20:00;50
03.01.2022;20:00;21:00;4
03.01.2022;21:00;22:00;7
03.01.2022;22:00;23:00;21
03.01.2022;23:00;00:00;14
04.01.2022;00:00;01:00;3
04.01.2022;01:00;02:00;0
04.01.2022;02:00;03:00;0
04.01.2022;03:00;04:00;0
04.01.2022;04:00;05:00;0
04.01.2022;05:00;06:00;0
04.01.2022;06:00;07:00;29
04.01.2022;07:00;08:00;49
04.01.2022;08:00;09:00;78
04.01.2022;09:00;10:00;96
04.01.2022;10:00;11:00;89
04.01.2022;11:00;12:00;89
04.01.2022;12:00;13:00;102
04.01.2022;13:00;14:00;70
04.01.2022;14:00;15:00;26
04.01.2022;15:00;16:00;26
04.01.2022;16:00;17:00;40
04.01.2022;17:00;18:00;26
