Datum;Anfang;Ende;Generation_DE Kraftwerk Schwarze Pumpe Block A [MW] Originalauflösungen;Generation_DE Kraftwerk Schwarze Pumpe Block B [MW] Originalauflösungen
01.01.2017;00:00;01:00;623;426
01.01.2017;01:00;02:00;622;422
01.01.2017;02:00;03:00;727;668
01.01.2017;03:00;04:00;737;733
01.01.2017;04:00;05:00;742;729
01.01.2017;05:00;06:00;740;739
01.01.2017;06:00;07:00;735;738
01.01.2017;07:00;08:00;741;724
01.01.2017;08:00;09:00;716;705
01.01.2017;09:00;10:00;659;724
01.01.2017;10:00;11:00;652;708
01.01.2017;11:00;12:00;637;697
01.01.2017;12:00;13:00;740;683
01.01.2017;13:00;14:00;740;732
01.01.2017;14:00;15:00;733;718
01.01.2017;15:00;16:00;649;535
01.01.2017;16:00;17:00;642;585
01.01.2017;17:00;18:00;567;434
01.01.2017;18:00;19:00;571;427
01.01.2017;19:00;20:00;571;424
01.01.2017;20:00;21:00;637;487
01.01.2017;21:00;22:00;644;492
01.01.2017;22:00;23:00;640;487
01.01.2017;23:00;00:00;638;494
02.01.2017;00:00;01:00;726;487
02.01.2017;01:00;02:00;697;443
02.01.2017;02:00;03:00;730;678
02.01.2017;03:00;04:00;732;741
02.01.2017;04:00;05:00;731;740
02.01.2017;05:00;06:00;734;688
02.01.2017;06:00;07:00;674;722
02.01.2017;07:00;08:00;678;681
02.01.2017;08:00;09:00;691;726
02.01.2017;09:00;10:00;685;733
02.01.2017;10:00;11:00;689;717
02.01.2017;11:00;12:00;689;719
02.01.2017;12:00;13:00;688;718
02.01.2017;13:00;14:00;697;719
02.01.2017;14:00;15:00;687;732
02.01.2017;15:00;16:00;695;732
02.01.2017;16:00;17:00;710;731
02.01.2017;17:00;18:00;703;732
02.01.2017;18:00;19:00;705;735
02.01.2017;19:00;20:00;698;730
02.01.2017;20:00;21:00;705;668
02.01.2017;21:00;22:00;722;651
02.01.2017;22:00;23:00;691;638
02.01.2017;23:00;00:00;573;607
03.01.2017;00:00;01:00;340;481
03.01.2017;01:00;02:00;296;493
03.01.2017;02:00;03:00;309;489
03.01.2017;03:00;04:00;288;470
03.01.2017;04:00;05:00;363;481
03.01.2017;05:00;06:00;397;481
03.01.2017;06:00;07:00;495;475
03.01.2017;07:00;08:00;657;468
03.01.2017;08:00;09:00;716;637
03.01.2017;09:00;10:00;526;576
03.01.2017;10:00;11:00;513;574
03.01.2017;11:00;12:00;514;578
03.01.2017;12:00;13:00;575;613
03.01.2017;13:00;14:00;522;612
03.01.2017;14:00;15:00;535;615
03.01.2017;15:00;16:00;528;617
03.01.2017;16:00;17:00;416;543
03.01.2017;17:00;18:00;402;545
03.01.2017;18:00;19:00;390;543
03.01.2017;19:00;20:00;397;544
03.01.2017;20:00;21:00;472;591
03.01.2017;21:00;22:00;459;589
03.01.2017;22:00;23:00;461;591
03.01.2017;23:00;00:00;496;561
04.01.2017;00:00;01:00;591;331
04.01.2017;01:00;02:00;582;310
04.01.2017;02:00;03:00;592;298
04.01.2017;03:00;04:00;589;294
04.01.2017;04:00;05:00;590;282
04.01.2017;05:00;06:00;606;373
04.01.2017;06:00;07:00;657;375
04.01.2017;07:00;08:00;545;487
04.01.2017;08:00;09:00;607;493
04.01.2017;09:00;10:00;604;497
04.01.2017;10:00;11:00;436;498
04.01.2017;11:00;12:00;455;498
04.01.2017;12:00;13:00;432;467
04.01.2017;13:00;14:00;411;509
04.01.2017;14:00;15:00;395;479
04.01.2017;15:00;16:00;397;591
04.01.2017;16:00;17:00;405;551
04.01.2017;17:00;18:00;402;556
04.01.2017;18:00;19:00;642;568
04.01.2017;19:00;20:00;683;724
04.01.2017;20:00;21:00;697;728
04.01.2017;21:00;22:00;718;733
04.01.2017;22:00;23:00;718;735
04.01.2017;23:00;00:00;701;729
05.01.2017;00:00;01:00;498;525
05.01.2017;01:00;02:00;533;546
05.01.2017;02:00;03:00;664;687
05.01.2017;03:00;04:00;688;723
05.01.2017;04:00;05:00;695;731
05.01.2017;05:00;06:00;696;729
05.01.2017;06:00;07:00;684;727
05.01.2017;07:00;08:00;682;714
05.01.2017;08:00;09:00;691;730
05.01.2017;09:00;10:00;699;733
05.01.2017;10:00;11:00;698;728
05.01.2017;11:00;12:00;696;727
05.01.2017;12:00;13:00;698;726
05.01.2017;13:00;14:00;714;730
05.01.2017;14:00;15:00;707;730
05.01.2017;15:00;16:00;699;731
05.01.2017;16:00;17:00;706;733
05.01.2017;17:00;18:00;696;729
05.01.2017;18:00;19:00;710;732
05.01.2017;19:00;20:00;710;734
05.01.2017;20:00;21:00;696;738
05.01.2017;21:00;22:00;696;733
05.01.2017;22:00;23:00;694;733
05.01.2017;23:00;00:00;695;736
