Datum;Anfang;Ende;Generation_DE Kraftwerk Schwarze Pumpe Block A [MW] Originalauflösungen;Generation_DE Kraftwerk Schwarze Pumpe Block B [MW] Originalauflösungen
01.01.2022;00:00;01:00;0;322
01.01.2022;01:00;02:00;0;328
01.01.2022;02:00;03:00;0;276
01.01.2022;03:00;04:00;0;279
01.01.2022;04:00;05:00;0;277
01.01.2022;05:00;06:00;0;279
01.01.2022;06:00;07:00;0;288
01.01.2022;07:00;08:00;0;282
01.01.2022;08:00;09:00;0;366
01.01.2022;09:00;10:00;0;376
01.01.2022;10:00;11:00;0;397
01.01.2022;11:00;12:00;0;416
01.01.2022;12:00;13:00;0;390
01.01.2022;13:00;14:00;0;386
01.01.2022;14:00;15:00;0;441
01.01.2022;15:00;16:00;0;600
01.01.2022;16:00;17:00;0;735
01.01.2022;17:00;18:00;0;719
01.01.2022;18:00;19:00;0;724
01.01.2022;19:00;20:00;0;706
01.01.2022;20:00;21:00;0;726
01.01.2022;21:00;22:00;0;640
01.01.2022;22:00;23:00;0;626
01.01.2022;23:00;00:00;0;473
02.01.2022;00:00;01:00;0;321
02.01.2022;01:00;02:00;0;318
02.01.2022;02:00;03:00;0;313
02.01.2022;03:00;04:00;0;265
02.01.2022;04:00;05:00;0;264
02.01.2022;05:00;06:00;0;273
02.01.2022;06:00;07:00;0;264
02.01.2022;07:00;08:00;0;258
02.01.2022;08:00;09:00;0;250
02.01.2022;09:00;10:00;0;254
02.01.2022;10:00;11:00;0;256
02.01.2022;11:00;12:00;0;258
02.01.2022;12:00;13:00;0;271
02.01.2022;13:00;14:00;0;255
02.01.2022;14:00;15:00;0;259
02.01.2022;15:00;16:00;0;250
02.01.2022;16:00;17:00;0;255
02.01.2022;17:00;18:00;0;255
02.01.2022;18:00;19:00;0;253
02.01.2022;19:00;20:00;0;259
02.01.2022;20:00;21:00;0;256
02.01.2022;21:00;22:00;0;257
02.01.2022;22:00;23:00;0;250
02.01.2022;23:00;00:00;0;248
03.01.2022;00:00;01:00;0;250
03.01.2022;01:00;02:00;0;355
03.01.2022;02:00;03:00;0;333
03.01.2022;03:00;04:00;0;330
03.01.2022;04:00;05:00;0;348
03.01.2022;05:00;06:00;0;340
03.01.2022;06:00;07:00;2;285
03.01.2022;07:00;08:00;260;372
03.01.2022;08:00;09:00;395;440
03.01.2022;09:00;10:00;454;461
03.01.2022;10:00;11:00;445;463
03.01.2022;11:00;12:00;392;377
03.01.2022;12:00;13:00;286;273
03.01.2022;13:00;14:00;303;276
03.01.2022;14:00;15:00;347;319
03.01.2022;15:00;16:00;561;523
03.01.2022;16:00;17:00;719;679
03.01.2022;17:00;18:00;634;635
03.01.2022;18:00;19:00;639;657
03.01.2022;19:00;20:00;729;654
03.01.2022;20:00;21:00;697;640
03.01.2022;21:00;22:00;557;495
03.01.2022;22:00;23:00;581;538
03.01.2022;23:00;00:00;605;549
04.01.2022;00:00;01:00;711;653
04.01.2022;01:00;02:00;688;643
04.01.2022;02:00;03:00;705;666
04.01.2022;03:00;04:00;686;712
04.01.2022;04:00;05:00;679;722
04.01.2022;05:00;06:00;679;703
04.01.2022;06:00;07:00;705;725
04.01.2022;07:00;08:00;706;717
04.01.2022;08:00;09:00;713;717
04.01.2022;09:00;10:00;715;719
04.01.2022;10:00;11:00;727;729
04.01.2022;11:00;12:00;729;728
04.01.2022;12:00;13:00;740;720
04.01.2022;13:00;14:00;732;720
04.01.2022;14:00;15:00;729;726
04.01.2022;15:00;16:00;719;727
04.01.2022;16:00;17:00;716;737
04.01.2022;17:00;18:00;716;721
04.01.2022;18:00;19:00;714;731
04.01.2022;19:00;20:00;714;712
04.01.2022;20:00;21:00;715;717
04.01.2022;21:00;22:00;719;719
04.01.2022;22:00;23:00;719;724
04.01.2022;23:00;00:00;717;726
05.01.2022;00:00;01:00;539;540
05.01.2022;01:00;02:00;352;360
05.01.2022;02:00;03:00;374;418
05.01.2022;03:00;04:00;395;457
05.01.2022;04:00;05:00;450;526
05.01.2022;05:00;06:00;299;367
05.01.2022;06:00;07:00;308;392
05.01.2022;07:00;08:00;496;515
05.01.2022;08:00;09:00;337;507
05.01.2022;09:00;10:00;0;575
05.01.2022;10:00;11:00;0;586
05.01.2022;11:00;12:00;104;652
05.01.2022;12:00;13:00;338;487
05.01.2022;13:00;14:00;394;441
05.01.2022;14:00;15:00;484;462
05.01.2022;15:00;16:00;590;563
05.01.2022;16:00;17:00;598;595
05.01.2022;17:00;18:00;609;598
05.01.2022;18:00;19:00;603;599
05.01.2022;19:00;20:00;586;587
05.01.2022;20:00;21:00;454;467
05.01.2022;21:00;22:00;431;457
05.01.2022;22:00;23:00;532;543
05.01.2022;23:00;00:00;489;511
06.01.2022;00:00;01:00;565;586
06.01.2022;01:00;02:00;707;717
06.01.2022;02:00;03:00;708;721
06.01.2022;03:00;04:00;706;725
06.01.2022;04:00;05:00;702;726
06.01.2022;05:00;06:00;684;718
06.01.2022;06:00;07:00;701;718
06.01.2022;07:00;08:00;700;720
06.01.2022;08:00;09:00;694;684
06.01.2022;09:00;10:00;705;707
06.01.2022;10:00;11:00;728;716
06.01.2022;11:00;12:00;713;711
06.01.2022;12:00;13:00;717;632
06.01.2022;13:00;14:00;693;636
06.01.2022;14:00;15:00;689;637
06.01.2022;15:00;16:00;692;636
06.01.2022;16:00;17:00;589;621
06.01.2022;17:00;18:00;663;691
06.01.2022;18:00;19:00;675;704
06.01.2022;19:00;20:00;685;720
06.01.2022;20:00;21:00;680;714
06.01.2022;21:00;22:00;699;721
06.01.2022;22:00;23:00;680;718
06.01.2022;23:00;00:00;684;718
07.01.2022;00:00;01:00;659;703
07.01.2022;01:00;02:00;686;727
07.01.2022;02:00;03:00;672;708
07.01.2022;03:00;04:00;601;685
07.01.2022;04:00;05:00;662;710
07.01.2022;05:00;06:00;701;726
07.01.2022;06:00;07:00;672;701
07.01.2022;07:00;08:00;664;697
07.01.2022;08:00;09:00;664;687
07.01.2022;09:00;10:00;696;686
07.01.2022;10:00;11:00;667;688
07.01.2022;11:00;12:00;698;718
07.01.2022;12:00;13:00;707;725
07.01.2022;13:00;14:00;709;730
07.01.2022;14:00;15:00;705;733
07.01.2022;15:00;16:00;707;732
07.01.2022;16:00;17:00;715;736
07.01.2022;17:00;18:00;706;731
07.01.2022;18:00;19:00;701;724
07.01.2022;19:00;20:00;704;729
07.01.2022;20:00;21:00;693;734
07.01.2022;21:00;22:00;707;722
07.01.2022;22:00;23:00;696;731
07.01.2022;23:00;00:00;708;731
08.01.2022;00:00;01:00;705;712
08.01.2022;01:00;02:00;703;717
08.01.2022;02:00;03:00;700;712
08.01.2022;03:00;04:00;685;704
08.01.2022;04:00;05:00;687;714
08.01.2022;05:00;06:00;706;708
08.01.2022;06:00;07:00;721;719
08.01.2022;07:00;08:00;721;727
08.01.2022;08:00;09:00;705;704
08.01.2022;09:00;10:00;714;728
08.01.2022;10:00;11:00;705;731
08.01.2022;11:00;12:00;708;731
08.01.2022;12:00;13:00;720;719
08.01.2022;13:00;14:00;728;717
08.01.2022;14:00;15:00;723;731
08.01.2022;15:00;16:00;728;738
08.01.2022;16:00;17:00;728;734
08.01.2022;17:00;18:00;732;741
08.01.2022;18:00;19:00;732;738
08.01.2022;19:00;20:00;686;698
08.01.2022;20:00;21:00;513;525
08.01.2022;21:00;22:00;460;456
08.01.2022;22:00;23:00;558;577
08.01.2022;23:00;00:00;591;601
09.01.2022;00:00;01:00;470;462
09.01.2022;01:00;02:00;523;541
09.01.2022;02:00;03:00;404;464
09.01.2022;03:00;04:00;382;482
09.01.2022;04:00;05:00;375;519
09.01.2022;05:00;06:00;359;497
09.01.2022;06:00;07:00;334;488
09.01.2022;07:00;08:00;355;472
09.01.2022;08:00;09:00;475;458
09.01.2022;09:00;10:00;611;606
09.01.2022;10:00;11:00;694;701
09.01.2022;11:00;12:00;710;741
09.01.2022;12:00;13:00;687;693
09.01.2022;13:00;14:00;722;747
09.01.2022;14:00;15:00;725;759
09.01.2022;15:00;16:00;736;749
09.01.2022;16:00;17:00;734;739
09.01.2022;17:00;18:00;734;746
09.01.2022;18:00;19:00;733;753
09.01.2022;19:00;20:00;731;752
09.01.2022;20:00;21:00;735;750
09.01.2022;21:00;22:00;733;747
09.01.2022;22:00;23:00;700;705
09.01.2022;23:00;00:00;645;643
10.01.2022;00:00;01:00;732;737
10.01.2022;01:00;02:00;736;742
10.01.2022;02:00;03:00;738;736
10.01.2022;03:00;04:00;736;738
10.01.2022;04:00;05:00;736;737
10.01.2022;05:00;06:00;739;738
10.01.2022;06:00;07:00;704;733
10.01.2022;07:00;08:00;692;730
10.01.2022;08:00;09:00;697;741
10.01.2022;09:00;10:00;697;741
10.01.2022;10:00;11:00;711;736
10.01.2022;11:00;12:00;695;735
10.01.2022;12:00;13:00;687;743
10.01.2022;13:00;14:00;696;741
10.01.2022;14:00;15:00;692;743
10.01.2022;15:00;16:00;697;733
10.01.2022;16:00;17:00;696;738
10.01.2022;17:00;18:00;697;733
10.01.2022;18:00;19:00;689;738
10.01.2022;19:00;20:00;693;742
10.01.2022;20:00;21:00;692;739
10.01.2022;21:00;22:00;690;733
10.01.2022;22:00;23:00;706;735
10.01.2022;23:00;00:00;702;738
11.01.2022;00:00;01:00;704;733
11.01.2022;01:00;02:00;704;736
11.01.2022;02:00;03:00;706;737
11.01.2022;03:00;04:00;692;734
11.01.2022;04:00;05:00;708;737
11.01.2022;05:00;06:00;706;737
11.01.2022;06:00;07:00;725;733
