Datum;Anfang;Ende;Generation_DE Trianel Gaskraftwerk Hamm Block 10 [MW] Originalauflösungen;Generation_DE Trianel Gaskraftwerk Hamm Block 20 [MW] Originalauflösungen
01.01.2017;00:00;01:00;0;0
01.01.2017;01:00;02:00;0;0
01.01.2017;02:00;03:00;0;0
01.01.2017;03:00;04:00;0;0
01.01.2017;04:00;05:00;0;0
01.01.2017;05:00;06:00;0;0
01.01.2017;06:00;07:00;0;0
01.01.2017;07:00;08:00;0;0
01.01.2017;08:00;09:00;0;0
01.01.2017;09:00;10:00;0;0
01.01.2017;10:00;11:00;0;0
01.01.2017;11:00;12:00;0;0
01.01.2017;12:00;13:00;0;0
01.01.2017;13:00;14:00;0;0
01.01.2017;14:00;15:00;0;0
01.01.2017;15:00;16:00;0;0
01.01.2017;16:00;17:00;0;0
01.01.2017;17:00;18:00;0;0
01.01.2017;18:00;19:00;0;0
01.01.2017;19:00;20:00;0;0
01.01.2017;20:00;21:00;0;0
01.01.2017;21:00;22:00;0;0
01.01.2017;22:00;23:00;0;0
01.01.2017;23:00;00:00;0;0
02.01.2017;00:00;01:00;0;0
02.01.2017;01:00;02:00;0;0
02.01.2017;02:00;03:00;0;0
02.01.2017;03:00;04:00;0;0
02.01.2017;04:00;05:00;0;0
02.01.2017;05:00;06:00;0;0
02.01.2017;06:00;07:00;0;57
02.01.2017;07:00;08:00;0;96
02.01.2017;08:00;09:00;0;97
02.01.2017;09:00;10:00;0;149
02.01.2017;10:00;11:00;0;400
02.01.2017;11:00;12:00;0;410
02.01.2017;12:00;13:00;0;410
02.01.2017;13:00;14:00;0;415
02.01.2017;14:00;15:00;0;420
02.01.2017;15:00;16:00;0;420
02.01.2017;16:00;17:00;0;420
02.01.2017;17:00;18:00;0;420
02.01.2017;18:00;19:00;0;420
02.01.2017;19:00;20:00;0;420
02.01.2017;20:00;21:00;0;420
02.01.2017;21:00;22:00;0;191
02.01.2017;22:00;23:00;0;0
02.01.2017;23:00;00:00;0;0
03.01.2017;00:00;01:00;0;0
03.01.2017;01:00;02:00;0;0
03.01.2017;02:00;03:00;0;0
03.01.2017;03:00;04:00;0;0
03.01.2017;04:00;05:00;0;0
03.01.2017;05:00;06:00;0;0
03.01.2017;06:00;07:00;0;0
03.01.2017;07:00;08:00;0;0
03.01.2017;08:00;09:00;0;0
03.01.2017;09:00;10:00;0;0
03.01.2017;10:00;11:00;0;0
03.01.2017;11:00;12:00;0;0
03.01.2017;12:00;13:00;0;0
03.01.2017;13:00;14:00;0;0
03.01.2017;14:00;15:00;0;0
03.01.2017;15:00;16:00;0;0
03.01.2017;16:00;17:00;0;0
03.01.2017;17:00;18:00;0;0
03.01.2017;18:00;19:00;0;0
03.01.2017;19:00;20:00;0;0
03.01.2017;20:00;21:00;0;0
03.01.2017;21:00;22:00;0;0
03.01.2017;22:00;23:00;0;0
03.01.2017;23:00;00:00;0;0
04.01.2017;00:00;01:00;0;0
04.01.2017;01:00;02:00;0;0
04.01.2017;02:00;03:00;0;0
04.01.2017;03:00;04:00;0;0
04.01.2017;04:00;05:00;0;0
04.01.2017;05:00;06:00;0;0
04.01.2017;06:00;07:00;0;0
04.01.2017;07:00;08:00;0;0
04.01.2017;08:00;09:00;0;0
04.01.2017;09:00;10:00;0;0
04.01.2017;10:00;11:00;0;0
04.01.2017;11:00;12:00;0;0
04.01.2017;12:00;13:00;0;0
04.01.2017;13:00;14:00;0;0
04.01.2017;14:00;15:00;0;0
04.01.2017;15:00;16:00;0;0
04.01.2017;16:00;17:00;0;0
04.01.2017;17:00;18:00;0;0
04.01.2017;18:00;19:00;0;0
04.01.2017;19:00;20:00;0;0
04.01.2017;20:00;21:00;0;0
04.01.2017;21:00;22:00;0;0
04.01.2017;22:00;23:00;0;0
04.01.2017;23:00;00:00;0;0
05.01.2017;00:00;01:00;0;0
05.01.2017;01:00;02:00;0;0
05.01.2017;02:00;03:00;0;0
05.01.2017;03:00;04:00;0;0
05.01.2017;04:00;05:00;0;61
05.01.2017;05:00;06:00;0;99
05.01.2017;06:00;07:00;0;329
05.01.2017;07:00;08:00;0;417
05.01.2017;08:00;09:00;0;420
05.01.2017;09:00;10:00;0;421
05.01.2017;10:00;11:00;0;421
05.01.2017;11:00;12:00;0;421
05.01.2017;12:00;13:00;0;421
05.01.2017;13:00;14:00;0;421
05.01.2017;14:00;15:00;0;421
05.01.2017;15:00;16:00;0;421
05.01.2017;16:00;17:00;0;421
05.01.2017;17:00;18:00;0;421
05.01.2017;18:00;19:00;0;416
05.01.2017;19:00;20:00;0;421
05.01.2017;20:00;21:00;0;421
05.01.2017;21:00;22:00;0;422
05.01.2017;22:00;23:00;0;422
05.01.2017;23:00;00:00;0;264
06.01.2017;00:00;01:00;0;404
06.01.2017;01:00;02:00;0;411
06.01.2017;02:00;03:00;0;411
06.01.2017;03:00;04:00;0;410
06.01.2017;04:00;05:00;0;410
06.01.2017;05:00;06:00;0;409
06.01.2017;06:00;07:00;0;409
06.01.2017;07:00;08:00;0;419
06.01.2017;08:00;09:00;0;421
06.01.2017;09:00;10:00;0;421
06.01.2017;10:00;11:00;0;422
06.01.2017;11:00;12:00;0;422
06.01.2017;12:00;13:00;0;411
06.01.2017;13:00;14:00;0;405
06.01.2017;14:00;15:00;0;421
06.01.2017;15:00;16:00;0;421
06.01.2017;16:00;17:00;0;421
06.01.2017;17:00;18:00;0;422
06.01.2017;18:00;19:00;0;414
06.01.2017;19:00;20:00;0;414
06.01.2017;20:00;21:00;0;414
06.01.2017;21:00;22:00;0;197
06.01.2017;22:00;23:00;0;0
06.01.2017;23:00;00:00;0;0
07.01.2017;00:00;01:00;0;0
07.01.2017;01:00;02:00;0;0
07.01.2017;02:00;03:00;0;0
07.01.2017;03:00;04:00;0;0
07.01.2017;04:00;05:00;0;0
07.01.2017;05:00;06:00;0;0
07.01.2017;06:00;07:00;0;0
07.01.2017;07:00;08:00;0;0
07.01.2017;08:00;09:00;0;0
07.01.2017;09:00;10:00;0;0
07.01.2017;10:00;11:00;0;0
07.01.2017;11:00;12:00;0;0
07.01.2017;12:00;13:00;0;0
07.01.2017;13:00;14:00;0;0
07.01.2017;14:00;15:00;0;0
07.01.2017;15:00;16:00;0;0
07.01.2017;16:00;17:00;0;0
07.01.2017;17:00;18:00;0;0
07.01.2017;18:00;19:00;0;0
07.01.2017;19:00;20:00;0;0
07.01.2017;20:00;21:00;0;0
07.01.2017;21:00;22:00;0;0
07.01.2017;22:00;23:00;0;0
07.01.2017;23:00;00:00;0;0
08.01.2017;00:00;01:00;0;0
08.01.2017;01:00;02:00;0;0
08.01.2017;02:00;03:00;0;0
08.01.2017;03:00;04:00;0;0
08.01.2017;04:00;05:00;0;0
08.01.2017;05:00;06:00;0;0
08.01.2017;06:00;07:00;0;0
08.01.2017;07:00;08:00;0;0
08.01.2017;08:00;09:00;0;0
08.01.2017;09:00;10:00;0;0
08.01.2017;10:00;11:00;0;0
08.01.2017;11:00;12:00;0;0
08.01.2017;12:00;13:00;0;0
08.01.2017;13:00;14:00;0;0
08.01.2017;14:00;15:00;0;63
08.01.2017;15:00;16:00;0;200
08.01.2017;16:00;17:00;0;414
08.01.2017;17:00;18:00;0;419
08.01.2017;18:00;19:00;0;419
08.01.2017;19:00;20:00;0;419
08.01.2017;20:00;21:00;0;421
08.01.2017;21:00;22:00;0;421
08.01.2017;22:00;23:00;0;196
08.01.2017;23:00;00:00;0;0
09.01.2017;00:00;01:00;0;0
09.01.2017;01:00;02:00;0;0
09.01.2017;02:00;03:00;0;0
09.01.2017;03:00;04:00;0;0
09.01.2017;04:00;05:00;0;0
09.01.2017;05:00;06:00;0;0
09.01.2017;06:00;07:00;50;123
09.01.2017;07:00;08:00;98;404
09.01.2017;08:00;09:00;99;420
09.01.2017;09:00;10:00;99;421
09.01.2017;10:00;11:00;203;422
09.01.2017;11:00;12:00;407;424
09.01.2017;12:00;13:00;418;424
09.01.2017;13:00;14:00;419;424
09.01.2017;14:00;15:00;418;424
09.01.2017;15:00;16:00;418;424
09.01.2017;16:00;17:00;420;423
09.01.2017;17:00;18:00;373;375
09.01.2017;18:00;19:00;372;374
09.01.2017;19:00;20:00;324;326
09.01.2017;20:00;21:00;323;323
09.01.2017;21:00;22:00;139;138
09.01.2017;22:00;23:00;0;0
09.01.2017;23:00;00:00;0;0
10.01.2017;00:00;01:00;0;0
10.01.2017;01:00;02:00;0;0
10.01.2017;02:00;03:00;0;0
10.01.2017;03:00;04:00;0;0
10.01.2017;04:00;05:00;0;0
10.01.2017;05:00;06:00;0;121
10.01.2017;06:00;07:00;66;399
10.01.2017;07:00;08:00;351;414
10.01.2017;08:00;09:00;411;416
10.01.2017;09:00;10:00;411;417
10.01.2017;10:00;11:00;411;415
10.01.2017;11:00;12:00;411;415
10.01.2017;12:00;13:00;411;416
10.01.2017;13:00;14:00;411;416
10.01.2017;14:00;15:00;411;416
10.01.2017;15:00;16:00;415;413
10.01.2017;16:00;17:00;409;419
10.01.2017;17:00;18:00;411;417
10.01.2017;18:00;19:00;411;416
10.01.2017;19:00;20:00;411;416
10.01.2017;20:00;21:00;411;416
10.01.2017;21:00;22:00;412;417
10.01.2017;22:00;23:00;202;202
10.01.2017;23:00;00:00;0;0
11.01.2017;00:00;01:00;0;0
11.01.2017;01:00;02:00;0;0
11.01.2017;02:00;03:00;0;0
11.01.2017;03:00;04:00;0;0
11.01.2017;04:00;05:00;0;0
11.01.2017;05:00;06:00;0;0
11.01.2017;06:00;07:00;0;0
11.01.2017;07:00;08:00;0;0
11.01.2017;08:00;09:00;0;0
11.01.2017;09:00;10:00;0;0
11.01.2017;10:00;11:00;0;0
11.01.2017;11:00;12:00;0;0
11.01.2017;12:00;13:00;0;0
11.01.2017;13:00;14:00;0;0
11.01.2017;14:00;15:00;0;0
11.01.2017;15:00;16:00;0;0
11.01.2017;16:00;17:00;0;0
11.01.2017;17:00;18:00;0;0
11.01.2017;18:00;19:00;0;0
11.01.2017;19:00;20:00;0;0
11.01.2017;20:00;21:00;0;0
11.01.2017;21:00;22:00;0;0
11.01.2017;22:00;23:00;0;0
11.01.2017;23:00;00:00;0;0
12.01.2017;00:00;01:00;0;0
12.01.2017;01:00;02:00;0;0
12.01.2017;02:00;03:00;0;0
12.01.2017;03:00;04:00;0;0
12.01.2017;04:00;05:00;0;0
12.01.2017;05:00;06:00;0;0
12.01.2017;06:00;07:00;0;0
12.01.2017;07:00;08:00;0;0
12.01.2017;08:00;09:00;0;0
12.01.2017;09:00;10:00;0;0
12.01.2017;10:00;11:00;0;0
12.01.2017;11:00;12:00;0;0
12.01.2017;12:00;13:00;0;0
12.01.2017;13:00;14:00;0;0
12.01.2017;14:00;15:00;0;0
12.01.2017;15:00;16:00;0;0
12.01.2017;16:00;17:00;0;0
12.01.2017;17:00;18:00;0;0
12.01.2017;18:00;19:00;0;0
12.01.2017;19:00;20:00;0;0
12.01.2017;20:00;21:00;0;0
12.01.2017;21:00;22:00;0;0
12.01.2017;22:00;23:00;0;0
12.01.2017;23:00;00:00;0;0
13.01.2017;00:00;01:00;0;0
13.01.2017;01:00;02:00;0;0
13.01.2017;02:00;03:00;0;0
13.01.2017;03:00;04:00;0;0
13.01.2017;04:00;05:00;0;0
13.01.2017;05:00;06:00;0;0
13.01.2017;06:00;07:00;0;0
13.01.2017;07:00;08:00;0;0
13.01.2017;08:00;09:00;0;0
13.01.2017;09:00;10:00;0;0
13.01.2017;10:00;11:00;0;0
13.01.2017;11:00;12:00;0;0
13.01.2017;12:00;13:00;0;0
13.01.2017;13:00;14:00;0;0
13.01.2017;14:00;15:00;0;0
13.01.2017;15:00;16:00;0;0
13.01.2017;16:00;17:00;0;0
13.01.2017;17:00;18:00;0;0
13.01.2017;18:00;19:00;0;0
13.01.2017;19:00;20:00;0;0
13.01.2017;20:00;21:00;0;0
13.01.2017;21:00;22:00;0;0
13.01.2017;22:00;23:00;0;0
13.01.2017;23:00;00:00;0;0
14.01.2017;00:00;01:00;0;0
14.01.2017;01:00;02:00;0;0
14.01.2017;02:00;03:00;0;0
14.01.2017;03:00;04:00;0;0
14.01.2017;04:00;05:00;0;0
14.01.2017;05:00;06:00;0;0
14.01.2017;06:00;07:00;0;0
14.01.2017;07:00;08:00;0;0
14.01.2017;08:00;09:00;0;0
14.01.2017;09:00;10:00;0;0
14.01.2017;10:00;11:00;0;0
14.01.2017;11:00;12:00;0;0
14.01.2017;12:00;13:00;0;0
14.01.2017;13:00;14:00;0;0
14.01.2017;14:00;15:00;0;0
14.01.2017;15:00;16:00;0;0
14.01.2017;16:00;17:00;0;0
14.01.2017;17:00;18:00;0;0
14.01.2017;18:00;19:00;0;0
14.01.2017;19:00;20:00;0;0
14.01.2017;20:00;21:00;0;0
14.01.2017;21:00;22:00;0;0
14.01.2017;22:00;23:00;0;0
14.01.2017;23:00;00:00;0;0
15.01.2017;00:00;01:00;0;0
15.01.2017;01:00;02:00;0;0
15.01.2017;02:00;03:00;0;0
15.01.2017;03:00;04:00;0;0
15.01.2017;04:00;05:00;0;0
15.01.2017;05:00;06:00;0;0
15.01.2017;06:00;07:00;0;0
15.01.2017;07:00;08:00;0;0
15.01.2017;08:00;09:00;0;0
15.01.2017;09:00;10:00;0;0
15.01.2017;10:00;11:00;0;0
15.01.2017;11:00;12:00;0;0
15.01.2017;12:00;13:00;0;0
15.01.2017;13:00;14:00;0;0
15.01.2017;14:00;15:00;0;0
15.01.2017;15:00;16:00;0;0
15.01.2017;16:00;17:00;0;0
15.01.2017;17:00;18:00;0;0
15.01.2017;18:00;19:00;0;0
15.01.2017;19:00;20:00;0;0
15.01.2017;20:00;21:00;0;0
15.01.2017;21:00;22:00;0;0
15.01.2017;22:00;23:00;0;0
15.01.2017;23:00;00:00;0;0
16.01.2017;00:00;01:00;0;0
16.01.2017;01:00;02:00;0;0
16.01.2017;02:00;03:00;29;61
16.01.2017;03:00;04:00;96;96
