Datum;Anfang;Ende;Generation_DE Trianel Gaskraftwerk Hamm Block 10 [MW] Originalauflösungen;Generation_DE Trianel Gaskraftwerk Hamm Block 20 [MW] Originalauflösungen
01.01.2022;00:00;01:00;0;0
01.01.2022;01:00;02:00;0;0
01.01.2022;02:00;03:00;0;0
01.01.2022;03:00;04:00;0;0
01.01.2022;04:00;05:00;0;0
01.01.2022;05:00;06:00;0;0
01.01.2022;06:00;07:00;0;0
01.01.2022;07:00;08:00;0;0
01.01.2022;08:00;09:00;0;0
01.01.2022;09:00;10:00;0;0
01.01.2022;10:00;11:00;0;0
01.01.2022;11:00;12:00;0;0
01.01.2022;12:00;13:00;0;0
01.01.2022;13:00;14:00;0;0
01.01.2022;14:00;15:00;0;0
01.01.2022;15:00;16:00;0;0
01.01.2022;16:00;17:00;0;0
01.01.2022;17:00;18:00;0;0
01.01.2022;18:00;19:00;0;0
01.01.2022;19:00;20:00;0;0
01.01.2022;20:00;21:00;0;0
01.01.2022;21:00;22:00;0;0
01.01.2022;22:00;23:00;0;0
01.01.2022;23:00;00:00;0;0
02.01.2022;00:00;01:00;0;0
02.01.2022;01:00;02:00;0;0
02.01.2022;02:00;03:00;0;0
02.01.2022;03:00;04:00;0;0
02.01.2022;04:00;05:00;0;0
02.01.2022;05:00;06:00;0;0
02.01.2022;06:00;07:00;0;0
02.01.2022;07:00;08:00;0;0
02.01.2022;08:00;09:00;0;0
02.01.2022;09:00;10:00;0;0
02.01.2022;10:00;11:00;0;0
02.01.2022;11:00;12:00;0;0
02.01.2022;12:00;13:00;0;0
02.01.2022;13:00;14:00;0;0
02.01.2022;14:00;15:00;0;0
02.01.2022;15:00;16:00;0;0
02.01.2022;16:00;17:00;0;0
02.01.2022;17:00;18:00;0;0
02.01.2022;18:00;19:00;0;0
02.01.2022;19:00;20:00;0;0
02.01.2022;20:00;21:00;0;0
02.01.2022;21:00;22:00;0;0
02.01.2022;22:00;23:00;0;0
02.01.2022;23:00;00:00;0;0
03.01.2022;00:00;01:00;0;0
03.01.2022;01:00;02:00;0;0
03.01.2022;02:00;03:00;0;0
03.01.2022;03:00;04:00;0;0
03.01.2022;04:00;05:00;0;0
03.01.2022;05:00;06:00;0;0
03.01.2022;06:00;07:00;0;0
03.01.2022;07:00;08:00;0;0
03.01.2022;08:00;09:00;0;0
03.01.2022;09:00;10:00;0;0
03.01.2022;10:00;11:00;0;0
03.01.2022;11:00;12:00;0;0
03.01.2022;12:00;13:00;0;0
03.01.2022;13:00;14:00;0;0
03.01.2022;14:00;15:00;0;0
03.01.2022;15:00;16:00;0;0
03.01.2022;16:00;17:00;0;0
03.01.2022;17:00;18:00;0;0
03.01.2022;18:00;19:00;0;0
03.01.2022;19:00;20:00;0;0
03.01.2022;20:00;21:00;0;0
03.01.2022;21:00;22:00;0;0
03.01.2022;22:00;23:00;0;0
03.01.2022;23:00;00:00;0;0
04.01.2022;00:00;01:00;0;0
04.01.2022;01:00;02:00;0;0
04.01.2022;02:00;03:00;0;0
04.01.2022;03:00;04:00;0;0
04.01.2022;04:00;05:00;0;0
04.01.2022;05:00;06:00;0;0
04.01.2022;06:00;07:00;0;0
04.01.2022;07:00;08:00;0;0
04.01.2022;08:00;09:00;0;0
04.01.2022;09:00;10:00;0;0
04.01.2022;10:00;11:00;0;0
04.01.2022;11:00;12:00;0;0
04.01.2022;12:00;13:00;0;0
04.01.2022;13:00;14:00;0;0
04.01.2022;14:00;15:00;0;0
04.01.2022;15:00;16:00;0;0
04.01.2022;16:00;17:00;0;0
04.01.2022;17:00;18:00;0;0
04.01.2022;18:00;19:00;0;0
04.01.2022;19:00;20:00;0;0
04.01.2022;20:00;21:00;0;0
04.01.2022;21:00;22:00;0;0
04.01.2022;22:00;23:00;0;0
04.01.2022;23:00;00:00;0;0
05.01.2022;00:00;01:00;0;0
05.01.2022;01:00;02:00;0;0
05.01.2022;02:00;03:00;0;0
05.01.2022;03:00;04:00;0;0
05.01.2022;04:00;05:00;0;0
05.01.2022;05:00;06:00;0;0
05.01.2022;06:00;07:00;0;0
05.01.2022;07:00;08:00;0;0
05.01.2022;08:00;09:00;0;0
05.01.2022;09:00;10:00;0;0
05.01.2022;10:00;11:00;0;0
05.01.2022;11:00;12:00;0;0
05.01.2022;12:00;13:00;0;0
05.01.2022;13:00;14:00;0;0
05.01.2022;14:00;15:00;0;0
05.01.2022;15:00;16:00;0;0
05.01.2022;16:00;17:00;0;0
05.01.2022;17:00;18:00;0;0
05.01.2022;18:00;19:00;0;0
05.01.2022;19:00;20:00;0;0
05.01.2022;20:00;21:00;0;0
05.01.2022;21:00;22:00;0;0
05.01.2022;22:00;23:00;0;0
05.01.2022;23:00;00:00;0;0
06.01.2022;00:00;01:00;0;0
06.01.2022;01:00;02:00;0;0
06.01.2022;02:00;03:00;0;0
06.01.2022;03:00;04:00;0;0
06.01.2022;04:00;05:00;0;0
06.01.2022;05:00;06:00;74;0
06.01.2022;06:00;07:00;93;0
06.01.2022;07:00;08:00;125;0
06.01.2022;08:00;09:00;361;0
06.01.2022;09:00;10:00;397;0
06.01.2022;10:00;11:00;400;0
06.01.2022;11:00;12:00;374;0
06.01.2022;12:00;13:00;241;0
06.01.2022;13:00;14:00;85;0
06.01.2022;14:00;15:00;0;0
06.01.2022;15:00;16:00;0;0
06.01.2022;16:00;17:00;0;0
06.01.2022;17:00;18:00;0;0
06.01.2022;18:00;19:00;28;0
06.01.2022;19:00;20:00;240;0
06.01.2022;20:00;21:00;349;0
06.01.2022;21:00;22:00;240;0
06.01.2022;22:00;23:00;29;0
06.01.2022;23:00;00:00;0;0
07.01.2022;00:00;01:00;0;0
07.01.2022;01:00;02:00;0;0
07.01.2022;02:00;03:00;0;0
07.01.2022;03:00;04:00;0;0
07.01.2022;04:00;05:00;0;0
07.01.2022;05:00;06:00;0;0
07.01.2022;06:00;07:00;0;0
07.01.2022;07:00;08:00;0;0
07.01.2022;08:00;09:00;0;0
07.01.2022;09:00;10:00;0;0
07.01.2022;10:00;11:00;0;0
07.01.2022;11:00;12:00;0;0
07.01.2022;12:00;13:00;0;0
07.01.2022;13:00;14:00;0;0
