Datum;Anfang;Ende;Generation_DE Fenne MKV [MW] Originalauflösungen;Generation_DE Fenne HKV [MW] Originalauflösungen
01.01.2019;00:00;01:00;0;21
01.01.2019;01:00;02:00;0;20
01.01.2019;02:00;03:00;0;21
01.01.2019;03:00;04:00;0;20
01.01.2019;04:00;05:00;0;22
01.01.2019;05:00;06:00;0;27
01.01.2019;06:00;07:00;0;29
01.01.2019;07:00;08:00;0;29
01.01.2019;08:00;09:00;0;29
01.01.2019;09:00;10:00;0;28
01.01.2019;10:00;11:00;0;29
01.01.2019;11:00;12:00;0;28
01.01.2019;12:00;13:00;0;29
01.01.2019;13:00;14:00;0;28
01.01.2019;14:00;15:00;0;27
01.01.2019;15:00;16:00;0;33
01.01.2019;16:00;17:00;0;40
01.01.2019;17:00;18:00;0;40
01.01.2019;18:00;19:00;0;40
01.01.2019;19:00;20:00;0;40
01.01.2019;20:00;21:00;0;40
01.01.2019;21:00;22:00;0;40
01.01.2019;22:00;23:00;0;40
01.01.2019;23:00;00:00;0;30
02.01.2019;00:00;01:00;0;40
02.01.2019;01:00;02:00;0;40
02.01.2019;02:00;03:00;0;40
02.01.2019;03:00;04:00;0;40
02.01.2019;04:00;05:00;0;43
02.01.2019;05:00;06:00;0;52
02.01.2019;06:00;07:00;0;60
02.01.2019;07:00;08:00;0;59
02.01.2019;08:00;09:00;0;64
02.01.2019;09:00;10:00;0;67
02.01.2019;10:00;11:00;0;65
02.01.2019;11:00;12:00;0;66
02.01.2019;12:00;13:00;0;68
02.01.2019;13:00;14:00;0;65
02.01.2019;14:00;15:00;0;65
02.01.2019;15:00;16:00;0;69
02.01.2019;16:00;17:00;0;69
02.01.2019;17:00;18:00;0;70
02.01.2019;18:00;19:00;0;70
02.01.2019;19:00;20:00;0;69
02.01.2019;20:00;21:00;0;69
02.01.2019;21:00;22:00;0;60
02.01.2019;22:00;23:00;0;55
02.01.2019;23:00;00:00;0;39
03.01.2019;00:00;01:00;0;51
03.01.2019;01:00;02:00;0;48
03.01.2019;02:00;03:00;0;47
03.01.2019;03:00;04:00;0;47
03.01.2019;04:00;05:00;0;52
03.01.2019;05:00;06:00;0;60
03.01.2019;06:00;07:00;0;96
03.01.2019;07:00;08:00;0;153
03.01.2019;08:00;09:00;0;135
03.01.2019;09:00;10:00;0;152
03.01.2019;10:00;11:00;0;166
03.01.2019;11:00;12:00;0;168
03.01.2019;12:00;13:00;0;167
03.01.2019;13:00;14:00;0;169
03.01.2019;14:00;15:00;0;174
03.01.2019;15:00;16:00;0;171
03.01.2019;16:00;17:00;0;170
03.01.2019;17:00;18:00;0;170
03.01.2019;18:00;19:00;0;170
03.01.2019;19:00;20:00;0;171
03.01.2019;20:00;21:00;0;170
03.01.2019;21:00;22:00;0;165
03.01.2019;22:00;23:00;0;141
03.01.2019;23:00;00:00;0;79
04.01.2019;00:00;01:00;0;42
04.01.2019;01:00;02:00;0;37
04.01.2019;02:00;03:00;0;37
04.01.2019;03:00;04:00;0;39
04.01.2019;04:00;05:00;0;44
04.01.2019;05:00;06:00;0;80
04.01.2019;06:00;07:00;0;152
04.01.2019;07:00;08:00;0;160
04.01.2019;08:00;09:00;0;112
04.01.2019;09:00;10:00;0;91
04.01.2019;10:00;11:00;0;117
04.01.2019;11:00;12:00;0;96
04.01.2019;12:00;13:00;0;61
04.01.2019;13:00;14:00;0;60
04.01.2019;14:00;15:00;0;71
04.01.2019;15:00;16:00;0;57
04.01.2019;16:00;17:00;0;74
04.01.2019;17:00;18:00;0;110
04.01.2019;18:00;19:00;0;74
04.01.2019;19:00;20:00;0;50
04.01.2019;20:00;21:00;0;65
04.01.2019;21:00;22:00;0;55
04.01.2019;22:00;23:00;0;48
04.01.2019;23:00;00:00;0;51
05.01.2019;00:00;01:00;0;50
05.01.2019;01:00;02:00;0;51
05.01.2019;02:00;03:00;0;51
05.01.2019;03:00;04:00;0;51
05.01.2019;04:00;05:00;0;51
05.01.2019;05:00;06:00;0;50
05.01.2019;06:00;07:00;0;51
05.01.2019;07:00;08:00;0;52
05.01.2019;08:00;09:00;0;58
05.01.2019;09:00;10:00;0;57
05.01.2019;10:00;11:00;0;66
05.01.2019;11:00;12:00;0;87
05.01.2019;12:00;13:00;0;99
05.01.2019;13:00;14:00;0;90
05.01.2019;14:00;15:00;0;91
05.01.2019;15:00;16:00;0;135
05.01.2019;16:00;17:00;0;164
05.01.2019;17:00;18:00;0;169
05.01.2019;18:00;19:00;0;124
05.01.2019;19:00;20:00;0;75
05.01.2019;20:00;21:00;0;46
05.01.2019;21:00;22:00;0;27
05.01.2019;22:00;23:00;0;21
05.01.2019;23:00;00:00;0;20
06.01.2019;00:00;01:00;0;20
06.01.2019;01:00;02:00;0;38
06.01.2019;02:00;03:00;0;40
06.01.2019;03:00;04:00;0;49
06.01.2019;04:00;05:00;0;49
06.01.2019;05:00;06:00;0;49
06.01.2019;06:00;07:00;0;51
06.01.2019;07:00;08:00;0;113
06.01.2019;08:00;09:00;0;131
06.01.2019;09:00;10:00;0;131
06.01.2019;10:00;11:00;0;146
06.01.2019;11:00;12:00;0;168
06.01.2019;12:00;13:00;0;168
06.01.2019;13:00;14:00;0;169
06.01.2019;14:00;15:00;0;141
06.01.2019;15:00;16:00;0;168
06.01.2019;16:00;17:00;0;169
06.01.2019;17:00;18:00;0;169
06.01.2019;18:00;19:00;0;168
06.01.2019;19:00;20:00;0;168
06.01.2019;20:00;21:00;0;123
06.01.2019;21:00;22:00;0;81
06.01.2019;22:00;23:00;0;69
06.01.2019;23:00;00:00;0;52
07.01.2019;00:00;01:00;0;46
07.01.2019;01:00;02:00;6;37
07.01.2019;02:00;03:00;33;37
07.01.2019;03:00;04:00;39;37
07.01.2019;04:00;05:00;49;44
07.01.2019;05:00;06:00;91;81
07.01.2019;06:00;07:00;154;143
07.01.2019;07:00;08:00;169;174
07.01.2019;08:00;09:00;170;173
07.01.2019;09:00;10:00;169;171
