Date;Start;End;Generation_DE Fenne MKV [MW] Original resolutions;Generation_DE Fenne HKV [MW] Original resolutions
01.01.2021;00:00;01:00;76;0
01.01.2021;01:00;02:00;72;0
01.01.2021;02:00;03:00;100;0
01.01.2021;03:00;04:00;74;0
01.01.2021;04:00;05:00;71;0
01.01.2021;05:00;06:00;80;0
01.01.2021;06:00;07:00;90;0
01.01.2021;07:00;08:00;87;0
01.01.2021;08:00;09:00;74;0
01.01.2021;09:00;10:00;74;0
01.01.2021;10:00;11:00;74;0
01.01.2021;11:00;12:00;74;0
01.01.2021;12:00;13:00;69;0
01.01.2021;13:00;14:00;79;0
01.01.2021;14:00;15:00;63;0
01.01.2021;15:00;16:00;71;0
01.01.2021;16:00;17:00;108;0
01.01.2021;17:00;18:00;149;0
01.01.2021;18:00;19:00;127;0
01.01.2021;19:00;20:00;117;0
01.01.2021;20:00;21:00;70;0
01.01.2021;21:00;22:00;72;0
01.01.2021;22:00;23:00;91;0
01.01.2021;23:00;00:00;60;0
02.01.2021;00:00;01:00;59;0
02.01.2021;01:00;02:00;59;0
02.01.2021;02:00;03:00;65;0
02.01.2021;03:00;04:00;70;0
02.01.2021;04:00;05:00;73;0
02.01.2021;05:00;06:00;72;0
02.01.2021;06:00;07:00;75;0
02.01.2021;07:00;08:00;97;0
02.01.2021;08:00;09:00;76;0
02.01.2021;09:00;10:00;81;0
02.01.2021;10:00;11:00;108;0
02.01.2021;11:00;12:00;75;0
02.01.2021;12:00;13:00;74;0
02.01.2021;13:00;14:00;80;0
02.01.2021;14:00;15:00;90;0
02.01.2021;15:00;16:00;73;0
02.01.2021;16:00;17:00;70;0
02.01.2021;17:00;18:00;73;0
02.01.2021;18:00;19:00;111;0
02.01.2021;19:00;20:00;66;0
02.01.2021;20:00;21:00;70;0
02.01.2021;21:00;22:00;62;0
02.01.2021;22:00;23:00;61;0
02.01.2021;23:00;00:00;92;0
03.01.2021;00:00;01:00;144;0
03.01.2021;01:00;02:00;144;0
03.01.2021;02:00;03:00;143;0
03.01.2021;03:00;04:00;77;0
03.01.2021;04:00;05:00;49;0
03.01.2021;05:00;06:00;87;0
03.01.2021;06:00;07:00;146;0
03.01.2021;07:00;08:00;125;0
03.01.2021;08:00;09:00;147;0
03.01.2021;09:00;10:00;91;0
03.01.2021;10:00;11:00;73;0
03.01.2021;11:00;12:00;106;0
03.01.2021;12:00;13:00;147;0
03.01.2021;13:00;14:00;90;0
03.01.2021;14:00;15:00;62;0
03.01.2021;15:00;16:00;59;0
03.01.2021;16:00;17:00;63;0
03.01.2021;17:00;18:00;96;0
03.01.2021;18:00;19:00;146;0
03.01.2021;19:00;20:00;146;0
03.01.2021;20:00;21:00;144;0
03.01.2021;21:00;22:00;117;0
03.01.2021;22:00;23:00;140;0
03.01.2021;23:00;00:00;94;0
04.01.2021;00:00;01:00;97;0
04.01.2021;01:00;02:00;69;0
04.01.2021;02:00;03:00;42;0
04.01.2021;03:00;04:00;42;0
04.01.2021;04:00;05:00;47;0
04.01.2021;05:00;06:00;59;0
04.01.2021;06:00;07:00;108;0
04.01.2021;07:00;08:00;114;0
04.01.2021;08:00;09:00;142;0
04.01.2021;09:00;10:00;138;0
04.01.2021;10:00;11:00;141;0
04.01.2021;11:00;12:00;141;0
04.01.2021;12:00;13:00;142;0
04.01.2021;13:00;14:00;144;0
04.01.2021;14:00;15:00;143;0
04.01.2021;15:00;16:00;141;0
04.01.2021;16:00;17:00;137;0
04.01.2021;17:00;18:00;139;0
04.01.2021;18:00;19:00;136;0
04.01.2021;19:00;20:00;135;0
04.01.2021;20:00;21:00;136;0
04.01.2021;21:00;22:00;139;0
04.01.2021;22:00;23:00;135;0
04.01.2021;23:00;00:00;139;1
05.01.2021;00:00;01:00;93;43
05.01.2021;01:00;02:00;53;49
05.01.2021;02:00;03:00;53;49
05.01.2021;03:00;04:00;54;49
05.01.2021;04:00;05:00;54;49
05.01.2021;05:00;06:00;58;50
05.01.2021;06:00;07:00;121;87
05.01.2021;07:00;08:00;146;156
05.01.2021;08:00;09:00;147;185
05.01.2021;09:00;10:00;149;187
05.01.2021;10:00;11:00;151;190
05.01.2021;11:00;12:00;162;185
05.01.2021;12:00;13:00;170;180
05.01.2021;13:00;14:00;171;180
05.01.2021;14:00;15:00;170;180
05.01.2021;15:00;16:00;171;180
05.01.2021;16:00;17:00;170;179
05.01.2021;17:00;18:00;170;179
05.01.2021;18:00;19:00;171;180
05.01.2021;19:00;20:00;171;179
05.01.2021;20:00;21:00;144;145
05.01.2021;21:00;22:00;169;98
05.01.2021;22:00;23:00;166;54
05.01.2021;23:00;00:00;125;25
06.01.2021;00:00;01:00;159;26
06.01.2021;01:00;02:00;158;26
06.01.2021;02:00;03:00;158;23
06.01.2021;03:00;04:00;158;20
06.01.2021;04:00;05:00;158;24
06.01.2021;05:00;06:00;158;53
06.01.2021;06:00;07:00;143;108
06.01.2021;07:00;08:00;151;127
06.01.2021;08:00;09:00;157;160
06.01.2021;09:00;10:00;159;162
06.01.2021;10:00;11:00;159;179
06.01.2021;11:00;12:00;153;177
06.01.2021;12:00;13:00;158;177
06.01.2021;13:00;14:00;147;170
06.01.2021;14:00;15:00;121;144
06.01.2021;15:00;16:00;161;179
06.01.2021;16:00;17:00;162;154
06.01.2021;17:00;18:00;160;178
06.01.2021;18:00;19:00;161;180
06.01.2021;19:00;20:00;161;180
06.01.2021;20:00;21:00;160;181
06.01.2021;21:00;22:00;159;180
06.01.2021;22:00;23:00;94;107
06.01.2021;23:00;00:00;35;37
07.01.2021;00:00;01:00;16;46
07.01.2021;01:00;02:00;17;44
07.01.2021;02:00;03:00;16;45
07.01.2021;03:00;04:00;17;45
07.01.2021;04:00;05:00;16;45
07.01.2021;05:00;06:00;24;63
07.01.2021;06:00;07:00;113;146
07.01.2021;07:00;08:00;160;179
07.01.2021;08:00;09:00;158;180
07.01.2021;09:00;10:00;159;180
07.01.2021;10:00;11:00;162;186
07.01.2021;11:00;12:00;162;186
07.01.2021;12:00;13:00;162;184
07.01.2021;13:00;14:00;158;180
07.01.2021;14:00;15:00;156;160
07.01.2021;15:00;16:00;160;173
07.01.2021;16:00;17:00;160;177
07.01.2021;17:00;18:00;160;176
07.01.2021;18:00;19:00;159;178
07.01.2021;19:00;20:00;160;171
07.01.2021;20:00;21:00;158;168
07.01.2021;21:00;22:00;150;152
07.01.2021;22:00;23:00;144;146
07.01.2021;23:00;00:00;65;97
08.01.2021;00:00;01:00;51;51
08.01.2021;01:00;02:00;51;50
08.01.2021;02:00;03:00;50;51
08.01.2021;03:00;04:00;51;51
08.01.2021;04:00;05:00;86;103
08.01.2021;05:00;06:00;156;177
08.01.2021;06:00;07:00;158;180
08.01.2021;07:00;08:00;157;180
08.01.2021;08:00;09:00;157;180
08.01.2021;09:00;10:00;158;180
08.01.2021;10:00;11:00;158;180
08.01.2021;11:00;12:00;157;180
08.01.2021;12:00;13:00;159;183
08.01.2021;13:00;14:00;159;184
08.01.2021;14:00;15:00;159;185
08.01.2021;15:00;16:00;159;183
08.01.2021;16:00;17:00;159;182
08.01.2021;17:00;18:00;159;182
08.01.2021;18:00;19:00;159;182
08.01.2021;19:00;20:00;159;182
08.01.2021;20:00;21:00;159;180
08.01.2021;21:00;22:00;159;179
08.01.2021;22:00;23:00;131;150
08.01.2021;23:00;00:00;81;78
09.01.2021;00:00;01:00;56;52
09.01.2021;01:00;02:00;55;47
09.01.2021;02:00;03:00;54;49
09.01.2021;03:00;04:00;61;57
09.01.2021;04:00;05:00;58;55
09.01.2021;05:00;06:00;74;80
09.01.2021;06:00;07:00;83;110
