Datum;Anfang;Ende;Generation_DE  [MW] Originalauflösungen;Generation_DE  [MW] Originalauflösungen
01.01.2022;00:00;01:00;26;43
01.01.2022;01:00;02:00;0;57
01.01.2022;02:00;03:00;116;36
01.01.2022;03:00;04:00;111;0
01.01.2022;04:00;05:00;32;0
01.01.2022;05:00;06:00;0;0
01.01.2022;06:00;07:00;0;0
01.01.2022;07:00;08:00;0;0
01.01.2022;08:00;09:00;0;0
01.01.2022;09:00;10:00;0;0
01.01.2022;10:00;11:00;0;0
01.01.2022;11:00;12:00;0;0
01.01.2022;12:00;13:00;0;0
01.01.2022;13:00;14:00;0;0
01.01.2022;14:00;15:00;0;0
01.01.2022;15:00;16:00;25;0
01.01.2022;16:00;17:00;137;106
01.01.2022;17:00;18:00;152;68
01.01.2022;18:00;19:00;108;39
01.01.2022;19:00;20:00;42;63
01.01.2022;20:00;21:00;61;82
01.01.2022;21:00;22:00;94;88
01.01.2022;22:00;23:00;158;125
01.01.2022;23:00;00:00;99;67
02.01.2022;00:00;01:00;0;0
02.01.2022;01:00;02:00;74;29
02.01.2022;02:00;03:00;20;5
02.01.2022;03:00;04:00;0;0
02.01.2022;04:00;05:00;0;0
02.01.2022;05:00;06:00;28;0
02.01.2022;06:00;07:00;42;0
02.01.2022;07:00;08:00;0;0
02.01.2022;08:00;09:00;0;0
02.01.2022;09:00;10:00;0;0
02.01.2022;10:00;11:00;0;0
02.01.2022;11:00;12:00;0;0
02.01.2022;12:00;13:00;39;0
02.01.2022;13:00;14:00;15;0
02.01.2022;14:00;15:00;22;0
02.01.2022;15:00;16:00;0;0
02.01.2022;16:00;17:00;0;0
02.01.2022;17:00;18:00;0;0
02.01.2022;18:00;19:00;0;0
02.01.2022;19:00;20:00;0;0
02.01.2022;20:00;21:00;41;0
02.01.2022;21:00;22:00;180;81
02.01.2022;22:00;23:00;130;157
02.01.2022;23:00;00:00;43;105
03.01.2022;00:00;01:00;0;60
03.01.2022;01:00;02:00;0;116
03.01.2022;02:00;03:00;0;152
03.01.2022;03:00;04:00;0;46
03.01.2022;04:00;05:00;0;38
03.01.2022;05:00;06:00;0;123
03.01.2022;06:00;07:00;0;70
03.01.2022;07:00;08:00;0;0
03.01.2022;08:00;09:00;85;112
03.01.2022;09:00;10:00;92;86
03.01.2022;10:00;11:00;74;34
03.01.2022;11:00;12:00;107;0
03.01.2022;12:00;13:00;104;0
03.01.2022;13:00;14:00;13;0
03.01.2022;14:00;15:00;0;0
03.01.2022;15:00;16:00;0;0
03.01.2022;16:00;17:00;0;0
03.01.2022;17:00;18:00;0;0
03.01.2022;18:00;19:00;0;0
03.01.2022;19:00;20:00;69;0
03.01.2022;20:00;21:00;47;0
03.01.2022;21:00;22:00;0;0
03.01.2022;22:00;23:00;0;0
03.01.2022;23:00;00:00;0;0
04.01.2022;00:00;01:00;0;0
04.01.2022;01:00;02:00;0;0
04.01.2022;02:00;03:00;0;0
04.01.2022;03:00;04:00;0;0
04.01.2022;04:00;05:00;0;0
04.01.2022;05:00;06:00;0;0
04.01.2022;06:00;07:00;0;0
04.01.2022;07:00;08:00;0;0
04.01.2022;08:00;09:00;23;19
04.01.2022;09:00;10:00;128;81
04.01.2022;10:00;11:00;142;133
04.01.2022;11:00;12:00;62;35
04.01.2022;12:00;13:00;125;122
04.01.2022;13:00;14:00;29;39
04.01.2022;14:00;15:00;67;50
04.01.2022;15:00;16:00;1;12
04.01.2022;16:00;17:00;0;0
04.01.2022;17:00;18:00;0;0
04.01.2022;18:00;19:00;83;101
04.01.2022;19:00;20:00;70;78
04.01.2022;20:00;21:00;136;135
04.01.2022;21:00;22:00;2;78
04.01.2022;22:00;23:00;39;53
04.01.2022;23:00;00:00;0;0
05.01.2022;00:00;01:00;0;0
05.01.2022;01:00;02:00;0;0
05.01.2022;02:00;03:00;0;0
05.01.2022;03:00;04:00;0;1
05.01.2022;04:00;05:00;10;0
05.01.2022;05:00;06:00;11;0
05.01.2022;06:00;07:00;47;8
05.01.2022;07:00;08:00;0;3
05.01.2022;08:00;09:00;80;0
05.01.2022;09:00;10:00;121;0
05.01.2022;10:00;11:00;73;47
05.01.2022;11:00;12:00;0;1
05.01.2022;12:00;13:00;0;28
05.01.2022;13:00;14:00;0;57
05.01.2022;14:00;15:00;0;53
05.01.2022;15:00;16:00;0;54
05.01.2022;16:00;17:00;42;106
05.01.2022;17:00;18:00;72;87
05.01.2022;18:00;19:00;92;8
05.01.2022;19:00;20:00;6;15
05.01.2022;20:00;21:00;0;0
05.01.2022;21:00;22:00;0;0
05.01.2022;22:00;23:00;0;0
05.01.2022;23:00;00:00;0;0
06.01.2022;00:00;01:00;0;0
06.01.2022;01:00;02:00;1;0
06.01.2022;02:00;03:00;0;0
06.01.2022;03:00;04:00;0;0
06.01.2022;04:00;05:00;0;0
06.01.2022;05:00;06:00;0;8
06.01.2022;06:00;07:00;81;126
06.01.2022;07:00;08:00;119;177
06.01.2022;08:00;09:00;177;172
06.01.2022;09:00;10:00;159;85
06.01.2022;10:00;11:00;136;0
06.01.2022;11:00;12:00;85;0
06.01.2022;12:00;13:00;36;0
06.01.2022;13:00;14:00;6;0
06.01.2022;14:00;15:00;0;0
06.01.2022;15:00;16:00;0;29
06.01.2022;16:00;17:00;18;88
06.01.2022;17:00;18:00;95;103
06.01.2022;18:00;19:00;35;65
06.01.2022;19:00;20:00;0;88
06.01.2022;20:00;21:00;24;30
06.01.2022;21:00;22:00;27;0
06.01.2022;22:00;23:00;32;5
06.01.2022;23:00;00:00;4;0
07.01.2022;00:00;01:00;0;0
07.01.2022;01:00;02:00;0;0
07.01.2022;02:00;03:00;0;0
07.01.2022;03:00;04:00;0;0
07.01.2022;04:00;05:00;0;0
07.01.2022;05:00;06:00;0;1
07.01.2022;06:00;07:00;0;2
07.01.2022;07:00;08:00;11;0
07.01.2022;08:00;09:00;0;0
07.01.2022;09:00;10:00;0;0
07.01.2022;10:00;11:00;0;0
07.01.2022;11:00;12:00;0;0
07.01.2022;12:00;13:00;0;0
07.01.2022;13:00;14:00;0;0
07.01.2022;14:00;15:00;40;63
07.01.2022;15:00;16:00;147;83
07.01.2022;16:00;17:00;164;123
07.01.2022;17:00;18:00;177;156
07.01.2022;18:00;19:00;155;152
07.01.2022;19:00;20:00;137;162
07.01.2022;20:00;21:00;76;78
07.01.2022;21:00;22:00;63;81
07.01.2022;22:00;23:00;16;0
07.01.2022;23:00;00:00;0;0
08.01.2022;00:00;01:00;0;0
08.01.2022;01:00;02:00;0;1
08.01.2022;02:00;03:00;0;18
08.01.2022;03:00;04:00;0;0
08.01.2022;04:00;05:00;1;0
08.01.2022;05:00;06:00;0;0
08.01.2022;06:00;07:00;0;0
08.01.2022;07:00;08:00;0;0
08.01.2022;08:00;09:00;78;0
08.01.2022;09:00;10:00;100;0
08.01.2022;10:00;11:00;101;98
08.01.2022;11:00;12:00;69;64
08.01.2022;12:00;13:00;55;0
08.01.2022;13:00;14:00;0;0
08.01.2022;14:00;15:00;0;0
08.01.2022;15:00;16:00;1;0
08.01.2022;16:00;17:00;0;0
08.01.2022;17:00;18:00;0;0
08.01.2022;18:00;19:00;57;0
08.01.2022;19:00;20:00;26;0
08.01.2022;20:00;21:00;0;0
08.01.2022;21:00;22:00;0;0
08.01.2022;22:00;23:00;4;0
08.01.2022;23:00;00:00;0;0
09.01.2022;00:00;01:00;0;0
09.01.2022;01:00;02:00;0;0
09.01.2022;02:00;03:00;0;0
09.01.2022;03:00;04:00;0;0
09.01.2022;04:00;05:00;0;0
09.01.2022;05:00;06:00;0;0
09.01.2022;06:00;07:00;0;0
09.01.2022;07:00;08:00;0;54
09.01.2022;08:00;09:00;0;0
09.01.2022;09:00;10:00;0;0
09.01.2022;10:00;11:00;0;0
09.01.2022;11:00;12:00;0;42
09.01.2022;12:00;13:00;0;85
09.01.2022;13:00;14:00;0;55
09.01.2022;14:00;15:00;17;113
09.01.2022;15:00;16:00;75;74
09.01.2022;16:00;17:00;86;86
09.01.2022;17:00;18:00;104;104
09.01.2022;18:00;19:00;75;75
09.01.2022;19:00;20:00;11;11
09.01.2022;20:00;21:00;0;0
09.01.2022;21:00;22:00;18;0
09.01.2022;22:00;23:00;66;0
09.01.2022;23:00;00:00;0;0
10.01.2022;00:00;01:00;1;0
10.01.2022;01:00;02:00;10;0
10.01.2022;02:00;03:00;0;0
10.01.2022;03:00;04:00;0;0
10.01.2022;04:00;05:00;0;0
10.01.2022;05:00;06:00;0;0
10.01.2022;06:00;07:00;61;69
10.01.2022;07:00;08:00;65;25
10.01.2022;08:00;09:00;101;123
10.01.2022;09:00;10:00;107;108
10.01.2022;10:00;11:00;18;35
10.01.2022;11:00;12:00;0;68
10.01.2022;12:00;13:00;0;21
10.01.2022;13:00;14:00;152;96
10.01.2022;14:00;15:00;175;137
10.01.2022;15:00;16:00;146;15
10.01.2022;16:00;17:00;39;0
10.01.2022;17:00;18:00;0;0
10.01.2022;18:00;19:00;0;19
10.01.2022;19:00;20:00;0;1
10.01.2022;20:00;21:00;45;37
10.01.2022;21:00;22:00;0;0
10.01.2022;22:00;23:00;0;0
10.01.2022;23:00;00:00;0;0
11.01.2022;00:00;01:00;0;0
11.01.2022;01:00;02:00;0;0
11.01.2022;02:00;03:00;0;0
11.01.2022;03:00;04:00;0;0
11.01.2022;04:00;05:00;0;0
11.01.2022;05:00;06:00;0;0
11.01.2022;06:00;07:00;0;0
11.01.2022;07:00;08:00;0;0
11.01.2022;08:00;09:00;0;0
11.01.2022;09:00;10:00;0;0
11.01.2022;10:00;11:00;0;0
11.01.2022;11:00;12:00;0;0
11.01.2022;12:00;13:00;0;0
11.01.2022;13:00;14:00;16;0
11.01.2022;14:00;15:00;71;49
11.01.2022;15:00;16:00;113;62
11.01.2022;16:00;17:00;112;131
11.01.2022;17:00;18:00;147;154
11.01.2022;18:00;19:00;170;179
11.01.2022;19:00;20:00;85;108
11.01.2022;20:00;21:00;52;55
11.01.2022;21:00;22:00;24;35
11.01.2022;22:00;23:00;0;0
11.01.2022;23:00;00:00;0;0
12.01.2022;00:00;01:00;0;0
12.01.2022;01:00;02:00;0;0
12.01.2022;02:00;03:00;0;0
12.01.2022;03:00;04:00;0;0
12.01.2022;04:00;05:00;0;0
12.01.2022;05:00;06:00;0;0
12.01.2022;06:00;07:00;0;3
12.01.2022;07:00;08:00;0;0
12.01.2022;08:00;09:00;73;141
12.01.2022;09:00;10:00;102;141
12.01.2022;10:00;11:00;67;106
12.01.2022;11:00;12:00;0;61
12.01.2022;12:00;13:00;0;0
12.01.2022;13:00;14:00;0;0
12.01.2022;14:00;15:00;0;0
12.01.2022;15:00;16:00;71;0
12.01.2022;16:00;17:00;3;103
12.01.2022;17:00;18:00;0;160
12.01.2022;18:00;19:00;67;139
12.01.2022;19:00;20:00;0;72
12.01.2022;20:00;21:00;0;0
12.01.2022;21:00;22:00;0;0
12.01.2022;22:00;23:00;0;0
12.01.2022;23:00;00:00;0;0
13.01.2022;00:00;01:00;0;0
13.01.2022;01:00;02:00;0;0
13.01.2022;02:00;03:00;0;0
13.01.2022;03:00;04:00;0;0
13.01.2022;04:00;05:00;0;0
13.01.2022;05:00;06:00;0;0
13.01.2022;06:00;07:00;0;79
13.01.2022;07:00;08:00;77;144
13.01.2022;08:00;09:00;152;166
13.01.2022;09:00;10:00;98;105
13.01.2022;10:00;11:00;0;0
13.01.2022;11:00;12:00;0;0
13.01.2022;12:00;13:00;42;0
13.01.2022;13:00;14:00;0;0
13.01.2022;14:00;15:00;0;0
13.01.2022;15:00;16:00;0;0
13.01.2022;16:00;17:00;38;0
13.01.2022;17:00;18:00;69;49
13.01.2022;18:00;19:00;86;157
13.01.2022;19:00;20:00;89;82
13.01.2022;20:00;21:00;95;31
13.01.2022;21:00;22:00;58;68
13.01.2022;22:00;23:00;88;0
13.01.2022;23:00;00:00;42;0
14.01.2022;00:00;01:00;22;0
14.01.2022;01:00;02:00;0;0
14.01.2022;02:00;03:00;0;0
14.01.2022;03:00;04:00;0;0
14.01.2022;04:00;05:00;0;0
14.01.2022;05:00;06:00;0;0
14.01.2022;06:00;07:00;50;70
14.01.2022;07:00;08:00;83;126
14.01.2022;08:00;09:00;100;103
14.01.2022;09:00;10:00;15;14
14.01.2022;10:00;11:00;45;0
14.01.2022;11:00;12:00;29;42
14.01.2022;12:00;13:00;15;22
14.01.2022;13:00;14:00;0;0
14.01.2022;14:00;15:00;9;18
14.01.2022;15:00;16:00;42;41
14.01.2022;16:00;17:00;2;33
14.01.2022;17:00;18:00;39;62
14.01.2022;18:00;19:00;0;0
14.01.2022;19:00;20:00;0;0
14.01.2022;20:00;21:00;0;0
14.01.2022;21:00;22:00;0;0
14.01.2022;22:00;23:00;0;20
14.01.2022;23:00;00:00;0;0
15.01.2022;00:00;01:00;37;54
15.01.2022;01:00;02:00;0;0
15.01.2022;02:00;03:00;0;0
15.01.2022;03:00;04:00;0;1
15.01.2022;04:00;05:00;0;0
15.01.2022;05:00;06:00;36;0
15.01.2022;06:00;07:00;0;0
15.01.2022;07:00;08:00;0;0
15.01.2022;08:00;09:00;0;0
15.01.2022;09:00;10:00;0;0
15.01.2022;10:00;11:00;54;0
15.01.2022;11:00;12:00;76;0
15.01.2022;12:00;13:00;56;0
15.01.2022;13:00;14:00;0;37
15.01.2022;14:00;15:00;0;0
15.01.2022;15:00;16:00;0;0
15.01.2022;16:00;17:00;0;0
15.01.2022;17:00;18:00;20;0
15.01.2022;18:00;19:00;71;0
15.01.2022;19:00;20:00;99;34
15.01.2022;20:00;21:00;0;0
15.01.2022;21:00;22:00;0;76
15.01.2022;22:00;23:00;0;0
15.01.2022;23:00;00:00;0;87
16.01.2022;00:00;01:00;0;88
16.01.2022;01:00;02:00;0;0
16.01.2022;02:00;03:00;0;0
16.01.2022;03:00;04:00;0;0
16.01.2022;04:00;05:00;0;0
16.01.2022;05:00;06:00;0;0
16.01.2022;06:00;07:00;0;88
16.01.2022;07:00;08:00;0;85
16.01.2022;08:00;09:00;0;32
16.01.2022;09:00;10:00;0;0
16.01.2022;10:00;11:00;61;0
16.01.2022;11:00;12:00;74;0
16.01.2022;12:00;13:00;0;0
16.01.2022;13:00;14:00;0;0
16.01.2022;14:00;15:00;60;79
16.01.2022;15:00;16:00;0;89
16.01.2022;16:00;17:00;0;4
16.01.2022;17:00;18:00;0;0
16.01.2022;18:00;19:00;0;0
16.01.2022;19:00;20:00;0;0
16.01.2022;20:00;21:00;0;10
16.01.2022;21:00;22:00;0;0
16.01.2022;22:00;23:00;0;1
16.01.2022;23:00;00:00;0;90
17.01.2022;00:00;01:00;0;31
17.01.2022;01:00;02:00;0;0
17.01.2022;02:00;03:00;0;81
17.01.2022;03:00;04:00;0;15
17.01.2022;04:00;05:00;0;13
17.01.2022;05:00;06:00;0;72
17.01.2022;06:00;07:00;90;91
17.01.2022;07:00;08:00;127;103
17.01.2022;08:00;09:00;156;125
17.01.2022;09:00;10:00;121;132
17.01.2022;10:00;11:00;110;128
17.01.2022;11:00;12:00;150;123
17.01.2022;12:00;13:00;19;13
17.01.2022;13:00;14:00;0;0
17.01.2022;14:00;15:00;0;0
17.01.2022;15:00;16:00;0;0
17.01.2022;16:00;17:00;0;0
17.01.2022;17:00;18:00;0;0
17.01.2022;18:00;19:00;0;0
17.01.2022;19:00;20:00;0;2
17.01.2022;20:00;21:00;59;0
17.01.2022;21:00;22:00;0;29
17.01.2022;22:00;23:00;0;71
17.01.2022;23:00;00:00;0;78
18.01.2022;00:00;01:00;0;10
18.01.2022;01:00;02:00;0;0
18.01.2022;02:00;03:00;0;35
18.01.2022;03:00;04:00;0;0
18.01.2022;04:00;05:00;47;0
18.01.2022;05:00;06:00;20;0
18.01.2022;06:00;07:00;20;30
18.01.2022;07:00;08:00;59;54
18.01.2022;08:00;09:00;87;40
18.01.2022;09:00;10:00;12;0
18.01.2022;10:00;11:00;0;0
18.01.2022;11:00;12:00;0;0
18.01.2022;12:00;13:00;0;0
18.01.2022;13:00;14:00;0;0
18.01.2022;14:00;15:00;0;52
18.01.2022;15:00;16:00;32;93
18.01.2022;16:00;17:00;61;70
18.01.2022;17:00;18:00;77;119
18.01.2022;18:00;19:00;105;98
18.01.2022;19:00;20:00;82;63
18.01.2022;20:00;21:00;49;62
18.01.2022;21:00;22:00;0;0
18.01.2022;22:00;23:00;0;0
18.01.2022;23:00;00:00;0;0
19.01.2022;00:00;01:00;0;0
19.01.2022;01:00;02:00;0;0
19.01.2022;02:00;03:00;0;0
19.01.2022;03:00;04:00;0;0
19.01.2022;04:00;05:00;0;0
19.01.2022;05:00;06:00;0;0
19.01.2022;06:00;07:00;2;53
19.01.2022;07:00;08:00;0;15
19.01.2022;08:00;09:00;35;0
19.01.2022;09:00;10:00;10;0
19.01.2022;10:00;11:00;69;0
19.01.2022;11:00;12:00;17;0
19.01.2022;12:00;13:00;0;0
19.01.2022;13:00;14:00;18;0
