Datum;Anfang;Ende;Generation_DE Waldeck 2 F1 [MW] Originalauflösungen;Generation_DE Waldeck 2 F2 [MW] Originalauflösungen
01.01.2020;00:00;01:00;0;0
01.01.2020;01:00;02:00;0;0
01.01.2020;02:00;03:00;0;0
01.01.2020;03:00;04:00;0;0
01.01.2020;04:00;05:00;0;0
01.01.2020;05:00;06:00;0;0
01.01.2020;06:00;07:00;0;0
01.01.2020;07:00;08:00;0;0
01.01.2020;08:00;09:00;0;0
01.01.2020;09:00;10:00;0;0
01.01.2020;10:00;11:00;0;0
01.01.2020;11:00;12:00;0;0
01.01.2020;12:00;13:00;0;0
01.01.2020;13:00;14:00;0;0
01.01.2020;14:00;15:00;0;0
01.01.2020;15:00;16:00;85;54
01.01.2020;16:00;17:00;94;92
01.01.2020;17:00;18:00;207;205
01.01.2020;18:00;19:00;226;225
01.01.2020;19:00;20:00;141;139
01.01.2020;20:00;21:00;180;179
01.01.2020;21:00;22:00;149;147
01.01.2020;22:00;23:00;129;126
01.01.2020;23:00;00:00;23;86
02.01.2020;00:00;01:00;0;1
02.01.2020;01:00;02:00;0;0
02.01.2020;02:00;03:00;0;0
02.01.2020;03:00;04:00;0;0
02.01.2020;04:00;05:00;0;0
02.01.2020;05:00;06:00;0;0
02.01.2020;06:00;07:00;0;0
02.01.2020;07:00;08:00;93;92
02.01.2020;08:00;09:00;201;199
02.01.2020;09:00;10:00;190;189
02.01.2020;10:00;11:00;183;181
02.01.2020;11:00;12:00;2;61
02.01.2020;12:00;13:00;0;0
02.01.2020;13:00;14:00;0;18
02.01.2020;14:00;15:00;0;55
02.01.2020;15:00;16:00;0;56
02.01.2020;16:00;17:00;66;3
02.01.2020;17:00;18:00;208;198
02.01.2020;18:00;19:00;127;125
02.01.2020;19:00;20:00;33;33
02.01.2020;20:00;21:00;0;0
02.01.2020;21:00;22:00;0;0
02.01.2020;22:00;23:00;0;0
02.01.2020;23:00;00:00;0;0
03.01.2020;00:00;01:00;0;0
03.01.2020;01:00;02:00;0;0
03.01.2020;02:00;03:00;0;0
03.01.2020;03:00;04:00;0;0
03.01.2020;04:00;05:00;0;0
03.01.2020;05:00;06:00;0;0
03.01.2020;06:00;07:00;0;0
03.01.2020;07:00;08:00;0;0
03.01.2020;08:00;09:00;0;0
03.01.2020;09:00;10:00;0;0
03.01.2020;10:00;11:00;0;0
03.01.2020;11:00;12:00;0;0
03.01.2020;12:00;13:00;0;0
03.01.2020;13:00;14:00;0;0
03.01.2020;14:00;15:00;0;0
03.01.2020;15:00;16:00;145;156
03.01.2020;16:00;17:00;51;54
03.01.2020;17:00;18:00;22;55
03.01.2020;18:00;19:00;22;19
03.01.2020;19:00;20:00;151;149
03.01.2020;20:00;21:00;150;148
03.01.2020;21:00;22:00;135;132
03.01.2020;22:00;23:00;209;208
03.01.2020;23:00;00:00;153;151
04.01.2020;00:00;01:00;1;18
04.01.2020;01:00;02:00;0;0
04.01.2020;02:00;03:00;0;0
04.01.2020;03:00;04:00;0;0
04.01.2020;04:00;05:00;0;0
04.01.2020;05:00;06:00;0;0
04.01.2020;06:00;07:00;0;0
04.01.2020;07:00;08:00;0;0
04.01.2020;08:00;09:00;0;0
04.01.2020;09:00;10:00;0;0
04.01.2020;10:00;11:00;0;0
04.01.2020;11:00;12:00;0;0
04.01.2020;12:00;13:00;0;29
04.01.2020;13:00;14:00;0;45
04.01.2020;14:00;15:00;0;1
04.01.2020;15:00;16:00;0;55
04.01.2020;16:00;17:00;147;172
04.01.2020;17:00;18:00;180;178
04.01.2020;18:00;19:00;217;216
04.01.2020;19:00;20:00;200;199
04.01.2020;20:00;21:00;100;97
04.01.2020;21:00;22:00;167;165
04.01.2020;22:00;23:00;177;176
04.01.2020;23:00;00:00;1;23
05.01.2020;00:00;01:00;0;27
05.01.2020;01:00;02:00;0;0
05.01.2020;02:00;03:00;0;0
05.01.2020;03:00;04:00;0;0
05.01.2020;04:00;05:00;0;0
05.01.2020;05:00;06:00;0;0
05.01.2020;06:00;07:00;0;0
05.01.2020;07:00;08:00;0;0
05.01.2020;08:00;09:00;0;0
05.01.2020;09:00;10:00;0;0
05.01.2020;10:00;11:00;0;0
05.01.2020;11:00;12:00;0;0
05.01.2020;12:00;13:00;0;0
05.01.2020;13:00;14:00;0;74
05.01.2020;14:00;15:00;0;45
05.01.2020;15:00;16:00;0;154
05.01.2020;16:00;17:00;142;126
05.01.2020;17:00;18:00;239;238
05.01.2020;18:00;19:00;235;235
05.01.2020;19:00;20:00;209;210
05.01.2020;20:00;21:00;174;179
05.01.2020;21:00;22:00;89;61
05.01.2020;22:00;23:00;0;0
05.01.2020;23:00;00:00;0;0
06.01.2020;00:00;01:00;0;0
06.01.2020;01:00;02:00;0;0
06.01.2020;02:00;03:00;0;0
06.01.2020;03:00;04:00;0;0
06.01.2020;04:00;05:00;0;0
06.01.2020;05:00;06:00;0;0
06.01.2020;06:00;07:00;0;0
06.01.2020;07:00;08:00;142;142
06.01.2020;08:00;09:00;158;156
06.01.2020;09:00;10:00;104;102
06.01.2020;10:00;11:00;0;0
06.01.2020;11:00;12:00;0;0
06.01.2020;12:00;13:00;17;0
06.01.2020;13:00;14:00;45;0
06.01.2020;14:00;15:00;81;0
06.01.2020;15:00;16:00;58;66
06.01.2020;16:00;17:00;139;211
06.01.2020;17:00;18:00;237;238
06.01.2020;18:00;19:00;229;196
06.01.2020;19:00;20:00;126;100
06.01.2020;20:00;21:00;47;53
06.01.2020;21:00;22:00;0;0
06.01.2020;22:00;23:00;0;0
06.01.2020;23:00;00:00;0;0
07.01.2020;00:00;01:00;0;0
07.01.2020;01:00;02:00;0;0
07.01.2020;02:00;03:00;0;0
07.01.2020;03:00;04:00;0;0
07.01.2020;04:00;05:00;0;0
07.01.2020;05:00;06:00;0;0
07.01.2020;06:00;07:00;0;0
07.01.2020;07:00;08:00;77;61
07.01.2020;08:00;09:00;169;86
07.01.2020;09:00;10:00;135;112
07.01.2020;10:00;11:00;111;51
07.01.2020;11:00;12:00;1;26
07.01.2020;12:00;13:00;0;32
07.01.2020;13:00;14:00;0;34
07.01.2020;14:00;15:00;29;63
07.01.2020;15:00;16:00;0;61
07.01.2020;16:00;17:00;50;106
07.01.2020;17:00;18:00;93;89
07.01.2020;18:00;19:00;81;21
07.01.2020;19:00;20:00;56;13
07.01.2020;20:00;21:00;4;0
07.01.2020;21:00;22:00;0;0
07.01.2020;22:00;23:00;0;0
07.01.2020;23:00;00:00;0;0
08.01.2020;00:00;01:00;0;0
08.01.2020;01:00;02:00;0;0
08.01.2020;02:00;03:00;0;0
08.01.2020;03:00;04:00;0;0
08.01.2020;04:00;05:00;0;0
08.01.2020;05:00;06:00;0;0
08.01.2020;06:00;07:00;0;0
08.01.2020;07:00;08:00;81;0
08.01.2020;08:00;09:00;175;0
08.01.2020;09:00;10:00;88;0
08.01.2020;10:00;11:00;145;0
08.01.2020;11:00;12:00;178;0
08.01.2020;12:00;13:00;5;0
08.01.2020;13:00;14:00;0;0
08.01.2020;14:00;15:00;0;6
08.01.2020;15:00;16:00;64;180
08.01.2020;16:00;17:00;161;159
08.01.2020;17:00;18:00;179;178
08.01.2020;18:00;19:00;172;170
08.01.2020;19:00;20:00;157;155
08.01.2020;20:00;21:00;99;97
08.01.2020;21:00;22:00;77;75
08.01.2020;22:00;23:00;0;0
08.01.2020;23:00;00:00;0;0
09.01.2020;00:00;01:00;0;0
09.01.2020;01:00;02:00;0;0
09.01.2020;02:00;03:00;0;0
09.01.2020;03:00;04:00;0;0
09.01.2020;04:00;05:00;0;0
09.01.2020;05:00;06:00;0;0
09.01.2020;06:00;07:00;75;74
09.01.2020;07:00;08:00;172;171
09.01.2020;08:00;09:00;118;116
09.01.2020;09:00;10:00;51;49
09.01.2020;10:00;11:00;0;0
09.01.2020;11:00;12:00;0;0
09.01.2020;12:00;13:00;0;0
09.01.2020;13:00;14:00;0;0
09.01.2020;14:00;15:00;0;0
09.01.2020;15:00;16:00;0;42
09.01.2020;16:00;17:00;0;47
09.01.2020;17:00;18:00;0;22
09.01.2020;18:00;19:00;0;22
09.01.2020;19:00;20:00;0;23
09.01.2020;20:00;21:00;0;3
09.01.2020;21:00;22:00;0;0
09.01.2020;22:00;23:00;0;0
09.01.2020;23:00;00:00;0;0
10.01.2020;00:00;01:00;0;0
10.01.2020;01:00;02:00;0;0
10.01.2020;02:00;03:00;0;0
10.01.2020;03:00;04:00;0;0
10.01.2020;04:00;05:00;0;0
10.01.2020;05:00;06:00;0;0
10.01.2020;06:00;07:00;0;0
10.01.2020;07:00;08:00;1;0
10.01.2020;08:00;09:00;22;0
10.01.2020;09:00;10:00;22;0
10.01.2020;10:00;11:00;27;0
10.01.2020;11:00;12:00;24;0
10.01.2020;12:00;13:00;4;0
10.01.2020;13:00;14:00;0;0
10.01.2020;14:00;15:00;0;0
10.01.2020;15:00;16:00;0;0
10.01.2020;16:00;17:00;88;94
10.01.2020;17:00;18:00;131;114
10.01.2020;18:00;19:00;206;230
10.01.2020;19:00;20:00;178;197
10.01.2020;20:00;21:00;109;115
10.01.2020;21:00;22:00;102;80
10.01.2020;22:00;23:00;0;0
10.01.2020;23:00;00:00;0;0
11.01.2020;00:00;01:00;0;0
11.01.2020;01:00;02:00;0;0
11.01.2020;02:00;03:00;0;0
11.01.2020;03:00;04:00;0;0
11.01.2020;04:00;05:00;0;0
11.01.2020;05:00;06:00;0;0
11.01.2020;06:00;07:00;0;0
11.01.2020;07:00;08:00;0;71
11.01.2020;08:00;09:00;0;90
11.01.2020;09:00;10:00;0;177
11.01.2020;10:00;11:00;1;116
11.01.2020;11:00;12:00;0;19
11.01.2020;12:00;13:00;0;21
11.01.2020;13:00;14:00;0;0
11.01.2020;14:00;15:00;0;0
11.01.2020;15:00;16:00;3;0
11.01.2020;16:00;17:00;25;52
11.01.2020;17:00;18:00;128;124
11.01.2020;18:00;19:00;142;134
11.01.2020;19:00;20:00;105;98
11.01.2020;20:00;21:00;16;97
11.01.2020;21:00;22:00;0;133
11.01.2020;22:00;23:00;0;131
11.01.2020;23:00;00:00;0;65
12.01.2020;00:00;01:00;0;5
12.01.2020;01:00;02:00;0;0
12.01.2020;02:00;03:00;0;0
12.01.2020;03:00;04:00;0;0
12.01.2020;04:00;05:00;0;0
12.01.2020;05:00;06:00;0;0
12.01.2020;06:00;07:00;0;0
12.01.2020;07:00;08:00;0;0
12.01.2020;08:00;09:00;0;0
12.01.2020;09:00;10:00;0;0
12.01.2020;10:00;11:00;0;0
12.01.2020;11:00;12:00;0;0
12.01.2020;12:00;13:00;0;0
12.01.2020;13:00;14:00;0;0
12.01.2020;14:00;15:00;0;0
12.01.2020;15:00;16:00;97;0
12.01.2020;16:00;17:00;43;76
12.01.2020;17:00;18:00;27;133
12.01.2020;18:00;19:00;36;148
12.01.2020;19:00;20:00;25;48
12.01.2020;20:00;21:00;1;0
12.01.2020;21:00;22:00;0;0
12.01.2020;22:00;23:00;0;0
12.01.2020;23:00;00:00;0;0
13.01.2020;00:00;01:00;0;0
13.01.2020;01:00;02:00;0;0
13.01.2020;02:00;03:00;0;0
13.01.2020;03:00;04:00;0;0
13.01.2020;04:00;05:00;0;0
13.01.2020;05:00;06:00;0;0
13.01.2020;06:00;07:00;0;18
13.01.2020;07:00;08:00;167;158
13.01.2020;08:00;09:00;176;162
13.01.2020;09:00;10:00;156;153
13.01.2020;10:00;11:00;76;71
13.01.2020;11:00;12:00;123;122
13.01.2020;12:00;13:00;111;111
13.01.2020;13:00;14:00;2;2
13.01.2020;14:00;15:00;47;0
13.01.2020;15:00;16:00;41;0
13.01.2020;16:00;17:00;85;0
13.01.2020;17:00;18:00;234;171
13.01.2020;18:00;19:00;159;78
13.01.2020;19:00;20:00;139;116
13.01.2020;20:00;21:00;25;1
13.01.2020;21:00;22:00;0;0
13.01.2020;22:00;23:00;68;0
13.01.2020;23:00;00:00;5;0
14.01.2020;00:00;01:00;0;0
14.01.2020;01:00;02:00;0;0
14.01.2020;02:00;03:00;0;0
14.01.2020;03:00;04:00;0;0
14.01.2020;04:00;05:00;0;0
14.01.2020;05:00;06:00;0;0
14.01.2020;06:00;07:00;0;0
14.01.2020;07:00;08:00;0;0
14.01.2020;08:00;09:00;0;0
14.01.2020;09:00;10:00;0;0
14.01.2020;10:00;11:00;0;0
14.01.2020;11:00;12:00;0;0
14.01.2020;12:00;13:00;0;0
14.01.2020;13:00;14:00;170;168
14.01.2020;14:00;15:00;100;98
14.01.2020;15:00;16:00;107;105
14.01.2020;16:00;17:00;127;124
14.01.2020;17:00;18:00;142;140
14.01.2020;18:00;19:00;98;63
14.01.2020;19:00;20:00;116;142
14.01.2020;20:00;21:00;170;179
14.01.2020;21:00;22:00;188;187
14.01.2020;22:00;23:00;44;1
14.01.2020;23:00;00:00;1;0
15.01.2020;00:00;01:00;0;0
15.01.2020;01:00;02:00;0;0
15.01.2020;02:00;03:00;0;0
15.01.2020;03:00;04:00;0;0
15.01.2020;04:00;05:00;0;0
15.01.2020;05:00;06:00;0;0
15.01.2020;06:00;07:00;0;0
15.01.2020;07:00;08:00;0;0
15.01.2020;08:00;09:00;0;103
15.01.2020;09:00;10:00;0;180
15.01.2020;10:00;11:00;0;0
15.01.2020;11:00;12:00;0;0
15.01.2020;12:00;13:00;0;0
15.01.2020;13:00;14:00;0;0
15.01.2020;14:00;15:00;0;0
15.01.2020;15:00;16:00;0;13
15.01.2020;16:00;17:00;0;64
15.01.2020;17:00;18:00;151;153
15.01.2020;18:00;19:00;172;170
15.01.2020;19:00;20:00;132;130
15.01.2020;20:00;21:00;87;85
15.01.2020;21:00;22:00;0;0
15.01.2020;22:00;23:00;0;0
15.01.2020;23:00;00:00;0;0
16.01.2020;00:00;01:00;0;0
16.01.2020;01:00;02:00;0;0
16.01.2020;02:00;03:00;0;0
16.01.2020;03:00;04:00;0;0
16.01.2020;04:00;05:00;0;0
16.01.2020;05:00;06:00;0;0
16.01.2020;06:00;07:00;0;8
16.01.2020;07:00;08:00;173;141
16.01.2020;08:00;09:00;239;153
16.01.2020;09:00;10:00;139;73
16.01.2020;10:00;11:00;0;53
16.01.2020;11:00;12:00;0;29
16.01.2020;12:00;13:00;0;7
16.01.2020;13:00;14:00;0;0
16.01.2020;14:00;15:00;22;0
16.01.2020;15:00;16:00;24;0
16.01.2020;16:00;17:00;25;46
16.01.2020;17:00;18:00;27;73
16.01.2020;18:00;19:00;64;84
16.01.2020;19:00;20:00;76;89
16.01.2020;20:00;21:00;34;14
16.01.2020;21:00;22:00;11;0
16.01.2020;22:00;23:00;0;0
16.01.2020;23:00;00:00;0;0
17.01.2020;00:00;01:00;0;0
17.01.2020;01:00;02:00;0;0
17.01.2020;02:00;03:00;0;0
17.01.2020;03:00;04:00;0;0
17.01.2020;04:00;05:00;0;0
17.01.2020;05:00;06:00;0;0
17.01.2020;06:00;07:00;0;35
17.01.2020;07:00;08:00;118;174
17.01.2020;08:00;09:00;149;171
17.01.2020;09:00;10:00;110;124
17.01.2020;10:00;11:00;11;58
17.01.2020;11:00;12:00;0;0
17.01.2020;12:00;13:00;0;0
17.01.2020;13:00;14:00;0;0
17.01.2020;14:00;15:00;0;6
17.01.2020;15:00;16:00;101;136
17.01.2020;16:00;17:00;57;128
17.01.2020;17:00;18:00;152;181
17.01.2020;18:00;19:00;136;143
17.01.2020;19:00;20:00;101;98
17.01.2020;20:00;21:00;87;92
17.01.2020;21:00;22:00;0;21
17.01.2020;22:00;23:00;0;0
17.01.2020;23:00;00:00;0;50
18.01.2020;00:00;01:00;0;7
18.01.2020;01:00;02:00;0;0
18.01.2020;02:00;03:00;0;0
18.01.2020;03:00;04:00;0;0
18.01.2020;04:00;05:00;0;0
18.01.2020;05:00;06:00;0;0
18.01.2020;06:00;07:00;0;0
18.01.2020;07:00;08:00;0;0
18.01.2020;08:00;09:00;0;0
18.01.2020;09:00;10:00;0;0
18.01.2020;10:00;11:00;0;0
18.01.2020;11:00;12:00;0;0
18.01.2020;12:00;13:00;0;0
18.01.2020;13:00;14:00;0;0
18.01.2020;14:00;15:00;0;38
18.01.2020;15:00;16:00;0;177
18.01.2020;16:00;17:00;132;169
18.01.2020;17:00;18:00;239;198
18.01.2020;18:00;19:00;214;212
18.01.2020;19:00;20:00;172;171
18.01.2020;20:00;21:00;106;135
18.01.2020;21:00;22:00;0;83
18.01.2020;22:00;23:00;0;189
18.01.2020;23:00;00:00;0;125
19.01.2020;00:00;01:00;0;12
19.01.2020;01:00;02:00;0;0
19.01.2020;02:00;03:00;0;0
19.01.2020;03:00;04:00;0;0
19.01.2020;04:00;05:00;0;0
19.01.2020;05:00;06:00;0;0
19.01.2020;06:00;07:00;0;0
19.01.2020;07:00;08:00;0;0
19.01.2020;08:00;09:00;0;0
19.01.2020;09:00;10:00;0;0
19.01.2020;10:00;11:00;0;0
19.01.2020;11:00;12:00;0;0
19.01.2020;12:00;13:00;0;0
19.01.2020;13:00;14:00;0;0
19.01.2020;14:00;15:00;0;0
19.01.2020;15:00;16:00;0;0
19.01.2020;16:00;17:00;0;0
19.01.2020;17:00;18:00;153;116
19.01.2020;18:00;19:00;229;228
19.01.2020;19:00;20:00;162;119
19.01.2020;20:00;21:00;0;105
19.01.2020;21:00;22:00;0;44
19.01.2020;22:00;23:00;0;49
19.01.2020;23:00;00:00;0;40
20.01.2020;00:00;01:00;0;0
20.01.2020;01:00;02:00;0;0
20.01.2020;02:00;03:00;0;0
20.01.2020;03:00;04:00;0;0
20.01.2020;04:00;05:00;0;0
20.01.2020;05:00;06:00;0;18
20.01.2020;06:00;07:00;147;153
20.01.2020;07:00;08:00;78;76
20.01.2020;08:00;09:00;106;102
20.01.2020;09:00;10:00;134;132
20.01.2020;10:00;11:00;48;37
20.01.2020;11:00;12:00;22;0
