Datum;Anfang;Ende;Generation_DE  [MW] Originalauflösungen
01.01.2022;00:00;01:00;165
01.01.2022;01:00;02:00;164
01.01.2022;02:00;03:00;163
01.01.2022;03:00;04:00;164
01.01.2022;04:00;05:00;165
01.01.2022;05:00;06:00;165
01.01.2022;06:00;07:00;166
01.01.2022;07:00;08:00;167
01.01.2022;08:00;09:00;168
01.01.2022;09:00;10:00;170
01.01.2022;10:00;11:00;170
01.01.2022;11:00;12:00;170
01.01.2022;12:00;13:00;170
01.01.2022;13:00;14:00;171
01.01.2022;14:00;15:00;174
01.01.2022;15:00;16:00;174
01.01.2022;16:00;17:00;174
01.01.2022;17:00;18:00;174
01.01.2022;18:00;19:00;174
01.01.2022;19:00;20:00;175
01.01.2022;20:00;21:00;176
01.01.2022;21:00;22:00;176
01.01.2022;22:00;23:00;178
01.01.2022;23:00;00:00;178
02.01.2022;00:00;01:00;178
02.01.2022;01:00;02:00;178
02.01.2022;02:00;03:00;178
02.01.2022;03:00;04:00;179
02.01.2022;04:00;05:00;180
02.01.2022;05:00;06:00;181
02.01.2022;06:00;07:00;181
02.01.2022;07:00;08:00;181
02.01.2022;08:00;09:00;181
02.01.2022;09:00;10:00;181
02.01.2022;10:00;11:00;181
02.01.2022;11:00;12:00;183
02.01.2022;12:00;13:00;183
02.01.2022;13:00;14:00;183
02.01.2022;14:00;15:00;184
02.01.2022;15:00;16:00;183
02.01.2022;16:00;17:00;184
02.01.2022;17:00;18:00;184
02.01.2022;18:00;19:00;185
02.01.2022;19:00;20:00;185
02.01.2022;20:00;21:00;186
02.01.2022;21:00;22:00;186
02.01.2022;22:00;23:00;186
02.01.2022;23:00;00:00;186
03.01.2022;00:00;01:00;186
03.01.2022;01:00;02:00;187
03.01.2022;02:00;03:00;187
03.01.2022;03:00;04:00;187
03.01.2022;04:00;05:00;187
03.01.2022;05:00;06:00;187
03.01.2022;06:00;07:00;186
03.01.2022;07:00;08:00;187
03.01.2022;08:00;09:00;188
03.01.2022;09:00;10:00;187
03.01.2022;10:00;11:00;187
03.01.2022;11:00;12:00;188
03.01.2022;12:00;13:00;186
03.01.2022;13:00;14:00;187
03.01.2022;14:00;15:00;186
03.01.2022;15:00;16:00;187
03.01.2022;16:00;17:00;187
03.01.2022;17:00;18:00;187
03.01.2022;18:00;19:00;187
03.01.2022;19:00;20:00;187
03.01.2022;20:00;21:00;187
03.01.2022;21:00;22:00;184
03.01.2022;22:00;23:00;184
03.01.2022;23:00;00:00;183
04.01.2022;00:00;01:00;181
04.01.2022;01:00;02:00;179
04.01.2022;02:00;03:00;177
04.01.2022;03:00;04:00;179
04.01.2022;04:00;05:00;182
04.01.2022;05:00;06:00;183
04.01.2022;06:00;07:00;185
04.01.2022;07:00;08:00;185
04.01.2022;08:00;09:00;185
04.01.2022;09:00;10:00;185
04.01.2022;10:00;11:00;187
04.01.2022;11:00;12:00;188
04.01.2022;12:00;13:00;187
04.01.2022;13:00;14:00;187
04.01.2022;14:00;15:00;187
04.01.2022;15:00;16:00;187
04.01.2022;16:00;17:00;186
04.01.2022;17:00;18:00;186
04.01.2022;18:00;19:00;186
04.01.2022;19:00;20:00;186
04.01.2022;20:00;21:00;186
04.01.2022;21:00;22:00;187
04.01.2022;22:00;23:00;187
04.01.2022;23:00;00:00;187
05.01.2022;00:00;01:00;187
05.01.2022;01:00;02:00;187
05.01.2022;02:00;03:00;187
05.01.2022;03:00;04:00;187
05.01.2022;04:00;05:00;187
05.01.2022;05:00;06:00;187
05.01.2022;06:00;07:00;187
05.01.2022;07:00;08:00;186
05.01.2022;08:00;09:00;187
05.01.2022;09:00;10:00;186
05.01.2022;10:00;11:00;187
05.01.2022;11:00;12:00;186
05.01.2022;12:00;13:00;186
05.01.2022;13:00;14:00;186
05.01.2022;14:00;15:00;186
05.01.2022;15:00;16:00;187
05.01.2022;16:00;17:00;187
05.01.2022;17:00;18:00;186
05.01.2022;18:00;19:00;186
05.01.2022;19:00;20:00;186
05.01.2022;20:00;21:00;186
05.01.2022;21:00;22:00;185
05.01.2022;22:00;23:00;187
05.01.2022;23:00;00:00;186
06.01.2022;00:00;01:00;186
06.01.2022;01:00;02:00;186
06.01.2022;02:00;03:00;185
06.01.2022;03:00;04:00;186
06.01.2022;04:00;05:00;186
06.01.2022;05:00;06:00;186
06.01.2022;06:00;07:00;186
06.01.2022;07:00;08:00;186
06.01.2022;08:00;09:00;187
06.01.2022;09:00;10:00;186
06.01.2022;10:00;11:00;187
06.01.2022;11:00;12:00;186
06.01.2022;12:00;13:00;186
06.01.2022;13:00;14:00;186
06.01.2022;14:00;15:00;186
06.01.2022;15:00;16:00;187
06.01.2022;16:00;17:00;187
06.01.2022;17:00;18:00;186
06.01.2022;18:00;19:00;186
06.01.2022;19:00;20:00;186
06.01.2022;20:00;21:00;187
06.01.2022;21:00;22:00;187
06.01.2022;22:00;23:00;187
06.01.2022;23:00;00:00;187
07.01.2022;00:00;01:00;187
07.01.2022;01:00;02:00;187
07.01.2022;02:00;03:00;187
07.01.2022;03:00;04:00;187
07.01.2022;04:00;05:00;187
07.01.2022;05:00;06:00;187
07.01.2022;06:00;07:00;187
07.01.2022;07:00;08:00;187
07.01.2022;08:00;09:00;187
07.01.2022;09:00;10:00;187
07.01.2022;10:00;11:00;187
07.01.2022;11:00;12:00;187
07.01.2022;12:00;13:00;186
07.01.2022;13:00;14:00;187
07.01.2022;14:00;15:00;187
07.01.2022;15:00;16:00;187
07.01.2022;16:00;17:00;187
07.01.2022;17:00;18:00;186
07.01.2022;18:00;19:00;184
07.01.2022;19:00;20:00;184
07.01.2022;20:00;21:00;183
07.01.2022;21:00;22:00;182
07.01.2022;22:00;23:00;183
07.01.2022;23:00;00:00;182
08.01.2022;00:00;01:00;181
08.01.2022;01:00;02:00;181
08.01.2022;02:00;03:00;181
08.01.2022;03:00;04:00;181
08.01.2022;04:00;05:00;179
08.01.2022;05:00;06:00;176
08.01.2022;06:00;07:00;177
08.01.2022;07:00;08:00;177
08.01.2022;08:00;09:00;178
08.01.2022;09:00;10:00;178
08.01.2022;10:00;11:00;179
08.01.2022;11:00;12:00;180
08.01.2022;12:00;13:00;178
08.01.2022;13:00;14:00;176
08.01.2022;14:00;15:00;175
08.01.2022;15:00;16:00;172
08.01.2022;16:00;17:00;173
08.01.2022;17:00;18:00;177
08.01.2022;18:00;19:00;177
08.01.2022;19:00;20:00;176
08.01.2022;20:00;21:00;171
08.01.2022;21:00;22:00;169
08.01.2022;22:00;23:00;168
08.01.2022;23:00;00:00;168
09.01.2022;00:00;01:00;167
09.01.2022;01:00;02:00;167
09.01.2022;02:00;03:00;166
09.01.2022;03:00;04:00;168
09.01.2022;04:00;05:00;166
09.01.2022;05:00;06:00;166
09.01.2022;06:00;07:00;166
09.01.2022;07:00;08:00;166
09.01.2022;08:00;09:00;164
09.01.2022;09:00;10:00;165
09.01.2022;10:00;11:00;165
09.01.2022;11:00;12:00;164
09.01.2022;12:00;13:00;163
09.01.2022;13:00;14:00;163
09.01.2022;14:00;15:00;162
09.01.2022;15:00;16:00;162
09.01.2022;16:00;17:00;162
09.01.2022;17:00;18:00;162
09.01.2022;18:00;19:00;164
09.01.2022;19:00;20:00;165
09.01.2022;20:00;21:00;164
09.01.2022;21:00;22:00;160
09.01.2022;22:00;23:00;160
09.01.2022;23:00;00:00;160
10.01.2022;00:00;01:00;161
10.01.2022;01:00;02:00;161
10.01.2022;02:00;03:00;161
10.01.2022;03:00;04:00;160
10.01.2022;04:00;05:00;160
10.01.2022;05:00;06:00;161
10.01.2022;06:00;07:00;160
10.01.2022;07:00;08:00;161
10.01.2022;08:00;09:00;161
10.01.2022;09:00;10:00;156
10.01.2022;10:00;11:00;153
10.01.2022;11:00;12:00;154
10.01.2022;12:00;13:00;156
10.01.2022;13:00;14:00;156
10.01.2022;14:00;15:00;156
10.01.2022;15:00;16:00;156
10.01.2022;16:00;17:00;158
10.01.2022;17:00;18:00;158
10.01.2022;18:00;19:00;155
10.01.2022;19:00;20:00;156
10.01.2022;20:00;21:00;155
10.01.2022;21:00;22:00;155
10.01.2022;22:00;23:00;154
10.01.2022;23:00;00:00;154
11.01.2022;00:00;01:00;154
11.01.2022;01:00;02:00;153
11.01.2022;02:00;03:00;152
11.01.2022;03:00;04:00;150
11.01.2022;04:00;05:00;154
11.01.2022;05:00;06:00;159
11.01.2022;06:00;07:00;161
11.01.2022;07:00;08:00;163
11.01.2022;08:00;09:00;160
11.01.2022;09:00;10:00;158
11.01.2022;10:00;11:00;158
11.01.2022;11:00;12:00;157
11.01.2022;12:00;13:00;157
11.01.2022;13:00;14:00;156
11.01.2022;14:00;15:00;155
11.01.2022;15:00;16:00;156
11.01.2022;16:00;17:00;157
11.01.2022;17:00;18:00;156
11.01.2022;18:00;19:00;157
11.01.2022;19:00;20:00;158
11.01.2022;20:00;21:00;155
11.01.2022;21:00;22:00;150
11.01.2022;22:00;23:00;152
11.01.2022;23:00;00:00;151
12.01.2022;00:00;01:00;151
12.01.2022;01:00;02:00;150
12.01.2022;02:00;03:00;148
12.01.2022;03:00;04:00;150
12.01.2022;04:00;05:00;152
12.01.2022;05:00;06:00;151
12.01.2022;06:00;07:00;151
12.01.2022;07:00;08:00;155
12.01.2022;08:00;09:00;153
12.01.2022;09:00;10:00;155
12.01.2022;10:00;11:00;156
12.01.2022;11:00;12:00;153
12.01.2022;12:00;13:00;149
12.01.2022;13:00;14:00;146
12.01.2022;14:00;15:00;145
12.01.2022;15:00;16:00;150
12.01.2022;16:00;17:00;152
12.01.2022;17:00;18:00;154
12.01.2022;18:00;19:00;155
12.01.2022;19:00;20:00;155
12.01.2022;20:00;21:00;152
12.01.2022;21:00;22:00;146
12.01.2022;22:00;23:00;145
12.01.2022;23:00;00:00;143
13.01.2022;00:00;01:00;143
13.01.2022;01:00;02:00;143
13.01.2022;02:00;03:00;145
13.01.2022;03:00;04:00;147
13.01.2022;04:00;05:00;148
13.01.2022;05:00;06:00;149
13.01.2022;06:00;07:00;150
13.01.2022;07:00;08:00;149
13.01.2022;08:00;09:00;147
13.01.2022;09:00;10:00;147
13.01.2022;10:00;11:00;146
13.01.2022;11:00;12:00;144
13.01.2022;12:00;13:00;144
13.01.2022;13:00;14:00;143
13.01.2022;14:00;15:00;142
13.01.2022;15:00;16:00;143
13.01.2022;16:00;17:00;142
13.01.2022;17:00;18:00;142
13.01.2022;18:00;19:00;147
13.01.2022;19:00;20:00;146
13.01.2022;20:00;21:00;144
13.01.2022;21:00;22:00;140
13.01.2022;22:00;23:00;139
13.01.2022;23:00;00:00;138
14.01.2022;00:00;01:00;139
14.01.2022;01:00;02:00;137
14.01.2022;02:00;03:00;136
