Datum;Anfang;Ende;Generation_DE GT B [MW] Originalauflösungen;Generation_DE GT A [MW] Originalauflösungen;Generation_DE Heizkraftwerk Wedel Block 2 [MW] Originalauflösungen;Generation_DE Heizkraftwerk Wedel Block 1 [MW] Originalauflösungen
01.01.2019;00:00;01:00;-;-;37;0
01.01.2019;01:00;02:00;-;-;37;0
01.01.2019;02:00;03:00;-;-;37;0
01.01.2019;03:00;04:00;-;-;36;0
01.01.2019;04:00;05:00;-;-;36;0
01.01.2019;05:00;06:00;-;-;36;0
01.01.2019;06:00;07:00;-;-;37;0
01.01.2019;07:00;08:00;-;-;37;0
01.01.2019;08:00;09:00;-;-;37;0
01.01.2019;09:00;10:00;-;-;37;0
01.01.2019;10:00;11:00;-;-;37;0
01.01.2019;11:00;12:00;-;-;37;0
01.01.2019;12:00;13:00;-;-;37;0
01.01.2019;13:00;14:00;-;-;37;0
01.01.2019;14:00;15:00;-;-;36;0
01.01.2019;15:00;16:00;-;-;37;0
01.01.2019;16:00;17:00;-;-;41;0
01.01.2019;17:00;18:00;-;-;44;0
01.01.2019;18:00;19:00;-;-;45;0
01.01.2019;19:00;20:00;-;-;52;0
01.01.2019;20:00;21:00;-;-;54;0
01.01.2019;21:00;22:00;-;-;53;0
01.01.2019;22:00;23:00;-;-;54;0
01.01.2019;23:00;00:00;-;-;53;0
02.01.2019;00:00;01:00;-;-;54;0
02.01.2019;01:00;02:00;-;-;53;0
02.01.2019;02:00;03:00;-;-;54;0
02.01.2019;03:00;04:00;-;-;57;0
02.01.2019;04:00;05:00;-;-;55;0
02.01.2019;05:00;06:00;-;-;71;0
02.01.2019;06:00;07:00;-;-;82;0
02.01.2019;07:00;08:00;-;-;82;1
02.01.2019;08:00;09:00;-;-;84;12
02.01.2019;09:00;10:00;-;-;87;35
02.01.2019;10:00;11:00;-;-;72;47
02.01.2019;11:00;12:00;-;-;71;55
02.01.2019;12:00;13:00;-;-;65;56
02.01.2019;13:00;14:00;-;-;48;59
02.01.2019;14:00;15:00;-;-;52;63
02.01.2019;15:00;16:00;-;-;97;78
02.01.2019;16:00;17:00;-;-;100;87
02.01.2019;17:00;18:00;-;-;93;96
02.01.2019;18:00;19:00;-;-;91;96
02.01.2019;19:00;20:00;-;-;91;96
02.01.2019;20:00;21:00;-;-;90;95
02.01.2019;21:00;22:00;-;-;91;65
02.01.2019;22:00;23:00;-;-;88;59
02.01.2019;23:00;00:00;-;-;75;57
03.01.2019;00:00;01:00;-;-;71;57
03.01.2019;01:00;02:00;-;-;71;57
03.01.2019;02:00;03:00;-;-;71;57
03.01.2019;03:00;04:00;-;-;71;58
03.01.2019;04:00;05:00;-;-;71;58
03.01.2019;05:00;06:00;-;-;71;58
03.01.2019;06:00;07:00;-;-;72;62
03.01.2019;07:00;08:00;-;-;77;84
