Date;Start;End;Generation_DE GT B [MW] Original resolutions;Generation_DE GT A [MW] Original resolutions;Generation_DE Heizkraftwerk Wedel Block 2 [MW] Original resolutions;Generation_DE Heizkraftwerk Wedel Block 1 [MW] Original resolutions
01.01.2021;00:00;01:00;-;-;68;54
01.01.2021;01:00;02:00;-;-;68;53
01.01.2021;02:00;03:00;-;-;68;53
01.01.2021;03:00;04:00;-;-;69;53
01.01.2021;04:00;05:00;-;-;68;54
01.01.2021;05:00;06:00;-;-;68;53
01.01.2021;06:00;07:00;-;-;69;54
01.01.2021;07:00;08:00;-;-;68;56
01.01.2021;08:00;09:00;-;-;68;57
01.01.2021;09:00;10:00;-;-;69;57
01.01.2021;10:00;11:00;-;-;69;57
01.01.2021;11:00;12:00;-;-;69;56
01.01.2021;12:00;13:00;-;-;68;57
01.01.2021;13:00;14:00;-;-;68;58
01.01.2021;14:00;15:00;-;-;67;50
01.01.2021;15:00;16:00;-;-;66;46
01.01.2021;16:00;17:00;-;-;66;52
01.01.2021;17:00;18:00;-;-;88;101
01.01.2021;18:00;19:00;-;-;92;113
01.01.2021;19:00;20:00;-;-;92;111
01.01.2021;20:00;21:00;-;-;92;111
01.01.2021;21:00;22:00;-;-;75;108
01.01.2021;22:00;23:00;-;-;70;55
01.01.2021;23:00;00:00;-;-;68;42
02.01.2021;00:00;01:00;-;-;64;41
02.01.2021;01:00;02:00;-;-;61;41
02.01.2021;02:00;03:00;-;-;61;40
02.01.2021;03:00;04:00;-;-;61;42
02.01.2021;04:00;05:00;-;-;61;45
02.01.2021;05:00;06:00;-;-;62;44
02.01.2021;06:00;07:00;-;-;62;43
02.01.2021;07:00;08:00;-;-;63;49
02.01.2021;08:00;09:00;-;-;61;49
02.01.2021;09:00;10:00;-;-;60;47
02.01.2021;10:00;11:00;-;-;72;60
02.01.2021;11:00;12:00;-;-;95;103
02.01.2021;12:00;13:00;-;-;95;107
02.01.2021;13:00;14:00;-;-;96;108
02.01.2021;14:00;15:00;-;-;96;108
02.01.2021;15:00;16:00;-;-;97;109
02.01.2021;16:00;17:00;-;-;97;107
02.01.2021;17:00;18:00;-;-;96;106
02.01.2021;18:00;19:00;-;-;97;107
02.01.2021;19:00;20:00;-;-;97;107
02.01.2021;20:00;21:00;-;-;93;103
02.01.2021;21:00;22:00;-;-;65;59
02.01.2021;22:00;23:00;-;-;60;53
02.01.2021;23:00;00:00;-;-;62;43
03.01.2021;00:00;01:00;-;-;62;43
03.01.2021;01:00;02:00;-;-;61;43
03.01.2021;02:00;03:00;-;-;64;49
03.01.2021;03:00;04:00;-;-;64;48
03.01.2021;04:00;05:00;-;-;64;49
03.01.2021;05:00;06:00;-;-;64;49
03.01.2021;06:00;07:00;-;-;65;51
03.01.2021;07:00;08:00;-;-;66;51
03.01.2021;08:00;09:00;-;-;66;50
03.01.2021;09:00;10:00;-;-;67;52
03.01.2021;10:00;11:00;-;-;67;53
03.01.2021;11:00;12:00;-;-;66;50
03.01.2021;12:00;13:00;-;-;66;45
03.01.2021;13:00;14:00;-;-;65;46
03.01.2021;14:00;15:00;-;-;65;47
03.01.2021;15:00;16:00;-;-;66;45
