Datum;Anfang;Ende;Generation_DE Heizkraftwerk Wedel Block 2 [MW] Originalauflösungen;Generation_DE Heizkraftwerk Wedel Block 1 [MW] Originalauflösungen;Generation_DE GTKW Wedel [MW] Originalauflösungen
01.01.2023;00:00;01:00;62;0;-
01.01.2023;01:00;02:00;62;0;-
01.01.2023;02:00;03:00;63;0;-
01.01.2023;03:00;04:00;65;0;-
01.01.2023;04:00;05:00;65;0;-
01.01.2023;05:00;06:00;64;0;-
01.01.2023;06:00;07:00;63;0;-
01.01.2023;07:00;08:00;62;0;-
01.01.2023;08:00;09:00;62;0;-
01.01.2023;09:00;10:00;63;0;-
01.01.2023;10:00;11:00;62;0;-
01.01.2023;11:00;12:00;54;0;-
01.01.2023;12:00;13:00;49;0;-
01.01.2023;13:00;14:00;50;0;-
01.01.2023;14:00;15:00;50;0;-
01.01.2023;15:00;16:00;53;0;-
01.01.2023;16:00;17:00;58;0;-
01.01.2023;17:00;18:00;61;0;-
01.01.2023;18:00;19:00;63;0;-
01.01.2023;19:00;20:00;63;0;-
01.01.2023;20:00;21:00;63;0;-
01.01.2023;21:00;22:00;61;0;-
01.01.2023;22:00;23:00;60;0;-
01.01.2023;23:00;00:00;60;0;-
02.01.2023;00:00;01:00;60;0;-
02.01.2023;01:00;02:00;60;0;-
02.01.2023;02:00;03:00;59;0;-
02.01.2023;03:00;04:00;60;0;-
02.01.2023;04:00;05:00;59;0;-
02.01.2023;05:00;06:00;59;0;-
02.01.2023;06:00;07:00;60;0;-
02.01.2023;07:00;08:00;63;0;-
02.01.2023;08:00;09:00;67;0;-
02.01.2023;09:00;10:00;69;0;-
02.01.2023;10:00;11:00;70;0;-
02.01.2023;11:00;12:00;71;0;-
02.01.2023;12:00;13:00;71;0;-
02.01.2023;13:00;14:00;72;0;-
02.01.2023;14:00;15:00;73;0;-
02.01.2023;15:00;16:00;74;0;-
02.01.2023;16:00;17:00;76;0;-
02.01.2023;17:00;18:00;76;0;-
02.01.2023;18:00;19:00;76;0;-
02.01.2023;19:00;20:00;76;0;-
02.01.2023;20:00;21:00;76;0;-
02.01.2023;21:00;22:00;72;0;-
02.01.2023;22:00;23:00;72;0;-
02.01.2023;23:00;00:00;73;0;-
03.01.2023;00:00;01:00;72;0;-
03.01.2023;01:00;02:00;69;0;-
03.01.2023;02:00;03:00;68;0;-
03.01.2023;03:00;04:00;65;0;-
03.01.2023;04:00;05:00;63;0;-
03.01.2023;05:00;06:00;75;0;-
03.01.2023;06:00;07:00;76;0;-
03.01.2023;07:00;08:00;77;0;-
03.01.2023;08:00;09:00;76;0;-
03.01.2023;09:00;10:00;76;0;-
03.01.2023;10:00;11:00;41;0;-
03.01.2023;11:00;12:00;0;0;-
03.01.2023;12:00;13:00;0;0;-
03.01.2023;13:00;14:00;1;0;-
03.01.2023;14:00;15:00;42;0;-
03.01.2023;15:00;16:00;58;0;-
03.01.2023;16:00;17:00;73;0;-
03.01.2023;17:00;18:00;69;0;-
03.01.2023;18:00;19:00;70;0;-
03.01.2023;19:00;20:00;70;0;-
03.01.2023;20:00;21:00;71;0;-
03.01.2023;21:00;22:00;69;0;-
03.01.2023;22:00;23:00;69;0;-
03.01.2023;23:00;00:00;71;0;-
04.01.2023;00:00;01:00;72;0;-
04.01.2023;01:00;02:00;72;0;-
04.01.2023;02:00;03:00;71;0;-
04.01.2023;03:00;04:00;72;0;-
04.01.2023;04:00;05:00;72;0;-
04.01.2023;05:00;06:00;70;0;-
04.01.2023;06:00;07:00;72;0;-
04.01.2023;07:00;08:00;70;0;-
04.01.2023;08:00;09:00;71;0;-
04.01.2023;09:00;10:00;72;0;-
04.01.2023;10:00;11:00;68;0;-
04.01.2023;11:00;12:00;61;0;-
04.01.2023;12:00;13:00;62;0;-
04.01.2023;13:00;14:00;63;0;-
04.01.2023;14:00;15:00;69;0;-
04.01.2023;15:00;16:00;72;0;-
04.01.2023;16:00;17:00;70;0;-
04.01.2023;17:00;18:00;70;0;-
04.01.2023;18:00;19:00;68;0;-
04.01.2023;19:00;20:00;66;0;-
04.01.2023;20:00;21:00;66;0;-
04.01.2023;21:00;22:00;66;0;-
