Datum;Anfang;Ende;Generation_DE Wehr A [MW] Originalauflösungen
01.01.2017;00:00;01:00;0
01.01.2017;01:00;02:00;0
01.01.2017;02:00;03:00;27
01.01.2017;03:00;04:00;0
01.01.2017;04:00;05:00;0
01.01.2017;05:00;06:00;0
01.01.2017;06:00;07:00;0
01.01.2017;07:00;08:00;14
01.01.2017;08:00;09:00;132
01.01.2017;09:00;10:00;66
01.01.2017;10:00;11:00;42
01.01.2017;11:00;12:00;0
01.01.2017;12:00;13:00;0
01.01.2017;13:00;14:00;3
01.01.2017;14:00;15:00;92
01.01.2017;15:00;16:00;38
01.01.2017;16:00;17:00;116
01.01.2017;17:00;18:00;183
01.01.2017;18:00;19:00;104
01.01.2017;19:00;20:00;136
01.01.2017;20:00;21:00;143
01.01.2017;21:00;22:00;111
01.01.2017;22:00;23:00;13
01.01.2017;23:00;00:00;106
02.01.2017;00:00;01:00;0
02.01.2017;01:00;02:00;11
02.01.2017;02:00;03:00;3
02.01.2017;03:00;04:00;0
02.01.2017;04:00;05:00;0
02.01.2017;05:00;06:00;0
02.01.2017;06:00;07:00;29
02.01.2017;07:00;08:00;0
02.01.2017;08:00;09:00;143
02.01.2017;09:00;10:00;271
02.01.2017;10:00;11:00;262
02.01.2017;11:00;12:00;216
02.01.2017;12:00;13:00;47
02.01.2017;13:00;14:00;64
02.01.2017;14:00;15:00;32
02.01.2017;15:00;16:00;39
02.01.2017;16:00;17:00;23
02.01.2017;17:00;18:00;75
02.01.2017;18:00;19:00;8
02.01.2017;19:00;20:00;52
02.01.2017;20:00;21:00;67
02.01.2017;21:00;22:00;38
02.01.2017;22:00;23:00;71
02.01.2017;23:00;00:00;0
03.01.2017;00:00;01:00;0
03.01.2017;01:00;02:00;0
03.01.2017;02:00;03:00;0
03.01.2017;03:00;04:00;3
03.01.2017;04:00;05:00;0
03.01.2017;05:00;06:00;3
03.01.2017;06:00;07:00;10
03.01.2017;07:00;08:00;23
03.01.2017;08:00;09:00;146
03.01.2017;09:00;10:00;121
03.01.2017;10:00;11:00;185
03.01.2017;11:00;12:00;189
03.01.2017;12:00;13:00;160
03.01.2017;13:00;14:00;59
03.01.2017;14:00;15:00;71
03.01.2017;15:00;16:00;0
03.01.2017;16:00;17:00;70
03.01.2017;17:00;18:00;110
03.01.2017;18:00;19:00;116
03.01.2017;19:00;20:00;122
03.01.2017;20:00;21:00;15
03.01.2017;21:00;22:00;77
