Datum;Anfang;Ende;Generation_DE Wehr B [MW] Originalauflösungen
01.01.2020;00:00;01:00;95
01.01.2020;01:00;02:00;0
01.01.2020;02:00;03:00;28
01.01.2020;03:00;04:00;0
01.01.2020;04:00;05:00;0
01.01.2020;05:00;06:00;0
01.01.2020;06:00;07:00;0
01.01.2020;07:00;08:00;0
01.01.2020;08:00;09:00;0
01.01.2020;09:00;10:00;0
01.01.2020;10:00;11:00;0
01.01.2020;11:00;12:00;0
01.01.2020;12:00;13:00;0
01.01.2020;13:00;14:00;0
01.01.2020;14:00;15:00;0
01.01.2020;15:00;16:00;159
01.01.2020;16:00;17:00;169
01.01.2020;17:00;18:00;4
01.01.2020;18:00;19:00;0
01.01.2020;19:00;20:00;0
01.01.2020;20:00;21:00;0
01.01.2020;21:00;22:00;6
01.01.2020;22:00;23:00;56
01.01.2020;23:00;00:00;15
02.01.2020;00:00;01:00;0
02.01.2020;01:00;02:00;0
02.01.2020;02:00;03:00;0
02.01.2020;03:00;04:00;0
02.01.2020;04:00;05:00;0
02.01.2020;05:00;06:00;0
02.01.2020;06:00;07:00;0
02.01.2020;07:00;08:00;6
02.01.2020;08:00;09:00;217
02.01.2020;09:00;10:00;200
02.01.2020;10:00;11:00;209
02.01.2020;11:00;12:00;215
02.01.2020;12:00;13:00;200
02.01.2020;13:00;14:00;200
02.01.2020;14:00;15:00;6
02.01.2020;15:00;16:00;0
02.01.2020;16:00;17:00;15
02.01.2020;17:00;18:00;21
02.01.2020;18:00;19:00;167
02.01.2020;19:00;20:00;81
02.01.2020;20:00;21:00;56
02.01.2020;21:00;22:00;0
02.01.2020;22:00;23:00;0
02.01.2020;23:00;00:00;0
03.01.2020;00:00;01:00;0
03.01.2020;01:00;02:00;0
03.01.2020;02:00;03:00;0
03.01.2020;03:00;04:00;0
03.01.2020;04:00;05:00;0
03.01.2020;05:00;06:00;0
03.01.2020;06:00;07:00;0
03.01.2020;07:00;08:00;0
03.01.2020;08:00;09:00;0
03.01.2020;09:00;10:00;0
03.01.2020;10:00;11:00;0
03.01.2020;11:00;12:00;0
03.01.2020;12:00;13:00;0
03.01.2020;13:00;14:00;0
03.01.2020;14:00;15:00;0
03.01.2020;15:00;16:00;14
03.01.2020;16:00;17:00;175
03.01.2020;17:00;18:00;206
03.01.2020;18:00;19:00;194
03.01.2020;19:00;20:00;218
03.01.2020;20:00;21:00;220
03.01.2020;21:00;22:00;220
03.01.2020;22:00;23:00;56
03.01.2020;23:00;00:00;0
04.01.2020;00:00;01:00;0
04.01.2020;01:00;02:00;0
04.01.2020;02:00;03:00;0
04.01.2020;03:00;04:00;0
04.01.2020;04:00;05:00;0
04.01.2020;05:00;06:00;0
04.01.2020;06:00;07:00;0
04.01.2020;07:00;08:00;0
04.01.2020;08:00;09:00;0
04.01.2020;09:00;10:00;0
04.01.2020;10:00;11:00;0
04.01.2020;11:00;12:00;0
04.01.2020;12:00;13:00;0
04.01.2020;13:00;14:00;0
04.01.2020;14:00;15:00;0
04.01.2020;15:00;16:00;0
04.01.2020;16:00;17:00;0
04.01.2020;17:00;18:00;0
04.01.2020;18:00;19:00;53
04.01.2020;19:00;20:00;60
04.01.2020;20:00;21:00;95
04.01.2020;21:00;22:00;143
04.01.2020;22:00;23:00;159
04.01.2020;23:00;00:00;198
05.01.2020;00:00;01:00;0
05.01.2020;01:00;02:00;0
05.01.2020;02:00;03:00;34
05.01.2020;03:00;04:00;0
05.01.2020;04:00;05:00;0
05.01.2020;05:00;06:00;0
05.01.2020;06:00;07:00;0
05.01.2020;07:00;08:00;0
05.01.2020;08:00;09:00;0
05.01.2020;09:00;10:00;0
05.01.2020;10:00;11:00;0
05.01.2020;11:00;12:00;0
05.01.2020;12:00;13:00;0
05.01.2020;13:00;14:00;0
05.01.2020;14:00;15:00;0
05.01.2020;15:00;16:00;0
05.01.2020;16:00;17:00;0
05.01.2020;17:00;18:00;0
05.01.2020;18:00;19:00;60
05.01.2020;19:00;20:00;30
05.01.2020;20:00;21:00;0
05.01.2020;21:00;22:00;0
05.01.2020;22:00;23:00;0
05.01.2020;23:00;00:00;0
06.01.2020;00:00;01:00;0
06.01.2020;01:00;02:00;0
06.01.2020;02:00;03:00;0
06.01.2020;03:00;04:00;0
06.01.2020;04:00;05:00;0
06.01.2020;05:00;06:00;0
06.01.2020;06:00;07:00;63
06.01.2020;07:00;08:00;147
06.01.2020;08:00;09:00;128
06.01.2020;09:00;10:00;142
06.01.2020;10:00;11:00;11
06.01.2020;11:00;12:00;7
06.01.2020;12:00;13:00;69
06.01.2020;13:00;14:00;21
06.01.2020;14:00;15:00;0
06.01.2020;15:00;16:00;0
06.01.2020;16:00;17:00;1
06.01.2020;17:00;18:00;83
06.01.2020;18:00;19:00;86
06.01.2020;19:00;20:00;89
06.01.2020;20:00;21:00;31
06.01.2020;21:00;22:00;1
06.01.2020;22:00;23:00;0
06.01.2020;23:00;00:00;0
07.01.2020;00:00;01:00;0
07.01.2020;01:00;02:00;59
07.01.2020;02:00;03:00;0
07.01.2020;03:00;04:00;0
07.01.2020;04:00;05:00;0
07.01.2020;05:00;06:00;16
07.01.2020;06:00;07:00;83
07.01.2020;07:00;08:00;178
07.01.2020;08:00;09:00;100
07.01.2020;09:00;10:00;205
07.01.2020;10:00;11:00;233
