Datum;Anfang;Ende;Generation_DE Wehr B [MW] Originalauflösungen
01.01.2022;00:00;01:00;0
01.01.2022;01:00;02:00;0
01.01.2022;02:00;03:00;0
01.01.2022;03:00;04:00;0
01.01.2022;04:00;05:00;0
01.01.2022;05:00;06:00;0
01.01.2022;06:00;07:00;0
01.01.2022;07:00;08:00;0
01.01.2022;08:00;09:00;0
01.01.2022;09:00;10:00;0
01.01.2022;10:00;11:00;0
01.01.2022;11:00;12:00;0
01.01.2022;12:00;13:00;0
01.01.2022;13:00;14:00;0
01.01.2022;14:00;15:00;0
01.01.2022;15:00;16:00;13
01.01.2022;16:00;17:00;114
01.01.2022;17:00;18:00;159
01.01.2022;18:00;19:00;317
01.01.2022;19:00;20:00;253
01.01.2022;20:00;21:00;162
01.01.2022;21:00;22:00;74
01.01.2022;22:00;23:00;99
01.01.2022;23:00;00:00;56
02.01.2022;00:00;01:00;0
02.01.2022;01:00;02:00;0
02.01.2022;02:00;03:00;0
02.01.2022;03:00;04:00;0
02.01.2022;04:00;05:00;0
02.01.2022;05:00;06:00;0
02.01.2022;06:00;07:00;0
02.01.2022;07:00;08:00;0
02.01.2022;08:00;09:00;0
02.01.2022;09:00;10:00;0
02.01.2022;10:00;11:00;0
02.01.2022;11:00;12:00;0
02.01.2022;12:00;13:00;0
02.01.2022;13:00;14:00;0
02.01.2022;14:00;15:00;0
02.01.2022;15:00;16:00;0
02.01.2022;16:00;17:00;0
02.01.2022;17:00;18:00;0
02.01.2022;18:00;19:00;94
02.01.2022;19:00;20:00;192
02.01.2022;20:00;21:00;174
02.01.2022;21:00;22:00;188
02.01.2022;22:00;23:00;205
02.01.2022;23:00;00:00;98
03.01.2022;00:00;01:00;0
03.01.2022;01:00;02:00;0
03.01.2022;02:00;03:00;0
03.01.2022;03:00;04:00;0
03.01.2022;04:00;05:00;0
03.01.2022;05:00;06:00;0
03.01.2022;06:00;07:00;0
03.01.2022;07:00;08:00;0
03.01.2022;08:00;09:00;39
03.01.2022;09:00;10:00;45
03.01.2022;10:00;11:00;73
03.01.2022;11:00;12:00;68
03.01.2022;12:00;13:00;1
03.01.2022;13:00;14:00;51
03.01.2022;14:00;15:00;0
03.01.2022;15:00;16:00;168
03.01.2022;16:00;17:00;134
03.01.2022;17:00;18:00;148
03.01.2022;18:00;19:00;33
03.01.2022;19:00;20:00;131
03.01.2022;20:00;21:00;72
03.01.2022;21:00;22:00;0
03.01.2022;22:00;23:00;0
03.01.2022;23:00;00:00;0
04.01.2022;00:00;01:00;0
04.01.2022;01:00;02:00;0
04.01.2022;02:00;03:00;0
04.01.2022;03:00;04:00;0
04.01.2022;04:00;05:00;0
04.01.2022;05:00;06:00;0
04.01.2022;06:00;07:00;0
04.01.2022;07:00;08:00;0
04.01.2022;08:00;09:00;104
04.01.2022;09:00;10:00;167
04.01.2022;10:00;11:00;179
04.01.2022;11:00;12:00;56
04.01.2022;12:00;13:00;171
04.01.2022;13:00;14:00;22
04.01.2022;14:00;15:00;0
04.01.2022;15:00;16:00;0
04.01.2022;16:00;17:00;106
04.01.2022;17:00;18:00;174
04.01.2022;18:00;19:00;196
04.01.2022;19:00;20:00;165
04.01.2022;20:00;21:00;191
04.01.2022;21:00;22:00;58
04.01.2022;22:00;23:00;53
04.01.2022;23:00;00:00;0
05.01.2022;00:00;01:00;16
05.01.2022;01:00;02:00;0
05.01.2022;02:00;03:00;0
05.01.2022;03:00;04:00;0
05.01.2022;04:00;05:00;0
05.01.2022;05:00;06:00;0
05.01.2022;06:00;07:00;0
05.01.2022;07:00;08:00;0
05.01.2022;08:00;09:00;0
05.01.2022;09:00;10:00;0
05.01.2022;10:00;11:00;75
05.01.2022;11:00;12:00;0
05.01.2022;12:00;13:00;0
05.01.2022;13:00;14:00;0
05.01.2022;14:00;15:00;0
05.01.2022;15:00;16:00;0
05.01.2022;16:00;17:00;88
05.01.2022;17:00;18:00;147
05.01.2022;18:00;19:00;2
05.01.2022;19:00;20:00;0
05.01.2022;20:00;21:00;0
05.01.2022;21:00;22:00;0
05.01.2022;22:00;23:00;0
05.01.2022;23:00;00:00;0
06.01.2022;00:00;01:00;0
06.01.2022;01:00;02:00;0
06.01.2022;02:00;03:00;0
06.01.2022;03:00;04:00;0
06.01.2022;04:00;05:00;0
06.01.2022;05:00;06:00;0
06.01.2022;06:00;07:00;85
06.01.2022;07:00;08:00;145
06.01.2022;08:00;09:00;212
06.01.2022;09:00;10:00;159
06.01.2022;10:00;11:00;148
06.01.2022;11:00;12:00;72
06.01.2022;12:00;13:00;38
06.01.2022;13:00;14:00;0
06.01.2022;14:00;15:00;34
06.01.2022;15:00;16:00;166
06.01.2022;16:00;17:00;159
06.01.2022;17:00;18:00;130
06.01.2022;18:00;19:00;52
06.01.2022;19:00;20:00;32
06.01.2022;20:00;21:00;0
06.01.2022;21:00;22:00;0
06.01.2022;22:00;23:00;83
06.01.2022;23:00;00:00;31
07.01.2022;00:00;01:00;0
07.01.2022;01:00;02:00;0
07.01.2022;02:00;03:00;0
07.01.2022;03:00;04:00;0
07.01.2022;04:00;05:00;0
07.01.2022;05:00;06:00;0
07.01.2022;06:00;07:00;0
07.01.2022;07:00;08:00;0
07.01.2022;08:00;09:00;0
07.01.2022;09:00;10:00;0
07.01.2022;10:00;11:00;0
07.01.2022;11:00;12:00;0
07.01.2022;12:00;13:00;0
07.01.2022;13:00;14:00;0
07.01.2022;14:00;15:00;0
07.01.2022;15:00;16:00;0
07.01.2022;16:00;17:00;1
07.01.2022;17:00;18:00;156
07.01.2022;18:00;19:00;205
07.01.2022;19:00;20:00;164
07.01.2022;20:00;21:00;40
07.01.2022;21:00;22:00;30
07.01.2022;22:00;23:00;0
07.01.2022;23:00;00:00;0
08.01.2022;00:00;01:00;0
08.01.2022;01:00;02:00;0
08.01.2022;02:00;03:00;0
08.01.2022;03:00;04:00;0
08.01.2022;04:00;05:00;48
08.01.2022;05:00;06:00;26
08.01.2022;06:00;07:00;0
08.01.2022;07:00;08:00;0
08.01.2022;08:00;09:00;0
08.01.2022;09:00;10:00;33
08.01.2022;10:00;11:00;197
08.01.2022;11:00;12:00;211
08.01.2022;12:00;13:00;53
08.01.2022;13:00;14:00;0
08.01.2022;14:00;15:00;0
08.01.2022;15:00;16:00;0
08.01.2022;16:00;17:00;0
08.01.2022;17:00;18:00;0
08.01.2022;18:00;19:00;0
08.01.2022;19:00;20:00;109
08.01.2022;20:00;21:00;54
08.01.2022;21:00;22:00;0
08.01.2022;22:00;23:00;0
08.01.2022;23:00;00:00;0
09.01.2022;00:00;01:00;0
09.01.2022;01:00;02:00;0
09.01.2022;02:00;03:00;0
09.01.2022;03:00;04:00;0
09.01.2022;04:00;05:00;0
09.01.2022;05:00;06:00;0
09.01.2022;06:00;07:00;0
09.01.2022;07:00;08:00;0
09.01.2022;08:00;09:00;0
09.01.2022;09:00;10:00;0
09.01.2022;10:00;11:00;0
09.01.2022;11:00;12:00;32
09.01.2022;12:00;13:00;0
09.01.2022;13:00;14:00;0
09.01.2022;14:00;15:00;0
09.01.2022;15:00;16:00;53
09.01.2022;16:00;17:00;46
09.01.2022;17:00;18:00;162
09.01.2022;18:00;19:00;141
09.01.2022;19:00;20:00;0
09.01.2022;20:00;21:00;0
09.01.2022;21:00;22:00;0
09.01.2022;22:00;23:00;0
09.01.2022;23:00;00:00;0
10.01.2022;00:00;01:00;0
10.01.2022;01:00;02:00;0
10.01.2022;02:00;03:00;46
10.01.2022;03:00;04:00;10
10.01.2022;04:00;05:00;0
10.01.2022;05:00;06:00;96
10.01.2022;06:00;07:00;169
10.01.2022;07:00;08:00;32
10.01.2022;08:00;09:00;106
10.01.2022;09:00;10:00;102
10.01.2022;10:00;11:00;12
10.01.2022;11:00;12:00;84
10.01.2022;12:00;13:00;2
10.01.2022;13:00;14:00;127
10.01.2022;14:00;15:00;43
10.01.2022;15:00;16:00;176
10.01.2022;16:00;17:00;73
10.01.2022;17:00;18:00;58
10.01.2022;18:00;19:00;52
10.01.2022;19:00;20:00;6
10.01.2022;20:00;21:00;23
10.01.2022;21:00;22:00;0
10.01.2022;22:00;23:00;13
10.01.2022;23:00;00:00;53
11.01.2022;00:00;01:00;0
11.01.2022;01:00;02:00;0
11.01.2022;02:00;03:00;0
11.01.2022;03:00;04:00;0
11.01.2022;04:00;05:00;0
11.01.2022;05:00;06:00;0
11.01.2022;06:00;07:00;0
11.01.2022;07:00;08:00;0
11.01.2022;08:00;09:00;102
11.01.2022;09:00;10:00;156
11.01.2022;10:00;11:00;161
11.01.2022;11:00;12:00;0
11.01.2022;12:00;13:00;0
11.01.2022;13:00;14:00;0
11.01.2022;14:00;15:00;82
11.01.2022;15:00;16:00;90
11.01.2022;16:00;17:00;80
11.01.2022;17:00;18:00;70
11.01.2022;18:00;19:00;230
11.01.2022;19:00;20:00;162
11.01.2022;20:00;21:00;51
11.01.2022;21:00;22:00;0
11.01.2022;22:00;23:00;0
11.01.2022;23:00;00:00;0
12.01.2022;00:00;01:00;39
