Date;Start;End;Generation_DE D [MW] Original resolutions;Generation_DE C [MW] Original resolutions;Generation_DE E [MW] Original resolutions;Generation_DE Weisweiler G VGT [MW] Original resolutions;Generation_DE Weisweiler H VGT [MW] Original resolutions;Generation_DE Weisweiler F [MW] Original resolutions;Generation_DE Weisweiler G [MW] Original resolutions;Generation_DE Weisweiler H [MW] Original resolutions
01.01.2016;00:00;01:00;-;-;324;0;0;319;653;651
01.01.2016;01:00;02:00;-;-;321;0;0;319;653;651
01.01.2016;02:00;03:00;-;-;324;0;0;319;655;652
01.01.2016;03:00;04:00;-;-;323;0;0;320;655;653
01.01.2016;04:00;05:00;-;-;322;0;0;319;653;652
01.01.2016;05:00;06:00;-;-;324;0;0;320;654;652
01.01.2016;06:00;07:00;-;-;321;0;0;320;654;652
01.01.2016;07:00;08:00;-;-;323;0;0;320;654;652
01.01.2016;08:00;09:00;-;-;324;0;0;319;654;652
01.01.2016;09:00;10:00;-;-;324;0;0;319;652;652
01.01.2016;10:00;11:00;-;-;323;0;0;319;653;651
01.01.2016;11:00;12:00;-;-;322;0;0;319;653;652
01.01.2016;12:00;13:00;-;-;323;0;0;319;653;652
01.01.2016;13:00;14:00;-;-;323;0;0;319;653;652
01.01.2016;14:00;15:00;-;-;322;0;0;319;652;652
01.01.2016;15:00;16:00;-;-;324;0;0;320;653;651
01.01.2016;16:00;17:00;-;-;324;0;0;320;653;652
01.01.2016;17:00;18:00;-;-;322;0;0;319;653;652
01.01.2016;18:00;19:00;-;-;325;0;0;319;656;652
01.01.2016;19:00;20:00;-;-;323;0;0;320;652;652
01.01.2016;20:00;21:00;-;-;324;0;0;319;653;650
01.01.2016;21:00;22:00;-;-;323;0;0;320;654;652
01.01.2016;22:00;23:00;-;-;323;0;0;320;654;652
01.01.2016;23:00;00:00;-;-;326;0;0;319;654;652
02.01.2016;00:00;01:00;-;-;325;0;0;319;654;651
02.01.2016;01:00;02:00;-;-;323;0;0;319;617;614
02.01.2016;02:00;03:00;-;-;326;0;0;319;299;325
02.01.2016;03:00;04:00;-;-;245;0;0;259;247;255
02.01.2016;04:00;05:00;-;-;197;0;0;247;249;254
