Datum;Anfang;Ende;Generation_DE D [MW] Originalauflösungen;Generation_DE C [MW] Originalauflösungen;Generation_DE E [MW] Originalauflösungen;Generation_DE Weisweiler G VGT [MW] Originalauflösungen;Generation_DE Weisweiler H VGT [MW] Originalauflösungen;Generation_DE Weisweiler F [MW] Originalauflösungen;Generation_DE Weisweiler G [MW] Originalauflösungen;Generation_DE Weisweiler H [MW] Originalauflösungen
01.01.2017;00:00;01:00;-;-;322;0;0;323;657;656
01.01.2017;01:00;02:00;-;-;319;0;0;323;657;657
01.01.2017;02:00;03:00;-;-;321;0;0;324;658;657
01.01.2017;03:00;04:00;-;-;320;0;0;323;658;659
01.01.2017;04:00;05:00;-;-;321;0;0;323;658;658
01.01.2017;05:00;06:00;-;-;321;0;0;326;657;657
01.01.2017;06:00;07:00;-;-;320;0;0;323;655;657
01.01.2017;07:00;08:00;-;-;322;0;0;323;654;656
01.01.2017;08:00;09:00;-;-;323;0;0;327;656;655
01.01.2017;09:00;10:00;-;-;319;0;0;321;656;656
01.01.2017;10:00;11:00;-;-;319;0;0;324;655;656
01.01.2017;11:00;12:00;-;-;317;0;0;325;656;656
01.01.2017;12:00;13:00;-;-;319;0;0;323;656;656
01.01.2017;13:00;14:00;-;-;319;0;0;323;656;655
01.01.2017;14:00;15:00;-;-;320;0;0;327;659;665
01.01.2017;15:00;16:00;-;-;319;0;0;321;657;667
01.01.2017;16:00;17:00;-;-;320;0;0;323;656;665
01.01.2017;17:00;18:00;-;-;317;0;0;325;656;663
01.01.2017;18:00;19:00;-;-;321;0;0;322;658;664
01.01.2017;19:00;20:00;-;-;322;0;0;325;657;665
01.01.2017;20:00;21:00;-;-;320;0;0;324;656;665
01.01.2017;21:00;22:00;-;-;321;0;0;322;657;665
01.01.2017;22:00;23:00;-;-;316;0;0;323;657;666
01.01.2017;23:00;00:00;-;-;317;0;0;323;657;664
02.01.2017;00:00;01:00;-;-;318;0;0;323;656;664
02.01.2017;01:00;02:00;-;-;320;0;0;324;659;665
02.01.2017;02:00;03:00;-;-;322;0;0;325;658;666
02.01.2017;03:00;04:00;-;-;321;0;0;323;660;667
02.01.2017;04:00;05:00;-;-;321;0;0;321;661;666
02.01.2017;05:00;06:00;-;-;321;0;0;325;658;665
02.01.2017;06:00;07:00;-;-;321;0;0;322;656;664
02.01.2017;07:00;08:00;-;-;314;0;0;324;654;662
02.01.2017;08:00;09:00;-;-;318;0;0;324;656;630
02.01.2017;09:00;10:00;-;-;323;0;0;313;657;610
02.01.2017;10:00;11:00;-;-;283;0;0;216;656;579
02.01.2017;11:00;12:00;-;-;219;0;0;201;650;517
02.01.2017;12:00;13:00;-;-;201;0;0;203;608;516
02.01.2017;13:00;14:00;-;-;200;0;0;204;607;515
02.01.2017;14:00;15:00;-;-;199;0;0;201;608;516
02.01.2017;15:00;16:00;-;-;209;0;0;203;610;576
02.01.2017;16:00;17:00;-;-;281;0;0;286;653;665
02.01.2017;17:00;18:00;-;-;317;0;0;319;656;662
02.01.2017;18:00;19:00;-;-;311;0;0;318;643;665
02.01.2017;19:00;20:00;-;-;307;0;0;325;648;660
02.01.2017;20:00;21:00;-;-;317;0;0;326;656;667
02.01.2017;21:00;22:00;-;-;317;0;0;319;655;664
02.01.2017;22:00;23:00;-;-;312;0;0;318;656;657
02.01.2017;23:00;00:00;-;-;317;0;0;324;660;668
03.01.2017;00:00;01:00;-;-;315;0;0;324;661;664
03.01.2017;01:00;02:00;-;-;317;0;0;321;659;666
03.01.2017;02:00;03:00;-;-;315;0;0;320;653;665
03.01.2017;03:00;04:00;-;-;320;0;0;325;652;665
03.01.2017;04:00;05:00;-;-;318;0;0;321;658;666
03.01.2017;05:00;06:00;-;-;321;0;0;322;658;665
03.01.2017;06:00;07:00;-;-;318;0;0;320;655;660
03.01.2017;07:00;08:00;-;-;318;0;0;324;654;661
03.01.2017;08:00;09:00;-;-;321;0;0;322;655;663
03.01.2017;09:00;10:00;-;-;321;0;0;322;654;662
03.01.2017;10:00;11:00;-;-;319;0;0;320;656;662
03.01.2017;11:00;12:00;-;-;319;0;0;325;657;663
03.01.2017;12:00;13:00;-;-;321;0;0;321;655;661
03.01.2017;13:00;14:00;-;-;318;0;0;323;652;662
03.01.2017;14:00;15:00;-;-;320;0;0;322;567;663
03.01.2017;15:00;16:00;-;-;319;0;0;323;569;662
03.01.2017;16:00;17:00;-;-;322;0;0;322;649;662
03.01.2017;17:00;18:00;-;-;322;0;0;325;654;664
03.01.2017;18:00;19:00;-;-;318;0;0;320;651;659
03.01.2017;19:00;20:00;-;-;320;0;0;321;653;662
03.01.2017;20:00;21:00;-;-;321;0;0;323;654;662
03.01.2017;21:00;22:00;-;-;318;0;0;322;656;662
03.01.2017;22:00;23:00;-;-;320;0;0;322;658;662
03.01.2017;23:00;00:00;-;-;240;0;0;252;511;375
04.01.2017;00:00;01:00;-;-;169;0;0;214;501;251
04.01.2017;01:00;02:00;-;-;172;0;0;231;535;251
04.01.2017;02:00;03:00;-;-;212;0;0;297;631;259
04.01.2017;03:00;04:00;-;-;305;0;0;324;641;323
04.01.2017;04:00;05:00;-;-;319;0;0;321;656;586
04.01.2017;05:00;06:00;-;-;317;0;0;322;656;631
04.01.2017;06:00;07:00;-;-;320;0;0;324;656;664
04.01.2017;07:00;08:00;-;-;317;0;0;320;647;662
04.01.2017;08:00;09:00;-;-;321;0;0;320;586;641
04.01.2017;09:00;10:00;-;-;313;0;0;326;621;636
