Date;Start;End;Generation_DE D [MW] Original resolutions;Generation_DE B [MW] Original resolutions;Generation_DE A [MW] Original resolutions;Generation_DE C [MW] Original resolutions;Generation_DE E [MW] Original resolutions
01.01.2016;00:00;01:00;-;-;-;0;0
01.01.2016;01:00;02:00;-;-;-;0;0
01.01.2016;02:00;03:00;-;-;-;0;0
01.01.2016;03:00;04:00;-;-;-;0;0
01.01.2016;04:00;05:00;-;-;-;0;0
01.01.2016;05:00;06:00;-;-;-;0;0
01.01.2016;06:00;07:00;-;-;-;0;0
01.01.2016;07:00;08:00;-;-;-;0;0
01.01.2016;08:00;09:00;-;-;-;0;0
01.01.2016;09:00;10:00;-;-;-;0;0
01.01.2016;10:00;11:00;-;-;-;0;0
01.01.2016;11:00;12:00;-;-;-;0;0
01.01.2016;12:00;13:00;-;-;-;0;0
01.01.2016;13:00;14:00;-;-;-;0;0
01.01.2016;14:00;15:00;-;-;-;0;0
01.01.2016;15:00;16:00;-;-;-;0;0
01.01.2016;16:00;17:00;-;-;-;0;0
01.01.2016;17:00;18:00;-;-;-;0;0
01.01.2016;18:00;19:00;-;-;-;0;0
01.01.2016;19:00;20:00;-;-;-;0;0
01.01.2016;20:00;21:00;-;-;-;0;0
01.01.2016;21:00;22:00;-;-;-;0;0
01.01.2016;22:00;23:00;-;-;-;0;0
01.01.2016;23:00;00:00;-;-;-;0;0
02.01.2016;00:00;01:00;-;-;-;0;0
02.01.2016;01:00;02:00;-;-;-;0;0
02.01.2016;02:00;03:00;-;-;-;0;0
02.01.2016;03:00;04:00;-;-;-;0;0
02.01.2016;04:00;05:00;-;-;-;0;0
02.01.2016;05:00;06:00;-;-;-;0;0
02.01.2016;06:00;07:00;-;-;-;0;0
02.01.2016;07:00;08:00;-;-;-;0;0
02.01.2016;08:00;09:00;-;-;-;0;0
02.01.2016;09:00;10:00;-;-;-;0;0
02.01.2016;10:00;11:00;-;-;-;0;0
02.01.2016;11:00;12:00;-;-;-;0;0
02.01.2016;12:00;13:00;-;-;-;0;0
02.01.2016;13:00;14:00;-;-;-;0;0
02.01.2016;14:00;15:00;-;-;-;0;0
02.01.2016;15:00;16:00;-;-;-;0;0
02.01.2016;16:00;17:00;-;-;-;0;0
02.01.2016;17:00;18:00;-;-;-;0;0
02.01.2016;18:00;19:00;-;-;-;0;0
02.01.2016;19:00;20:00;-;-;-;0;0
02.01.2016;20:00;21:00;-;-;-;0;0
02.01.2016;21:00;22:00;-;-;-;0;0
02.01.2016;22:00;23:00;-;-;-;0;0
02.01.2016;23:00;00:00;-;-;-;0;0
03.01.2016;00:00;01:00;-;-;-;0;0
03.01.2016;01:00;02:00;-;-;-;0;0
03.01.2016;02:00;03:00;-;-;-;0;0
03.01.2016;03:00;04:00;-;-;-;0;0
03.01.2016;04:00;05:00;-;-;-;0;0
03.01.2016;05:00;06:00;-;-;-;0;0
03.01.2016;06:00;07:00;-;-;-;0;0
03.01.2016;07:00;08:00;-;-;-;0;0
03.01.2016;08:00;09:00;-;-;-;0;0
03.01.2016;09:00;10:00;-;-;-;0;0
03.01.2016;10:00;11:00;-;-;-;0;0
03.01.2016;11:00;12:00;-;-;-;0;0
03.01.2016;12:00;13:00;-;-;-;0;0
03.01.2016;13:00;14:00;-;-;-;0;0
03.01.2016;14:00;15:00;-;-;-;0;0
03.01.2016;15:00;16:00;-;-;-;0;0
03.01.2016;16:00;17:00;-;-;-;0;0
03.01.2016;17:00;18:00;-;-;-;0;0
03.01.2016;18:00;19:00;-;-;-;0;0
03.01.2016;19:00;20:00;-;-;-;0;0
03.01.2016;20:00;21:00;-;-;-;0;0
03.01.2016;21:00;22:00;-;-;-;0;0
03.01.2016;22:00;23:00;-;-;-;0;0
03.01.2016;23:00;00:00;-;-;-;0;0
04.01.2016;00:00;01:00;-;-;-;0;0
04.01.2016;01:00;02:00;-;-;-;0;0
04.01.2016;02:00;03:00;-;-;-;0;0
04.01.2016;03:00;04:00;-;-;-;0;0
04.01.2016;04:00;05:00;-;-;-;0;0
04.01.2016;05:00;06:00;-;-;-;0;63
04.01.2016;06:00;07:00;-;-;-;96;218
04.01.2016;07:00;08:00;-;-;-;202;296
04.01.2016;08:00;09:00;-;-;-;229;286
04.01.2016;09:00;10:00;-;-;-;233;0
04.01.2016;10:00;11:00;-;-;-;226;185
04.01.2016;11:00;12:00;-;-;-;234;328
04.01.2016;12:00;13:00;-;-;-;229;488
04.01.2016;13:00;14:00;-;-;-;231;613
04.01.2016;14:00;15:00;-;-;-;233;761
04.01.2016;15:00;16:00;-;-;-;232;783
04.01.2016;16:00;17:00;-;-;-;232;780
04.01.2016;17:00;18:00;-;-;-;232;778
04.01.2016;18:00;19:00;-;-;-;232;780
04.01.2016;19:00;20:00;-;-;-;231;780
04.01.2016;20:00;21:00;-;-;-;231;780
04.01.2016;21:00;22:00;-;-;-;233;773
04.01.2016;22:00;23:00;-;-;-;231;767
04.01.2016;23:00;00:00;-;-;-;230;772
05.01.2016;00:00;01:00;-;-;-;148;771
05.01.2016;01:00;02:00;-;-;-;69;775
05.01.2016;02:00;03:00;-;-;-;76;774
05.01.2016;03:00;04:00;-;-;-;78;774
05.01.2016;04:00;05:00;-;-;-;77;776
05.01.2016;05:00;06:00;-;-;-;165;779
05.01.2016;06:00;07:00;-;-;-;231;776
05.01.2016;07:00;08:00;-;-;-;232;777
05.01.2016;08:00;09:00;-;-;-;232;776
05.01.2016;09:00;10:00;-;-;-;231;778
05.01.2016;10:00;11:00;-;-;-;231;778
05.01.2016;11:00;12:00;-;-;-;230;783
05.01.2016;12:00;13:00;-;-;-;231;781
05.01.2016;13:00;14:00;-;-;-;230;784
05.01.2016;14:00;15:00;-;-;-;185;781
05.01.2016;15:00;16:00;-;-;-;176;783
05.01.2016;16:00;17:00;-;-;-;176;779
05.01.2016;17:00;18:00;-;-;-;173;779
05.01.2016;18:00;19:00;-;-;-;175;781
05.01.2016;19:00;20:00;-;-;-;175;785
05.01.2016;20:00;21:00;-;-;-;105;781
05.01.2016;21:00;22:00;-;-;-;77;779
05.01.2016;22:00;23:00;-;-;-;83;778
05.01.2016;23:00;00:00;-;-;-;83;783
06.01.2016;00:00;01:00;-;-;-;79;784
06.01.2016;01:00;02:00;-;-;-;69;783
06.01.2016;02:00;03:00;-;-;-;69;782
06.01.2016;03:00;04:00;-;-;-;70;764
06.01.2016;04:00;05:00;-;-;-;181;775
06.01.2016;05:00;06:00;-;-;-;225;780
06.01.2016;06:00;07:00;-;-;-;228;783
06.01.2016;07:00;08:00;-;-;-;227;784
06.01.2016;08:00;09:00;-;-;-;229;782
06.01.2016;09:00;10:00;-;-;-;227;779
06.01.2016;10:00;11:00;-;-;-;227;783
06.01.2016;11:00;12:00;-;-;-;228;785
06.01.2016;12:00;13:00;-;-;-;211;784
06.01.2016;13:00;14:00;-;-;-;98;784
06.01.2016;14:00;15:00;-;-;-;85;784
06.01.2016;15:00;16:00;-;-;-;87;783
06.01.2016;16:00;17:00;-;-;-;200;783
06.01.2016;17:00;18:00;-;-;-;234;782
06.01.2016;18:00;19:00;-;-;-;234;785
06.01.2016;19:00;20:00;-;-;-;235;785
06.01.2016;20:00;21:00;-;-;-;235;782
06.01.2016;21:00;22:00;-;-;-;235;782
06.01.2016;22:00;23:00;-;-;-;237;782
06.01.2016;23:00;00:00;-;-;-;235;785
07.01.2016;00:00;01:00;-;-;-;234;786
07.01.2016;01:00;02:00;-;-;-;213;786
07.01.2016;02:00;03:00;-;-;-;229;783
07.01.2016;03:00;04:00;-;-;-;210;687
07.01.2016;04:00;05:00;-;-;-;210;676
07.01.2016;05:00;06:00;-;-;-;213;719
07.01.2016;06:00;07:00;-;-;-;234;779
07.01.2016;07:00;08:00;-;-;-;231;777
07.01.2016;08:00;09:00;-;-;-;231;780
07.01.2016;09:00;10:00;-;-;-;229;783
07.01.2016;10:00;11:00;-;-;-;225;784
07.01.2016;11:00;12:00;-;-;-;225;785
07.01.2016;12:00;13:00;-;-;-;226;783
07.01.2016;13:00;14:00;-;-;-;229;782
07.01.2016;14:00;15:00;-;-;-;234;777
07.01.2016;15:00;16:00;-;-;-;230;775
07.01.2016;16:00;17:00;-;-;-;231;775
07.01.2016;17:00;18:00;-;-;-;230;777
07.01.2016;18:00;19:00;-;-;-;230;779
07.01.2016;19:00;20:00;-;-;-;230;777
