Datum;Anfang;Ende;Generation_DE Witznau A [MW] Originalauflösungen
01.01.2022;00:00;01:00;0
01.01.2022;01:00;02:00;0
01.01.2022;02:00;03:00;0
01.01.2022;03:00;04:00;0
01.01.2022;04:00;05:00;0
01.01.2022;05:00;06:00;0
01.01.2022;06:00;07:00;0
01.01.2022;07:00;08:00;0
01.01.2022;08:00;09:00;0
01.01.2022;09:00;10:00;0
01.01.2022;10:00;11:00;0
01.01.2022;11:00;12:00;0
01.01.2022;12:00;13:00;0
01.01.2022;13:00;14:00;0
01.01.2022;14:00;15:00;0
01.01.2022;15:00;16:00;0
01.01.2022;16:00;17:00;0
01.01.2022;17:00;18:00;86
01.01.2022;18:00;19:00;115
01.01.2022;19:00;20:00;110
01.01.2022;20:00;21:00;86
01.01.2022;21:00;22:00;0
01.01.2022;22:00;23:00;0
01.01.2022;23:00;00:00;0
02.01.2022;00:00;01:00;0
02.01.2022;01:00;02:00;0
02.01.2022;02:00;03:00;0
02.01.2022;03:00;04:00;0
02.01.2022;04:00;05:00;0
02.01.2022;05:00;06:00;0
02.01.2022;06:00;07:00;0
02.01.2022;07:00;08:00;0
02.01.2022;08:00;09:00;0
02.01.2022;09:00;10:00;0
02.01.2022;10:00;11:00;0
02.01.2022;11:00;12:00;0
02.01.2022;12:00;13:00;0
02.01.2022;13:00;14:00;0
02.01.2022;14:00;15:00;0
02.01.2022;15:00;16:00;0
02.01.2022;16:00;17:00;0
02.01.2022;17:00;18:00;0
02.01.2022;18:00;19:00;0
02.01.2022;19:00;20:00;0
02.01.2022;20:00;21:00;0
02.01.2022;21:00;22:00;0
02.01.2022;22:00;23:00;0
02.01.2022;23:00;00:00;0
03.01.2022;00:00;01:00;0
03.01.2022;01:00;02:00;0
03.01.2022;02:00;03:00;0
03.01.2022;03:00;04:00;0
03.01.2022;04:00;05:00;0
03.01.2022;05:00;06:00;0
03.01.2022;06:00;07:00;0
03.01.2022;07:00;08:00;0
03.01.2022;08:00;09:00;0
03.01.2022;09:00;10:00;2
03.01.2022;10:00;11:00;16
03.01.2022;11:00;12:00;20
03.01.2022;12:00;13:00;4
03.01.2022;13:00;14:00;0
03.01.2022;14:00;15:00;0
03.01.2022;15:00;16:00;0
03.01.2022;16:00;17:00;28
03.01.2022;17:00;18:00;97
03.01.2022;18:00;19:00;73
03.01.2022;19:00;20:00;41
03.01.2022;20:00;21:00;37
03.01.2022;21:00;22:00;39
03.01.2022;22:00;23:00;53
03.01.2022;23:00;00:00;25
04.01.2022;00:00;01:00;4
04.01.2022;01:00;02:00;0
04.01.2022;02:00;03:00;0
04.01.2022;03:00;04:00;0
04.01.2022;04:00;05:00;58
04.01.2022;05:00;06:00;71
04.01.2022;06:00;07:00;7
04.01.2022;07:00;08:00;30
04.01.2022;08:00;09:00;52
04.01.2022;09:00;10:00;81
04.01.2022;10:00;11:00;107
04.01.2022;11:00;12:00;53
04.01.2022;12:00;13:00;85
04.01.2022;13:00;14:00;21
04.01.2022;14:00;15:00;83
04.01.2022;15:00;16:00;30
04.01.2022;16:00;17:00;75
04.01.2022;17:00;18:00;68
04.01.2022;18:00;19:00;43
04.01.2022;19:00;20:00;25
04.01.2022;20:00;21:00;26
04.01.2022;21:00;22:00;43
04.01.2022;22:00;23:00;55
04.01.2022;23:00;00:00;25
05.01.2022;00:00;01:00;0
05.01.2022;01:00;02:00;0
05.01.2022;02:00;03:00;0
05.01.2022;03:00;04:00;0
05.01.2022;04:00;05:00;0
05.01.2022;05:00;06:00;0
05.01.2022;06:00;07:00;0
05.01.2022;07:00;08:00;0
05.01.2022;08:00;09:00;0
05.01.2022;09:00;10:00;0
05.01.2022;10:00;11:00;0
05.01.2022;11:00;12:00;0
05.01.2022;12:00;13:00;0
05.01.2022;13:00;14:00;0
05.01.2022;14:00;15:00;0
05.01.2022;15:00;16:00;0
05.01.2022;16:00;17:00;60
05.01.2022;17:00;18:00;108
05.01.2022;18:00;19:00;51
05.01.2022;19:00;20:00;0
05.01.2022;20:00;21:00;0
05.01.2022;21:00;22:00;0
05.01.2022;22:00;23:00;26
05.01.2022;23:00;00:00;0
06.01.2022;00:00;01:00;0
06.01.2022;01:00;02:00;38
06.01.2022;02:00;03:00;31
06.01.2022;03:00;04:00;32
06.01.2022;04:00;05:00;51
06.01.2022;05:00;06:00;0
06.01.2022;06:00;07:00;0
06.01.2022;07:00;08:00;39
06.01.2022;08:00;09:00;83
06.01.2022;09:00;10:00;61
06.01.2022;10:00;11:00;47
06.01.2022;11:00;12:00;33
06.01.2022;12:00;13:00;41
06.01.2022;13:00;14:00;0
06.01.2022;14:00;15:00;56
06.01.2022;15:00;16:00;122
06.01.2022;16:00;17:00;175
06.01.2022;17:00;18:00;80
06.01.2022;18:00;19:00;39
06.01.2022;19:00;20:00;9
06.01.2022;20:00;21:00;0
06.01.2022;21:00;22:00;0
06.01.2022;22:00;23:00;0
06.01.2022;23:00;00:00;0
07.01.2022;00:00;01:00;0
07.01.2022;01:00;02:00;0
07.01.2022;02:00;03:00;0
07.01.2022;03:00;04:00;0
07.01.2022;04:00;05:00;0
07.01.2022;05:00;06:00;0
07.01.2022;06:00;07:00;0
07.01.2022;07:00;08:00;0
07.01.2022;08:00;09:00;0
07.01.2022;09:00;10:00;0
07.01.2022;10:00;11:00;0
07.01.2022;11:00;12:00;0
07.01.2022;12:00;13:00;0
07.01.2022;13:00;14:00;0
07.01.2022;14:00;15:00;17
07.01.2022;15:00;16:00;31
07.01.2022;16:00;17:00;22
07.01.2022;17:00;18:00;53
07.01.2022;18:00;19:00;62
07.01.2022;19:00;20:00;97
07.01.2022;20:00;21:00;62
07.01.2022;21:00;22:00;18
07.01.2022;22:00;23:00;0
07.01.2022;23:00;00:00;0
08.01.2022;00:00;01:00;0
08.01.2022;01:00;02:00;0
08.01.2022;02:00;03:00;0
08.01.2022;03:00;04:00;0
08.01.2022;04:00;05:00;0
08.01.2022;05:00;06:00;0
08.01.2022;06:00;07:00;0
08.01.2022;07:00;08:00;1
08.01.2022;08:00;09:00;69
08.01.2022;09:00;10:00;81
08.01.2022;10:00;11:00;93
08.01.2022;11:00;12:00;90
08.01.2022;12:00;13:00;67
08.01.2022;13:00;14:00;24
08.01.2022;14:00;15:00;0
08.01.2022;15:00;16:00;0
08.01.2022;16:00;17:00;0
08.01.2022;17:00;18:00;0
08.01.2022;18:00;19:00;0
08.01.2022;19:00;20:00;0
08.01.2022;20:00;21:00;0
08.01.2022;21:00;22:00;0
08.01.2022;22:00;23:00;0
08.01.2022;23:00;00:00;0
09.01.2022;00:00;01:00;0
09.01.2022;01:00;02:00;0
09.01.2022;02:00;03:00;0
09.01.2022;03:00;04:00;0
09.01.2022;04:00;05:00;0
09.01.2022;05:00;06:00;0
09.01.2022;06:00;07:00;0
09.01.2022;07:00;08:00;0
09.01.2022;08:00;09:00;0
09.01.2022;09:00;10:00;0
09.01.2022;10:00;11:00;0
09.01.2022;11:00;12:00;5
09.01.2022;12:00;13:00;52
09.01.2022;13:00;14:00;13
09.01.2022;14:00;15:00;76
09.01.2022;15:00;16:00;80
09.01.2022;16:00;17:00;53
09.01.2022;17:00;18:00;79
09.01.2022;18:00;19:00;101
09.01.2022;19:00;20:00;64
09.01.2022;20:00;21:00;23
09.01.2022;21:00;22:00;0
09.01.2022;22:00;23:00;0
09.01.2022;23:00;00:00;0
10.01.2022;00:00;01:00;0
10.01.2022;01:00;02:00;0
10.01.2022;02:00;03:00;0
10.01.2022;03:00;04:00;52
10.01.2022;04:00;05:00;72
10.01.2022;05:00;06:00;89
10.01.2022;06:00;07:00;89
10.01.2022;07:00;08:00;80
10.01.2022;08:00;09:00;97
10.01.2022;09:00;10:00;97
10.01.2022;10:00;11:00;92
10.01.2022;11:00;12:00;47
10.01.2022;12:00;13:00;60
10.01.2022;13:00;14:00;59
10.01.2022;14:00;15:00;60
10.01.2022;15:00;16:00;60
10.01.2022;16:00;17:00;53
10.01.2022;17:00;18:00;20
10.01.2022;18:00;19:00;87
10.01.2022;19:00;20:00;33
10.01.2022;20:00;21:00;35
10.01.2022;21:00;22:00;6
10.01.2022;22:00;23:00;14
10.01.2022;23:00;00:00;0
11.01.2022;00:00;01:00;0
11.01.2022;01:00;02:00;0
11.01.2022;02:00;03:00;0
11.01.2022;03:00;04:00;0
11.01.2022;04:00;05:00;0
11.01.2022;05:00;06:00;0
11.01.2022;06:00;07:00;0
11.01.2022;07:00;08:00;4
11.01.2022;08:00;09:00;80
11.01.2022;09:00;10:00;90
11.01.2022;10:00;11:00;75
11.01.2022;11:00;12:00;2
11.01.2022;12:00;13:00;0
11.01.2022;13:00;14:00;0
11.01.2022;14:00;15:00;0
11.01.2022;15:00;16:00;0
11.01.2022;16:00;17:00;10
11.01.2022;17:00;18:00;25
11.01.2022;18:00;19:00;6
11.01.2022;19:00;20:00;4
11.01.2022;20:00;21:00;0
11.01.2022;21:00;22:00;0
11.01.2022;22:00;23:00;0
11.01.2022;23:00;00:00;0
12.01.2022;00:00;01:00;31
