Date;Start;End;Generation_DE  [MW] Original resolutions
01.01.2021;00:00;01:00;93
01.01.2021;01:00;02:00;91
01.01.2021;02:00;03:00;91
01.01.2021;03:00;04:00;91
01.01.2021;04:00;05:00;91
01.01.2021;05:00;06:00;92
01.01.2021;06:00;07:00;92
01.01.2021;07:00;08:00;94
01.01.2021;08:00;09:00;96
01.01.2021;09:00;10:00;97
01.01.2021;10:00;11:00;99
01.01.2021;11:00;12:00;100
01.01.2021;12:00;13:00;97
01.01.2021;13:00;14:00;92
01.01.2021;14:00;15:00;90
01.01.2021;15:00;16:00;90
01.01.2021;16:00;17:00;90
01.01.2021;17:00;18:00;90
01.01.2021;18:00;19:00;91
01.01.2021;19:00;20:00;92
01.01.2021;20:00;21:00;92
01.01.2021;21:00;22:00;92
01.01.2021;22:00;23:00;92
01.01.2021;23:00;00:00;94
02.01.2021;00:00;01:00;92
02.01.2021;01:00;02:00;88
02.01.2021;02:00;03:00;87
02.01.2021;03:00;04:00;87
02.01.2021;04:00;05:00;87
02.01.2021;05:00;06:00;87
02.01.2021;06:00;07:00;89
02.01.2021;07:00;08:00;91
02.01.2021;08:00;09:00;91
02.01.2021;09:00;10:00;92
02.01.2021;10:00;11:00;92
02.01.2021;11:00;12:00;91
02.01.2021;12:00;13:00;91
02.01.2021;13:00;14:00;91
02.01.2021;14:00;15:00;91
02.01.2021;15:00;16:00;89
02.01.2021;16:00;17:00;88
02.01.2021;17:00;18:00;89
02.01.2021;18:00;19:00;90
02.01.2021;19:00;20:00;90
02.01.2021;20:00;21:00;90
02.01.2021;21:00;22:00;92
02.01.2021;22:00;23:00;88
02.01.2021;23:00;00:00;83
03.01.2021;00:00;01:00;81
03.01.2021;01:00;02:00;82
03.01.2021;02:00;03:00;83
03.01.2021;03:00;04:00;83
03.01.2021;04:00;05:00;84
03.01.2021;05:00;06:00;87
03.01.2021;06:00;07:00;86
03.01.2021;07:00;08:00;86
03.01.2021;08:00;09:00;84
