Datum;Anfang;Ende;Generation_DE GT1 & GT2 [MW] Originalauflösungen;Generation_DE Zolling Biomasse-HKW [MW] Originalauflösungen;Generation_DE Kraftwerk Zolling [MW] Originalauflösungen
01.01.2023;00:00;01:00;-;-;0
01.01.2023;01:00;02:00;-;-;0
01.01.2023;02:00;03:00;-;-;0
01.01.2023;03:00;04:00;-;-;0
01.01.2023;04:00;05:00;-;-;0
01.01.2023;05:00;06:00;-;-;0
01.01.2023;06:00;07:00;-;-;0
01.01.2023;07:00;08:00;-;-;0
01.01.2023;08:00;09:00;-;-;0
01.01.2023;09:00;10:00;-;-;0
01.01.2023;10:00;11:00;-;-;0
01.01.2023;11:00;12:00;-;-;0
01.01.2023;12:00;13:00;-;-;0
01.01.2023;13:00;14:00;-;-;0
01.01.2023;14:00;15:00;-;-;0
01.01.2023;15:00;16:00;-;-;0
01.01.2023;16:00;17:00;-;-;0
01.01.2023;17:00;18:00;-;-;0
01.01.2023;18:00;19:00;-;-;0
01.01.2023;19:00;20:00;-;-;0
01.01.2023;20:00;21:00;-;-;0
01.01.2023;21:00;22:00;-;-;0
01.01.2023;22:00;23:00;-;-;0
01.01.2023;23:00;00:00;-;-;0
02.01.2023;00:00;01:00;-;-;0
02.01.2023;01:00;02:00;-;-;0
02.01.2023;02:00;03:00;-;-;0
02.01.2023;03:00;04:00;-;-;0
02.01.2023;04:00;05:00;-;-;0
02.01.2023;05:00;06:00;-;-;0
02.01.2023;06:00;07:00;-;-;26
02.01.2023;07:00;08:00;-;-;40
02.01.2023;08:00;09:00;-;-;50
02.01.2023;09:00;10:00;-;-;109
02.01.2023;10:00;11:00;-;-;212
02.01.2023;11:00;12:00;-;-;351
02.01.2023;12:00;13:00;-;-;398
02.01.2023;13:00;14:00;-;-;451
02.01.2023;14:00;15:00;-;-;456
02.01.2023;15:00;16:00;-;-;461
02.01.2023;16:00;17:00;-;-;459
02.01.2023;17:00;18:00;-;-;459
02.01.2023;18:00;19:00;-;-;459
02.01.2023;19:00;20:00;-;-;448
02.01.2023;20:00;21:00;-;-;441
02.01.2023;21:00;22:00;-;-;277
02.01.2023;22:00;23:00;-;-;130
02.01.2023;23:00;00:00;-;-;129
03.01.2023;00:00;01:00;-;-;110
03.01.2023;01:00;02:00;-;-;110
03.01.2023;02:00;03:00;-;-;108
03.01.2023;03:00;04:00;-;-;111
03.01.2023;04:00;05:00;-;-;110
03.01.2023;05:00;06:00;-;-;131
03.01.2023;06:00;07:00;-;-;338
03.01.2023;07:00;08:00;-;-;456
03.01.2023;08:00;09:00;-;-;455
03.01.2023;09:00;10:00;-;-;456
03.01.2023;10:00;11:00;-;-;458
03.01.2023;11:00;12:00;-;-;456
03.01.2023;12:00;13:00;-;-;453
03.01.2023;13:00;14:00;-;-;453
03.01.2023;14:00;15:00;-;-;455
03.01.2023;15:00;16:00;-;-;456
03.01.2023;16:00;17:00;-;-;453
03.01.2023;17:00;18:00;-;-;456
03.01.2023;18:00;19:00;-;-;456
03.01.2023;19:00;20:00;-;-;452
03.01.2023;20:00;21:00;-;-;306
03.01.2023;21:00;22:00;-;-;96
03.01.2023;22:00;23:00;-;-;0
03.01.2023;23:00;00:00;-;-;0
04.01.2023;00:00;01:00;-;-;0
04.01.2023;01:00;02:00;-;-;0
04.01.2023;02:00;03:00;-;-;0
04.01.2023;03:00;04:00;-;-;0
04.01.2023;04:00;05:00;-;-;0
04.01.2023;05:00;06:00;-;-;0
04.01.2023;06:00;07:00;-;-;0
04.01.2023;07:00;08:00;-;-;0
04.01.2023;08:00;09:00;-;-;0
04.01.2023;09:00;10:00;-;-;0
04.01.2023;10:00;11:00;-;-;0
04.01.2023;11:00;12:00;-;-;0
04.01.2023;12:00;13:00;-;-;0
04.01.2023;13:00;14:00;-;-;0
04.01.2023;14:00;15:00;-;-;0
04.01.2023;15:00;16:00;-;-;0
04.01.2023;16:00;17:00;-;-;0
04.01.2023;17:00;18:00;-;-;0
04.01.2023;18:00;19:00;-;-;0
04.01.2023;19:00;20:00;-;-;0
04.01.2023;20:00;21:00;-;-;0
04.01.2023;21:00;22:00;-;-;0
04.01.2023;22:00;23:00;-;-;0
04.01.2023;23:00;00:00;-;-;0
05.01.2023;00:00;01:00;-;-;0
05.01.2023;01:00;02:00;-;-;0
05.01.2023;02:00;03:00;-;-;0
05.01.2023;03:00;04:00;-;-;0
05.01.2023;04:00;05:00;-;-;0
05.01.2023;05:00;06:00;-;-;0
05.01.2023;06:00;07:00;-;-;0
05.01.2023;07:00;08:00;-;-;0
05.01.2023;08:00;09:00;-;-;0
05.01.2023;09:00;10:00;-;-;0
05.01.2023;10:00;11:00;-;-;70
05.01.2023;11:00;12:00;-;-;243
05.01.2023;12:00;13:00;-;-;447
05.01.2023;13:00;14:00;-;-;455
05.01.2023;14:00;15:00;-;-;452
05.01.2023;15:00;16:00;-;-;450
05.01.2023;16:00;17:00;-;-;451
05.01.2023;17:00;18:00;-;-;451
05.01.2023;18:00;19:00;-;-;455
05.01.2023;19:00;20:00;-;-;454
05.01.2023;20:00;21:00;-;-;454
05.01.2023;21:00;22:00;-;-;372
05.01.2023;22:00;23:00;-;-;149
05.01.2023;23:00;00:00;-;-;0
06.01.2023;00:00;01:00;-;-;0
06.01.2023;01:00;02:00;-;-;0
06.01.2023;02:00;03:00;-;-;0
06.01.2023;03:00;04:00;-;-;0
06.01.2023;04:00;05:00;-;-;0
06.01.2023;05:00;06:00;-;-;0
06.01.2023;06:00;07:00;-;-;0
06.01.2023;07:00;08:00;-;-;0
06.01.2023;08:00;09:00;-;-;0
06.01.2023;09:00;10:00;-;-;0
06.01.2023;10:00;11:00;-;-;0
06.01.2023;11:00;12:00;-;-;0
06.01.2023;12:00;13:00;-;-;0
06.01.2023;13:00;14:00;-;-;0
06.01.2023;14:00;15:00;-;-;0
06.01.2023;15:00;16:00;-;-;37
06.01.2023;16:00;17:00;-;-;181
06.01.2023;17:00;18:00;-;-;416
06.01.2023;18:00;19:00;-;-;432
06.01.2023;19:00;20:00;-;-;377
06.01.2023;20:00;21:00;-;-;394
06.01.2023;21:00;22:00;-;-;170
06.01.2023;22:00;23:00;-;-;0
06.01.2023;23:00;00:00;-;-;0
07.01.2023;00:00;01:00;-;-;0
07.01.2023;01:00;02:00;-;-;0
07.01.2023;02:00;03:00;-;-;0
07.01.2023;03:00;04:00;-;-;0
07.01.2023;04:00;05:00;-;-;0
07.01.2023;05:00;06:00;-;-;0
07.01.2023;06:00;07:00;-;-;0
07.01.2023;07:00;08:00;-;-;0
07.01.2023;08:00;09:00;-;-;0
07.01.2023;09:00;10:00;-;-;0
07.01.2023;10:00;11:00;-;-;0
07.01.2023;11:00;12:00;-;-;0
07.01.2023;12:00;13:00;-;-;0
07.01.2023;13:00;14:00;-;-;0
07.01.2023;14:00;15:00;-;-;0
07.01.2023;15:00;16:00;-;-;0
07.01.2023;16:00;17:00;-;-;0
07.01.2023;17:00;18:00;-;-;0
07.01.2023;18:00;19:00;-;-;0
07.01.2023;19:00;20:00;-;-;0
07.01.2023;20:00;21:00;-;-;0
07.01.2023;21:00;22:00;-;-;0
07.01.2023;22:00;23:00;-;-;0
07.01.2023;23:00;00:00;-;-;0
08.01.2023;00:00;01:00;-;-;0
08.01.2023;01:00;02:00;-;-;0
08.01.2023;02:00;03:00;-;-;0
08.01.2023;03:00;04:00;-;-;0
08.01.2023;04:00;05:00;-;-;0
08.01.2023;05:00;06:00;-;-;0
08.01.2023;06:00;07:00;-;-;0
08.01.2023;07:00;08:00;-;-;0
08.01.2023;08:00;09:00;-;-;0
08.01.2023;09:00;10:00;-;-;0
08.01.2023;10:00;11:00;-;-;0
08.01.2023;11:00;12:00;-;-;0
08.01.2023;12:00;13:00;-;-;0
08.01.2023;13:00;14:00;-;-;0
08.01.2023;14:00;15:00;-;-;0
08.01.2023;15:00;16:00;-;-;0
08.01.2023;16:00;17:00;-;-;0
