date,start,end,11WD7BERG1S--A-X
01.01.2017,00:00,01:00,0.0
01.01.2017,01:00,02:00,0.0
01.01.2017,02:00,03:00,0.0
01.01.2017,03:00,04:00,0.0
01.01.2017,04:00,05:00,0.0
01.01.2017,05:00,06:00,0.0
01.01.2017,06:00,07:00,0.0
01.01.2017,07:00,08:00,0.0
01.01.2017,08:00,09:00,0.0
01.01.2017,09:00,10:00,0.0
01.01.2017,10:00,11:00,35.0
01.01.2017,11:00,12:00,145.0
01.01.2017,12:00,13:00,248.0
01.01.2017,13:00,14:00,298.0
01.01.2017,14:00,15:00,302.0
01.01.2017,15:00,16:00,338.0
01.01.2017,16:00,17:00,477.0
01.01.2017,17:00,18:00,639.0
01.01.2017,18:00,19:00,710.0
01.01.2017,19:00,20:00,709.0
01.01.2017,20:00,21:00,711.0
01.01.2017,21:00,22:00,710.0
01.01.2017,22:00,23:00,710.0
01.01.2017,23:00,00:00,610.0
02.01.2017,00:00,01:00,487.0
02.01.2017,01:00,02:00,300.0
02.01.2017,02:00,03:00,289.0
02.01.2017,03:00,04:00,298.0
02.01.2017,04:00,05:00,299.0
02.01.2017,05:00,06:00,415.0
02.01.2017,06:00,07:00,631.0
02.01.2017,07:00,08:00,711.0
02.01.2017,08:00,09:00,714.0
02.01.2017,09:00,10:00,712.0
02.01.2017,10:00,11:00,714.0
02.01.2017,11:00,12:00,715.0
02.01.2017,12:00,13:00,716.0
02.01.2017,13:00,14:00,715.0
02.01.2017,14:00,15:00,713.0
02.01.2017,15:00,16:00,714.0
02.01.2017,16:00,17:00,715.0
02.01.2017,17:00,18:00,715.0
02.01.2017,18:00,19:00,716.0
02.01.2017,19:00,20:00,715.0
02.01.2017,20:00,21:00,715.0
02.01.2017,21:00,22:00,715.0
02.01.2017,22:00,23:00,714.0
02.01.2017,23:00,00:00,530.0
03.01.2017,00:00,01:00,173.0
03.01.2017,01:00,02:00,135.0
03.01.2017,02:00,03:00,137.0
03.01.2017,03:00,04:00,137.0
03.01.2017,04:00,05:00,138.0
03.01.2017,05:00,06:00,138.0
03.01.2017,06:00,07:00,149.0
03.01.2017,07:00,08:00,397.0
03.01.2017,08:00,09:00,700.0
03.01.2017,09:00,10:00,717.0
03.01.2017,10:00,11:00,715.0
03.01.2017,11:00,12:00,715.0
03.01.2017,12:00,13:00,715.0
03.01.2017,13:00,14:00,503.0
03.01.2017,14:00,15:00,256.0
03.01.2017,15:00,16:00,140.0
03.01.2017,16:00,17:00,175.0
03.01.2017,17:00,18:00,348.0
03.01.2017,18:00,19:00,642.0
03.01.2017,19:00,20:00,710.0
03.01.2017,20:00,21:00,421.0
03.01.2017,21:00,22:00,115.0
03.01.2017,22:00,23:00,0.0
03.01.2017,23:00,00:00,0.0
04.01.2017,00:00,01:00,0.0
04.01.2017,01:00,02:00,0.0
04.01.2017,02:00,03:00,0.0
04.01.2017,03:00,04:00,0.0
04.01.2017,04:00,05:00,0.0
04.01.2017,05:00,06:00,0.0
04.01.2017,06:00,07:00,0.0
04.01.2017,07:00,08:00,0.0
04.01.2017,08:00,09:00,0.0
04.01.2017,09:00,10:00,0.0
04.01.2017,10:00,11:00,0.0
04.01.2017,11:00,12:00,0.0
04.01.2017,12:00,13:00,0.0
04.01.2017,13:00,14:00,0.0
04.01.2017,14:00,15:00,0.0
04.01.2017,15:00,16:00,0.0
04.01.2017,16:00,17:00,0.0
04.01.2017,17:00,18:00,0.0
04.01.2017,18:00,19:00,0.0
04.01.2017,19:00,20:00,0.0
04.01.2017,20:00,21:00,0.0
04.01.2017,21:00,22:00,0.0
04.01.2017,22:00,23:00,0.0
04.01.2017,23:00,00:00,0.0
05.01.2017,00:00,01:00,0.0
05.01.2017,01:00,02:00,0.0
05.01.2017,02:00,03:00,40.0
05.01.2017,03:00,04:00,277.0
05.01.2017,04:00,05:00,305.0
05.01.2017,05:00,06:00,390.0
05.01.2017,06:00,07:00,560.0
05.01.2017,07:00,08:00,704.0
05.01.2017,08:00,09:00,715.0
05.01.2017,09:00,10:00,715.0
05.01.2017,10:00,11:00,713.0
05.01.2017,11:00,12:00,713.0
05.01.2017,12:00,13:00,713.0
05.01.2017,13:00,14:00,712.0
05.01.2017,14:00,15:00,712.0
05.01.2017,15:00,16:00,712.0
05.01.2017,16:00,17:00,711.0
05.01.2017,17:00,18:00,713.0
05.01.2017,18:00,19:00,713.0
05.01.2017,19:00,20:00,712.0
05.01.2017,20:00,21:00,711.0
05.01.2017,21:00,22:00,713.0
05.01.2017,22:00,23:00,714.0
05.01.2017,23:00,00:00,714.0
06.01.2017,00:00,01:00,485.0
06.01.2017,01:00,02:00,173.0
06.01.2017,02:00,03:00,143.0
06.01.2017,03:00,04:00,145.0
06.01.2017,04:00,05:00,145.0
06.01.2017,05:00,06:00,164.0
06.01.2017,06:00,07:00,443.0
06.01.2017,07:00,08:00,708.0
06.01.2017,08:00,09:00,710.0
06.01.2017,09:00,10:00,709.0
06.01.2017,10:00,11:00,711.0
06.01.2017,11:00,12:00,711.0
06.01.2017,12:00,13:00,714.0
06.01.2017,13:00,14:00,715.0
06.01.2017,14:00,15:00,713.0
06.01.2017,15:00,16:00,713.0
06.01.2017,16:00,17:00,714.0
06.01.2017,17:00,18:00,712.0
06.01.2017,18:00,19:00,712.0
06.01.2017,19:00,20:00,712.0
06.01.2017,20:00,21:00,713.0
06.01.2017,21:00,22:00,714.0
06.01.2017,22:00,23:00,714.0
06.01.2017,23:00,00:00,693.0
07.01.2017,00:00,01:00,472.0
07.01.2017,01:00,02:00,175.0
07.01.2017,02:00,03:00,146.0
07.01.2017,03:00,04:00,147.0
07.01.2017,04:00,05:00,149.0
07.01.2017,05:00,06:00,145.0
07.01.2017,06:00,07:00,143.0
07.01.2017,07:00,08:00,226.0
07.01.2017,08:00,09:00,437.0
07.01.2017,09:00,10:00,701.0
07.01.2017,10:00,11:00,714.0
07.01.2017,11:00,12:00,710.0
07.01.2017,12:00,13:00,711.0
07.01.2017,13:00,14:00,707.0
07.01.2017,14:00,15:00,692.0
07.01.2017,15:00,16:00,667.0
07.01.2017,16:00,17:00,624.0
07.01.2017,17:00,18:00,639.0
07.01.2017,18:00,19:00,663.0
07.01.2017,19:00,20:00,673.0
07.01.2017,20:00,21:00,698.0
07.01.2017,21:00,22:00,698.0
07.01.2017,22:00,23:00,675.0
07.01.2017,23:00,00:00,366.0
08.01.2017,00:00,01:00,148.0
08.01.2017,01:00,02:00,144.0
08.01.2017,02:00,03:00,166.0
08.01.2017,03:00,04:00,427.0
08.01.2017,04:00,05:00,693.0
08.01.2017,05:00,06:00,615.0
08.01.2017,06:00,07:00,376.0
08.01.2017,07:00,08:00,613.0
08.01.2017,08:00,09:00,712.0
08.01.2017,09:00,10:00,714.0
08.01.2017,10:00,11:00,714.0
08.01.2017,11:00,12:00,713.0
08.01.2017,12:00,13:00,714.0
08.01.2017,13:00,14:00,715.0
08.01.2017,14:00,15:00,713.0
08.01.2017,15:00,16:00,712.0
08.01.2017,16:00,17:00,713.0
08.01.2017,17:00,18:00,713.0
08.01.2017,18:00,19:00,713.0
08.01.2017,19:00,20:00,713.0
08.01.2017,20:00,21:00,714.0
08.01.2017,21:00,22:00,714.0
08.01.2017,22:00,23:00,714.0
08.01.2017,23:00,00:00,571.0
09.01.2017,00:00,01:00,350.0
09.01.2017,01:00,02:00,353.0
09.01.2017,02:00,03:00,354.0
09.01.2017,03:00,04:00,353.0
09.01.2017,04:00,05:00,354.0
09.01.2017,05:00,06:00,372.0
09.01.2017,06:00,07:00,641.0
09.01.2017,07:00,08:00,715.0
09.01.2017,08:00,09:00,711.0
09.01.2017,09:00,10:00,712.0
09.01.2017,10:00,11:00,712.0
09.01.2017,11:00,12:00,712.0
09.01.2017,12:00,13:00,713.0
09.01.2017,13:00,14:00,715.0
09.01.2017,14:00,15:00,714.0
09.01.2017,15:00,16:00,716.0
09.01.2017,16:00,17:00,713.0
09.01.2017,17:00,18:00,713.0
09.01.2017,18:00,19:00,712.0
09.01.2017,19:00,20:00,712.0
09.01.2017,20:00,21:00,700.0
09.01.2017,21:00,22:00,605.0
09.01.2017,22:00,23:00,534.0
09.01.2017,23:00,00:00,210.0
10.01.2017,00:00,01:00,137.0
10.01.2017,01:00,02:00,137.0
10.01.2017,02:00,03:00,137.0
10.01.2017,03:00,04:00,137.0
10.01.2017,04:00,05:00,137.0
10.01.2017,05:00,06:00,143.0
10.01.2017,06:00,07:00,380.0
10.01.2017,07:00,08:00,694.0
10.01.2017,08:00,09:00,716.0
10.01.2017,09:00,10:00,714.0
10.01.2017,10:00,11:00,714.0
10.01.2017,11:00,12:00,713.0
10.01.2017,12:00,13:00,713.0
10.01.2017,13:00,14:00,714.0
10.01.2017,14:00,15:00,713.0
10.01.2017,15:00,16:00,714.0
10.01.2017,16:00,17:00,711.0
10.01.2017,17:00,18:00,710.0
10.01.2017,18:00,19:00,713.0
10.01.2017,19:00,20:00,716.0
10.01.2017,20:00,21:00,714.0
10.01.2017,21:00,22:00,715.0
10.01.2017,22:00,23:00,714.0
10.01.2017,23:00,00:00,464.0
11.01.2017,00:00,01:00,6.0
11.01.2017,01:00,02:00,0.0
11.01.2017,02:00,03:00,0.0
11.01.2017,03:00,04:00,0.0
11.01.2017,04:00,05:00,0.0
11.01.2017,05:00,06:00,0.0
11.01.2017,06:00,07:00,0.0
11.01.2017,07:00,08:00,0.0
11.01.2017,08:00,09:00,0.0
11.01.2017,09:00,10:00,0.0
11.01.2017,10:00,11:00,0.0
11.01.2017,11:00,12:00,0.0
11.01.2017,12:00,13:00,0.0
11.01.2017,13:00,14:00,0.0
11.01.2017,14:00,15:00,0.0
11.01.2017,15:00,16:00,0.0
11.01.2017,16:00,17:00,0.0
11.01.2017,17:00,18:00,0.0
11.01.2017,18:00,19:00,0.0
11.01.2017,19:00,20:00,0.0
11.01.2017,20:00,21:00,0.0
11.01.2017,21:00,22:00,0.0
11.01.2017,22:00,23:00,0.0
11.01.2017,23:00,00:00,0.0
12.01.2017,00:00,01:00,0.0
12.01.2017,01:00,02:00,0.0
12.01.2017,02:00,03:00,0.0
12.01.2017,03:00,04:00,0.0
12.01.2017,04:00,05:00,0.0
12.01.2017,05:00,06:00,0.0
12.01.2017,06:00,07:00,0.0
12.01.2017,07:00,08:00,0.0
12.01.2017,08:00,09:00,0.0
12.01.2017,09:00,10:00,0.0
12.01.2017,10:00,11:00,0.0
12.01.2017,11:00,12:00,0.0
12.01.2017,12:00,13:00,0.0
12.01.2017,13:00,14:00,0.0
12.01.2017,14:00,15:00,0.0
12.01.2017,15:00,16:00,0.0
12.01.2017,16:00,17:00,0.0
12.01.2017,17:00,18:00,0.0
12.01.2017,18:00,19:00,0.0
12.01.2017,19:00,20:00,0.0
12.01.2017,20:00,21:00,0.0
12.01.2017,21:00,22:00,0.0
12.01.2017,22:00,23:00,0.0
12.01.2017,23:00,00:00,0.0
13.01.2017,00:00,01:00,0.0
13.01.2017,01:00,02:00,0.0
13.01.2017,02:00,03:00,0.0
13.01.2017,03:00,04:00,0.0
13.01.2017,04:00,05:00,0.0
13.01.2017,05:00,06:00,0.0
13.01.2017,06:00,07:00,0.0
13.01.2017,07:00,08:00,125.0
13.01.2017,08:00,09:00,280.0
13.01.2017,09:00,10:00,362.0
13.01.2017,10:00,11:00,470.0
13.01.2017,11:00,12:00,500.0
13.01.2017,12:00,13:00,503.0
13.01.2017,13:00,14:00,510.0
13.01.2017,14:00,15:00,517.0
13.01.2017,15:00,16:00,526.0
13.01.2017,16:00,17:00,525.0
13.01.2017,17:00,18:00,515.0
13.01.2017,18:00,19:00,371.0
13.01.2017,19:00,20:00,261.0
13.01.2017,20:00,21:00,239.0
13.01.2017,21:00,22:00,239.0
13.01.2017,22:00,23:00,243.0
13.01.2017,23:00,00:00,239.0
14.01.2017,00:00,01:00,0.0
14.01.2017,01:00,02:00,0.0
14.01.2017,02:00,03:00,0.0
14.01.2017,03:00,04:00,0.0
14.01.2017,04:00,05:00,0.0
14.01.2017,05:00,06:00,0.0
14.01.2017,06:00,07:00,0.0
14.01.2017,07:00,08:00,0.0
14.01.2017,08:00,09:00,0.0
14.01.2017,09:00,10:00,0.0
14.01.2017,10:00,11:00,0.0
14.01.2017,11:00,12:00,0.0
14.01.2017,12:00,13:00,0.0
14.01.2017,13:00,14:00,0.0
14.01.2017,14:00,15:00,0.0
14.01.2017,15:00,16:00,0.0
14.01.2017,16:00,17:00,0.0
14.01.2017,17:00,18:00,0.0
14.01.2017,18:00,19:00,0.0
14.01.2017,19:00,20:00,0.0
14.01.2017,20:00,21:00,0.0
14.01.2017,21:00,22:00,0.0
14.01.2017,22:00,23:00,0.0
14.01.2017,23:00,00:00,0.0
15.01.2017,00:00,01:00,0.0
15.01.2017,01:00,02:00,0.0
15.01.2017,02:00,03:00,0.0
15.01.2017,03:00,04:00,0.0
15.01.2017,04:00,05:00,0.0
15.01.2017,05:00,06:00,0.0
15.01.2017,06:00,07:00,0.0
15.01.2017,07:00,08:00,0.0
15.01.2017,08:00,09:00,0.0
15.01.2017,09:00,10:00,0.0
15.01.2017,10:00,11:00,0.0
15.01.2017,11:00,12:00,0.0
15.01.2017,12:00,13:00,0.0
15.01.2017,13:00,14:00,0.0
15.01.2017,14:00,15:00,96.0
15.01.2017,15:00,16:00,282.0
15.01.2017,16:00,17:00,397.0
15.01.2017,17:00,18:00,498.0
15.01.2017,18:00,19:00,491.0
15.01.2017,19:00,20:00,490.0
15.01.2017,20:00,21:00,486.0
15.01.2017,21:00,22:00,447.0
15.01.2017,22:00,23:00,486.0
15.01.2017,23:00,00:00,487.0
16.01.2017,00:00,01:00,487.0
16.01.2017,01:00,02:00,487.0
16.01.2017,02:00,03:00,487.0
16.01.2017,03:00,04:00,487.0
16.01.2017,04:00,05:00,488.0
16.01.2017,05:00,06:00,487.0
16.01.2017,06:00,07:00,485.0
16.01.2017,07:00,08:00,486.0
