date,start,end,11WD8BOXB1L---N8,11WD8BOXB1L---P4
1012017,00:00,01:00,214.0,211.0
1012017,01:00,02:00,214.0,210.0
1012017,02:00,03:00,215.0,209.0
1012017,03:00,04:00,214.0,212.0
1012017,04:00,05:00,213.0,213.0
1012017,05:00,06:00,212.0,215.0
1012017,06:00,07:00,213.0,214.0
1012017,07:00,08:00,213.0,213.0
1012017,08:00,09:00,214.0,213.0
1012017,09:00,10:00,216.0,212.0
1012017,10:00,11:00,215.0,210.0
1012017,11:00,12:00,214.0,213.0
1012017,12:00,13:00,214.0,214.0
1012017,13:00,14:00,213.0,214.0
1012017,14:00,15:00,214.0,215.0
1012017,15:00,16:00,214.0,211.0
1012017,16:00,17:00,214.0,213.0
1012017,17:00,18:00,214.0,213.0
1012017,18:00,19:00,215.0,212.0
1012017,19:00,20:00,215.0,211.0
1012017,20:00,21:00,213.0,210.0
1012017,21:00,22:00,213.0,211.0
1012017,22:00,23:00,214.0,211.0
1012017,23:00,00:00,213.0,212.0
2012017,00:00,01:00,213.0,210.0
2012017,01:00,02:00,207.0,207.0
2012017,02:00,03:00,202.0,213.0
2012017,03:00,04:00,212.0,211.0
2012017,04:00,05:00,209.0,213.0
2012017,05:00,06:00,208.0,209.0
2012017,06:00,07:00,202.0,202.0
2012017,07:00,08:00,189.0,194.0
2012017,08:00,09:00,236.0,194.0
2012017,09:00,10:00,437.0,208.0
2012017,10:00,11:00,432.0,201.0
2012017,11:00,12:00,435.0,205.0
2012017,12:00,13:00,433.0,200.0
2012017,13:00,14:00,444.0,190.0
2012017,14:00,15:00,444.0,187.0
2012017,15:00,16:00,471.0,186.0
2012017,16:00,17:00,436.0,185.0
2012017,17:00,18:00,439.0,184.0
2012017,18:00,19:00,488.0,185.0
2012017,19:00,20:00,498.0,188.0
2012017,20:00,21:00,498.0,184.0
2012017,21:00,22:00,499.0,198.0
2012017,22:00,23:00,449.0,196.0
2012017,23:00,00:00,436.0,191.0
3012017,00:00,01:00,462.0,174.0
3012017,01:00,02:00,465.0,162.0
