date,start,end,11WD8BOXB1L---R0,11WD8BOXB1L---Q2
01.01.2018,00:00,01:00,0,747
01.01.2018,01:00,02:00,0,758
01.01.2018,02:00,03:00,0,733
01.01.2018,03:00,04:00,0,710
01.01.2018,04:00,05:00,0,708
01.01.2018,05:00,06:00,0,714
01.01.2018,06:00,07:00,0,700
01.01.2018,07:00,08:00,0,673
01.01.2018,08:00,09:00,0,651
01.01.2018,09:00,10:00,0,672
01.01.2018,10:00,11:00,0,675
01.01.2018,11:00,12:00,0,684
01.01.2018,12:00,13:00,0,724
01.01.2018,13:00,14:00,0,707
01.01.2018,14:00,15:00,0,684
01.01.2018,15:00,16:00,0,710
01.01.2018,16:00,17:00,0,835
01.01.2018,17:00,18:00,0,840
01.01.2018,18:00,19:00,0,841
01.01.2018,19:00,20:00,0,841
01.01.2018,20:00,21:00,0,839
01.01.2018,21:00,22:00,0,831
01.01.2018,22:00,23:00,0,839
01.01.2018,23:00,00:00,0,837
02.01.2018,00:00,01:00,0,816
02.01.2018,01:00,02:00,0,823
02.01.2018,02:00,03:00,0,828
02.01.2018,03:00,04:00,0,834
02.01.2018,04:00,05:00,0,829
02.01.2018,05:00,06:00,0,837
02.01.2018,06:00,07:00,0,833
02.01.2018,07:00,08:00,0,832
02.01.2018,08:00,09:00,0,833
02.01.2018,09:00,10:00,0,832
02.01.2018,10:00,11:00,0,831
02.01.2018,11:00,12:00,0,838
02.01.2018,12:00,13:00,0,834
02.01.2018,13:00,14:00,0,669
02.01.2018,14:00,15:00,0,633
02.01.2018,15:00,16:00,0,620
02.01.2018,16:00,17:00,0,633
02.01.2018,17:00,18:00,0,798
02.01.2018,18:00,19:00,0,834
02.01.2018,19:00,20:00,0,832
02.01.2018,20:00,21:00,0,830
02.01.2018,21:00,22:00,0,832
02.01.2018,22:00,23:00,0,831
02.01.2018,23:00,00:00,0,672
03.01.2018,00:00,01:00,0,665
03.01.2018,01:00,02:00,0,654
03.01.2018,02:00,03:00,0,654
03.01.2018,03:00,04:00,0,656
03.01.2018,04:00,05:00,0,655
03.01.2018,05:00,06:00,0,655
03.01.2018,06:00,07:00,0,662
03.01.2018,07:00,08:00,0,663
03.01.2018,08:00,09:00,0,816
03.01.2018,09:00,10:00,0,832
03.01.2018,10:00,11:00,0,823
03.01.2018,11:00,12:00,0,823
03.01.2018,12:00,13:00,0,812
03.01.2018,13:00,14:00,0,666
03.01.2018,14:00,15:00,0,821
03.01.2018,15:00,16:00,0,828
03.01.2018,16:00,17:00,0,762
03.01.2018,17:00,18:00,0,804
03.01.2018,18:00,19:00,0,817
03.01.2018,19:00,20:00,0,583
03.01.2018,20:00,21:00,0,548
03.01.2018,21:00,22:00,0,509
03.01.2018,22:00,23:00,0,511
03.01.2018,23:00,00:00,0,540
04.01.2018,00:00,01:00,0,538
04.01.2018,01:00,02:00,0,538
04.01.2018,02:00,03:00,0,538
04.01.2018,03:00,04:00,0,541
04.01.2018,04:00,05:00,0,631
04.01.2018,05:00,06:00,0,641
04.01.2018,06:00,07:00,0,800
04.01.2018,07:00,08:00,0,817
04.01.2018,08:00,09:00,0,833
04.01.2018,09:00,10:00,0,844
04.01.2018,10:00,11:00,0,844
04.01.2018,11:00,12:00,0,833
04.01.2018,12:00,13:00,0,211
04.01.2018,13:00,14:00,0,0
04.01.2018,14:00,15:00,0,0
04.01.2018,15:00,16:00,0,0
04.01.2018,16:00,17:00,0,0
04.01.2018,17:00,18:00,0,0
04.01.2018,18:00,19:00,0,0
04.01.2018,19:00,20:00,0,0
04.01.2018,20:00,21:00,0,0
04.01.2018,21:00,22:00,0,0
04.01.2018,22:00,23:00,0,0
04.01.2018,23:00,00:00,0,0
05.01.2018,00:00,01:00,0,0
05.01.2018,01:00,02:00,0,0
05.01.2018,02:00,03:00,0,0
05.01.2018,03:00,04:00,0,0
05.01.2018,04:00,05:00,0,0
05.01.2018,05:00,06:00,0,0
05.01.2018,06:00,07:00,0,0
05.01.2018,07:00,08:00,0,0
05.01.2018,08:00,09:00,293,366
05.01.2018,09:00,10:00,591,837
05.01.2018,10:00,11:00,600,813
05.01.2018,11:00,12:00,602,841
05.01.2018,12:00,13:00,601,839
05.01.2018,13:00,14:00,606,842
05.01.2018,14:00,15:00,578,838
05.01.2018,15:00,16:00,579,841
05.01.2018,16:00,17:00,579,841
05.01.2018,17:00,18:00,586,839
05.01.2018,18:00,19:00,579,842
05.01.2018,19:00,20:00,572,832
05.01.2018,20:00,21:00,574,833
05.01.2018,21:00,22:00,582,837
05.01.2018,22:00,23:00,579,839
05.01.2018,23:00,00:00,579,838
06.01.2018,00:00,01:00,579,840
06.01.2018,01:00,02:00,582,841
06.01.2018,02:00,03:00,581,841
06.01.2018,03:00,04:00,583,837
06.01.2018,04:00,05:00,581,838
06.01.2018,05:00,06:00,588,840
06.01.2018,06:00,07:00,583,838
06.01.2018,07:00,08:00,576,836
06.01.2018,08:00,09:00,581,837
06.01.2018,09:00,10:00,588,775
06.01.2018,10:00,11:00,579,839
06.01.2018,11:00,12:00,587,839
06.01.2018,12:00,13:00,581,840
06.01.2018,13:00,14:00,587,839
06.01.2018,14:00,15:00,586,839
06.01.2018,15:00,16:00,585,839
06.01.2018,16:00,17:00,591,837
06.01.2018,17:00,18:00,593,841
06.01.2018,18:00,19:00,593,839
06.01.2018,19:00,20:00,594,840
06.01.2018,20:00,21:00,588,839
06.01.2018,21:00,22:00,603,782
06.01.2018,22:00,23:00,606,834
06.01.2018,23:00,00:00,601,841
07.01.2018,00:00,01:00,600,839
07.01.2018,01:00,02:00,597,837
07.01.2018,02:00,03:00,590,837
07.01.2018,03:00,04:00,586,804
07.01.2018,04:00,05:00,539,766
07.01.2018,05:00,06:00,591,836
07.01.2018,06:00,07:00,591,823
07.01.2018,07:00,08:00,592,837
07.01.2018,08:00,09:00,598,840
07.01.2018,09:00,10:00,595,839
07.01.2018,10:00,11:00,580,842
07.01.2018,11:00,12:00,580,840
07.01.2018,12:00,13:00,584,843
07.01.2018,13:00,14:00,580,840
07.01.2018,14:00,15:00,578,840
07.01.2018,15:00,16:00,577,841
07.01.2018,16:00,17:00,579,839
07.01.2018,17:00,18:00,575,842
07.01.2018,18:00,19:00,576,839
07.01.2018,19:00,20:00,577,839
07.01.2018,20:00,21:00,576,842
07.01.2018,21:00,22:00,585,840
07.01.2018,22:00,23:00,583,843
07.01.2018,23:00,00:00,588,843
08.01.2018,00:00,01:00,579,841
08.01.2018,01:00,02:00,585,842
08.01.2018,02:00,03:00,594,837
08.01.2018,03:00,04:00,593,836
08.01.2018,04:00,05:00,594,837
