date,start,end,11WD2BUSD0000386
1012016,00:00,01:00,0
1012016,01:00,02:00,0
1012016,02:00,03:00,0
1012016,03:00,04:00,0
1012016,04:00,05:00,0
1012016,05:00,06:00,0
1012016,06:00,07:00,0
1012016,07:00,08:00,0
1012016,08:00,09:00,0
1012016,09:00,10:00,0
1012016,10:00,11:00,0
1012016,11:00,12:00,0
1012016,12:00,13:00,0
1012016,13:00,14:00,0
1012016,14:00,15:00,0
1012016,15:00,16:00,0
1012016,16:00,17:00,0
1012016,17:00,18:00,0
1012016,18:00,19:00,0
1012016,19:00,20:00,0
1012016,20:00,21:00,0
1012016,21:00,22:00,0
1012016,22:00,23:00,0
1012016,23:00,00:00,0
2012016,00:00,01:00,0
2012016,01:00,02:00,0
2012016,02:00,03:00,0
2012016,03:00,04:00,0
2012016,04:00,05:00,0
2012016,05:00,06:00,0
2012016,06:00,07:00,0
2012016,07:00,08:00,0
2012016,08:00,09:00,0
2012016,09:00,10:00,0
2012016,10:00,11:00,0
2012016,11:00,12:00,0
2012016,12:00,13:00,0
2012016,13:00,14:00,0
2012016,14:00,15:00,0
2012016,15:00,16:00,0
2012016,16:00,17:00,0
2012016,17:00,18:00,0
2012016,18:00,19:00,0
2012016,19:00,20:00,0
2012016,20:00,21:00,0
2012016,21:00,22:00,0
2012016,22:00,23:00,0
2012016,23:00,00:00,0
3012016,00:00,01:00,0
3012016,01:00,02:00,0
3012016,02:00,03:00,0
3012016,03:00,04:00,0
3012016,04:00,05:00,0
3012016,05:00,06:00,0
3012016,06:00,07:00,0
3012016,07:00,08:00,0
3012016,08:00,09:00,0
3012016,09:00,10:00,0
3012016,10:00,11:00,0
3012016,11:00,12:00,0
3012016,12:00,13:00,0
3012016,13:00,14:00,0
3012016,14:00,15:00,0
3012016,15:00,16:00,0
3012016,16:00,17:00,0
3012016,17:00,18:00,0
3012016,18:00,19:00,0
3012016,19:00,20:00,0
3012016,20:00,21:00,0
3012016,21:00,22:00,0
3012016,22:00,23:00,0
3012016,23:00,00:00,0
4012016,00:00,01:00,0
4012016,01:00,02:00,0
4012016,02:00,03:00,0
4012016,03:00,04:00,0
4012016,04:00,05:00,0
4012016,05:00,06:00,0
4012016,06:00,07:00,53
4012016,07:00,08:00,199
4012016,08:00,09:00,222
4012016,09:00,10:00,267
4012016,10:00,11:00,335
4012016,11:00,12:00,349
4012016,12:00,13:00,348
4012016,13:00,14:00,349
4012016,14:00,15:00,351
4012016,15:00,16:00,350
4012016,16:00,17:00,351
4012016,17:00,18:00,350
4012016,18:00,19:00,350
4012016,19:00,20:00,350
4012016,20:00,21:00,350
4012016,21:00,22:00,349
4012016,22:00,23:00,348
4012016,23:00,00:00,302
5012016,00:00,01:00,256
5012016,01:00,02:00,222
5012016,02:00,03:00,222
5012016,03:00,04:00,222
5012016,04:00,05:00,222
5012016,05:00,06:00,222
5012016,06:00,07:00,263
5012016,07:00,08:00,327
5012016,08:00,09:00,347
5012016,09:00,10:00,347
5012016,10:00,11:00,348
5012016,11:00,12:00,347
5012016,12:00,13:00,347
5012016,13:00,14:00,349
5012016,14:00,15:00,351
5012016,15:00,16:00,351
5012016,16:00,17:00,351
5012016,17:00,18:00,351
5012016,18:00,19:00,351
5012016,19:00,20:00,350
5012016,20:00,21:00,352
5012016,21:00,22:00,350
5012016,22:00,23:00,351
5012016,23:00,00:00,350
6012016,00:00,01:00,352
6012016,01:00,02:00,302
6012016,02:00,03:00,238
6012016,03:00,04:00,223
6012016,04:00,05:00,223
6012016,05:00,06:00,270
6012016,06:00,07:00,329
6012016,07:00,08:00,346
6012016,08:00,09:00,347
6012016,09:00,10:00,348
6012016,10:00,11:00,347
6012016,11:00,12:00,348
6012016,12:00,13:00,349
6012016,13:00,14:00,348
6012016,14:00,15:00,349
6012016,15:00,16:00,350
6012016,16:00,17:00,350
6012016,17:00,18:00,352
6012016,18:00,19:00,351
6012016,19:00,20:00,351
6012016,20:00,21:00,350
6012016,21:00,22:00,350
6012016,22:00,23:00,351
6012016,23:00,00:00,350
7012016,00:00,01:00,351
7012016,01:00,02:00,351
7012016,02:00,03:00,303
7012016,03:00,04:00,240
7012016,04:00,05:00,222
7012016,05:00,06:00,274
7012016,06:00,07:00,333
7012016,07:00,08:00,346
7012016,08:00,09:00,347
7012016,09:00,10:00,348
7012016,10:00,11:00,350
7012016,11:00,12:00,349
7012016,12:00,13:00,350
7012016,13:00,14:00,350
7012016,14:00,15:00,350
7012016,15:00,16:00,350
7012016,16:00,17:00,348
7012016,17:00,18:00,350
7012016,18:00,19:00,350
7012016,19:00,20:00,349
7012016,20:00,21:00,348
7012016,21:00,22:00,350
7012016,22:00,23:00,285
7012016,23:00,00:00,221
8012016,00:00,01:00,222
8012016,01:00,02:00,222
8012016,02:00,03:00,222
8012016,03:00,04:00,221
8012016,04:00,05:00,223
8012016,05:00,06:00,223
8012016,06:00,07:00,267
8012016,07:00,08:00,333
8012016,08:00,09:00,352
8012016,09:00,10:00,351
8012016,10:00,11:00,346
8012016,11:00,12:00,352
8012016,12:00,13:00,351
8012016,13:00,14:00,351
8012016,14:00,15:00,352
8012016,15:00,16:00,351
8012016,16:00,17:00,352
8012016,17:00,18:00,352
8012016,18:00,19:00,351
8012016,19:00,20:00,352
8012016,20:00,21:00,352
8012016,21:00,22:00,351
8012016,22:00,23:00,353
8012016,23:00,00:00,352
9012016,00:00,01:00,351
9012016,01:00,02:00,352
9012016,02:00,03:00,351
9012016,03:00,04:00,323
9012016,04:00,05:00,319
9012016,05:00,06:00,320
9012016,06:00,07:00,321
9012016,07:00,08:00,349
9012016,08:00,09:00,350
9012016,09:00,10:00,352
9012016,10:00,11:00,351
9012016,11:00,12:00,350
9012016,12:00,13:00,351
9012016,13:00,14:00,350
9012016,14:00,15:00,349
9012016,15:00,16:00,351
9012016,16:00,17:00,349
