date,start,end,11WD7BRAU5G-GUDH
01.01.2021,00:00,01:00,0.0
01.01.2021,01:00,02:00,0.0
01.01.2021,02:00,03:00,0.0
01.01.2021,03:00,04:00,0.0
01.01.2021,04:00,05:00,0.0
01.01.2021,05:00,06:00,0.0
01.01.2021,06:00,07:00,0.0
01.01.2021,07:00,08:00,0.0
01.01.2021,08:00,09:00,0.0
01.01.2021,09:00,10:00,0.0
01.01.2021,10:00,11:00,0.0
01.01.2021,11:00,12:00,0.0
01.01.2021,12:00,13:00,0.0
01.01.2021,13:00,14:00,0.0
01.01.2021,14:00,15:00,0.0
01.01.2021,15:00,16:00,0.0
01.01.2021,16:00,17:00,0.0
01.01.2021,17:00,18:00,0.0
01.01.2021,18:00,19:00,0.0
01.01.2021,19:00,20:00,0.0
01.01.2021,20:00,21:00,0.0
01.01.2021,21:00,22:00,0.0
01.01.2021,22:00,23:00,0.0
01.01.2021,23:00,00:00,0.0
02.01.2021,00:00,01:00,0.0
02.01.2021,01:00,02:00,0.0
02.01.2021,02:00,03:00,0.0
02.01.2021,03:00,04:00,0.0
02.01.2021,04:00,05:00,0.0
02.01.2021,05:00,06:00,0.0
02.01.2021,06:00,07:00,0.0
02.01.2021,07:00,08:00,0.0
02.01.2021,08:00,09:00,0.0
02.01.2021,09:00,10:00,0.0
02.01.2021,10:00,11:00,0.0
02.01.2021,11:00,12:00,0.0
02.01.2021,12:00,13:00,0.0
02.01.2021,13:00,14:00,0.0
02.01.2021,14:00,15:00,0.0
02.01.2021,15:00,16:00,0.0
02.01.2021,16:00,17:00,0.0
02.01.2021,17:00,18:00,0.0
02.01.2021,18:00,19:00,0.0
02.01.2021,19:00,20:00,0.0
02.01.2021,20:00,21:00,0.0
02.01.2021,21:00,22:00,0.0
02.01.2021,22:00,23:00,0.0
02.01.2021,23:00,00:00,0.0
03.01.2021,00:00,01:00,0.0
03.01.2021,01:00,02:00,0.0
03.01.2021,02:00,03:00,0.0
03.01.2021,03:00,04:00,0.0
03.01.2021,04:00,05:00,0.0
03.01.2021,05:00,06:00,0.0
03.01.2021,06:00,07:00,0.0
03.01.2021,07:00,08:00,0.0
03.01.2021,08:00,09:00,0.0
03.01.2021,09:00,10:00,0.0
03.01.2021,10:00,11:00,0.0
03.01.2021,11:00,12:00,0.0
03.01.2021,12:00,13:00,0.0
03.01.2021,13:00,14:00,0.0
03.01.2021,14:00,15:00,0.0
03.01.2021,15:00,16:00,0.0
03.01.2021,16:00,17:00,0.0
03.01.2021,17:00,18:00,0.0
03.01.2021,18:00,19:00,0.0
03.01.2021,19:00,20:00,0.0
03.01.2021,20:00,21:00,0.0
03.01.2021,21:00,22:00,0.0
03.01.2021,22:00,23:00,0.0
03.01.2021,23:00,00:00,0.0
04.01.2021,00:00,01:00,0.0
04.01.2021,01:00,02:00,0.0
04.01.2021,02:00,03:00,0.0
04.01.2021,03:00,04:00,0.0
04.01.2021,04:00,05:00,0.0
04.01.2021,05:00,06:00,5.0
04.01.2021,06:00,07:00,28.0
04.01.2021,07:00,08:00,113.0
04.01.2021,08:00,09:00,217.0
04.01.2021,09:00,10:00,268.0
04.01.2021,10:00,11:00,270.0
04.01.2021,11:00,12:00,270.0
04.01.2021,12:00,13:00,270.0
04.01.2021,13:00,14:00,271.0
04.01.2021,14:00,15:00,273.0
04.01.2021,15:00,16:00,275.0
04.01.2021,16:00,17:00,273.0
04.01.2021,17:00,18:00,265.0
04.01.2021,18:00,19:00,269.0
04.01.2021,19:00,20:00,267.0
04.01.2021,20:00,21:00,264.0
04.01.2021,21:00,22:00,99.0
04.01.2021,22:00,23:00,250.0
04.01.2021,23:00,00:00,211.0
05.01.2021,00:00,01:00,67.0
05.01.2021,01:00,02:00,69.0
05.01.2021,02:00,03:00,54.0
05.01.2021,03:00,04:00,80.0
05.01.2021,04:00,05:00,49.0
05.01.2021,05:00,06:00,128.0
05.01.2021,06:00,07:00,229.0
05.01.2021,07:00,08:00,253.0
05.01.2021,08:00,09:00,252.0
05.01.2021,09:00,10:00,253.0
05.01.2021,10:00,11:00,252.0
05.01.2021,11:00,12:00,252.0
05.01.2021,12:00,13:00,252.0
05.01.2021,13:00,14:00,221.0
05.01.2021,14:00,15:00,224.0
05.01.2021,15:00,16:00,245.0
05.01.2021,16:00,17:00,247.0
05.01.2021,17:00,18:00,249.0
05.01.2021,18:00,19:00,248.0
