date,start,end,11WD7BEEC5XHAM4I
01.01.2019,00:00,01:00,47.0
01.01.2019,01:00,02:00,41.0
01.01.2019,02:00,03:00,45.0
01.01.2019,03:00,04:00,50.0
01.01.2019,04:00,05:00,47.0
01.01.2019,05:00,06:00,52.0
01.01.2019,06:00,07:00,38.0
01.01.2019,07:00,08:00,40.0
01.01.2019,08:00,09:00,49.0
01.01.2019,09:00,10:00,48.0
01.01.2019,10:00,11:00,57.0
01.01.2019,11:00,12:00,57.0
01.01.2019,12:00,13:00,73.0
01.01.2019,13:00,14:00,73.0
01.01.2019,14:00,15:00,82.0
01.01.2019,15:00,16:00,80.0
01.01.2019,16:00,17:00,83.0
01.01.2019,17:00,18:00,87.0
01.01.2019,18:00,19:00,85.0
01.01.2019,19:00,20:00,82.0
01.01.2019,20:00,21:00,82.0
01.01.2019,21:00,22:00,81.0
01.01.2019,22:00,23:00,84.0
01.01.2019,23:00,00:00,92.0
02.01.2019,00:00,01:00,86.0
02.01.2019,01:00,02:00,80.0
02.01.2019,02:00,03:00,71.0
02.01.2019,03:00,04:00,57.0
02.01.2019,04:00,05:00,59.0
02.01.2019,05:00,06:00,57.0
02.01.2019,06:00,07:00,72.0
02.01.2019,07:00,08:00,75.0
02.01.2019,08:00,09:00,79.0
02.01.2019,09:00,10:00,81.0
02.01.2019,10:00,11:00,83.0
02.01.2019,11:00,12:00,87.0
02.01.2019,12:00,13:00,81.0
02.01.2019,13:00,14:00,88.0
02.01.2019,14:00,15:00,86.0
02.01.2019,15:00,16:00,80.0
02.01.2019,16:00,17:00,87.0
02.01.2019,17:00,18:00,80.0
02.01.2019,18:00,19:00,80.0
02.01.2019,19:00,20:00,82.0
02.01.2019,20:00,21:00,82.0
02.01.2019,21:00,22:00,86.0
02.01.2019,22:00,23:00,85.0
02.01.2019,23:00,00:00,86.0
03.01.2019,00:00,01:00,78.0
03.01.2019,01:00,02:00,85.0
03.01.2019,02:00,03:00,84.0
03.01.2019,03:00,04:00,87.0
03.01.2019,04:00,05:00,85.0
03.01.2019,05:00,06:00,87.0
03.01.2019,06:00,07:00,86.0
03.01.2019,07:00,08:00,86.0
03.01.2019,08:00,09:00,90.0
03.01.2019,09:00,10:00,85.0
03.01.2019,10:00,11:00,82.0
03.01.2019,11:00,12:00,83.0
03.01.2019,12:00,13:00,75.0
03.01.2019,13:00,14:00,85.0
03.01.2019,14:00,15:00,77.0
03.01.2019,15:00,16:00,81.0
03.01.2019,16:00,17:00,87.0
03.01.2019,17:00,18:00,83.0
03.01.2019,18:00,19:00,79.0
03.01.2019,19:00,20:00,84.0
03.01.2019,20:00,21:00,82.0
