date,start,end,11WD7BEEC5XRUH4E
01.01.2019,00:00,01:00,131.0
01.01.2019,01:00,02:00,127.0
01.01.2019,02:00,03:00,133.0
01.01.2019,03:00,04:00,150.0
01.01.2019,04:00,05:00,148.0
01.01.2019,05:00,06:00,122.0
01.01.2019,06:00,07:00,110.0
01.01.2019,07:00,08:00,116.0
01.01.2019,08:00,09:00,148.0
01.01.2019,09:00,10:00,131.0
01.01.2019,10:00,11:00,127.0
01.01.2019,11:00,12:00,128.0
01.01.2019,12:00,13:00,150.0
01.01.2019,13:00,14:00,151.0
01.01.2019,14:00,15:00,150.0
01.01.2019,15:00,16:00,150.0
01.01.2019,16:00,17:00,151.0
01.01.2019,17:00,18:00,150.0
01.01.2019,18:00,19:00,151.0
01.01.2019,19:00,20:00,150.0
01.01.2019,20:00,21:00,152.0
01.01.2019,21:00,22:00,151.0
01.01.2019,22:00,23:00,149.0
01.01.2019,23:00,00:00,149.0
02.01.2019,00:00,01:00,145.0
02.01.2019,01:00,02:00,144.0
02.01.2019,02:00,03:00,148.0
02.01.2019,03:00,04:00,146.0
02.01.2019,04:00,05:00,143.0
02.01.2019,05:00,06:00,139.0
02.01.2019,06:00,07:00,145.0
02.01.2019,07:00,08:00,148.0
02.01.2019,08:00,09:00,150.0
02.01.2019,09:00,10:00,149.0
02.01.2019,10:00,11:00,150.0
02.01.2019,11:00,12:00,150.0
02.01.2019,12:00,13:00,149.0
02.01.2019,13:00,14:00,151.0
02.01.2019,14:00,15:00,150.0
02.01.2019,15:00,16:00,150.0
02.01.2019,16:00,17:00,151.0
02.01.2019,17:00,18:00,150.0
02.01.2019,18:00,19:00,150.0
02.01.2019,19:00,20:00,149.0
02.01.2019,20:00,21:00,149.0
02.01.2019,21:00,22:00,148.0
02.01.2019,22:00,23:00,143.0
02.01.2019,23:00,00:00,150.0
03.01.2019,00:00,01:00,147.0
03.01.2019,01:00,02:00,150.0
03.01.2019,02:00,03:00,147.0
03.01.2019,03:00,04:00,149.0
03.01.2019,04:00,05:00,148.0
03.01.2019,05:00,06:00,149.0
03.01.2019,06:00,07:00,147.0
03.01.2019,07:00,08:00,145.0
03.01.2019,08:00,09:00,146.0
03.01.2019,09:00,10:00,147.0
03.01.2019,10:00,11:00,145.0
03.01.2019,11:00,12:00,147.0
03.01.2019,12:00,13:00,147.0
03.01.2019,13:00,14:00,146.0
03.01.2019,14:00,15:00,134.0
03.01.2019,15:00,16:00,146.0
03.01.2019,16:00,17:00,150.0
03.01.2019,17:00,18:00,150.0
03.01.2019,18:00,19:00,147.0
03.01.2019,19:00,20:00,150.0
03.01.2019,20:00,21:00,148.0
03.01.2019,21:00,22:00,149.0
03.01.2019,22:00,23:00,150.0
03.01.2019,23:00,00:00,150.0
04.01.2019,00:00,01:00,150.0
04.01.2019,01:00,02:00,151.0
04.01.2019,02:00,03:00,151.0
04.01.2019,03:00,04:00,150.0
04.01.2019,04:00,05:00,148.0
04.01.2019,05:00,06:00,151.0
04.01.2019,06:00,07:00,150.0
04.01.2019,07:00,08:00,150.0
04.01.2019,08:00,09:00,146.0
04.01.2019,09:00,10:00,147.0
04.01.2019,10:00,11:00,147.0
04.01.2019,11:00,12:00,147.0
04.01.2019,12:00,13:00,146.0
04.01.2019,13:00,14:00,148.0
04.01.2019,14:00,15:00,148.0
04.01.2019,15:00,16:00,146.0
04.01.2019,16:00,17:00,149.0
04.01.2019,17:00,18:00,149.0
04.01.2019,18:00,19:00,146.0
04.01.2019,19:00,20:00,147.0
04.01.2019,20:00,21:00,132.0
04.01.2019,21:00,22:00,141.0
04.01.2019,22:00,23:00,143.0
04.01.2019,23:00,00:00,133.0
05.01.2019,00:00,01:00,139.0
05.01.2019,01:00,02:00,151.0
05.01.2019,02:00,03:00,149.0
05.01.2019,03:00,04:00,137.0
05.01.2019,04:00,05:00,127.0
05.01.2019,05:00,06:00,132.0
05.01.2019,06:00,07:00,142.0
05.01.2019,07:00,08:00,149.0
05.01.2019,08:00,09:00,147.0
05.01.2019,09:00,10:00,146.0
05.01.2019,10:00,11:00,138.0
05.01.2019,11:00,12:00,139.0
05.01.2019,12:00,13:00,148.0
05.01.2019,13:00,14:00,146.0
05.01.2019,14:00,15:00,141.0
05.01.2019,15:00,16:00,124.0
05.01.2019,16:00,17:00,135.0
05.01.2019,17:00,18:00,127.0
05.01.2019,18:00,19:00,121.0
05.01.2019,19:00,20:00,115.0
05.01.2019,20:00,21:00,138.0
05.01.2019,21:00,22:00,143.0
05.01.2019,22:00,23:00,122.0
05.01.2019,23:00,00:00,146.0
06.01.2019,00:00,01:00,140.0
06.01.2019,01:00,02:00,138.0
06.01.2019,02:00,03:00,125.0
06.01.2019,03:00,04:00,131.0
