date,start,end,11WD7FRIM2B--P-G,11WD7FRIM2B--Q-D
01.01.2016,00:00,01:00,,0.0
01.01.2016,01:00,02:00,,0.0
01.01.2016,02:00,03:00,,0.0
01.01.2016,03:00,04:00,,0.0
01.01.2016,04:00,05:00,,0.0
01.01.2016,05:00,06:00,,0.0
01.01.2016,06:00,07:00,,0.0
01.01.2016,07:00,08:00,,0.0
01.01.2016,08:00,09:00,,0.0
01.01.2016,09:00,10:00,,0.0
01.01.2016,10:00,11:00,,0.0
01.01.2016,11:00,12:00,,0.0
01.01.2016,12:00,13:00,,0.0
01.01.2016,13:00,14:00,,0.0
01.01.2016,14:00,15:00,,0.0
01.01.2016,15:00,16:00,,0.0
01.01.2016,16:00,17:00,,0.0
01.01.2016,17:00,18:00,,0.0
01.01.2016,18:00,19:00,,0.0
01.01.2016,19:00,20:00,,0.0
01.01.2016,20:00,21:00,,0.0
01.01.2016,21:00,22:00,,0.0
01.01.2016,22:00,23:00,,0.0
01.01.2016,23:00,00:00,,0.0
02.01.2016,00:00,01:00,,0.0
02.01.2016,01:00,02:00,,0.0
02.01.2016,02:00,03:00,,0.0
02.01.2016,03:00,04:00,,0.0
02.01.2016,04:00,05:00,,0.0
02.01.2016,05:00,06:00,,0.0
02.01.2016,06:00,07:00,,0.0
02.01.2016,07:00,08:00,,0.0
02.01.2016,08:00,09:00,,0.0
02.01.2016,09:00,10:00,,0.0
02.01.2016,10:00,11:00,,0.0
02.01.2016,11:00,12:00,,0.0
02.01.2016,12:00,13:00,,0.0
02.01.2016,13:00,14:00,,0.0
02.01.2016,14:00,15:00,,0.0
02.01.2016,15:00,16:00,,0.0
02.01.2016,16:00,17:00,,0.0
02.01.2016,17:00,18:00,,0.0
02.01.2016,18:00,19:00,,0.0
02.01.2016,19:00,20:00,,0.0
02.01.2016,20:00,21:00,,0.0
02.01.2016,21:00,22:00,,0.0
02.01.2016,22:00,23:00,,0.0
02.01.2016,23:00,00:00,,0.0
03.01.2016,00:00,01:00,,0.0
03.01.2016,01:00,02:00,,0.0
03.01.2016,02:00,03:00,,0.0
03.01.2016,03:00,04:00,,0.0
03.01.2016,04:00,05:00,,0.0
03.01.2016,05:00,06:00,,0.0
03.01.2016,06:00,07:00,,0.0
03.01.2016,07:00,08:00,,0.0
03.01.2016,08:00,09:00,,0.0
03.01.2016,09:00,10:00,,0.0
03.01.2016,10:00,11:00,,0.0
03.01.2016,11:00,12:00,,0.0
03.01.2016,12:00,13:00,,0.0
03.01.2016,13:00,14:00,,0.0
03.01.2016,14:00,15:00,,0.0
03.01.2016,15:00,16:00,,0.0
03.01.2016,16:00,17:00,,0.0
03.01.2016,17:00,18:00,,0.0
03.01.2016,18:00,19:00,,0.0
03.01.2016,19:00,20:00,,0.0
03.01.2016,20:00,21:00,,0.0
03.01.2016,21:00,22:00,,0.0
03.01.2016,22:00,23:00,,0.0
03.01.2016,23:00,00:00,,0.0
04.01.2016,00:00,01:00,,0.0
04.01.2016,01:00,02:00,,0.0
04.01.2016,02:00,03:00,,0.0
04.01.2016,03:00,04:00,,0.0
04.01.2016,04:00,05:00,,0.0
04.01.2016,05:00,06:00,,5.0
04.01.2016,06:00,07:00,,92.0
04.01.2016,07:00,08:00,,211.0
04.01.2016,08:00,09:00,,217.0
04.01.2016,09:00,10:00,,220.0
04.01.2016,10:00,11:00,,220.0
04.01.2016,11:00,12:00,,234.0
04.01.2016,12:00,13:00,,270.0
04.01.2016,13:00,14:00,,268.0
04.01.2016,14:00,15:00,,264.0
04.01.2016,15:00,16:00,,266.0
04.01.2016,16:00,17:00,,266.0
04.01.2016,17:00,18:00,,266.0
04.01.2016,18:00,19:00,,267.0
04.01.2016,19:00,20:00,,267.0
04.01.2016,20:00,21:00,,267.0
04.01.2016,21:00,22:00,,270.0
04.01.2016,22:00,23:00,,272.0
04.01.2016,23:00,00:00,,270.0
05.01.2016,00:00,01:00,,271.0
05.01.2016,01:00,02:00,,269.0
05.01.2016,02:00,03:00,,269.0
05.01.2016,03:00,04:00,,268.0
05.01.2016,04:00,05:00,,267.0
05.01.2016,05:00,06:00,,265.0
05.01.2016,06:00,07:00,,265.0
05.01.2016,07:00,08:00,,263.0
05.01.2016,08:00,09:00,,266.0
05.01.2016,09:00,10:00,,269.0
05.01.2016,10:00,11:00,,268.0
05.01.2016,11:00,12:00,,268.0
05.01.2016,12:00,13:00,,260.0
05.01.2016,13:00,14:00,,241.0
05.01.2016,14:00,15:00,,243.0
05.01.2016,15:00,16:00,,245.0
05.01.2016,16:00,17:00,,242.0
05.01.2016,17:00,18:00,,245.0
05.01.2016,18:00,19:00,,244.0
05.01.2016,19:00,20:00,,242.0
05.01.2016,20:00,21:00,,247.0
05.01.2016,21:00,22:00,,243.0
05.01.2016,22:00,23:00,,238.0
05.01.2016,23:00,00:00,,238.0
06.01.2016,00:00,01:00,,237.0
06.01.2016,01:00,02:00,,240.0
06.01.2016,02:00,03:00,,237.0
06.01.2016,03:00,04:00,,238.0
06.01.2016,04:00,05:00,,239.0
06.01.2016,05:00,06:00,,238.0
06.01.2016,06:00,07:00,,238.0
06.01.2016,07:00,08:00,,238.0
06.01.2016,08:00,09:00,,239.0
06.01.2016,09:00,10:00,,241.0
06.01.2016,10:00,11:00,,241.0
06.01.2016,11:00,12:00,,241.0
06.01.2016,12:00,13:00,,242.0
06.01.2016,13:00,14:00,,237.0
06.01.2016,14:00,15:00,,241.0
06.01.2016,15:00,16:00,,242.0
06.01.2016,16:00,17:00,,242.0
06.01.2016,17:00,18:00,,241.0
06.01.2016,18:00,19:00,,241.0
06.01.2016,19:00,20:00,,238.0
06.01.2016,20:00,21:00,,242.0
06.01.2016,21:00,22:00,,244.0
06.01.2016,22:00,23:00,,240.0
06.01.2016,23:00,00:00,,237.0
07.01.2016,00:00,01:00,,239.0
07.01.2016,01:00,02:00,,239.0
07.01.2016,02:00,03:00,,240.0
07.01.2016,03:00,04:00,,232.0
07.01.2016,04:00,05:00,,240.0
07.01.2016,05:00,06:00,,243.0
07.01.2016,06:00,07:00,,240.0
07.01.2016,07:00,08:00,,239.0
07.01.2016,08:00,09:00,,235.0
07.01.2016,09:00,10:00,,241.0
07.01.2016,10:00,11:00,,241.0
07.01.2016,11:00,12:00,,247.0
07.01.2016,12:00,13:00,,246.0
07.01.2016,13:00,14:00,,249.0
07.01.2016,14:00,15:00,,242.0
07.01.2016,15:00,16:00,,243.0
07.01.2016,16:00,17:00,,248.0
07.01.2016,17:00,18:00,,244.0
07.01.2016,18:00,19:00,,244.0
07.01.2016,19:00,20:00,,244.0
07.01.2016,20:00,21:00,,244.0
07.01.2016,21:00,22:00,,244.0
07.01.2016,22:00,23:00,,242.0
07.01.2016,23:00,00:00,,244.0
08.01.2016,00:00,01:00,,244.0
08.01.2016,01:00,02:00,,242.0
08.01.2016,02:00,03:00,,179.0
08.01.2016,03:00,04:00,,170.0
08.01.2016,04:00,05:00,,170.0
08.01.2016,05:00,06:00,,220.0
08.01.2016,06:00,07:00,,244.0
08.01.2016,07:00,08:00,,243.0
08.01.2016,08:00,09:00,,244.0
08.01.2016,09:00,10:00,,242.0
08.01.2016,10:00,11:00,,238.0
08.01.2016,11:00,12:00,,240.0
08.01.2016,12:00,13:00,,240.0
08.01.2016,13:00,14:00,,232.0
08.01.2016,14:00,15:00,,231.0
08.01.2016,15:00,16:00,,232.0
08.01.2016,16:00,17:00,,232.0
08.01.2016,17:00,18:00,,235.0
08.01.2016,18:00,19:00,,234.0
08.01.2016,19:00,20:00,,234.0
08.01.2016,20:00,21:00,,236.0
08.01.2016,21:00,22:00,,237.0
08.01.2016,22:00,23:00,,238.0
08.01.2016,23:00,00:00,,239.0
09.01.2016,00:00,01:00,,239.0
09.01.2016,01:00,02:00,,240.0
09.01.2016,02:00,03:00,,240.0
09.01.2016,03:00,04:00,,239.0
09.01.2016,04:00,05:00,,240.0
09.01.2016,05:00,06:00,,239.0
09.01.2016,06:00,07:00,,237.0
09.01.2016,07:00,08:00,,240.0
09.01.2016,08:00,09:00,,240.0
09.01.2016,09:00,10:00,,240.0
09.01.2016,10:00,11:00,,239.0
09.01.2016,11:00,12:00,,239.0
09.01.2016,12:00,13:00,,238.0
09.01.2016,13:00,14:00,,239.0
09.01.2016,14:00,15:00,,240.0
09.01.2016,15:00,16:00,,239.0
