date,start,end,11WD8DRES5X----D
1012020,00:00,01:00,251
1012020,01:00,02:00,251
1012020,02:00,03:00,251
1012020,03:00,04:00,251
1012020,04:00,05:00,251
1012020,05:00,06:00,251
1012020,06:00,07:00,252
1012020,07:00,08:00,252
1012020,08:00,09:00,252
1012020,09:00,10:00,252
1012020,10:00,11:00,248
1012020,11:00,12:00,249
1012020,12:00,13:00,249
1012020,13:00,14:00,251
1012020,14:00,15:00,250
1012020,15:00,16:00,250
1012020,16:00,17:00,251
1012020,17:00,18:00,253
1012020,18:00,19:00,253
1012020,19:00,20:00,254
1012020,20:00,21:00,254
1012020,21:00,22:00,254
1012020,22:00,23:00,254
1012020,23:00,00:00,254
2012020,00:00,01:00,253
2012020,01:00,02:00,253
2012020,02:00,03:00,252
2012020,03:00,04:00,253
2012020,04:00,05:00,253
2012020,05:00,06:00,254
2012020,06:00,07:00,251
2012020,07:00,08:00,254
2012020,08:00,09:00,255
2012020,09:00,10:00,254
2012020,10:00,11:00,253
2012020,11:00,12:00,252
2012020,12:00,13:00,251
2012020,13:00,14:00,250
2012020,14:00,15:00,250
2012020,15:00,16:00,251
2012020,16:00,17:00,252
2012020,17:00,18:00,252
2012020,18:00,19:00,253
2012020,19:00,20:00,254
2012020,20:00,21:00,254
2012020,21:00,22:00,254
2012020,22:00,23:00,254
2012020,23:00,00:00,250
3012020,00:00,01:00,250
3012020,01:00,02:00,200
3012020,02:00,03:00,151
3012020,03:00,04:00,151
3012020,04:00,05:00,147
3012020,05:00,06:00,174
3012020,06:00,07:00,240
3012020,07:00,08:00,245
3012020,08:00,09:00,249
3012020,09:00,10:00,249
3012020,10:00,11:00,247
3012020,11:00,12:00,246
3012020,12:00,13:00,246
3012020,13:00,14:00,246
3012020,14:00,15:00,245
3012020,15:00,16:00,244
3012020,16:00,17:00,243
3012020,17:00,18:00,245
3012020,18:00,19:00,245
3012020,19:00,20:00,245
3012020,20:00,21:00,245
3012020,21:00,22:00,245
3012020,22:00,23:00,244
3012020,23:00,00:00,245
4012020,00:00,01:00,245
4012020,01:00,02:00,247
4012020,02:00,03:00,229
4012020,03:00,04:00,161
4012020,04:00,05:00,160
4012020,05:00,06:00,160
4012020,06:00,07:00,161
4012020,07:00,08:00,224
