date,start,end,11WD8LEIP5X----6
1012019,00:00,01:00,41
1012019,01:00,02:00,24
1012019,02:00,03:00,24
1012019,03:00,04:00,24
1012019,04:00,05:00,24
1012019,05:00,06:00,24
1012019,06:00,07:00,24
1012019,07:00,08:00,24
1012019,08:00,09:00,24
1012019,09:00,10:00,24
1012019,10:00,11:00,24
1012019,11:00,12:00,24
1012019,12:00,13:00,24
1012019,13:00,14:00,24
1012019,14:00,15:00,33
1012019,15:00,16:00,48
1012019,16:00,17:00,48
1012019,17:00,18:00,48
1012019,18:00,19:00,48
1012019,19:00,20:00,48
1012019,20:00,21:00,48
1012019,21:00,22:00,34
1012019,22:00,23:00,23
1012019,23:00,00:00,23
2012019,00:00,01:00,23
2012019,01:00,02:00,23
2012019,02:00,03:00,23
2012019,03:00,04:00,23
2012019,04:00,05:00,31
2012019,05:00,06:00,38
2012019,06:00,07:00,38
2012019,07:00,08:00,59
2012019,08:00,09:00,80
2012019,09:00,10:00,81
2012019,10:00,11:00,81
2012019,11:00,12:00,81
2012019,12:00,13:00,80
2012019,13:00,14:00,80
2012019,14:00,15:00,80
2012019,15:00,16:00,80
2012019,16:00,17:00,80
2012019,17:00,18:00,80
2012019,18:00,19:00,81
2012019,19:00,20:00,78
2012019,20:00,21:00,78
2012019,21:00,22:00,76
2012019,22:00,23:00,76
2012019,23:00,00:00,76
3012019,00:00,01:00,76
3012019,01:00,02:00,63
3012019,02:00,03:00,31
3012019,03:00,04:00,35
3012019,04:00,05:00,71
3012019,05:00,06:00,78
3012019,06:00,07:00,84
3012019,07:00,08:00,83
3012019,08:00,09:00,81
3012019,09:00,10:00,82
3012019,10:00,11:00,83
3012019,11:00,12:00,83
3012019,12:00,13:00,83
3012019,13:00,14:00,83
3012019,14:00,15:00,83
3012019,15:00,16:00,83
3012019,16:00,17:00,82
3012019,17:00,18:00,83
3012019,18:00,19:00,83
3012019,19:00,20:00,83
3012019,20:00,21:00,83
3012019,21:00,22:00,83
3012019,22:00,23:00,80
3012019,23:00,00:00,75
4012019,00:00,01:00,75
4012019,01:00,02:00,75
4012019,02:00,03:00,53
4012019,03:00,04:00,51
4012019,04:00,05:00,78
4012019,05:00,06:00,82
4012019,06:00,07:00,81
4012019,07:00,08:00,78
4012019,08:00,09:00,82
4012019,09:00,10:00,82
4012019,10:00,11:00,83
4012019,11:00,12:00,82
4012019,12:00,13:00,76
4012019,13:00,14:00,81
4012019,14:00,15:00,81
4012019,15:00,16:00,81
4012019,16:00,17:00,79
4012019,17:00,18:00,78
4012019,18:00,19:00,74
4012019,19:00,20:00,80
4012019,20:00,21:00,80
4012019,21:00,22:00,73
4012019,22:00,23:00,67
4012019,23:00,00:00,68
5012019,00:00,01:00,48
5012019,01:00,02:00,30
5012019,02:00,03:00,30
5012019,03:00,04:00,30
5012019,04:00,05:00,30
5012019,05:00,06:00,45
5012019,06:00,07:00,72
5012019,07:00,08:00,71
5012019,08:00,09:00,71
5012019,09:00,10:00,71
5012019,10:00,11:00,71
5012019,11:00,12:00,71
5012019,12:00,13:00,71
5012019,13:00,14:00,71
5012019,14:00,15:00,71
5012019,15:00,16:00,71
5012019,16:00,17:00,71
5012019,17:00,18:00,72
5012019,18:00,19:00,72
5012019,19:00,20:00,72
5012019,20:00,21:00,72
5012019,21:00,22:00,72
5012019,22:00,23:00,72
5012019,23:00,00:00,48
6012019,00:00,01:00,30
6012019,01:00,02:00,30
6012019,02:00,03:00,30
6012019,03:00,04:00,30
6012019,04:00,05:00,30
6012019,05:00,06:00,56
6012019,06:00,07:00,76
6012019,07:00,08:00,80
6012019,08:00,09:00,82
6012019,09:00,10:00,82
6012019,10:00,11:00,82
6012019,11:00,12:00,82
6012019,12:00,13:00,77
6012019,13:00,14:00,74
6012019,14:00,15:00,73
6012019,15:00,16:00,74
6012019,16:00,17:00,78
6012019,17:00,18:00,81
6012019,18:00,19:00,81
6012019,19:00,20:00,82
