date,start,end,11WD2WBW1000039N,11WD2WBW2000040U
01.01.2018,00:00,01:00,39,38
01.01.2018,01:00,02:00,38,38
01.01.2018,02:00,03:00,38,38
01.01.2018,03:00,04:00,38,38
01.01.2018,04:00,05:00,38,39
01.01.2018,05:00,06:00,38,38
01.01.2018,06:00,07:00,36,38
01.01.2018,07:00,08:00,35,37
01.01.2018,08:00,09:00,36,37
01.01.2018,09:00,10:00,35,37
01.01.2018,10:00,11:00,34,37
01.01.2018,11:00,12:00,34,37
01.01.2018,12:00,13:00,35,37
01.01.2018,13:00,14:00,36,37
01.01.2018,14:00,15:00,37,37
01.01.2018,15:00,16:00,37,37
01.01.2018,16:00,17:00,37,37
01.01.2018,17:00,18:00,36,36
01.01.2018,18:00,19:00,36,37
01.01.2018,19:00,20:00,36,37
01.01.2018,20:00,21:00,36,37
01.01.2018,21:00,22:00,37,37
01.01.2018,22:00,23:00,40,40
01.01.2018,23:00,00:00,42,41
02.01.2018,00:00,01:00,40,40
02.01.2018,01:00,02:00,38,39
02.01.2018,02:00,03:00,40,39
02.01.2018,03:00,04:00,39,39
02.01.2018,04:00,05:00,46,38
02.01.2018,05:00,06:00,56,39
02.01.2018,06:00,07:00,65,44
02.01.2018,07:00,08:00,79,62
02.01.2018,08:00,09:00,84,62
02.01.2018,09:00,10:00,88,73
02.01.2018,10:00,11:00,82,62
02.01.2018,11:00,12:00,73,70
02.01.2018,12:00,13:00,62,80
02.01.2018,13:00,14:00,66,83
02.01.2018,14:00,15:00,61,80
02.01.2018,15:00,16:00,83,88
02.01.2018,16:00,17:00,90,92
02.01.2018,17:00,18:00,92,91
02.01.2018,18:00,19:00,88,88
02.01.2018,19:00,20:00,55,74
02.01.2018,20:00,21:00,56,65
02.01.2018,21:00,22:00,57,64
02.01.2018,22:00,23:00,58,64
02.01.2018,23:00,00:00,61,66
03.01.2018,00:00,01:00,78,88
03.01.2018,01:00,02:00,75,94
03.01.2018,02:00,03:00,70,90
03.01.2018,03:00,04:00,70,96
03.01.2018,04:00,05:00,74,93
03.01.2018,05:00,06:00,84,93
03.01.2018,06:00,07:00,106,97
