date,start,end,11WD2BR15000116G
1012019,00:00,01:00,84
1012019,01:00,02:00,85
1012019,02:00,03:00,76
1012019,03:00,04:00,75
1012019,04:00,05:00,74
1012019,05:00,06:00,74
1012019,06:00,07:00,75
1012019,07:00,08:00,74
1012019,08:00,09:00,73
1012019,09:00,10:00,69
1012019,10:00,11:00,69
1012019,11:00,12:00,68
1012019,12:00,13:00,69
1012019,13:00,14:00,70
1012019,14:00,15:00,79
1012019,15:00,16:00,89
1012019,16:00,17:00,89
1012019,17:00,18:00,89
1012019,18:00,19:00,88
1012019,19:00,20:00,89
1012019,20:00,21:00,89
1012019,21:00,22:00,90
1012019,22:00,23:00,90
1012019,23:00,00:00,0
2012019,00:00,01:00,93
2012019,01:00,02:00,80
2012019,02:00,03:00,83
2012019,03:00,04:00,92
2012019,04:00,05:00,98
2012019,05:00,06:00,93
2012019,06:00,07:00,87
2012019,07:00,08:00,84
2012019,08:00,09:00,99
2012019,09:00,10:00,94
2012019,10:00,11:00,95
2012019,11:00,12:00,95
2012019,12:00,13:00,96
2012019,13:00,14:00,96
2012019,14:00,15:00,91
2012019,15:00,16:00,93
2012019,16:00,17:00,94
2012019,17:00,18:00,93
2012019,18:00,19:00,94
2012019,19:00,20:00,94
2012019,20:00,21:00,95
2012019,21:00,22:00,96
2012019,22:00,23:00,96
2012019,23:00,00:00,0
3012019,00:00,01:00,88
3012019,01:00,02:00,87
3012019,02:00,03:00,88
3012019,03:00,04:00,88
3012019,04:00,05:00,88
3012019,05:00,06:00,90
3012019,06:00,07:00,90
3012019,07:00,08:00,91
3012019,08:00,09:00,92
3012019,09:00,10:00,93
3012019,10:00,11:00,94
3012019,11:00,12:00,95
3012019,12:00,13:00,96
3012019,13:00,14:00,95
3012019,14:00,15:00,95
3012019,15:00,16:00,93
3012019,16:00,17:00,92
3012019,17:00,18:00,93
3012019,18:00,19:00,95
3012019,19:00,20:00,93
3012019,20:00,21:00,94
3012019,21:00,22:00,94
3012019,22:00,23:00,94
3012019,23:00,00:00,0
4012019,00:00,01:00,78
4012019,01:00,02:00,78
4012019,02:00,03:00,79
4012019,03:00,04:00,79
4012019,04:00,05:00,78
4012019,05:00,06:00,93
4012019,06:00,07:00,93
4012019,07:00,08:00,94
4012019,08:00,09:00,94
4012019,09:00,10:00,96
4012019,10:00,11:00,96
4012019,11:00,12:00,97
4012019,12:00,13:00,97
4012019,13:00,14:00,95
4012019,14:00,15:00,93
4012019,15:00,16:00,94
4012019,16:00,17:00,96
4012019,17:00,18:00,96
4012019,18:00,19:00,98
4012019,19:00,20:00,99
4012019,20:00,21:00,98
4012019,21:00,22:00,83
4012019,22:00,23:00,81
4012019,23:00,00:00,0
5012019,00:00,01:00,79
5012019,01:00,02:00,79
5012019,02:00,03:00,79
5012019,03:00,04:00,79
5012019,04:00,05:00,79
5012019,05:00,06:00,78
5012019,06:00,07:00,80
5012019,07:00,08:00,79
5012019,08:00,09:00,88
5012019,09:00,10:00,88
5012019,10:00,11:00,88
5012019,11:00,12:00,88
5012019,12:00,13:00,87
5012019,13:00,14:00,78
5012019,14:00,15:00,79
5012019,15:00,16:00,82
5012019,16:00,17:00,94
5012019,17:00,18:00,98
5012019,18:00,19:00,98
5012019,19:00,20:00,98
5012019,20:00,21:00,98
5012019,21:00,22:00,93
5012019,22:00,23:00,88
5012019,23:00,00:00,0
6012019,00:00,01:00,81
6012019,01:00,02:00,85
6012019,02:00,03:00,90
6012019,03:00,04:00,90
6012019,04:00,05:00,89
6012019,05:00,06:00,90
6012019,06:00,07:00,89
6012019,07:00,08:00,89
6012019,08:00,09:00,91
6012019,09:00,10:00,98
6012019,10:00,11:00,99
6012019,11:00,12:00,99
6012019,12:00,13:00,100
6012019,13:00,14:00,99
6012019,14:00,15:00,99
6012019,15:00,16:00,99
6012019,16:00,17:00,99
6012019,17:00,18:00,99
6012019,18:00,19:00,98
6012019,19:00,20:00,98
6012019,20:00,21:00,99
6012019,21:00,22:00,98
6012019,22:00,23:00,97
6012019,23:00,00:00,0
7012019,00:00,01:00,83
7012019,01:00,02:00,84
7012019,02:00,03:00,83
7012019,03:00,04:00,96
7012019,04:00,05:00,99
7012019,05:00,06:00,99
7012019,06:00,07:00,96
7012019,07:00,08:00,97
7012019,08:00,09:00,98
7012019,09:00,10:00,99
7012019,10:00,11:00,101
7012019,11:00,12:00,103
7012019,12:00,13:00,104
7012019,13:00,14:00,99
7012019,14:00,15:00,97
7012019,15:00,16:00,100
7012019,16:00,17:00,103
7012019,17:00,18:00,104
7012019,18:00,19:00,102
7012019,19:00,20:00,101
7012019,20:00,21:00,102
7012019,21:00,22:00,100
7012019,22:00,23:00,84
7012019,23:00,00:00,0
8012019,00:00,01:00,92
8012019,01:00,02:00,93
8012019,02:00,03:00,92
8012019,03:00,04:00,92
8012019,04:00,05:00,92
8012019,05:00,06:00,94
8012019,06:00,07:00,93
8012019,07:00,08:00,103
8012019,08:00,09:00,100
8012019,09:00,10:00,95
8012019,10:00,11:00,93
8012019,11:00,12:00,78
8012019,12:00,13:00,79
8012019,13:00,14:00,86
8012019,14:00,15:00,92
8012019,15:00,16:00,93
8012019,16:00,17:00,92
8012019,17:00,18:00,97
8012019,18:00,19:00,96
8012019,19:00,20:00,98
8012019,20:00,21:00,97
8012019,21:00,22:00,97
8012019,22:00,23:00,97
8012019,23:00,00:00,0
9012019,00:00,01:00,94
9012019,01:00,02:00,92
9012019,02:00,03:00,91
9012019,03:00,04:00,92
9012019,04:00,05:00,92
9012019,05:00,06:00,91
9012019,06:00,07:00,91
9012019,07:00,08:00,92
9012019,08:00,09:00,92
9012019,09:00,10:00,93
9012019,10:00,11:00,93
9012019,11:00,12:00,93
9012019,12:00,13:00,92
9012019,13:00,14:00,89
9012019,14:00,15:00,89
9012019,15:00,16:00,92
9012019,16:00,17:00,92
9012019,17:00,18:00,92
9012019,18:00,19:00,93
9012019,19:00,20:00,93
9012019,20:00,21:00,89
9012019,21:00,22:00,89
9012019,22:00,23:00,91
9012019,23:00,00:00,0
10012019,00:00,01:00,92
10012019,01:00,02:00,88
10012019,02:00,03:00,89
10012019,03:00,04:00,88
10012019,04:00,05:00,87
10012019,05:00,06:00,88
10012019,06:00,07:00,89
10012019,07:00,08:00,90
10012019,08:00,09:00,92
10012019,09:00,10:00,92
10012019,10:00,11:00,93
10012019,11:00,12:00,93
10012019,12:00,13:00,94
10012019,13:00,14:00,92
10012019,14:00,15:00,90
10012019,15:00,16:00,89
10012019,16:00,17:00,92
10012019,17:00,18:00,93
10012019,18:00,19:00,92
10012019,19:00,20:00,91
10012019,20:00,21:00,92
10012019,21:00,22:00,92
10012019,22:00,23:00,93
10012019,23:00,00:00,0
11012019,00:00,01:00,88
11012019,01:00,02:00,88
11012019,02:00,03:00,88
11012019,03:00,04:00,88
11012019,04:00,05:00,87
11012019,05:00,06:00,87
11012019,06:00,07:00,87
11012019,07:00,08:00,87
11012019,08:00,09:00,87
11012019,09:00,10:00,86
11012019,10:00,11:00,88
11012019,11:00,12:00,88
11012019,12:00,13:00,88
11012019,13:00,14:00,88
11012019,14:00,15:00,88
11012019,15:00,16:00,88
11012019,16:00,17:00,89
11012019,17:00,18:00,93
11012019,18:00,19:00,91
11012019,19:00,20:00,93
11012019,20:00,21:00,99
11012019,21:00,22:00,99
11012019,22:00,23:00,93
11012019,23:00,00:00,0
12012019,00:00,01:00,102
12012019,01:00,02:00,97
12012019,02:00,03:00,83
12012019,03:00,04:00,83
12012019,04:00,05:00,83
12012019,05:00,06:00,84
12012019,06:00,07:00,92
12012019,07:00,08:00,91
12012019,08:00,09:00,93
12012019,09:00,10:00,96
12012019,10:00,11:00,97
12012019,11:00,12:00,97
12012019,12:00,13:00,95
12012019,13:00,14:00,83
12012019,14:00,15:00,79
12012019,15:00,16:00,79
12012019,16:00,17:00,80
12012019,17:00,18:00,79
12012019,18:00,19:00,79
12012019,19:00,20:00,79
12012019,20:00,21:00,78
12012019,21:00,22:00,78
12012019,22:00,23:00,78
12012019,23:00,00:00,0
13012019,00:00,01:00,79
13012019,01:00,02:00,81
13012019,02:00,03:00,84
13012019,03:00,04:00,84
13012019,04:00,05:00,84
13012019,05:00,06:00,84
13012019,06:00,07:00,83
13012019,07:00,08:00,89
13012019,08:00,09:00,91
13012019,09:00,10:00,88
13012019,10:00,11:00,86
13012019,11:00,12:00,86
13012019,12:00,13:00,86
13012019,13:00,14:00,85
13012019,14:00,15:00,82
13012019,15:00,16:00,82
13012019,16:00,17:00,81
13012019,17:00,18:00,81
13012019,18:00,19:00,81
13012019,19:00,20:00,81
13012019,20:00,21:00,83
13012019,21:00,22:00,85
13012019,22:00,23:00,85
13012019,23:00,00:00,0
14012019,00:00,01:00,95
14012019,01:00,02:00,94
14012019,02:00,03:00,95
14012019,03:00,04:00,88
14012019,04:00,05:00,84
14012019,05:00,06:00,86
14012019,06:00,07:00,91
14012019,07:00,08:00,94
14012019,08:00,09:00,93
14012019,09:00,10:00,90
14012019,10:00,11:00,81
14012019,11:00,12:00,82
14012019,12:00,13:00,82
14012019,13:00,14:00,83
14012019,14:00,15:00,82
14012019,15:00,16:00,84
14012019,16:00,17:00,93
14012019,17:00,18:00,93
14012019,18:00,19:00,93
14012019,19:00,20:00,94
14012019,20:00,21:00,85
14012019,21:00,22:00,78
14012019,22:00,23:00,77
14012019,23:00,00:00,0
15012019,00:00,01:00,78
15012019,01:00,02:00,79
15012019,02:00,03:00,79
15012019,03:00,04:00,78
15012019,04:00,05:00,78
15012019,05:00,06:00,78
15012019,06:00,07:00,87
15012019,07:00,08:00,94
15012019,08:00,09:00,92
15012019,09:00,10:00,92
15012019,10:00,11:00,93
15012019,11:00,12:00,96
15012019,12:00,13:00,98
15012019,13:00,14:00,98
15012019,14:00,15:00,99
15012019,15:00,16:00,98
15012019,16:00,17:00,97
15012019,17:00,18:00,80
15012019,18:00,19:00,78
15012019,19:00,20:00,78
15012019,20:00,21:00,78
15012019,21:00,22:00,79
15012019,22:00,23:00,80
15012019,23:00,00:00,0
16012019,00:00,01:00,80
16012019,01:00,02:00,80
16012019,02:00,03:00,80
16012019,03:00,04:00,81
16012019,04:00,05:00,80
16012019,05:00,06:00,89
16012019,06:00,07:00,100
16012019,07:00,08:00,101
16012019,08:00,09:00,100
16012019,09:00,10:00,99
16012019,10:00,11:00,93
16012019,11:00,12:00,88
16012019,12:00,13:00,93
16012019,13:00,14:00,98
16012019,14:00,15:00,97
16012019,15:00,16:00,96
16012019,16:00,17:00,94
16012019,17:00,18:00,92
16012019,18:00,19:00,92
16012019,19:00,20:00,91
16012019,20:00,21:00,91
16012019,21:00,22:00,91
16012019,22:00,23:00,91
16012019,23:00,00:00,0
17012019,00:00,01:00,77
17012019,01:00,02:00,78
17012019,02:00,03:00,79
17012019,03:00,04:00,78
17012019,04:00,05:00,78
17012019,05:00,06:00,83
17012019,06:00,07:00,94
17012019,07:00,08:00,95
17012019,08:00,09:00,96
17012019,09:00,10:00,97
17012019,10:00,11:00,98
17012019,11:00,12:00,98
17012019,12:00,13:00,98
17012019,13:00,14:00,96
17012019,14:00,15:00,95
17012019,15:00,16:00,94
17012019,16:00,17:00,95
17012019,17:00,18:00,95
17012019,18:00,19:00,94
17012019,19:00,20:00,95
17012019,20:00,21:00,91
17012019,21:00,22:00,91
17012019,22:00,23:00,88
17012019,23:00,00:00,0
18012019,00:00,01:00,87
18012019,01:00,02:00,87
18012019,02:00,03:00,87
18012019,03:00,04:00,86
18012019,04:00,05:00,90
18012019,05:00,06:00,91
18012019,06:00,07:00,92
18012019,07:00,08:00,93
18012019,08:00,09:00,92
18012019,09:00,10:00,93
18012019,10:00,11:00,93
18012019,11:00,12:00,94
18012019,12:00,13:00,93
18012019,13:00,14:00,91
18012019,14:00,15:00,90
18012019,15:00,16:00,92
18012019,16:00,17:00,93
18012019,17:00,18:00,93
18012019,18:00,19:00,95
18012019,19:00,20:00,96
18012019,20:00,21:00,92
18012019,21:00,22:00,93
18012019,22:00,23:00,95
18012019,23:00,00:00,0
19012019,00:00,01:00,94
19012019,01:00,02:00,93
19012019,02:00,03:00,94
19012019,03:00,04:00,94
19012019,04:00,05:00,89
19012019,05:00,06:00,90
19012019,06:00,07:00,92
19012019,07:00,08:00,93
19012019,08:00,09:00,93
19012019,09:00,10:00,93
19012019,10:00,11:00,93
19012019,11:00,12:00,94
19012019,12:00,13:00,93
19012019,13:00,14:00,93
19012019,14:00,15:00,96
19012019,15:00,16:00,100
19012019,16:00,17:00,98
19012019,17:00,18:00,98
19012019,18:00,19:00,98
19012019,19:00,20:00,99
19012019,20:00,21:00,100
19012019,21:00,22:00,96
19012019,22:00,23:00,95
19012019,23:00,00:00,0
20012019,00:00,01:00,97
20012019,01:00,02:00,89
20012019,02:00,03:00,88
20012019,03:00,04:00,89
20012019,04:00,05:00,89
20012019,05:00,06:00,89
20012019,06:00,07:00,89
20012019,07:00,08:00,91
20012019,08:00,09:00,96
20012019,09:00,10:00,97
20012019,10:00,11:00,96
20012019,11:00,12:00,96
20012019,12:00,13:00,94
20012019,13:00,14:00,92
20012019,14:00,15:00,96
20012019,15:00,16:00,95
20012019,16:00,17:00,92
20012019,17:00,18:00,89
20012019,18:00,19:00,90
20012019,19:00,20:00,91
20012019,20:00,21:00,92
20012019,21:00,22:00,92
20012019,22:00,23:00,92
20012019,23:00,00:00,0
21012019,00:00,01:00,93
21012019,01:00,02:00,94
21012019,02:00,03:00,94
21012019,03:00,04:00,94
21012019,04:00,05:00,92
21012019,05:00,06:00,90
21012019,06:00,07:00,91
21012019,07:00,08:00,92
21012019,08:00,09:00,96
21012019,09:00,10:00,101
21012019,10:00,11:00,98
21012019,11:00,12:00,96
21012019,12:00,13:00,94
21012019,13:00,14:00,90
21012019,14:00,15:00,92
21012019,15:00,16:00,94
21012019,16:00,17:00,95
21012019,17:00,18:00,91
21012019,18:00,19:00,92
21012019,19:00,20:00,91
21012019,20:00,21:00,91
21012019,21:00,22:00,90
21012019,22:00,23:00,89
21012019,23:00,00:00,0
22012019,00:00,01:00,95
22012019,01:00,02:00,92
22012019,02:00,03:00,92
22012019,03:00,04:00,92
22012019,04:00,05:00,91
22012019,05:00,06:00,91
22012019,06:00,07:00,92
22012019,07:00,08:00,93
22012019,08:00,09:00,96
22012019,09:00,10:00,99
22012019,10:00,11:00,99
22012019,11:00,12:00,97
22012019,12:00,13:00,96
22012019,13:00,14:00,94
22012019,14:00,15:00,96
22012019,15:00,16:00,95
22012019,16:00,17:00,89
22012019,17:00,18:00,89
22012019,18:00,19:00,91
22012019,19:00,20:00,92
22012019,20:00,21:00,92
22012019,21:00,22:00,92
22012019,22:00,23:00,92
22012019,23:00,00:00,0
23012019,00:00,01:00,89
23012019,01:00,02:00,91
23012019,02:00,03:00,91
23012019,03:00,04:00,90
23012019,04:00,05:00,92
23012019,05:00,06:00,93
23012019,06:00,07:00,94
23012019,07:00,08:00,94
23012019,08:00,09:00,93
23012019,09:00,10:00,92
23012019,10:00,11:00,90
23012019,11:00,12:00,88
23012019,12:00,13:00,91
23012019,13:00,14:00,93
23012019,14:00,15:00,92
23012019,15:00,16:00,93
23012019,16:00,17:00,93
23012019,17:00,18:00,93
23012019,18:00,19:00,92
23012019,19:00,20:00,89
23012019,20:00,21:00,89
23012019,21:00,22:00,92
23012019,22:00,23:00,93
23012019,23:00,00:00,0
24012019,00:00,01:00,94
24012019,01:00,02:00,94
24012019,02:00,03:00,95
24012019,03:00,04:00,94
24012019,04:00,05:00,91
24012019,05:00,06:00,91
24012019,06:00,07:00,92
24012019,07:00,08:00,92
24012019,08:00,09:00,93
24012019,09:00,10:00,94
24012019,10:00,11:00,89
24012019,11:00,12:00,90
24012019,12:00,13:00,91
24012019,13:00,14:00,94
24012019,14:00,15:00,94
24012019,15:00,16:00,93
24012019,16:00,17:00,93
24012019,17:00,18:00,93
24012019,18:00,19:00,90
24012019,19:00,20:00,87
24012019,20:00,21:00,90
24012019,21:00,22:00,93
24012019,22:00,23:00,95
24012019,23:00,00:00,0
25012019,00:00,01:00,94
25012019,01:00,02:00,94
25012019,02:00,03:00,93
25012019,03:00,04:00,91
25012019,04:00,05:00,90
25012019,05:00,06:00,91
25012019,06:00,07:00,92
25012019,07:00,08:00,93
25012019,08:00,09:00,94
25012019,09:00,10:00,91
25012019,10:00,11:00,89
