date,start,end,11WD7HERN2S--4-X
01.01.2017,00:00,01:00,188.0
01.01.2017,01:00,02:00,208.0
01.01.2017,02:00,03:00,165.0
01.01.2017,03:00,04:00,178.0
01.01.2017,04:00,05:00,211.0
01.01.2017,05:00,06:00,236.0
01.01.2017,06:00,07:00,218.0
01.01.2017,07:00,08:00,241.0
01.01.2017,08:00,09:00,249.0
01.01.2017,09:00,10:00,240.0
01.01.2017,10:00,11:00,239.0
01.01.2017,11:00,12:00,264.0
01.01.2017,12:00,13:00,280.0
01.01.2017,13:00,14:00,262.0
01.01.2017,14:00,15:00,289.0
01.01.2017,15:00,16:00,360.0
01.01.2017,16:00,17:00,352.0
01.01.2017,17:00,18:00,361.0
01.01.2017,18:00,19:00,361.0
01.01.2017,19:00,20:00,362.0
01.01.2017,20:00,21:00,367.0
01.01.2017,21:00,22:00,366.0
01.01.2017,22:00,23:00,364.0
01.01.2017,23:00,00:00,265.0
02.01.2017,00:00,01:00,204.0
02.01.2017,01:00,02:00,182.0
02.01.2017,02:00,03:00,208.0
02.01.2017,03:00,04:00,229.0
02.01.2017,04:00,05:00,234.0
02.01.2017,05:00,06:00,247.0
02.01.2017,06:00,07:00,298.0
02.01.2017,07:00,08:00,334.0
02.01.2017,08:00,09:00,346.0
02.01.2017,09:00,10:00,346.0
02.01.2017,10:00,11:00,347.0
02.01.2017,11:00,12:00,355.0
02.01.2017,12:00,13:00,355.0
02.01.2017,13:00,14:00,358.0
02.01.2017,14:00,15:00,356.0
02.01.2017,15:00,16:00,355.0
02.01.2017,16:00,17:00,355.0
02.01.2017,17:00,18:00,356.0
02.01.2017,18:00,19:00,355.0
02.01.2017,19:00,20:00,356.0
02.01.2017,20:00,21:00,349.0
02.01.2017,21:00,22:00,272.0
02.01.2017,22:00,23:00,230.0
02.01.2017,23:00,00:00,228.0
03.01.2017,00:00,01:00,184.0
03.01.2017,01:00,02:00,181.0
03.01.2017,02:00,03:00,181.0
03.01.2017,03:00,04:00,181.0
03.01.2017,04:00,05:00,200.0
03.01.2017,05:00,06:00,233.0
03.01.2017,06:00,07:00,294.0
03.01.2017,07:00,08:00,260.0
03.01.2017,08:00,09:00,263.0
03.01.2017,09:00,10:00,331.0
03.01.2017,10:00,11:00,270.0
03.01.2017,11:00,12:00,265.0
03.01.2017,12:00,13:00,254.0
03.01.2017,13:00,14:00,246.0
03.01.2017,14:00,15:00,240.0
03.01.2017,15:00,16:00,256.0
03.01.2017,16:00,17:00,336.0
03.01.2017,17:00,18:00,343.0
03.01.2017,18:00,19:00,342.0
03.01.2017,19:00,20:00,339.0
03.01.2017,20:00,21:00,260.0
03.01.2017,21:00,22:00,244.0
03.01.2017,22:00,23:00,191.0
03.01.2017,23:00,00:00,167.0
04.01.2017,00:00,01:00,160.0
04.01.2017,01:00,02:00,161.0
04.01.2017,02:00,03:00,181.0
04.01.2017,03:00,04:00,185.0
04.01.2017,04:00,05:00,223.0
04.01.2017,05:00,06:00,242.0
04.01.2017,06:00,07:00,301.0
04.01.2017,07:00,08:00,352.0
04.01.2017,08:00,09:00,367.0
04.01.2017,09:00,10:00,370.0
04.01.2017,10:00,11:00,370.0
04.01.2017,11:00,12:00,378.0
04.01.2017,12:00,13:00,377.0
04.01.2017,13:00,14:00,377.0
04.01.2017,14:00,15:00,379.0
04.01.2017,15:00,16:00,373.0
04.01.2017,16:00,17:00,368.0
04.01.2017,17:00,18:00,359.0
04.01.2017,18:00,19:00,360.0
04.01.2017,19:00,20:00,325.0
04.01.2017,20:00,21:00,263.0
04.01.2017,21:00,22:00,231.0
04.01.2017,22:00,23:00,221.0
04.01.2017,23:00,00:00,223.0
05.01.2017,00:00,01:00,271.0
05.01.2017,01:00,02:00,209.0
05.01.2017,02:00,03:00,180.0
05.01.2017,03:00,04:00,183.0
05.01.2017,04:00,05:00,229.0
05.01.2017,05:00,06:00,309.0
