date,start,end,11WD7HUCK2G--A-C,11WD7HUCK2G--B-9
01.01.2021,00:00,01:00,127.0,132.0
01.01.2021,01:00,02:00,121.0,129.0
01.01.2021,02:00,03:00,118.0,127.0
01.01.2021,03:00,04:00,114.0,120.0
01.01.2021,04:00,05:00,112.0,120.0
01.01.2021,05:00,06:00,104.0,122.0
01.01.2021,06:00,07:00,120.0,121.0
01.01.2021,07:00,08:00,110.0,129.0
01.01.2021,08:00,09:00,115.0,129.0
01.01.2021,09:00,10:00,118.0,130.0
01.01.2021,10:00,11:00,115.0,134.0
01.01.2021,11:00,12:00,117.0,137.0
01.01.2021,12:00,13:00,114.0,132.0
01.01.2021,13:00,14:00,110.0,129.0
01.01.2021,14:00,15:00,102.0,122.0
01.01.2021,15:00,16:00,111.0,122.0
01.01.2021,16:00,17:00,114.0,126.0
01.01.2021,17:00,18:00,119.0,129.0
01.01.2021,18:00,19:00,127.0,119.0
01.01.2021,19:00,20:00,112.0,124.0
01.01.2021,20:00,21:00,116.0,125.0
01.01.2021,21:00,22:00,122.0,128.0
01.01.2021,22:00,23:00,119.0,127.0
01.01.2021,23:00,00:00,127.0,130.0
02.01.2021,00:00,01:00,111.0,124.0
02.01.2021,01:00,02:00,107.0,123.0
02.01.2021,02:00,03:00,104.0,119.0
02.01.2021,03:00,04:00,105.0,121.0
02.01.2021,04:00,05:00,114.0,122.0
02.01.2021,05:00,06:00,110.0,124.0
02.01.2021,06:00,07:00,111.0,123.0
02.01.2021,07:00,08:00,110.0,126.0
02.01.2021,08:00,09:00,122.0,127.0
02.01.2021,09:00,10:00,125.0,136.0
02.01.2021,10:00,11:00,120.0,131.0
02.01.2021,11:00,12:00,113.0,132.0
02.01.2021,12:00,13:00,105.0,123.0
02.01.2021,13:00,14:00,110.0,121.0
02.01.2021,14:00,15:00,105.0,111.0
02.01.2021,15:00,16:00,107.0,110.0
02.01.2021,16:00,17:00,104.0,114.0
02.01.2021,17:00,18:00,115.0,124.0
02.01.2021,18:00,19:00,111.0,124.0
02.01.2021,19:00,20:00,122.0,128.0
02.01.2021,20:00,21:00,108.0,126.0
02.01.2021,21:00,22:00,126.0,128.0
02.01.2021,22:00,23:00,122.0,124.0
02.01.2021,23:00,00:00,123.0,127.0
03.01.2021,00:00,01:00,122.0,116.0
03.01.2021,01:00,02:00,119.0,114.0
03.01.2021,02:00,03:00,126.0,124.0
03.01.2021,03:00,04:00,123.0,120.0
03.01.2021,04:00,05:00,123.0,122.0
03.01.2021,05:00,06:00,124.0,120.0
03.01.2021,06:00,07:00,119.0,111.0
03.01.2021,07:00,08:00,122.0,124.0
03.01.2021,08:00,09:00,124.0,124.0
03.01.2021,09:00,10:00,122.0,123.0
03.01.2021,10:00,11:00,129.0,119.0
03.01.2021,11:00,12:00,126.0,124.0
03.01.2021,12:00,13:00,128.0,120.0
