date,start,end,11WD8SCHW5X---19,11WD8SCHW5X---27
01.01.2020,00:00,01:00,84,83
01.01.2020,01:00,02:00,84,83
01.01.2020,02:00,03:00,84,83
01.01.2020,03:00,04:00,84,83
01.01.2020,04:00,05:00,84,83
01.01.2020,05:00,06:00,84,83
01.01.2020,06:00,07:00,84,83
01.01.2020,07:00,08:00,84,83
01.01.2020,08:00,09:00,84,83
01.01.2020,09:00,10:00,84,83
01.01.2020,10:00,11:00,84,83
01.01.2020,11:00,12:00,84,83
01.01.2020,12:00,13:00,84,83
01.01.2020,13:00,14:00,84,83
01.01.2020,14:00,15:00,84,83
01.01.2020,15:00,16:00,84,83
01.01.2020,16:00,17:00,84,83
01.01.2020,17:00,18:00,84,83
01.01.2020,18:00,19:00,84,83
01.01.2020,19:00,20:00,84,83
01.01.2020,20:00,21:00,84,83
01.01.2020,21:00,22:00,84,83
01.01.2020,22:00,23:00,84,83
01.01.2020,23:00,00:00,84,83
02.01.2020,00:00,01:00,84,83
02.01.2020,01:00,02:00,84,83
02.01.2020,02:00,03:00,84,83
02.01.2020,03:00,04:00,84,83
02.01.2020,04:00,05:00,84,83
02.01.2020,05:00,06:00,84,83
02.01.2020,06:00,07:00,84,83
02.01.2020,07:00,08:00,84,83
02.01.2020,08:00,09:00,84,83
02.01.2020,09:00,10:00,83,82
02.01.2020,10:00,11:00,83,82
02.01.2020,11:00,12:00,83,82
02.01.2020,12:00,13:00,83,82
02.01.2020,13:00,14:00,83,82
02.01.2020,14:00,15:00,83,82
02.01.2020,15:00,16:00,83,82
02.01.2020,16:00,17:00,83,82
02.01.2020,17:00,18:00,83,82
02.01.2020,18:00,19:00,83,82
02.01.2020,19:00,20:00,83,82
02.01.2020,20:00,21:00,83,82
02.01.2020,21:00,22:00,83,82
02.01.2020,22:00,23:00,83,82
02.01.2020,23:00,00:00,83,82
03.01.2020,00:00,01:00,83,82
03.01.2020,01:00,02:00,83,82
03.01.2020,02:00,03:00,83,82
03.01.2020,03:00,04:00,83,82
03.01.2020,04:00,05:00,83,82
03.01.2020,05:00,06:00,83,82
03.01.2020,06:00,07:00,82,82
03.01.2020,07:00,08:00,82,82
03.01.2020,08:00,09:00,82,82
03.01.2020,09:00,10:00,82,82
03.01.2020,10:00,11:00,82,82
03.01.2020,11:00,12:00,82,82
03.01.2020,12:00,13:00,83,82
03.01.2020,13:00,14:00,84,82
03.01.2020,14:00,15:00,84,82
03.01.2020,15:00,16:00,84,82
03.01.2020,16:00,17:00,84,82
03.01.2020,17:00,18:00,84,82
03.01.2020,18:00,19:00,84,82
03.01.2020,19:00,20:00,84,82
03.01.2020,20:00,21:00,84,82
03.01.2020,21:00,22:00,84,82
03.01.2020,22:00,23:00,84,82
03.01.2020,23:00,00:00,84,82
04.01.2020,00:00,01:00,84,82
04.01.2020,01:00,02:00,84,82
04.01.2020,02:00,03:00,84,82
04.01.2020,03:00,04:00,84,82
04.01.2020,04:00,05:00,84,82
04.01.2020,05:00,06:00,84,82
04.01.2020,06:00,07:00,84,82
04.01.2020,07:00,08:00,84,82
04.01.2020,08:00,09:00,84,82
04.01.2020,09:00,10:00,84,82
04.01.2020,10:00,11:00,84,82
04.01.2020,11:00,12:00,83,82
04.01.2020,12:00,13:00,82,82
04.01.2020,13:00,14:00,82,82
04.01.2020,14:00,15:00,82,82
04.01.2020,15:00,16:00,82,82
04.01.2020,16:00,17:00,82,82
04.01.2020,17:00,18:00,82,82
04.01.2020,18:00,19:00,82,82
04.01.2020,19:00,20:00,82,82
04.01.2020,20:00,21:00,82,80
04.01.2020,21:00,22:00,82,80
04.01.2020,22:00,23:00,82,80
04.01.2020,23:00,00:00,82,80
05.01.2020,00:00,01:00,82,80
05.01.2020,01:00,02:00,82,80
05.01.2020,02:00,03:00,82,80
05.01.2020,03:00,04:00,82,80
05.01.2020,04:00,05:00,82,80
05.01.2020,05:00,06:00,82,80
05.01.2020,06:00,07:00,82,80
05.01.2020,07:00,08:00,82,80
05.01.2020,08:00,09:00,82,80
05.01.2020,09:00,10:00,82,80
05.01.2020,10:00,11:00,82,80
05.01.2020,11:00,12:00,82,80
05.01.2020,12:00,13:00,82,80
05.01.2020,13:00,14:00,81,80
05.01.2020,14:00,15:00,81,79
05.01.2020,15:00,16:00,81,79
05.01.2020,16:00,17:00,81,79
05.01.2020,17:00,18:00,81,79
05.01.2020,18:00,19:00,81,79
05.01.2020,19:00,20:00,81,79
05.01.2020,20:00,21:00,81,79
05.01.2020,21:00,22:00,81,79
05.01.2020,22:00,23:00,81,79
05.01.2020,23:00,00:00,81,79
06.01.2020,00:00,01:00,81,79
06.01.2020,01:00,02:00,81,79
06.01.2020,02:00,03:00,81,79
06.01.2020,03:00,04:00,81,79
06.01.2020,04:00,05:00,81,79
06.01.2020,05:00,06:00,81,79
06.01.2020,06:00,07:00,81,79
06.01.2020,07:00,08:00,81,79
06.01.2020,08:00,09:00,81,79
06.01.2020,09:00,10:00,81,79
06.01.2020,10:00,11:00,81,79
06.01.2020,11:00,12:00,91,79
06.01.2020,12:00,13:00,97,79
06.01.2020,13:00,14:00,96,72
06.01.2020,14:00,15:00,93,55
06.01.2020,15:00,16:00,93,35
06.01.2020,16:00,17:00,95,3
06.01.2020,17:00,18:00,95,0
06.01.2020,18:00,19:00,95,0
06.01.2020,19:00,20:00,95,0
06.01.2020,20:00,21:00,95,0
06.01.2020,21:00,22:00,95,0
06.01.2020,22:00,23:00,96,0
06.01.2020,23:00,00:00,96,0
07.01.2020,00:00,01:00,95,0
07.01.2020,01:00,02:00,95,0
07.01.2020,02:00,03:00,95,0
07.01.2020,03:00,04:00,95,0
07.01.2020,04:00,05:00,95,0
