date,start,end,11WD7IBBE2S--B-P
01.01.2017,00:00,01:00,785.0
01.01.2017,01:00,02:00,786.0
01.01.2017,02:00,03:00,785.0
01.01.2017,03:00,04:00,786.0
01.01.2017,04:00,05:00,786.0
01.01.2017,05:00,06:00,763.0
01.01.2017,06:00,07:00,438.0
01.01.2017,07:00,08:00,431.0
01.01.2017,08:00,09:00,429.0
01.01.2017,09:00,10:00,430.0
01.01.2017,10:00,11:00,597.0
01.01.2017,11:00,12:00,768.0
01.01.2017,12:00,13:00,651.0
01.01.2017,13:00,14:00,629.0
01.01.2017,14:00,15:00,754.0
01.01.2017,15:00,16:00,759.0
01.01.2017,16:00,17:00,759.0
01.01.2017,17:00,18:00,758.0
01.01.2017,18:00,19:00,759.0
01.01.2017,19:00,20:00,759.0
01.01.2017,20:00,21:00,760.0
01.01.2017,21:00,22:00,760.0
01.01.2017,22:00,23:00,760.0
01.01.2017,23:00,00:00,759.0
02.01.2017,00:00,01:00,760.0
02.01.2017,01:00,02:00,626.0
02.01.2017,02:00,03:00,478.0
02.01.2017,03:00,04:00,462.0
02.01.2017,04:00,05:00,525.0
02.01.2017,05:00,06:00,780.0
02.01.2017,06:00,07:00,786.0
02.01.2017,07:00,08:00,784.0
02.01.2017,08:00,09:00,786.0
02.01.2017,09:00,10:00,785.0
02.01.2017,10:00,11:00,786.0
02.01.2017,11:00,12:00,785.0
02.01.2017,12:00,13:00,786.0
02.01.2017,13:00,14:00,785.0
02.01.2017,14:00,15:00,785.0
02.01.2017,15:00,16:00,786.0
02.01.2017,16:00,17:00,786.0
02.01.2017,17:00,18:00,784.0
02.01.2017,18:00,19:00,785.0
02.01.2017,19:00,20:00,785.0
02.01.2017,20:00,21:00,785.0
02.01.2017,21:00,22:00,787.0
02.01.2017,22:00,23:00,784.0
02.01.2017,23:00,00:00,786.0
03.01.2017,00:00,01:00,785.0
03.01.2017,01:00,02:00,786.0
03.01.2017,02:00,03:00,721.0
03.01.2017,03:00,04:00,784.0
03.01.2017,04:00,05:00,785.0
03.01.2017,05:00,06:00,784.0
03.01.2017,06:00,07:00,786.0
03.01.2017,07:00,08:00,785.0
03.01.2017,08:00,09:00,790.0
03.01.2017,09:00,10:00,782.0
03.01.2017,10:00,11:00,785.0
03.01.2017,11:00,12:00,787.0
03.01.2017,12:00,13:00,782.0
03.01.2017,13:00,14:00,787.0
03.01.2017,14:00,15:00,784.0
03.01.2017,15:00,16:00,787.0
03.01.2017,16:00,17:00,745.0
03.01.2017,17:00,18:00,776.0
