date,start,end,11WD2KIEL000050P
01.01.2016,00:00,01:00,135
01.01.2016,01:00,02:00,136
01.01.2016,02:00,03:00,135
01.01.2016,03:00,04:00,137
01.01.2016,04:00,05:00,134
01.01.2016,05:00,06:00,135
01.01.2016,06:00,07:00,145
01.01.2016,07:00,08:00,147
01.01.2016,08:00,09:00,144
01.01.2016,09:00,10:00,143
01.01.2016,10:00,11:00,140
01.01.2016,11:00,12:00,140
01.01.2016,12:00,13:00,139
01.01.2016,13:00,14:00,137
01.01.2016,14:00,15:00,134
01.01.2016,15:00,16:00,132
01.01.2016,16:00,17:00,172
01.01.2016,17:00,18:00,254
01.01.2016,18:00,19:00,273
01.01.2016,19:00,20:00,267
01.01.2016,20:00,21:00,158
01.01.2016,21:00,22:00,129
01.01.2016,22:00,23:00,130
01.01.2016,23:00,00:00,131
02.01.2016,00:00,01:00,133
02.01.2016,01:00,02:00,136
02.01.2016,02:00,03:00,135
02.01.2016,03:00,04:00,135
02.01.2016,04:00,05:00,135
02.01.2016,05:00,06:00,135
02.01.2016,06:00,07:00,135
02.01.2016,07:00,08:00,135
02.01.2016,08:00,09:00,135
02.01.2016,09:00,10:00,182
02.01.2016,10:00,11:00,143
02.01.2016,11:00,12:00,143
02.01.2016,12:00,13:00,145
02.01.2016,13:00,14:00,147
02.01.2016,14:00,15:00,151
02.01.2016,15:00,16:00,153
02.01.2016,16:00,17:00,153
02.01.2016,17:00,18:00,163
02.01.2016,18:00,19:00,175
02.01.2016,19:00,20:00,180
02.01.2016,20:00,21:00,179
02.01.2016,21:00,22:00,174
02.01.2016,22:00,23:00,158
02.01.2016,23:00,00:00,161
03.01.2016,00:00,01:00,162
03.01.2016,01:00,02:00,162
03.01.2016,02:00,03:00,162
03.01.2016,03:00,04:00,161
03.01.2016,04:00,05:00,162
03.01.2016,05:00,06:00,164
03.01.2016,06:00,07:00,175
03.01.2016,07:00,08:00,182
03.01.2016,08:00,09:00,240
03.01.2016,09:00,10:00,241
03.01.2016,10:00,11:00,241
03.01.2016,11:00,12:00,206
03.01.2016,12:00,13:00,217
03.01.2016,13:00,14:00,242
03.01.2016,14:00,15:00,249
03.01.2016,15:00,16:00,239
03.01.2016,16:00,17:00,91
03.01.2016,17:00,18:00,0
03.01.2016,18:00,19:00,0
03.01.2016,19:00,20:00,4
03.01.2016,20:00,21:00,118
03.01.2016,21:00,22:00,147
03.01.2016,22:00,23:00,138
03.01.2016,23:00,00:00,137
04.01.2016,00:00,01:00,177
