date,start,end,11WD8KLIN5G--13E
1012020,00:00,01:00,138
1012020,01:00,02:00,138
1012020,02:00,03:00,138
1012020,03:00,04:00,138
1012020,04:00,05:00,138
1012020,05:00,06:00,138
1012020,06:00,07:00,137
1012020,07:00,08:00,137
1012020,08:00,09:00,137
1012020,09:00,10:00,137
1012020,10:00,11:00,137
1012020,11:00,12:00,138
1012020,12:00,13:00,138
1012020,13:00,14:00,138
1012020,14:00,15:00,138
1012020,15:00,16:00,137
1012020,16:00,17:00,137
1012020,17:00,18:00,137
1012020,18:00,19:00,137
1012020,19:00,20:00,137
1012020,20:00,21:00,137
1012020,21:00,22:00,138
1012020,22:00,23:00,137
1012020,23:00,00:00,137
2012020,00:00,01:00,138
2012020,01:00,02:00,139
2012020,02:00,03:00,139
2012020,03:00,04:00,138
2012020,04:00,05:00,138
2012020,05:00,06:00,141
2012020,06:00,07:00,141
2012020,07:00,08:00,141
2012020,08:00,09:00,141
2012020,09:00,10:00,141
2012020,10:00,11:00,141
2012020,11:00,12:00,141
2012020,12:00,13:00,142
2012020,13:00,14:00,135
2012020,14:00,15:00,123
2012020,15:00,16:00,122
2012020,16:00,17:00,124
2012020,17:00,18:00,141
2012020,18:00,19:00,141
2012020,19:00,20:00,141
2012020,20:00,21:00,142
2012020,21:00,22:00,142
2012020,22:00,23:00,142
2012020,23:00,00:00,142
3012020,00:00,01:00,140
3012020,01:00,02:00,135
3012020,02:00,03:00,134
3012020,03:00,04:00,104
3012020,04:00,05:00,104
3012020,05:00,06:00,104
3012020,06:00,07:00,114
3012020,07:00,08:00,133
3012020,08:00,09:00,134
3012020,09:00,10:00,133
3012020,10:00,11:00,133
3012020,11:00,12:00,121
3012020,12:00,13:00,105
3012020,13:00,14:00,109
3012020,14:00,15:00,124
3012020,15:00,16:00,132
3012020,16:00,17:00,132
3012020,17:00,18:00,132
3012020,18:00,19:00,135
3012020,19:00,20:00,114
3012020,20:00,21:00,109
3012020,21:00,22:00,109
3012020,22:00,23:00,110
3012020,23:00,00:00,108
4012020,00:00,01:00,86
4012020,01:00,02:00,87
4012020,02:00,03:00,104
4012020,03:00,04:00,104
4012020,04:00,05:00,104
4012020,05:00,06:00,105
4012020,06:00,07:00,129
4012020,07:00,08:00,133
4012020,08:00,09:00,133
4012020,09:00,10:00,131
4012020,10:00,11:00,114
4012020,11:00,12:00,115
4012020,12:00,13:00,127
4012020,13:00,14:00,133
4012020,14:00,15:00,133
4012020,15:00,16:00,133
4012020,16:00,17:00,133
4012020,17:00,18:00,133
4012020,18:00,19:00,133
4012020,19:00,20:00,133
4012020,20:00,21:00,133
4012020,21:00,22:00,133
4012020,22:00,23:00,133
4012020,23:00,00:00,132
5012020,00:00,01:00,132
5012020,01:00,02:00,133
5012020,02:00,03:00,132
