date,start,end,11WD8LICH5G---3U,11WD8LICH5G---1Y,11W0-0000-0103-9
01.01.2016,00:00,01:00,0,58,
01.01.2016,01:00,02:00,0,58,
01.01.2016,02:00,03:00,0,59,
01.01.2016,03:00,04:00,0,59,
01.01.2016,04:00,05:00,0,58,
01.01.2016,05:00,06:00,0,57,
01.01.2016,06:00,07:00,0,57,
01.01.2016,07:00,08:00,0,57,
01.01.2016,08:00,09:00,0,56,
01.01.2016,09:00,10:00,0,56,
01.01.2016,10:00,11:00,0,56,
01.01.2016,11:00,12:00,0,56,
01.01.2016,12:00,13:00,0,56,
01.01.2016,13:00,14:00,0,56,
01.01.2016,14:00,15:00,0,56,
01.01.2016,15:00,16:00,0,56,
01.01.2016,16:00,17:00,0,56,
01.01.2016,17:00,18:00,0,56,
01.01.2016,18:00,19:00,0,56,
01.01.2016,19:00,20:00,0,56,
01.01.2016,20:00,21:00,0,56,
01.01.2016,21:00,22:00,0,56,
01.01.2016,22:00,23:00,0,57,
01.01.2016,23:00,00:00,0,57,
02.01.2016,00:00,01:00,0,58,
02.01.2016,01:00,02:00,0,58,
02.01.2016,02:00,03:00,0,58,
02.01.2016,03:00,04:00,0,58,
02.01.2016,04:00,05:00,0,58,
02.01.2016,05:00,06:00,0,57,
02.01.2016,06:00,07:00,0,57,
02.01.2016,07:00,08:00,0,56,
02.01.2016,08:00,09:00,0,56,
02.01.2016,09:00,10:00,0,58,
02.01.2016,10:00,11:00,0,71,
02.01.2016,11:00,12:00,0,69,
02.01.2016,12:00,13:00,0,61,
02.01.2016,13:00,14:00,0,61,
02.01.2016,14:00,15:00,0,61,
02.01.2016,15:00,16:00,0,61,
02.01.2016,16:00,17:00,0,61,
02.01.2016,17:00,18:00,0,61,
02.01.2016,18:00,19:00,0,61,
02.01.2016,19:00,20:00,0,61,
02.01.2016,20:00,21:00,0,61,
02.01.2016,21:00,22:00,0,61,
02.01.2016,22:00,23:00,0,61,
02.01.2016,23:00,00:00,0,61,
03.01.2016,00:00,01:00,0,61,
03.01.2016,01:00,02:00,0,61,
03.01.2016,02:00,03:00,0,61,
03.01.2016,03:00,04:00,0,61,
03.01.2016,04:00,05:00,0,61,
03.01.2016,05:00,06:00,0,61,
03.01.2016,06:00,07:00,0,61,
03.01.2016,07:00,08:00,0,61,
03.01.2016,08:00,09:00,0,63,
03.01.2016,09:00,10:00,0,76,
03.01.2016,10:00,11:00,0,75,
03.01.2016,11:00,12:00,0,75,
03.01.2016,12:00,13:00,0,66,
03.01.2016,13:00,14:00,0,65,
03.01.2016,14:00,15:00,0,66,
03.01.2016,15:00,16:00,0,66,
03.01.2016,16:00,17:00,0,66,
03.01.2016,17:00,18:00,0,65,
03.01.2016,18:00,19:00,0,65,
03.01.2016,19:00,20:00,0,65,
03.01.2016,20:00,21:00,0,65,
03.01.2016,21:00,22:00,0,65,
03.01.2016,22:00,23:00,0,65,
03.01.2016,23:00,00:00,0,65,
04.01.2016,00:00,01:00,0,65,
04.01.2016,01:00,02:00,0,65,
04.01.2016,02:00,03:00,0,65,
04.01.2016,03:00,04:00,0,65,
04.01.2016,04:00,05:00,0,66,
04.01.2016,05:00,06:00,0,72,
04.01.2016,06:00,07:00,0,75,
04.01.2016,07:00,08:00,0,78,
04.01.2016,08:00,09:00,0,80,
04.01.2016,09:00,10:00,0,73,
04.01.2016,10:00,11:00,0,79,
04.01.2016,11:00,12:00,0,80,
04.01.2016,12:00,13:00,0,92,
04.01.2016,13:00,14:00,0,95,
04.01.2016,14:00,15:00,0,95,
04.01.2016,15:00,16:00,0,95,
04.01.2016,16:00,17:00,0,95,
04.01.2016,17:00,18:00,0,95,
04.01.2016,18:00,19:00,0,95,
04.01.2016,19:00,20:00,0,95,
04.01.2016,20:00,21:00,0,96,
04.01.2016,21:00,22:00,0,96,
04.01.2016,22:00,23:00,0,97,
04.01.2016,23:00,00:00,0,98,
05.01.2016,00:00,01:00,0,82,
05.01.2016,01:00,02:00,0,76,
05.01.2016,02:00,03:00,0,76,
05.01.2016,03:00,04:00,0,76,
05.01.2016,04:00,05:00,0,76,
05.01.2016,05:00,06:00,0,76,
05.01.2016,06:00,07:00,0,77,
05.01.2016,07:00,08:00,0,80,
05.01.2016,08:00,09:00,0,81,
05.01.2016,09:00,10:00,0,81,
05.01.2016,10:00,11:00,0,81,
05.01.2016,11:00,12:00,0,81,
05.01.2016,12:00,13:00,0,81,
05.01.2016,13:00,14:00,0,81,
05.01.2016,14:00,15:00,0,80,
05.01.2016,15:00,16:00,0,76,
05.01.2016,16:00,17:00,0,75,
05.01.2016,17:00,18:00,0,74,
05.01.2016,18:00,19:00,0,75,
05.01.2016,19:00,20:00,0,75,
05.01.2016,20:00,21:00,0,75,
05.01.2016,21:00,22:00,0,75,
05.01.2016,22:00,23:00,0,75,
05.01.2016,23:00,00:00,0,75,
06.01.2016,00:00,01:00,0,75,
06.01.2016,01:00,02:00,0,75,
06.01.2016,02:00,03:00,0,75,
06.01.2016,03:00,04:00,0,75,
06.01.2016,04:00,05:00,0,75,
06.01.2016,05:00,06:00,0,76,
06.01.2016,06:00,07:00,0,77,
06.01.2016,07:00,08:00,0,79,
06.01.2016,08:00,09:00,0,84,
06.01.2016,09:00,10:00,0,72,
06.01.2016,10:00,11:00,0,71,
06.01.2016,11:00,12:00,0,71,
06.01.2016,12:00,13:00,0,72,
06.01.2016,13:00,14:00,0,71,
06.01.2016,14:00,15:00,0,71,
06.01.2016,15:00,16:00,0,72,
06.01.2016,16:00,17:00,0,73,
06.01.2016,17:00,18:00,0,86,
06.01.2016,18:00,19:00,0,86,
06.01.2016,19:00,20:00,0,78,
06.01.2016,20:00,21:00,0,72,
06.01.2016,21:00,22:00,0,71,
06.01.2016,22:00,23:00,0,75,
06.01.2016,23:00,00:00,0,78,
07.01.2016,00:00,01:00,0,78,
07.01.2016,01:00,02:00,0,78,
07.01.2016,02:00,03:00,0,79,
07.01.2016,03:00,04:00,0,79,
07.01.2016,04:00,05:00,0,79,
07.01.2016,05:00,06:00,0,79,
07.01.2016,06:00,07:00,0,77,
07.01.2016,07:00,08:00,0,72,
07.01.2016,08:00,09:00,0,74,
07.01.2016,09:00,10:00,0,74,
07.01.2016,10:00,11:00,0,74,
07.01.2016,11:00,12:00,0,74,
07.01.2016,12:00,13:00,0,74,
07.01.2016,13:00,14:00,0,74,
07.01.2016,14:00,15:00,0,76,
07.01.2016,15:00,16:00,0,77,
07.01.2016,16:00,17:00,0,77,
07.01.2016,17:00,18:00,0,75,
07.01.2016,18:00,19:00,0,75,
07.01.2016,19:00,20:00,0,75,
07.01.2016,20:00,21:00,0,75,
07.01.2016,21:00,22:00,0,78,
07.01.2016,22:00,23:00,0,79,
07.01.2016,23:00,00:00,0,80,
08.01.2016,00:00,01:00,0,68,
08.01.2016,01:00,02:00,0,66,
08.01.2016,02:00,03:00,0,66,
08.01.2016,03:00,04:00,0,66,
08.01.2016,04:00,05:00,0,69,
08.01.2016,05:00,06:00,0,67,
08.01.2016,06:00,07:00,0,66,
08.01.2016,07:00,08:00,0,66,
08.01.2016,08:00,09:00,0,72,
08.01.2016,09:00,10:00,0,67,
08.01.2016,10:00,11:00,0,66,
08.01.2016,11:00,12:00,0,65,
08.01.2016,12:00,13:00,0,65,
08.01.2016,13:00,14:00,0,66,
08.01.2016,14:00,15:00,0,65,
08.01.2016,15:00,16:00,0,64,
08.01.2016,16:00,17:00,0,65,
08.01.2016,17:00,18:00,0,65,
08.01.2016,18:00,19:00,0,65,
08.01.2016,19:00,20:00,0,65,
08.01.2016,20:00,21:00,0,65,
08.01.2016,21:00,22:00,0,65,
08.01.2016,22:00,23:00,0,65,
