date,start,end,11WD8LIPD1L---R6,11WD8LIPD1L---S4
01.01.2021,00:00,01:00,869.0,858.0
01.01.2021,01:00,02:00,871.0,854.0
01.01.2021,02:00,03:00,865.0,855.0
01.01.2021,03:00,04:00,869.0,857.0
01.01.2021,04:00,05:00,865.0,861.0
01.01.2021,05:00,06:00,869.0,859.0
01.01.2021,06:00,07:00,870.0,859.0
01.01.2021,07:00,08:00,868.0,858.0
01.01.2021,08:00,09:00,850.0,859.0
01.01.2021,09:00,10:00,851.0,859.0
01.01.2021,10:00,11:00,854.0,857.0
01.01.2021,11:00,12:00,868.0,860.0
01.01.2021,12:00,13:00,866.0,859.0
01.01.2021,13:00,14:00,865.0,857.0
01.01.2021,14:00,15:00,867.0,857.0
01.01.2021,15:00,16:00,871.0,860.0
01.01.2021,16:00,17:00,870.0,859.0
01.01.2021,17:00,18:00,870.0,859.0
01.01.2021,18:00,19:00,870.0,859.0
01.01.2021,19:00,20:00,866.0,858.0
01.01.2021,20:00,21:00,869.0,854.0
01.01.2021,21:00,22:00,867.0,856.0
01.01.2021,22:00,23:00,862.0,858.0
01.01.2021,23:00,00:00,869.0,857.0
02.01.2021,00:00,01:00,854.0,857.0
02.01.2021,01:00,02:00,849.0,858.0
02.01.2021,02:00,03:00,847.0,857.0
02.01.2021,03:00,04:00,689.0,862.0
02.01.2021,04:00,05:00,847.0,864.0
02.01.2021,05:00,06:00,857.0,863.0
02.01.2021,06:00,07:00,847.0,862.0
02.01.2021,07:00,08:00,841.0,865.0
02.01.2021,08:00,09:00,849.0,864.0
02.01.2021,09:00,10:00,852.0,863.0
02.01.2021,10:00,11:00,853.0,864.0
02.01.2021,11:00,12:00,853.0,863.0
02.01.2021,12:00,13:00,854.0,863.0
02.01.2021,13:00,14:00,858.0,865.0
02.01.2021,14:00,15:00,858.0,865.0
02.01.2021,15:00,16:00,860.0,864.0
02.01.2021,16:00,17:00,859.0,864.0
02.01.2021,17:00,18:00,858.0,861.0
02.01.2021,18:00,19:00,856.0,863.0
02.01.2021,19:00,20:00,857.0,865.0
02.01.2021,20:00,21:00,855.0,863.0
02.01.2021,21:00,22:00,860.0,864.0
02.01.2021,22:00,23:00,855.0,864.0
02.01.2021,23:00,00:00,842.0,865.0
03.01.2021,00:00,01:00,858.0,865.0
03.01.2021,01:00,02:00,849.0,861.0
03.01.2021,02:00,03:00,812.0,818.0
03.01.2021,03:00,04:00,645.0,685.0
03.01.2021,04:00,05:00,376.0,437.0
03.01.2021,05:00,06:00,290.0,433.0
03.01.2021,06:00,07:00,311.0,434.0
03.01.2021,07:00,08:00,463.0,441.0
03.01.2021,08:00,09:00,651.0,638.0
03.01.2021,09:00,10:00,705.0,708.0
03.01.2021,10:00,11:00,771.0,777.0
03.01.2021,11:00,12:00,854.0,860.0
03.01.2021,12:00,13:00,824.0,830.0
03.01.2021,13:00,14:00,828.0,828.0
03.01.2021,14:00,15:00,853.0,863.0
03.01.2021,15:00,16:00,853.0,865.0
03.01.2021,16:00,17:00,854.0,863.0
03.01.2021,17:00,18:00,840.0,860.0
03.01.2021,18:00,19:00,768.0,769.0
03.01.2021,19:00,20:00,768.0,767.0
03.01.2021,20:00,21:00,697.0,706.0
03.01.2021,21:00,22:00,739.0,704.0
03.01.2021,22:00,23:00,687.0,688.0
03.01.2021,23:00,00:00,630.0,620.0
04.01.2021,00:00,01:00,563.0,460.0
04.01.2021,01:00,02:00,701.0,682.0
04.01.2021,02:00,03:00,824.0,830.0
04.01.2021,03:00,04:00,815.0,809.0
04.01.2021,04:00,05:00,736.0,737.0
04.01.2021,05:00,06:00,588.0,580.0
04.01.2021,06:00,07:00,454.0,429.0
04.01.2021,07:00,08:00,371.0,429.0
04.01.2021,08:00,09:00,293.0,445.0
04.01.2021,09:00,10:00,436.0,621.0
04.01.2021,10:00,11:00,588.0,854.0
04.01.2021,11:00,12:00,856.0,859.0
04.01.2021,12:00,13:00,108.0,844.0
04.01.2021,13:00,14:00,0.0,838.0
04.01.2021,14:00,15:00,0.0,838.0
04.01.2021,15:00,16:00,348.0,847.0
04.01.2021,16:00,17:00,562.0,858.0
04.01.2021,17:00,18:00,710.0,860.0
04.01.2021,18:00,19:00,852.0,859.0
04.01.2021,19:00,20:00,858.0,863.0
04.01.2021,20:00,21:00,841.0,855.0
04.01.2021,21:00,22:00,839.0,838.0
04.01.2021,22:00,23:00,857.0,852.0
04.01.2021,23:00,00:00,808.0,805.0
05.01.2021,00:00,01:00,734.0,739.0
05.01.2021,01:00,02:00,825.0,822.0
05.01.2021,02:00,03:00,868.0,864.0
05.01.2021,03:00,04:00,869.0,866.0
05.01.2021,04:00,05:00,811.0,814.0
05.01.2021,05:00,06:00,835.0,837.0
05.01.2021,06:00,07:00,862.0,864.0
05.01.2021,07:00,08:00,865.0,866.0
05.01.2021,08:00,09:00,870.0,864.0
05.01.2021,09:00,10:00,870.0,863.0
05.01.2021,10:00,11:00,866.0,862.0
05.01.2021,11:00,12:00,871.0,861.0
05.01.2021,12:00,13:00,866.0,859.0
05.01.2021,13:00,14:00,870.0,863.0
05.01.2021,14:00,15:00,870.0,863.0
05.01.2021,15:00,16:00,869.0,864.0
05.01.2021,16:00,17:00,839.0,838.0
05.01.2021,17:00,18:00,862.0,861.0
05.01.2021,18:00,19:00,867.0,864.0
05.01.2021,19:00,20:00,855.0,850.0
