date,start,end,11WD2MEHR2CSWHCZ
01.01.2017,00:00,01:00,440.0
01.01.2017,01:00,02:00,438.0
01.01.2017,02:00,03:00,416.0
01.01.2017,03:00,04:00,407.0
01.01.2017,04:00,05:00,413.0
01.01.2017,05:00,06:00,371.0
01.01.2017,06:00,07:00,254.0
01.01.2017,07:00,08:00,251.0
01.01.2017,08:00,09:00,319.0
01.01.2017,09:00,10:00,315.0
01.01.2017,10:00,11:00,372.0
01.01.2017,11:00,12:00,402.0
01.01.2017,12:00,13:00,447.0
01.01.2017,13:00,14:00,415.0
01.01.2017,14:00,15:00,450.0
01.01.2017,15:00,16:00,562.0
01.01.2017,16:00,17:00,631.0
01.01.2017,17:00,18:00,683.0
01.01.2017,18:00,19:00,690.0
01.01.2017,19:00,20:00,691.0
01.01.2017,20:00,21:00,688.0
01.01.2017,21:00,22:00,655.0
01.01.2017,22:00,23:00,652.0
01.01.2017,23:00,00:00,587.0
02.01.2017,00:00,01:00,453.0
02.01.2017,01:00,02:00,371.0
02.01.2017,02:00,03:00,252.0
02.01.2017,03:00,04:00,264.0
02.01.2017,04:00,05:00,328.0
02.01.2017,05:00,06:00,497.0
02.01.2017,06:00,07:00,630.0
02.01.2017,07:00,08:00,678.0
02.01.2017,08:00,09:00,693.0
02.01.2017,09:00,10:00,690.0
02.01.2017,10:00,11:00,692.0
02.01.2017,11:00,12:00,691.0
02.01.2017,12:00,13:00,691.0
02.01.2017,13:00,14:00,692.0
02.01.2017,14:00,15:00,694.0
02.01.2017,15:00,16:00,691.0
02.01.2017,16:00,17:00,693.0
02.01.2017,17:00,18:00,692.0
02.01.2017,18:00,19:00,693.0
02.01.2017,19:00,20:00,693.0
02.01.2017,20:00,21:00,691.0
02.01.2017,21:00,22:00,689.0
02.01.2017,22:00,23:00,682.0
02.01.2017,23:00,00:00,519.0
03.01.2017,00:00,01:00,343.0
03.01.2017,01:00,02:00,258.0
03.01.2017,02:00,03:00,261.0
03.01.2017,03:00,04:00,298.0
03.01.2017,04:00,05:00,347.0
03.01.2017,05:00,06:00,476.0
03.01.2017,06:00,07:00,642.0
03.01.2017,07:00,08:00,690.0
03.01.2017,08:00,09:00,690.0
03.01.2017,09:00,10:00,690.0
03.01.2017,10:00,11:00,685.0
03.01.2017,11:00,12:00,688.0
03.01.2017,12:00,13:00,691.0
03.01.2017,13:00,14:00,690.0
03.01.2017,14:00,15:00,691.0
03.01.2017,15:00,16:00,692.0
03.01.2017,16:00,17:00,689.0
03.01.2017,17:00,18:00,689.0
03.01.2017,18:00,19:00,689.0
03.01.2017,19:00,20:00,561.0
03.01.2017,20:00,21:00,401.0
03.01.2017,21:00,22:00,298.0
03.01.2017,22:00,23:00,183.0
03.01.2017,23:00,00:00,150.0
04.01.2017,00:00,01:00,151.0
04.01.2017,01:00,02:00,150.0
04.01.2017,02:00,03:00,151.0
04.01.2017,03:00,04:00,151.0
04.01.2017,04:00,05:00,151.0
04.01.2017,05:00,06:00,185.0
04.01.2017,06:00,07:00,315.0
04.01.2017,07:00,08:00,464.0
04.01.2017,08:00,09:00,621.0
04.01.2017,09:00,10:00,679.0
04.01.2017,10:00,11:00,687.0
04.01.2017,11:00,12:00,691.0
04.01.2017,12:00,13:00,690.0
04.01.2017,13:00,14:00,692.0
04.01.2017,14:00,15:00,688.0
04.01.2017,15:00,16:00,688.0
04.01.2017,16:00,17:00,690.0
04.01.2017,17:00,18:00,688.0
04.01.2017,18:00,19:00,688.0
04.01.2017,19:00,20:00,687.0
04.01.2017,20:00,21:00,683.0
04.01.2017,21:00,22:00,606.0
04.01.2017,22:00,23:00,501.0
04.01.2017,23:00,00:00,453.0
05.01.2017,00:00,01:00,493.0
05.01.2017,01:00,02:00,402.0
05.01.2017,02:00,03:00,380.0
05.01.2017,03:00,04:00,378.0
05.01.2017,04:00,05:00,459.0
05.01.2017,05:00,06:00,600.0
05.01.2017,06:00,07:00,684.0
05.01.2017,07:00,08:00,694.0
05.01.2017,08:00,09:00,692.0
05.01.2017,09:00,10:00,692.0
05.01.2017,10:00,11:00,693.0
05.01.2017,11:00,12:00,693.0
05.01.2017,12:00,13:00,694.0
05.01.2017,13:00,14:00,694.0
05.01.2017,14:00,15:00,695.0
05.01.2017,15:00,16:00,692.0
05.01.2017,16:00,17:00,691.0
05.01.2017,17:00,18:00,689.0
05.01.2017,18:00,19:00,689.0
05.01.2017,19:00,20:00,693.0
05.01.2017,20:00,21:00,691.0
05.01.2017,21:00,22:00,691.0
05.01.2017,22:00,23:00,693.0
05.01.2017,23:00,00:00,693.0
06.01.2017,00:00,01:00,690.0
06.01.2017,01:00,02:00,693.0
06.01.2017,02:00,03:00,691.0
06.01.2017,03:00,04:00,691.0
06.01.2017,04:00,05:00,689.0
06.01.2017,05:00,06:00,687.0
06.01.2017,06:00,07:00,690.0
06.01.2017,07:00,08:00,691.0
06.01.2017,08:00,09:00,686.0
06.01.2017,09:00,10:00,688.0
06.01.2017,10:00,11:00,689.0
06.01.2017,11:00,12:00,690.0
06.01.2017,12:00,13:00,690.0
06.01.2017,13:00,14:00,688.0
06.01.2017,14:00,15:00,694.0
06.01.2017,15:00,16:00,693.0
06.01.2017,16:00,17:00,692.0
06.01.2017,17:00,18:00,691.0
06.01.2017,18:00,19:00,687.0
06.01.2017,19:00,20:00,695.0
06.01.2017,20:00,21:00,652.0
06.01.2017,21:00,22:00,542.0
06.01.2017,22:00,23:00,529.0
06.01.2017,23:00,00:00,396.0
07.01.2017,00:00,01:00,323.0
07.01.2017,01:00,02:00,268.0
07.01.2017,02:00,03:00,258.0
07.01.2017,03:00,04:00,243.0
07.01.2017,04:00,05:00,3.0
07.01.2017,05:00,06:00,0.0
07.01.2017,06:00,07:00,0.0
07.01.2017,07:00,08:00,0.0
07.01.2017,08:00,09:00,0.0
07.01.2017,09:00,10:00,0.0
07.01.2017,10:00,11:00,0.0
07.01.2017,11:00,12:00,0.0
07.01.2017,12:00,13:00,0.0
07.01.2017,13:00,14:00,0.0
07.01.2017,14:00,15:00,0.0
07.01.2017,15:00,16:00,0.0
07.01.2017,16:00,17:00,0.0
07.01.2017,17:00,18:00,0.0
07.01.2017,18:00,19:00,0.0
07.01.2017,19:00,20:00,0.0
07.01.2017,20:00,21:00,0.0
07.01.2017,21:00,22:00,0.0
07.01.2017,22:00,23:00,15.0
07.01.2017,23:00,00:00,226.0
08.01.2017,00:00,01:00,401.0
08.01.2017,01:00,02:00,505.0
08.01.2017,02:00,03:00,568.0
08.01.2017,03:00,04:00,422.0
08.01.2017,04:00,05:00,391.0
08.01.2017,05:00,06:00,389.0
08.01.2017,06:00,07:00,390.0
08.01.2017,07:00,08:00,390.0
08.01.2017,08:00,09:00,391.0
08.01.2017,09:00,10:00,410.0
08.01.2017,10:00,11:00,528.0
08.01.2017,11:00,12:00,668.0
08.01.2017,12:00,13:00,690.0
08.01.2017,13:00,14:00,691.0
08.01.2017,14:00,15:00,689.0
08.01.2017,15:00,16:00,690.0
08.01.2017,16:00,17:00,691.0
08.01.2017,17:00,18:00,690.0
08.01.2017,18:00,19:00,689.0
08.01.2017,19:00,20:00,689.0
