date,start,end,11WD7NEUR1B--G-I,11WD7NEUR1B--F-L,11WD7NEUR2B--A-T,11WD7NEUR1B--B-X,11WD7NEUR1B--C-U,11WD7NEUR1B--D-R,11WD7NEUR1B--E-O
1012018,00:00,01:00,0,0,285,280,0,600,602
1012018,01:00,02:00,0,0,287,282,0,600,602
1012018,02:00,03:00,0,0,288,286,0,601,603
1012018,03:00,04:00,0,0,288,291,0,600,602
1012018,04:00,05:00,0,0,288,291,0,601,603
1012018,05:00,06:00,0,0,288,291,0,599,601
1012018,06:00,07:00,0,0,288,291,0,600,602
1012018,07:00,08:00,0,0,288,291,0,600,602
1012018,08:00,09:00,0,0,288,291,0,600,602
1012018,09:00,10:00,0,0,288,291,0,600,603
1012018,10:00,11:00,0,0,288,291,0,600,602
1012018,11:00,12:00,0,0,287,289,0,597,598
1012018,12:00,13:00,0,0,234,190,0,456,449
1012018,13:00,14:00,0,0,165,152,0,444,444
1012018,14:00,15:00,0,0,165,152,0,445,445
1012018,15:00,16:00,0,0,167,152,0,446,446
1012018,16:00,17:00,0,0,263,221,0,554,510
1012018,17:00,18:00,0,0,288,291,0,608,603
1012018,18:00,19:00,46,0,288,291,0,608,605
1012018,19:00,20:00,368,0,288,291,0,609,606
1012018,20:00,21:00,534,0,288,291,0,608,604
1012018,21:00,22:00,985,0,288,291,0,606,605
1012018,22:00,23:00,1030,0,288,291,0,603,605
1012018,23:00,00:00,1030,0,288,291,0,605,606
2012018,00:00,01:00,1063,0,256,253,0,554,560
2012018,01:00,02:00,949,0,164,153,0,439,282
2012018,02:00,03:00,555,0,165,151,0,442,259
2012018,03:00,04:00,0,0,258,213,0,528,294
2012018,04:00,05:00,453,0,286,282,0,544,489
2012018,05:00,06:00,725,0,290,287,101,566,522
2012018,06:00,07:00,958,0,290,293,253,616,611
2012018,07:00,08:00,961,0,288,293,293,615,607
2012018,08:00,09:00,1014,0,289,293,294,615,609
2012018,09:00,10:00,1056,0,289,293,294,616,608
2012018,10:00,11:00,1054,0,289,294,293,614,607
2012018,11:00,12:00,1059,0,289,293,294,613,607
2012018,12:00,13:00,1059,0,288,293,293,612,607
2012018,13:00,14:00,1060,0,289,294,293,612,607
2012018,14:00,15:00,1060,0,290,294,293,612,608
2012018,15:00,16:00,1060,0,289,293,294,612,608
2012018,16:00,17:00,1055,0,289,294,294,613,607
2012018,17:00,18:00,1061,0,289,293,294,613,608
2012018,18:00,19:00,1059,0,289,293,293,614,609
2012018,19:00,20:00,1059,0,289,294,294,615,608
2012018,20:00,21:00,1061,0,289,293,294,613,608
2012018,21:00,22:00,1059,0,270,276,278,593,589
2012018,22:00,23:00,886,0,169,162,151,324,314
2012018,23:00,00:00,572,0,165,152,147,257,257
3012018,00:00,01:00,574,0,166,153,147,263,262
3012018,01:00,02:00,573,0,165,153,147,262,263
3012018,02:00,03:00,576,0,164,151,146,258,260
3012018,03:00,04:00,576,0,163,1,145,256,257
3012018,04:00,05:00,575,0,163,0,145,260,260
3012018,05:00,06:00,576,0,165,40,146,260,260
3012018,06:00,07:00,576,0,166,172,148,265,264
3012018,07:00,08:00,882,0,165,169,147,259,260
3012018,08:00,09:00,1028,0,165,165,147,260,259
3012018,09:00,10:00,1058,0,225,189,157,303,287
3012018,10:00,11:00,1059,0,291,274,269,559,547
3012018,11:00,12:00,1060,0,289,291,292,610,606
3012018,12:00,13:00,1063,0,289,292,292,611,605
3012018,13:00,14:00,1062,0,289,292,292,610,606
3012018,14:00,15:00,1060,0,289,284,288,597,605
3012018,15:00,16:00,1062,0,290,286,294,605,606
3012018,16:00,17:00,1062,0,290,292,294,611,606
3012018,17:00,18:00,1059,0,289,289,294,612,605
3012018,18:00,19:00,1065,0,286,210,280,565,461
3012018,19:00,20:00,1063,0,203,152,157,324,270
3012018,20:00,21:00,960,0,165,152,147,260,259
3012018,21:00,22:00,589,0,165,152,147,267,263
3012018,22:00,23:00,578,0,165,152,147,268,263
3012018,23:00,00:00,573,0,165,153,146,270,261
4012018,00:00,01:00,579,0,165,152,146,270,262
4012018,01:00,02:00,576,0,165,152,146,272,261
4012018,02:00,03:00,574,0,165,152,147,270,262
4012018,03:00,04:00,576,0,165,152,147,270,263
4012018,04:00,05:00,613,0,165,153,147,271,262
4012018,05:00,06:00,996,0,226,165,148,274,264
4012018,06:00,07:00,1060,0,292,256,234,323,418
4012018,07:00,08:00,1057,0,290,291,292,561,608
4012018,08:00,09:00,1061,0,289,292,292,612,606
4012018,09:00,10:00,1060,0,289,291,293,611,607
4012018,10:00,11:00,1062,0,289,289,293,612,607
4012018,11:00,12:00,1060,0,289,289,293,612,607
4012018,12:00,13:00,1060,0,289,290,293,612,606
4012018,13:00,14:00,1062,0,289,292,293,611,606
4012018,14:00,15:00,1060,0,289,292,295,613,605
4012018,15:00,16:00,1057,0,289,292,296,612,604
4012018,16:00,17:00,1060,0,289,291,298,613,605
4012018,17:00,18:00,1056,0,289,292,298,612,604
4012018,18:00,19:00,1057,0,290,292,298,612,605
4012018,19:00,20:00,1058,0,289,291,297,612,604
4012018,20:00,21:00,1058,0,289,292,297,612,605
4012018,21:00,22:00,1061,0,289,292,294,613,606
4012018,22:00,23:00,1058,0,289,291,295,612,605
4012018,23:00,00:00,1060,0,283,286,290,18,595
5012018,00:00,01:00,947,0,183,179,177,0,408
5012018,01:00,02:00,895,0,165,152,146,0,260
5012018,02:00,03:00,663,0,166,153,148,268,270
5012018,03:00,04:00,577,0,165,152,147,313,266
5012018,04:00,05:00,577,0,165,153,147,320,265
5012018,05:00,06:00,888,0,198,155,148,323,266
5012018,06:00,07:00,1054,0,289,255,226,498,504
5012018,07:00,08:00,1059,0,289,292,297,613,608
5012018,08:00,09:00,1061,0,288,292,299,612,606
5012018,09:00,10:00,1058,0,289,294,299,613,607
5012018,10:00,11:00,1062,0,289,293,299,611,606
5012018,11:00,12:00,1058,0,289,294,299,612,605
5012018,12:00,13:00,1061,0,288,294,296,611,605
5012018,13:00,14:00,1060,0,288,294,295,613,607
5012018,14:00,15:00,1059,0,289,292,295,612,606
5012018,15:00,16:00,1060,0,289,294,295,613,607
5012018,16:00,17:00,1061,0,289,293,299,613,604
5012018,17:00,18:00,1062,0,289,293,299,612,606
5012018,18:00,19:00,1061,0,289,294,299,612,606
5012018,19:00,20:00,1063,0,289,293,299,612,606
5012018,20:00,21:00,1062,0,288,294,295,613,608
5012018,21:00,22:00,1064,0,288,293,296,614,609
5012018,22:00,23:00,1064,0,289,296,296,613,606
5012018,23:00,00:00,1061,0,288,294,296,612,607
6012018,00:00,01:00,1066,0,288,280,295,611,608
6012018,01:00,02:00,1060,0,288,279,296,611,608
6012018,02:00,03:00,1064,0,289,286,296,611,607
6012018,03:00,04:00,1065,0,289,294,296,612,610
6012018,04:00,05:00,1063,0,289,293,295,610,608
6012018,05:00,06:00,1063,0,289,293,296,609,607
6012018,06:00,07:00,1065,0,289,293,297,613,608
6012018,07:00,08:00,1063,0,289,293,300,615,609
6012018,08:00,09:00,1060,0,289,294,300,614,608
6012018,09:00,10:00,1064,0,289,294,300,613,607
6012018,10:00,11:00,1065,0,289,293,300,614,607
6012018,11:00,12:00,1062,0,289,294,299,613,608
6012018,12:00,13:00,1065,0,289,293,295,610,606
6012018,13:00,14:00,1060,0,289,294,294,611,609
6012018,14:00,15:00,1064,0,289,294,294,609,606
6012018,15:00,16:00,1063,0,289,294,297,612,607
6012018,16:00,17:00,1064,0,289,294,299,613,607
6012018,17:00,18:00,1062,0,289,293,299,613,607
6012018,18:00,19:00,1064,0,289,293,299,613,607
6012018,19:00,20:00,1063,0,289,293,298,615,610
6012018,20:00,21:00,1064,0,289,294,294,609,606
6012018,21:00,22:00,1064,0,288,293,295,611,608
6012018,22:00,23:00,1062,0,289,293,295,610,607
6012018,23:00,00:00,1061,0,288,293,295,611,608
7012018,00:00,01:00,1062,0,287,283,292,426,432
7012018,01:00,02:00,1063,0,286,265,274,263,260
7012018,02:00,03:00,1062,0,286,155,157,266,264
7012018,03:00,04:00,1047,0,271,152,148,266,264
7012018,04:00,05:00,784,0,167,152,147,270,263
7012018,05:00,06:00,876,0,165,153,148,271,262
7012018,06:00,07:00,749,0,166,153,147,272,264
7012018,07:00,08:00,1026,0,171,153,150,270,264
7012018,08:00,09:00,1064,0,276,232,189,276,274
7012018,09:00,10:00,1062,0,289,295,289,423,442
7012018,10:00,11:00,1052,0,288,293,300,585,522
7012018,11:00,12:00,1046,0,276,293,300,606,609
7012018,12:00,13:00,1046,0,286,294,299,606,609
7012018,13:00,14:00,1043,0,288,293,294,588,500
7012018,14:00,15:00,1043,0,289,294,294,593,584
7012018,15:00,16:00,1045,0,289,293,294,605,608
7012018,16:00,17:00,1044,0,289,294,296,607,608
7012018,17:00,18:00,1039,0,288,294,300,605,608
7012018,18:00,19:00,1043,0,289,293,300,606,608
7012018,19:00,20:00,1040,0,289,293,300,606,608
7012018,20:00,21:00,1043,0,288,293,299,606,607
7012018,21:00,22:00,1043,0,287,294,295,605,608
7012018,22:00,23:00,1049,0,287,293,295,606,609
7012018,23:00,00:00,1045,0,288,293,295,604,608
8012018,00:00,01:00,1040,0,289,284,295,594,603
8012018,01:00,02:00,1054,0,288,284,295,600,585
8012018,02:00,03:00,1057,0,287,286,292,364,330
