date,start,end,11WD7NIED2B--D-E,11WD7NIED2B--C-H,11WD7NIED2B--E-B,11WD7NIED1B--G-C,11WD7NIED1B--H-9,11WD7NIED1B--K-0
01.01.2020,00:00,01:00,0,268,,,0,934
01.01.2020,01:00,02:00,0,279,,,0,932
01.01.2020,02:00,03:00,0,279,,,0,927
01.01.2020,03:00,04:00,0,280,,,0,929
01.01.2020,04:00,05:00,0,278,,,0,929
01.01.2020,05:00,06:00,0,214,,,0,927
01.01.2020,06:00,07:00,0,155,,,0,927
01.01.2020,07:00,08:00,0,149,,,0,933
01.01.2020,08:00,09:00,0,150,,,0,927
01.01.2020,09:00,10:00,0,150,,,0,929
01.01.2020,10:00,11:00,0,150,,,0,927
01.01.2020,11:00,12:00,0,150,,,0,902
01.01.2020,12:00,13:00,0,150,,,0,907
01.01.2020,13:00,14:00,0,150,,,0,848
01.01.2020,14:00,15:00,0,175,,,0,928
01.01.2020,15:00,16:00,0,254,,,0,926
01.01.2020,16:00,17:00,0,278,,,0,931
01.01.2020,17:00,18:00,0,284,,,0,928
01.01.2020,18:00,19:00,0,284,,,0,931
01.01.2020,19:00,20:00,0,284,,,0,930
01.01.2020,20:00,21:00,0,280,,,0,929
01.01.2020,21:00,22:00,0,279,,,0,931
01.01.2020,22:00,23:00,0,275,,,0,930
01.01.2020,23:00,00:00,0,277,,,0,924
02.01.2020,00:00,01:00,0,219,,,0,925
02.01.2020,01:00,02:00,0,160,,,0,926
02.01.2020,02:00,03:00,0,149,,,0,928
02.01.2020,03:00,04:00,0,161,,,0,929
02.01.2020,04:00,05:00,0,153,,,0,917
02.01.2020,05:00,06:00,0,183,,,0,928
02.01.2020,06:00,07:00,0,262,,,0,923
02.01.2020,07:00,08:00,0,271,,,0,927
02.01.2020,08:00,09:00,0,249,,,0,925
02.01.2020,09:00,10:00,0,244,,,0,925
02.01.2020,10:00,11:00,0,245,,,0,929
02.01.2020,11:00,12:00,0,244,,,0,929
02.01.2020,12:00,13:00,0,245,,,0,928
02.01.2020,13:00,14:00,0,243,,,0,924
02.01.2020,14:00,15:00,0,245,,,0,926
02.01.2020,15:00,16:00,0,243,,,0,926
02.01.2020,16:00,17:00,0,242,,,0,928
02.01.2020,17:00,18:00,0,244,,,0,924
02.01.2020,18:00,19:00,0,243,,,0,928
02.01.2020,19:00,20:00,0,243,,,0,927
02.01.2020,20:00,21:00,0,240,,,0,928
02.01.2020,21:00,22:00,0,178,,,0,892
02.01.2020,22:00,23:00,0,172,,,0,825
02.01.2020,23:00,00:00,0,148,,,0,493
03.01.2020,00:00,01:00,0,148,,,0,568
03.01.2020,01:00,02:00,0,150,,,0,566
03.01.2020,02:00,03:00,0,150,,,0,487
03.01.2020,03:00,04:00,0,150,,,0,521
03.01.2020,04:00,05:00,0,150,,,0,514
03.01.2020,05:00,06:00,0,150,,,0,449
03.01.2020,06:00,07:00,0,149,,,0,365
03.01.2020,07:00,08:00,0,150,,,0,652
03.01.2020,08:00,09:00,0,150,,,0,794
03.01.2020,09:00,10:00,0,151,,,0,782
03.01.2020,10:00,11:00,0,151,,,0,911
03.01.2020,11:00,12:00,0,150,,,0,928
03.01.2020,12:00,13:00,0,151,,,0,924
03.01.2020,13:00,14:00,0,182,,,0,931
03.01.2020,14:00,15:00,0,177,,,0,922
03.01.2020,15:00,16:00,0,169,,,0,925
03.01.2020,16:00,17:00,0,170,,,0,925
03.01.2020,17:00,18:00,0,163,,,0,921
03.01.2020,18:00,19:00,0,148,,,0,684
03.01.2020,19:00,20:00,0,150,,,0,382
03.01.2020,20:00,21:00,0,150,,,0,368
03.01.2020,21:00,22:00,0,150,,,0,385
03.01.2020,22:00,23:00,0,150,,,0,402
03.01.2020,23:00,00:00,0,150,,,0,369
04.01.2020,00:00,01:00,0,153,,,0,370
04.01.2020,01:00,02:00,0,151,,,0,368
04.01.2020,02:00,03:00,0,150,,,0,407
04.01.2020,03:00,04:00,0,151,,,0,360
04.01.2020,04:00,05:00,0,152,,,0,374
04.01.2020,05:00,06:00,0,150,,,0,370
04.01.2020,06:00,07:00,0,150,,,0,374
04.01.2020,07:00,08:00,0,149,,,0,369
04.01.2020,08:00,09:00,0,149,,,0,377
04.01.2020,09:00,10:00,0,151,,,0,369
04.01.2020,10:00,11:00,0,149,,,0,376
04.01.2020,11:00,12:00,0,150,,,0,408
04.01.2020,12:00,13:00,0,150,,,0,385
04.01.2020,13:00,14:00,0,151,,,0,422
04.01.2020,14:00,15:00,0,150,,,0,384
04.01.2020,15:00,16:00,0,150,,,0,417
04.01.2020,16:00,17:00,0,160,,,0,437
04.01.2020,17:00,18:00,0,159,,,0,431
04.01.2020,18:00,19:00,0,148,,,0,432
04.01.2020,19:00,20:00,0,150,,,0,429
04.01.2020,20:00,21:00,0,150,,,0,439
04.01.2020,21:00,22:00,0,150,,,0,504
04.01.2020,22:00,23:00,0,180,,,0,530
04.01.2020,23:00,00:00,0,262,,,0,718
05.01.2020,00:00,01:00,0,196,,,0,914
05.01.2020,01:00,02:00,0,149,,,0,924
05.01.2020,02:00,03:00,0,150,,,0,927
05.01.2020,03:00,04:00,0,150,,,0,917
05.01.2020,04:00,05:00,0,150,,,0,925
05.01.2020,05:00,06:00,0,150,,,0,930
05.01.2020,06:00,07:00,0,149,,,0,929
05.01.2020,07:00,08:00,0,152,,,0,927
05.01.2020,08:00,09:00,0,221,,,0,926
05.01.2020,09:00,10:00,0,286,,,0,923
05.01.2020,10:00,11:00,0,283,,,0,923
05.01.2020,11:00,12:00,0,280,,,0,929
05.01.2020,12:00,13:00,0,248,,,0,922
05.01.2020,13:00,14:00,0,200,,,0,925
05.01.2020,14:00,15:00,0,266,,,0,928
05.01.2020,15:00,16:00,0,279,,,0,925
05.01.2020,16:00,17:00,0,283,,,0,926
05.01.2020,17:00,18:00,0,285,,,0,924
05.01.2020,18:00,19:00,0,283,,,0,931
05.01.2020,19:00,20:00,0,284,,,0,927
05.01.2020,20:00,21:00,0,284,,,0,929
05.01.2020,21:00,22:00,0,285,,,0,925
05.01.2020,22:00,23:00,0,285,,,0,920
05.01.2020,23:00,00:00,0,284,,,0,909
06.01.2020,00:00,01:00,0,252,,,0,907
06.01.2020,01:00,02:00,0,160,,,0,926
06.01.2020,02:00,03:00,0,149,,,0,933
06.01.2020,03:00,04:00,0,150,,,0,919
06.01.2020,04:00,05:00,0,150,,,0,925
06.01.2020,05:00,06:00,0,201,,,0,925
06.01.2020,06:00,07:00,0,272,,,0,923
06.01.2020,07:00,08:00,0,270,,,0,924
06.01.2020,08:00,09:00,0,285,,,0,923
06.01.2020,09:00,10:00,0,284,,,0,927
06.01.2020,10:00,11:00,0,284,,,0,926
06.01.2020,11:00,12:00,0,285,,,0,925
06.01.2020,12:00,13:00,0,284,,,0,927
06.01.2020,13:00,14:00,0,284,,,0,926
06.01.2020,14:00,15:00,0,284,,,0,930
06.01.2020,15:00,16:00,0,276,,,0,920
06.01.2020,16:00,17:00,0,269,,,0,914
06.01.2020,17:00,18:00,0,274,,,0,912
06.01.2020,18:00,19:00,0,274,,,0,909
06.01.2020,19:00,20:00,0,274,,,0,914
06.01.2020,20:00,21:00,0,273,,,0,909
06.01.2020,21:00,22:00,0,229,,,0,914
06.01.2020,22:00,23:00,0,222,,,0,911
06.01.2020,23:00,00:00,0,189,,,0,912
07.01.2020,00:00,01:00,0,189,,,0,914
07.01.2020,01:00,02:00,0,190,,,0,913
07.01.2020,02:00,03:00,0,190,,,0,913
07.01.2020,03:00,04:00,0,190,,,0,916
07.01.2020,04:00,05:00,0,191,,,0,910
07.01.2020,05:00,06:00,0,214,,,0,910
07.01.2020,06:00,07:00,0,273,,,0,914
07.01.2020,07:00,08:00,0,272,,,0,913
07.01.2020,08:00,09:00,0,274,,,0,915
07.01.2020,09:00,10:00,0,274,,,0,914
07.01.2020,10:00,11:00,0,274,,,0,914
07.01.2020,11:00,12:00,0,273,,,0,918
07.01.2020,12:00,13:00,0,271,,,0,918
07.01.2020,13:00,14:00,0,273,,,0,924
07.01.2020,14:00,15:00,0,274,,,0,934
07.01.2020,15:00,16:00,0,274,,,0,931
07.01.2020,16:00,17:00,0,274,,,0,936
07.01.2020,17:00,18:00,0,273,,,0,938
07.01.2020,18:00,19:00,0,275,,,0,926
07.01.2020,19:00,20:00,0,274,,,0,934
07.01.2020,20:00,21:00,0,261,,,0,933
07.01.2020,21:00,22:00,0,226,,,0,932
07.01.2020,22:00,23:00,0,187,,,0,936
07.01.2020,23:00,00:00,0,159,,,0,881
08.01.2020,00:00,01:00,0,153,,,0,497
08.01.2020,01:00,02:00,0,153,,,0,362
08.01.2020,02:00,03:00,0,153,,,0,368
08.01.2020,03:00,04:00,0,153,,,0,371
08.01.2020,04:00,05:00,0,154,,,0,521
08.01.2020,05:00,06:00,0,159,,,0,839
08.01.2020,06:00,07:00,0,169,,,0,917
08.01.2020,07:00,08:00,0,255,,,0,938
08.01.2020,08:00,09:00,0,277,,,0,926
08.01.2020,09:00,10:00,0,275,,,0,931
08.01.2020,10:00,11:00,0,274,,,0,935
08.01.2020,11:00,12:00,0,274,,,0,931
08.01.2020,12:00,13:00,0,274,,,0,920
08.01.2020,13:00,14:00,0,273,,,0,920
08.01.2020,14:00,15:00,0,273,,,0,937
08.01.2020,15:00,16:00,0,274,,,0,941
08.01.2020,16:00,17:00,0,274,,,0,936
08.01.2020,17:00,18:00,0,274,,,0,940
08.01.2020,18:00,19:00,0,275,,,0,940
08.01.2020,19:00,20:00,0,274,,,0,945
08.01.2020,20:00,21:00,0,273,,,0,936
08.01.2020,21:00,22:00,0,274,,,0,919
08.01.2020,22:00,23:00,0,275,,,0,921
