date,start,end,11WD2NOR20001055
1012018,00:00,01:00,151
1012018,01:00,02:00,143
1012018,02:00,03:00,141
1012018,03:00,04:00,140
1012018,04:00,05:00,135
1012018,05:00,06:00,138
1012018,06:00,07:00,145
1012018,07:00,08:00,138
1012018,08:00,09:00,138
1012018,09:00,10:00,143
1012018,10:00,11:00,155
1012018,11:00,12:00,167
1012018,12:00,13:00,170
1012018,13:00,14:00,175
1012018,14:00,15:00,179
1012018,15:00,16:00,175
1012018,16:00,17:00,185
1012018,17:00,18:00,208
1012018,18:00,19:00,204
1012018,19:00,20:00,204
1012018,20:00,21:00,209
1012018,21:00,22:00,201
1012018,22:00,23:00,203
1012018,23:00,00:00,185
2012018,00:00,01:00,170
2012018,01:00,02:00,167
2012018,02:00,03:00,167
2012018,03:00,04:00,168
2012018,04:00,05:00,177
2012018,05:00,06:00,191
2012018,06:00,07:00,215
2012018,07:00,08:00,207
2012018,08:00,09:00,211
2012018,09:00,10:00,212
2012018,10:00,11:00,211
2012018,11:00,12:00,211
2012018,12:00,13:00,210
2012018,13:00,14:00,211
2012018,14:00,15:00,216
2012018,15:00,16:00,211
2012018,16:00,17:00,208
2012018,17:00,18:00,207
2012018,18:00,19:00,216
2012018,19:00,20:00,209
2012018,20:00,21:00,201
2012018,21:00,22:00,206
2012018,22:00,23:00,208
2012018,23:00,00:00,206
3012018,00:00,01:00,206
3012018,01:00,02:00,207
3012018,02:00,03:00,201
3012018,03:00,04:00,201
3012018,04:00,05:00,203
3012018,05:00,06:00,209
3012018,06:00,07:00,209
3012018,07:00,08:00,206
3012018,08:00,09:00,196
3012018,09:00,10:00,190
3012018,10:00,11:00,212
3012018,11:00,12:00,204
3012018,12:00,13:00,207
3012018,13:00,14:00,208
3012018,14:00,15:00,208
3012018,15:00,16:00,209
3012018,16:00,17:00,207
3012018,17:00,18:00,209
3012018,18:00,19:00,210
3012018,19:00,20:00,209
3012018,20:00,21:00,205
3012018,21:00,22:00,200
3012018,22:00,23:00,202
3012018,23:00,00:00,198
4012018,00:00,01:00,187
