date,start,end,11WD4RDK42G4---O,11WD4RDK71C7---G,11WD4RDK81C8---3
1012019,00:00,01:00,,337,549
1012019,01:00,02:00,,208,284
1012019,02:00,03:00,,272,108
1012019,03:00,04:00,,259,0
1012019,04:00,05:00,,170,0
1012019,05:00,06:00,,170,0
1012019,06:00,07:00,,170,0
1012019,07:00,08:00,,172,0
1012019,08:00,09:00,,177,0
1012019,09:00,10:00,,416,0
1012019,10:00,11:00,,467,0
1012019,11:00,12:00,,465,0
1012019,12:00,13:00,,478,0
1012019,13:00,14:00,,477,0
1012019,14:00,15:00,,483,0
1012019,15:00,16:00,,478,0
1012019,16:00,17:00,,482,0
1012019,17:00,18:00,,485,0
1012019,18:00,19:00,,486,0
1012019,19:00,20:00,,484,0
1012019,20:00,21:00,,484,0
1012019,21:00,22:00,,486,0
1012019,22:00,23:00,,486,0
1012019,23:00,00:00,,469,0
2012019,00:00,01:00,,456,0
2012019,01:00,02:00,,467,0
2012019,02:00,03:00,,475,0
2012019,03:00,04:00,,460,0
2012019,04:00,05:00,,457,0
2012019,05:00,06:00,,453,0
2012019,06:00,07:00,,458,191
2012019,07:00,08:00,,466,486
2012019,08:00,09:00,,464,731
2012019,09:00,10:00,,464,805
2012019,10:00,11:00,,455,828
2012019,11:00,12:00,,454,828
2012019,12:00,13:00,,377,829
2012019,13:00,14:00,,265,692
2012019,14:00,15:00,,190,596
2012019,15:00,16:00,,322,590
2012019,16:00,17:00,,353,599
2012019,17:00,18:00,,279,599
2012019,18:00,19:00,,273,599
2012019,19:00,20:00,,272,600
2012019,20:00,21:00,,271,578
2012019,21:00,22:00,,195,480
2012019,22:00,23:00,,173,478
2012019,23:00,00:00,,178,478
3012019,00:00,01:00,,176,498
3012019,01:00,02:00,,177,605
3012019,02:00,03:00,,176,604
3012019,03:00,04:00,,176,601
3012019,04:00,05:00,,176,506
3012019,05:00,06:00,,176,624
3012019,06:00,07:00,,213,802
3012019,07:00,08:00,,309,825
3012019,08:00,09:00,,476,824
3012019,09:00,10:00,,479,823
3012019,10:00,11:00,,480,823
3012019,11:00,12:00,,480,824
3012019,12:00,13:00,,480,825
3012019,13:00,14:00,,478,825
3012019,14:00,15:00,,479,826
3012019,15:00,16:00,,479,825
3012019,16:00,17:00,,495,814
3012019,17:00,18:00,,501,811
3012019,18:00,19:00,,501,814
3012019,19:00,20:00,,500,815
3012019,20:00,21:00,,501,815
3012019,21:00,22:00,,501,817
3012019,22:00,23:00,,372,817
3012019,23:00,00:00,,125,812
4012019,00:00,01:00,,0,811
4012019,01:00,02:00,,0,811
4012019,02:00,03:00,,0,811
4012019,03:00,04:00,,0,811
4012019,04:00,05:00,,0,811
4012019,05:00,06:00,,0,809
4012019,06:00,07:00,,0,802
4012019,07:00,08:00,,0,799
4012019,08:00,09:00,,0,799
4012019,09:00,10:00,,0,795
4012019,10:00,11:00,,165,795
4012019,11:00,12:00,,295,798
4012019,12:00,13:00,,292,812
4012019,13:00,14:00,,293,819
4012019,14:00,15:00,,437,821
4012019,15:00,16:00,,479,824
4012019,16:00,17:00,,478,824
4012019,17:00,18:00,,479,823
4012019,18:00,19:00,,472,818
4012019,19:00,20:00,,410,555
4012019,20:00,21:00,,273,496
4012019,21:00,22:00,,277,497
4012019,22:00,23:00,,187,497
4012019,23:00,00:00,,169,404
5012019,00:00,01:00,,169,356
5012019,01:00,02:00,,171,356
5012019,02:00,03:00,,171,352
5012019,03:00,04:00,,172,271
5012019,04:00,05:00,,172,267
5012019,05:00,06:00,,173,267
5012019,06:00,07:00,,175,266
5012019,07:00,08:00,,204,268
5012019,08:00,09:00,,222,265
5012019,09:00,10:00,,222,268
5012019,10:00,11:00,,220,265
5012019,11:00,12:00,,308,264
5012019,12:00,13:00,,471,267
5012019,13:00,14:00,,473,266
5012019,14:00,15:00,,475,268
5012019,15:00,16:00,,481,466
5012019,16:00,17:00,,482,762
5012019,17:00,18:00,,481,814
5012019,18:00,19:00,,482,820
5012019,19:00,20:00,,473,819
5012019,20:00,21:00,,219,641
5012019,21:00,22:00,,176,293
5012019,22:00,23:00,,175,266
5012019,23:00,00:00,,172,263
6012019,00:00,01:00,,173,264
6012019,01:00,02:00,,176,265
6012019,02:00,03:00,,176,362
6012019,03:00,04:00,,175,406
6012019,04:00,05:00,,177,379
6012019,05:00,06:00,,177,270
6012019,06:00,07:00,,177,266
6012019,07:00,08:00,,176,264
6012019,08:00,09:00,,174,323
6012019,09:00,10:00,,301,677
6012019,10:00,11:00,,468,813
6012019,11:00,12:00,,470,819
6012019,12:00,13:00,,482,824
6012019,13:00,14:00,,445,825
6012019,14:00,15:00,,346,825
6012019,15:00,16:00,,479,827
6012019,16:00,17:00,,483,828
6012019,17:00,18:00,,482,830
6012019,18:00,19:00,,483,830
6012019,19:00,20:00,,483,833
6012019,20:00,21:00,,483,834
6012019,21:00,22:00,,483,834
6012019,22:00,23:00,,384,835
6012019,23:00,00:00,,270,836
7012019,00:00,01:00,,272,836
7012019,01:00,02:00,,272,837
7012019,02:00,03:00,,272,837
7012019,03:00,04:00,,272,839
7012019,04:00,05:00,,272,832
7012019,05:00,06:00,,271,834
7012019,06:00,07:00,,386,833
7012019,07:00,08:00,,479,833
7012019,08:00,09:00,,478,833
7012019,09:00,10:00,,479,833
7012019,10:00,11:00,,479,833
7012019,11:00,12:00,,480,832
7012019,12:00,13:00,,483,833
7012019,13:00,14:00,,483,833
7012019,14:00,15:00,,483,833
7012019,15:00,16:00,,483,833
7012019,16:00,17:00,,483,833
7012019,17:00,18:00,,483,833
7012019,18:00,19:00,,483,834
7012019,19:00,20:00,,420,834
7012019,20:00,21:00,,314,707
7012019,21:00,22:00,,270,558
7012019,22:00,23:00,,185,329
7012019,23:00,00:00,,188,301
8012019,00:00,01:00,,182,298
8012019,01:00,02:00,,180,317
