date,start,end,11WD8SWPU1L---AK,11WD8SWPU1L---BI
1012022,00:00,01:00,0.0,322.0
1012022,01:00,02:00,0.0,328.0
1012022,02:00,03:00,0.0,276.0
1012022,03:00,04:00,0.0,279.0
1012022,04:00,05:00,0.0,277.0
1012022,05:00,06:00,0.0,279.0
1012022,06:00,07:00,0.0,288.0
1012022,07:00,08:00,0.0,282.0
1012022,08:00,09:00,0.0,366.0
1012022,09:00,10:00,0.0,376.0
1012022,10:00,11:00,0.0,397.0
1012022,11:00,12:00,0.0,416.0
1012022,12:00,13:00,0.0,390.0
1012022,13:00,14:00,0.0,386.0
1012022,14:00,15:00,0.0,441.0
1012022,15:00,16:00,0.0,600.0
1012022,16:00,17:00,0.0,735.0
1012022,17:00,18:00,0.0,719.0
1012022,18:00,19:00,0.0,724.0
1012022,19:00,20:00,0.0,706.0
1012022,20:00,21:00,0.0,726.0
1012022,21:00,22:00,0.0,640.0
1012022,22:00,23:00,0.0,626.0
1012022,23:00,00:00,0.0,473.0
2012022,00:00,01:00,0.0,321.0
2012022,01:00,02:00,0.0,318.0
2012022,02:00,03:00,0.0,313.0
2012022,03:00,04:00,0.0,265.0
2012022,04:00,05:00,0.0,264.0
2012022,05:00,06:00,0.0,273.0
2012022,06:00,07:00,0.0,264.0
2012022,07:00,08:00,0.0,258.0
2012022,08:00,09:00,0.0,250.0
2012022,09:00,10:00,0.0,254.0
2012022,10:00,11:00,0.0,256.0
2012022,11:00,12:00,0.0,258.0
2012022,12:00,13:00,0.0,271.0
2012022,13:00,14:00,0.0,255.0
2012022,14:00,15:00,0.0,259.0
2012022,15:00,16:00,0.0,250.0
2012022,16:00,17:00,0.0,255.0
2012022,17:00,18:00,0.0,255.0
2012022,18:00,19:00,0.0,253.0
2012022,19:00,20:00,0.0,259.0
2012022,20:00,21:00,0.0,256.0
2012022,21:00,22:00,0.0,257.0
2012022,22:00,23:00,0.0,250.0
2012022,23:00,00:00,0.0,248.0
3012022,00:00,01:00,0.0,250.0
