date,start,end,11WD2STA4000065N
01.01.2018,00:00,01:00,0
01.01.2018,01:00,02:00,0
01.01.2018,02:00,03:00,0
01.01.2018,03:00,04:00,0
01.01.2018,04:00,05:00,0
01.01.2018,05:00,06:00,0
01.01.2018,06:00,07:00,0
01.01.2018,07:00,08:00,0
01.01.2018,08:00,09:00,0
01.01.2018,09:00,10:00,0
01.01.2018,10:00,11:00,0
01.01.2018,11:00,12:00,0
01.01.2018,12:00,13:00,0
01.01.2018,13:00,14:00,0
01.01.2018,14:00,15:00,0
01.01.2018,15:00,16:00,0
01.01.2018,16:00,17:00,0
01.01.2018,17:00,18:00,0
01.01.2018,18:00,19:00,0
01.01.2018,19:00,20:00,0
01.01.2018,20:00,21:00,0
01.01.2018,21:00,22:00,0
01.01.2018,22:00,23:00,0
01.01.2018,23:00,00:00,0
02.01.2018,00:00,01:00,0
02.01.2018,01:00,02:00,0
02.01.2018,02:00,03:00,0
02.01.2018,03:00,04:00,0
02.01.2018,04:00,05:00,0
02.01.2018,05:00,06:00,0
02.01.2018,06:00,07:00,0
02.01.2018,07:00,08:00,0
02.01.2018,08:00,09:00,0
02.01.2018,09:00,10:00,0
02.01.2018,10:00,11:00,0
02.01.2018,11:00,12:00,0
02.01.2018,12:00,13:00,0
02.01.2018,13:00,14:00,0
02.01.2018,14:00,15:00,0
02.01.2018,15:00,16:00,0
02.01.2018,16:00,17:00,0
02.01.2018,17:00,18:00,0
02.01.2018,18:00,19:00,0
02.01.2018,19:00,20:00,0
02.01.2018,20:00,21:00,0
02.01.2018,21:00,22:00,0
02.01.2018,22:00,23:00,0
02.01.2018,23:00,00:00,0
03.01.2018,00:00,01:00,0
03.01.2018,01:00,02:00,0
03.01.2018,02:00,03:00,0
03.01.2018,03:00,04:00,0
03.01.2018,04:00,05:00,0
03.01.2018,05:00,06:00,0
03.01.2018,06:00,07:00,0
03.01.2018,07:00,08:00,0
03.01.2018,08:00,09:00,0
03.01.2018,09:00,10:00,0
03.01.2018,10:00,11:00,0
03.01.2018,11:00,12:00,0
03.01.2018,12:00,13:00,0
03.01.2018,13:00,14:00,0
03.01.2018,14:00,15:00,0
03.01.2018,15:00,16:00,0
03.01.2018,16:00,17:00,0
03.01.2018,17:00,18:00,0
03.01.2018,18:00,19:00,0
03.01.2018,19:00,20:00,0
03.01.2018,20:00,21:00,0
03.01.2018,21:00,22:00,0
03.01.2018,22:00,23:00,0
03.01.2018,23:00,00:00,0
04.01.2018,00:00,01:00,0
04.01.2018,01:00,02:00,0
04.01.2018,02:00,03:00,0
04.01.2018,03:00,04:00,0
04.01.2018,04:00,05:00,0
04.01.2018,05:00,06:00,0
04.01.2018,06:00,07:00,15
04.01.2018,07:00,08:00,97
04.01.2018,08:00,09:00,159
04.01.2018,09:00,10:00,267
04.01.2018,10:00,11:00,413
04.01.2018,11:00,12:00,487
04.01.2018,12:00,13:00,486
04.01.2018,13:00,14:00,487
04.01.2018,14:00,15:00,487
04.01.2018,15:00,16:00,484
04.01.2018,16:00,17:00,485
04.01.2018,17:00,18:00,486
04.01.2018,18:00,19:00,486
04.01.2018,19:00,20:00,454
04.01.2018,20:00,21:00,415
04.01.2018,21:00,22:00,398
04.01.2018,22:00,23:00,305
04.01.2018,23:00,00:00,255
05.01.2018,00:00,01:00,240
05.01.2018,01:00,02:00,227
05.01.2018,02:00,03:00,227
05.01.2018,03:00,04:00,228
05.01.2018,04:00,05:00,228
05.01.2018,05:00,06:00,227
05.01.2018,06:00,07:00,227
05.01.2018,07:00,08:00,226
05.01.2018,08:00,09:00,302
05.01.2018,09:00,10:00,288
05.01.2018,10:00,11:00,321
05.01.2018,11:00,12:00,366
05.01.2018,12:00,13:00,467
05.01.2018,13:00,14:00,507
05.01.2018,14:00,15:00,508
05.01.2018,15:00,16:00,512
05.01.2018,16:00,17:00,506
05.01.2018,17:00,18:00,507
05.01.2018,18:00,19:00,510
05.01.2018,19:00,20:00,507
05.01.2018,20:00,21:00,461
05.01.2018,21:00,22:00,454
05.01.2018,22:00,23:00,393
05.01.2018,23:00,00:00,342
06.01.2018,00:00,01:00,327
06.01.2018,01:00,02:00,237
06.01.2018,02:00,03:00,268
06.01.2018,03:00,04:00,233
06.01.2018,04:00,05:00,228
06.01.2018,05:00,06:00,228
06.01.2018,06:00,07:00,250
06.01.2018,07:00,08:00,283
06.01.2018,08:00,09:00,231
06.01.2018,09:00,10:00,258
06.01.2018,10:00,11:00,432
06.01.2018,11:00,12:00,473
06.01.2018,12:00,13:00,504
06.01.2018,13:00,14:00,494
06.01.2018,14:00,15:00,408
06.01.2018,15:00,16:00,435
06.01.2018,16:00,17:00,410
06.01.2018,17:00,18:00,366
06.01.2018,18:00,19:00,430
06.01.2018,19:00,20:00,388
06.01.2018,20:00,21:00,346
06.01.2018,21:00,22:00,46
06.01.2018,22:00,23:00,0
06.01.2018,23:00,00:00,0
07.01.2018,00:00,01:00,0
07.01.2018,01:00,02:00,0
07.01.2018,02:00,03:00,0
07.01.2018,03:00,04:00,0
07.01.2018,04:00,05:00,0
07.01.2018,05:00,06:00,0
07.01.2018,06:00,07:00,0
07.01.2018,07:00,08:00,0
07.01.2018,08:00,09:00,0
07.01.2018,09:00,10:00,0
07.01.2018,10:00,11:00,0
07.01.2018,11:00,12:00,0
07.01.2018,12:00,13:00,0
07.01.2018,13:00,14:00,0
07.01.2018,14:00,15:00,0
07.01.2018,15:00,16:00,0
07.01.2018,16:00,17:00,0
07.01.2018,17:00,18:00,0
