date,start,end,11WD2HANN5C---1X,11WD2HANN5C---2V
01.01.2019,00:00,01:00,88,51
01.01.2019,01:00,02:00,76,51
01.01.2019,02:00,03:00,76,50
01.01.2019,03:00,04:00,77,51
01.01.2019,04:00,05:00,80,50
01.01.2019,05:00,06:00,81,49
01.01.2019,06:00,07:00,87,50
01.01.2019,07:00,08:00,82,49
01.01.2019,08:00,09:00,99,51
01.01.2019,09:00,10:00,113,52
01.01.2019,10:00,11:00,114,54
01.01.2019,11:00,12:00,116,56
01.01.2019,12:00,13:00,116,55
01.01.2019,13:00,14:00,114,55
01.01.2019,14:00,15:00,115,50
01.01.2019,15:00,16:00,115,50
01.01.2019,16:00,17:00,118,49
01.01.2019,17:00,18:00,116,49
01.01.2019,18:00,19:00,117,50
01.01.2019,19:00,20:00,118,51
01.01.2019,20:00,21:00,111,51
01.01.2019,21:00,22:00,104,51
01.01.2019,22:00,23:00,100,49
01.01.2019,23:00,00:00,99,51
02.01.2019,00:00,01:00,100,51
02.01.2019,01:00,02:00,103,50
02.01.2019,02:00,03:00,103,50
02.01.2019,03:00,04:00,103,51
02.01.2019,04:00,05:00,105,50
02.01.2019,05:00,06:00,110,49
02.01.2019,06:00,07:00,111,50
02.01.2019,07:00,08:00,115,61
02.01.2019,08:00,09:00,116,59
02.01.2019,09:00,10:00,116,59
02.01.2019,10:00,11:00,117,59
02.01.2019,11:00,12:00,117,59
02.01.2019,12:00,13:00,118,60
02.01.2019,13:00,14:00,118,61
02.01.2019,14:00,15:00,117,61
02.01.2019,15:00,16:00,117,61
02.01.2019,16:00,17:00,117,68
02.01.2019,17:00,18:00,117,75
02.01.2019,18:00,19:00,117,81
02.01.2019,19:00,20:00,117,62
02.01.2019,20:00,21:00,117,61
02.01.2019,21:00,22:00,118,60
02.01.2019,22:00,23:00,117,60
02.01.2019,23:00,00:00,116,60
03.01.2019,00:00,01:00,115,60
03.01.2019,01:00,02:00,116,60
03.01.2019,02:00,03:00,116,61
03.01.2019,03:00,04:00,116,58
03.01.2019,04:00,05:00,116,61
03.01.2019,05:00,06:00,114,59
03.01.2019,06:00,07:00,115,64
03.01.2019,07:00,08:00,115,98
03.01.2019,08:00,09:00,118,108
03.01.2019,09:00,10:00,115,100
03.01.2019,10:00,11:00,118,105
03.01.2019,11:00,12:00,116,126
03.01.2019,12:00,13:00,115,125
03.01.2019,13:00,14:00,115,127
03.01.2019,14:00,15:00,117,126
03.01.2019,15:00,16:00,117,126
03.01.2019,16:00,17:00,118,126
03.01.2019,17:00,18:00,117,125
03.01.2019,18:00,19:00,119,125
03.01.2019,19:00,20:00,115,126
03.01.2019,20:00,21:00,117,126
03.01.2019,21:00,22:00,114,126
03.01.2019,22:00,23:00,113,118
03.01.2019,23:00,00:00,94,83
04.01.2019,00:00,01:00,91,76
04.01.2019,01:00,02:00,89,75
04.01.2019,02:00,03:00,89,75
