date,start,end,11WD2S2610001015,11WD2S262000102W,11WD2S260000100F
1012018,00:00,01:00,66,0,0
1012018,01:00,02:00,72,0,0
1012018,02:00,03:00,71,0,0
1012018,03:00,04:00,65,0,0
1012018,04:00,05:00,64,0,0
1012018,05:00,06:00,67,0,0
1012018,06:00,07:00,64,0,0
1012018,07:00,08:00,62,0,0
1012018,08:00,09:00,60,0,0
1012018,09:00,10:00,63,0,0
1012018,10:00,11:00,62,0,0
1012018,11:00,12:00,62,0,0
1012018,12:00,13:00,70,0,0
1012018,13:00,14:00,76,0,0
1012018,14:00,15:00,76,0,0
1012018,15:00,16:00,79,0,0
1012018,16:00,17:00,87,0,0
1012018,17:00,18:00,107,0,0
1012018,18:00,19:00,108,0,0
1012018,19:00,20:00,107,0,0
1012018,20:00,21:00,103,0,0
1012018,21:00,22:00,102,0,0
1012018,22:00,23:00,102,0,0
1012018,23:00,00:00,73,0,0
2012018,00:00,01:00,63,0,1
2012018,01:00,02:00,63,0,7
2012018,02:00,03:00,63,0,14
2012018,03:00,04:00,66,0,22
2012018,04:00,05:00,67,0,23
2012018,05:00,06:00,94,0,30
2012018,06:00,07:00,97,0,34
2012018,07:00,08:00,102,0,35
2012018,08:00,09:00,103,24,41
2012018,09:00,10:00,104,108,83
2012018,10:00,11:00,102,116,87
2012018,11:00,12:00,104,112,86
2012018,12:00,13:00,106,109,83
2012018,13:00,14:00,102,110,83
2012018,14:00,15:00,102,116,92
2012018,15:00,16:00,105,116,94
2012018,16:00,17:00,112,115,108
2012018,17:00,18:00,112,116,111
2012018,18:00,19:00,112,113,106
2012018,19:00,20:00,113,110,89
2012018,20:00,21:00,95,95,63
2012018,21:00,22:00,71,68,55
2012018,22:00,23:00,67,42,42
2012018,23:00,00:00,70,0,21
3012018,00:00,01:00,79,0,20
3012018,01:00,02:00,72,0,18
3012018,02:00,03:00,71,0,19
3012018,03:00,04:00,74,0,19
3012018,04:00,05:00,71,0,23
3012018,05:00,06:00,88,0,25
3012018,06:00,07:00,77,20,30
3012018,07:00,08:00,66,62,61
3012018,08:00,09:00,64,65,61
3012018,09:00,10:00,92,94,70
3012018,10:00,11:00,81,83,73
3012018,11:00,12:00,92,94,79
3012018,12:00,13:00,88,89,77
3012018,13:00,14:00,93,95,77
3012018,14:00,15:00,92,94,73
3012018,15:00,16:00,91,93,70
3012018,16:00,17:00,91,94,69
3012018,17:00,18:00,91,93,69
3012018,18:00,19:00,72,74,64
3012018,19:00,20:00,68,73,62
3012018,20:00,21:00,71,47,52
3012018,21:00,22:00,72,1,29
3012018,22:00,23:00,76,0,28
3012018,23:00,00:00,69,0,27
4012018,00:00,01:00,83,0,29
4012018,01:00,02:00,84,0,30
4012018,02:00,03:00,72,0,30
4012018,03:00,04:00,68,0,28
4012018,04:00,05:00,79,0,30
4012018,05:00,06:00,98,10,34
4012018,06:00,07:00,76,67,62
4012018,07:00,08:00,83,85,70
4012018,08:00,09:00,96,98,82
4012018,09:00,10:00,107,110,95
4012018,10:00,11:00,110,113,96
4012018,11:00,12:00,110,113,88
4012018,12:00,13:00,110,113,88
4012018,13:00,14:00,109,111,87
4012018,14:00,15:00,108,111,86
4012018,15:00,16:00,106,111,79
4012018,16:00,17:00,109,112,89
4012018,17:00,18:00,108,110,77
4012018,18:00,19:00,96,97,73
4012018,19:00,20:00,67,55,57
4012018,20:00,21:00,68,2,30
4012018,21:00,22:00,75,0,30
4012018,22:00,23:00,71,0,28
4012018,23:00,00:00,67,0,29
5012018,00:00,01:00,67,0,30
5012018,01:00,02:00,63,0,30
5012018,02:00,03:00,73,0,30
5012018,03:00,04:00,77,0,32
5012018,04:00,05:00,84,0,32
5012018,05:00,06:00,100,0,39
5012018,06:00,07:00,97,0,41
5012018,07:00,08:00,99,0,47
5012018,08:00,09:00,110,0,57
5012018,09:00,10:00,109,0,57
5012018,10:00,11:00,109,0,52
5012018,11:00,12:00,107,0,43
5012018,12:00,13:00,107,0,43
5012018,13:00,14:00,107,0,43
5012018,14:00,15:00,107,0,44
5012018,15:00,16:00,107,0,45
5012018,16:00,17:00,99,0,38
5012018,17:00,18:00,97,0,38
5012018,18:00,19:00,96,0,37
5012018,19:00,20:00,67,0,32
5012018,20:00,21:00,72,0,31
5012018,21:00,22:00,72,0,30
5012018,22:00,23:00,67,0,29
5012018,23:00,00:00,71,0,30
6012018,00:00,01:00,99,0,36
6012018,01:00,02:00,96,0,35
6012018,02:00,03:00,96,0,35
6012018,03:00,04:00,94,0,35
6012018,04:00,05:00,101,0,37
6012018,05:00,06:00,109,0,46
6012018,06:00,07:00,104,0,49
6012018,07:00,08:00,112,0,51
6012018,08:00,09:00,111,0,52
6012018,09:00,10:00,106,0,52
6012018,10:00,11:00,111,0,55
6012018,11:00,12:00,110,0,51
6012018,12:00,13:00,110,0,45
6012018,13:00,14:00,105,0,37
6012018,14:00,15:00,96,0,35
6012018,15:00,16:00,103,0,34
6012018,16:00,17:00,101,0,34
6012018,17:00,18:00,107,0,26
6012018,18:00,19:00,97,0,22
6012018,19:00,20:00,97,0,22
6012018,20:00,21:00,90,0,21
6012018,21:00,22:00,93,0,23
