date,start,end,11WD8TIEF5G-GUDI,11WD8TIEF5C----9
01.01.2019,00:00,01:00,,4.0
01.01.2019,01:00,02:00,,4.0
01.01.2019,02:00,03:00,,4.0
01.01.2019,03:00,04:00,,4.0
01.01.2019,04:00,05:00,,4.0
01.01.2019,05:00,06:00,,4.0
01.01.2019,06:00,07:00,,4.0
01.01.2019,07:00,08:00,,4.0
01.01.2019,08:00,09:00,,4.0
01.01.2019,09:00,10:00,,4.0
01.01.2019,10:00,11:00,,4.0
01.01.2019,11:00,12:00,,4.0
01.01.2019,12:00,13:00,,4.0
01.01.2019,13:00,14:00,,4.0
01.01.2019,14:00,15:00,,4.0
01.01.2019,15:00,16:00,,4.0
01.01.2019,16:00,17:00,,4.0
01.01.2019,17:00,18:00,,4.0
01.01.2019,18:00,19:00,,4.0
01.01.2019,19:00,20:00,,4.0
01.01.2019,20:00,21:00,,3.0
01.01.2019,21:00,22:00,,1.0
01.01.2019,22:00,23:00,,2.0
01.01.2019,23:00,00:00,,2.0
02.01.2019,00:00,01:00,,1.0
02.01.2019,01:00,02:00,,1.0
02.01.2019,02:00,03:00,,0.0
02.01.2019,03:00,04:00,,0.0
02.01.2019,04:00,05:00,,0.0
02.01.2019,05:00,06:00,,3.0
02.01.2019,06:00,07:00,,10.0
02.01.2019,07:00,08:00,,0.0
02.01.2019,08:00,09:00,,14.0
02.01.2019,09:00,10:00,,67.0
02.01.2019,10:00,11:00,,65.0
02.01.2019,11:00,12:00,,68.0
02.01.2019,12:00,13:00,,69.0
02.01.2019,13:00,14:00,,69.0
02.01.2019,14:00,15:00,,70.0
02.01.2019,15:00,16:00,,70.0
02.01.2019,16:00,17:00,,70.0
02.01.2019,17:00,18:00,,71.0
02.01.2019,18:00,19:00,,71.0
02.01.2019,19:00,20:00,,69.0
02.01.2019,20:00,21:00,,70.0
02.01.2019,21:00,22:00,,69.0
02.01.2019,22:00,23:00,,69.0
02.01.2019,23:00,00:00,,68.0
03.01.2019,00:00,01:00,,68.0
03.01.2019,01:00,02:00,,67.0
03.01.2019,02:00,03:00,,67.0
03.01.2019,03:00,04:00,,67.0
03.01.2019,04:00,05:00,,68.0
03.01.2019,05:00,06:00,,68.0
03.01.2019,06:00,07:00,,69.0
03.01.2019,07:00,08:00,,69.0
03.01.2019,08:00,09:00,,69.0
03.01.2019,09:00,10:00,,69.0
03.01.2019,10:00,11:00,,68.0
03.01.2019,11:00,12:00,,68.0
03.01.2019,12:00,13:00,,68.0
03.01.2019,13:00,14:00,,69.0
03.01.2019,14:00,15:00,,69.0
03.01.2019,15:00,16:00,,69.0
03.01.2019,16:00,17:00,,69.0
03.01.2019,17:00,18:00,,70.0
03.01.2019,18:00,19:00,,70.0
03.01.2019,19:00,20:00,,69.0
03.01.2019,20:00,21:00,,69.0
03.01.2019,21:00,22:00,,68.0
03.01.2019,22:00,23:00,,68.0
03.01.2019,23:00,00:00,,68.0
04.01.2019,00:00,01:00,,67.0
04.01.2019,01:00,02:00,,67.0
04.01.2019,02:00,03:00,,67.0
04.01.2019,03:00,04:00,,66.0
04.01.2019,04:00,05:00,,67.0
04.01.2019,05:00,06:00,,68.0
04.01.2019,06:00,07:00,,69.0
04.01.2019,07:00,08:00,,69.0
04.01.2019,08:00,09:00,,70.0
04.01.2019,09:00,10:00,,71.0
04.01.2019,10:00,11:00,,71.0
04.01.2019,11:00,12:00,,71.0
04.01.2019,12:00,13:00,,71.0
04.01.2019,13:00,14:00,,71.0
04.01.2019,14:00,15:00,,71.0
04.01.2019,15:00,16:00,,71.0
04.01.2019,16:00,17:00,,70.0
04.01.2019,17:00,18:00,,70.0
04.01.2019,18:00,19:00,,70.0
04.01.2019,19:00,20:00,,70.0
04.01.2019,20:00,21:00,,70.0
04.01.2019,21:00,22:00,,70.0
04.01.2019,22:00,23:00,,70.0
04.01.2019,23:00,00:00,,71.0
05.01.2019,00:00,01:00,,69.0
05.01.2019,01:00,02:00,,68.0
05.01.2019,02:00,03:00,,68.0
05.01.2019,03:00,04:00,,66.0
05.01.2019,04:00,05:00,,69.0
05.01.2019,05:00,06:00,,69.0
05.01.2019,06:00,07:00,,70.0
05.01.2019,07:00,08:00,,71.0
05.01.2019,08:00,09:00,,72.0
05.01.2019,09:00,10:00,,72.0
05.01.2019,10:00,11:00,,68.0
05.01.2019,11:00,12:00,,68.0
05.01.2019,12:00,13:00,,67.0
05.01.2019,13:00,14:00,,67.0
05.01.2019,14:00,15:00,,68.0
05.01.2019,15:00,16:00,,67.0
05.01.2019,16:00,17:00,,64.0
05.01.2019,17:00,18:00,,66.0
05.01.2019,18:00,19:00,,68.0
05.01.2019,19:00,20:00,,68.0
05.01.2019,20:00,21:00,,67.0
05.01.2019,21:00,22:00,,69.0
05.01.2019,22:00,23:00,,70.0
05.01.2019,23:00,00:00,,68.0
06.01.2019,00:00,01:00,,68.0
06.01.2019,01:00,02:00,,68.0
06.01.2019,02:00,03:00,,68.0
06.01.2019,03:00,04:00,,70.0
06.01.2019,04:00,05:00,,68.0
06.01.2019,05:00,06:00,,68.0
06.01.2019,06:00,07:00,,68.0
06.01.2019,07:00,08:00,,68.0
06.01.2019,08:00,09:00,,69.0
06.01.2019,09:00,10:00,,68.0
06.01.2019,10:00,11:00,,67.0
06.01.2019,11:00,12:00,,67.0
06.01.2019,12:00,13:00,,68.0
06.01.2019,13:00,14:00,,67.0
06.01.2019,14:00,15:00,,68.0
06.01.2019,15:00,16:00,,68.0
06.01.2019,16:00,17:00,,68.0
06.01.2019,17:00,18:00,,66.0
06.01.2019,18:00,19:00,,67.0
06.01.2019,19:00,20:00,,68.0
06.01.2019,20:00,21:00,,69.0
06.01.2019,21:00,22:00,,69.0
06.01.2019,22:00,23:00,,67.0
06.01.2019,23:00,00:00,,67.0
07.01.2019,00:00,01:00,,65.0
07.01.2019,01:00,02:00,,83.0
07.01.2019,02:00,03:00,,87.0
07.01.2019,03:00,04:00,,92.0
07.01.2019,04:00,05:00,,107.0
07.01.2019,05:00,06:00,,129.0
07.01.2019,06:00,07:00,,153.0
07.01.2019,07:00,08:00,,152.0
07.01.2019,08:00,09:00,,151.0
07.01.2019,09:00,10:00,,155.0
07.01.2019,10:00,11:00,,155.0
07.01.2019,11:00,12:00,,160.0
07.01.2019,12:00,13:00,,156.0
07.01.2019,13:00,14:00,,154.0
07.01.2019,14:00,15:00,,152.0
07.01.2019,15:00,16:00,,152.0
07.01.2019,16:00,17:00,,153.0
07.01.2019,17:00,18:00,,153.0
07.01.2019,18:00,19:00,,153.0
07.01.2019,19:00,20:00,,151.0
07.01.2019,20:00,21:00,,150.0
07.01.2019,21:00,22:00,,151.0
07.01.2019,22:00,23:00,,142.0
07.01.2019,23:00,00:00,,132.0
08.01.2019,00:00,01:00,,118.0
08.01.2019,01:00,02:00,,120.0
08.01.2019,02:00,03:00,,119.0
08.01.2019,03:00,04:00,,124.0
08.01.2019,04:00,05:00,,140.0
08.01.2019,05:00,06:00,,149.0
08.01.2019,06:00,07:00,,150.0
08.01.2019,07:00,08:00,,153.0
08.01.2019,08:00,09:00,,155.0
08.01.2019,09:00,10:00,,155.0
08.01.2019,10:00,11:00,,156.0
08.01.2019,11:00,12:00,,153.0
