date,start,end,11WD7VOLK5S-MKV2
01.01.2017,00:00,01:00,0.0
01.01.2017,01:00,02:00,0.0
01.01.2017,02:00,03:00,0.0
01.01.2017,03:00,04:00,0.0
01.01.2017,04:00,05:00,0.0
01.01.2017,05:00,06:00,0.0
01.01.2017,06:00,07:00,0.0
01.01.2017,07:00,08:00,0.0
01.01.2017,08:00,09:00,0.0
01.01.2017,09:00,10:00,0.0
01.01.2017,10:00,11:00,0.0
01.01.2017,11:00,12:00,0.0
01.01.2017,12:00,13:00,0.0
01.01.2017,13:00,14:00,0.0
01.01.2017,14:00,15:00,0.0
01.01.2017,15:00,16:00,0.0
01.01.2017,16:00,17:00,0.0
01.01.2017,17:00,18:00,0.0
01.01.2017,18:00,19:00,0.0
01.01.2017,19:00,20:00,0.0
01.01.2017,20:00,21:00,0.0
01.01.2017,21:00,22:00,0.0
01.01.2017,22:00,23:00,0.0
01.01.2017,23:00,00:00,0.0
02.01.2017,00:00,01:00,0.0
02.01.2017,01:00,02:00,0.0
02.01.2017,02:00,03:00,0.0
02.01.2017,03:00,04:00,31.0
02.01.2017,04:00,05:00,53.0
02.01.2017,05:00,06:00,62.0
02.01.2017,06:00,07:00,104.0
02.01.2017,07:00,08:00,156.0
02.01.2017,08:00,09:00,160.0
02.01.2017,09:00,10:00,158.0
02.01.2017,10:00,11:00,159.0
02.01.2017,11:00,12:00,158.0
02.01.2017,12:00,13:00,160.0
02.01.2017,13:00,14:00,159.0
02.01.2017,14:00,15:00,158.0
02.01.2017,15:00,16:00,158.0
02.01.2017,16:00,17:00,158.0
02.01.2017,17:00,18:00,158.0
02.01.2017,18:00,19:00,159.0
02.01.2017,19:00,20:00,158.0
02.01.2017,20:00,21:00,159.0
02.01.2017,21:00,22:00,140.0
02.01.2017,22:00,23:00,139.0
02.01.2017,23:00,00:00,84.0
03.01.2017,00:00,01:00,38.0
03.01.2017,01:00,02:00,39.0
03.01.2017,02:00,03:00,38.0
03.01.2017,03:00,04:00,36.0
03.01.2017,04:00,05:00,36.0
03.01.2017,05:00,06:00,37.0
03.01.2017,06:00,07:00,86.0
03.01.2017,07:00,08:00,91.0
03.01.2017,08:00,09:00,80.0
03.01.2017,09:00,10:00,80.0
03.01.2017,10:00,11:00,116.0
03.01.2017,11:00,12:00,159.0
03.01.2017,12:00,13:00,159.0
03.01.2017,13:00,14:00,160.0
03.01.2017,14:00,15:00,159.0
03.01.2017,15:00,16:00,159.0
03.01.2017,16:00,17:00,153.0
03.01.2017,17:00,18:00,153.0
03.01.2017,18:00,19:00,153.0
03.01.2017,19:00,20:00,99.0
03.01.2017,20:00,21:00,4.0
03.01.2017,21:00,22:00,0.0
03.01.2017,22:00,23:00,0.0
03.01.2017,23:00,00:00,0.0
04.01.2017,00:00,01:00,0.0
04.01.2017,01:00,02:00,0.0
04.01.2017,02:00,03:00,0.0
04.01.2017,03:00,04:00,0.0
04.01.2017,04:00,05:00,0.0
04.01.2017,05:00,06:00,0.0
04.01.2017,06:00,07:00,0.0
04.01.2017,07:00,08:00,0.0
04.01.2017,08:00,09:00,0.0
04.01.2017,09:00,10:00,0.0
04.01.2017,10:00,11:00,0.0
04.01.2017,11:00,12:00,0.0
04.01.2017,12:00,13:00,0.0
04.01.2017,13:00,14:00,0.0
04.01.2017,14:00,15:00,0.0
04.01.2017,15:00,16:00,0.0
04.01.2017,16:00,17:00,0.0
04.01.2017,17:00,18:00,0.0
04.01.2017,18:00,19:00,0.0
04.01.2017,19:00,20:00,0.0
04.01.2017,20:00,21:00,0.0
04.01.2017,21:00,22:00,0.0
04.01.2017,22:00,23:00,0.0
04.01.2017,23:00,00:00,0.0
05.01.2017,00:00,01:00,0.0
05.01.2017,01:00,02:00,0.0
05.01.2017,02:00,03:00,32.0
05.01.2017,03:00,04:00,48.0
05.01.2017,04:00,05:00,59.0
05.01.2017,05:00,06:00,121.0
05.01.2017,06:00,07:00,156.0
05.01.2017,07:00,08:00,152.0
05.01.2017,08:00,09:00,150.0
05.01.2017,09:00,10:00,151.0
05.01.2017,10:00,11:00,149.0
05.01.2017,11:00,12:00,150.0
05.01.2017,12:00,13:00,150.0
05.01.2017,13:00,14:00,151.0
05.01.2017,14:00,15:00,152.0
05.01.2017,15:00,16:00,149.0
05.01.2017,16:00,17:00,156.0
05.01.2017,17:00,18:00,161.0
05.01.2017,18:00,19:00,159.0
05.01.2017,19:00,20:00,159.0
05.01.2017,20:00,21:00,161.0
05.01.2017,21:00,22:00,161.0
05.01.2017,22:00,23:00,162.0
05.01.2017,23:00,00:00,108.0
06.01.2017,00:00,01:00,100.0
06.01.2017,01:00,02:00,87.0
06.01.2017,02:00,03:00,52.0
06.01.2017,03:00,04:00,51.0
06.01.2017,04:00,05:00,51.0
06.01.2017,05:00,06:00,100.0
06.01.2017,06:00,07:00,143.0
06.01.2017,07:00,08:00,148.0
06.01.2017,08:00,09:00,149.0
06.01.2017,09:00,10:00,151.0
06.01.2017,10:00,11:00,150.0
06.01.2017,11:00,12:00,151.0
06.01.2017,12:00,13:00,146.0
06.01.2017,13:00,14:00,148.0
06.01.2017,14:00,15:00,150.0
06.01.2017,15:00,16:00,151.0
06.01.2017,16:00,17:00,153.0
06.01.2017,17:00,18:00,152.0
06.01.2017,18:00,19:00,150.0
06.01.2017,19:00,20:00,146.0
06.01.2017,20:00,21:00,103.0
06.01.2017,21:00,22:00,56.0
06.01.2017,22:00,23:00,55.0
06.01.2017,23:00,00:00,52.0
07.01.2017,00:00,01:00,52.0
07.01.2017,01:00,02:00,51.0
07.01.2017,02:00,03:00,51.0
07.01.2017,03:00,04:00,51.0
07.01.2017,04:00,05:00,51.0
07.01.2017,05:00,06:00,52.0
07.01.2017,06:00,07:00,70.0
07.01.2017,07:00,08:00,101.0
07.01.2017,08:00,09:00,153.0
07.01.2017,09:00,10:00,150.0
07.01.2017,10:00,11:00,151.0
07.01.2017,11:00,12:00,150.0
07.01.2017,12:00,13:00,149.0
07.01.2017,13:00,14:00,149.0
07.01.2017,14:00,15:00,150.0
07.01.2017,15:00,16:00,150.0
07.01.2017,16:00,17:00,152.0
07.01.2017,17:00,18:00,155.0
07.01.2017,18:00,19:00,154.0
07.01.2017,19:00,20:00,155.0
07.01.2017,20:00,21:00,155.0
07.01.2017,21:00,22:00,155.0
07.01.2017,22:00,23:00,153.0
07.01.2017,23:00,00:00,154.0
08.01.2017,00:00,01:00,155.0
08.01.2017,01:00,02:00,155.0
08.01.2017,02:00,03:00,155.0
08.01.2017,03:00,04:00,155.0
08.01.2017,04:00,05:00,155.0
08.01.2017,05:00,06:00,154.0
08.01.2017,06:00,07:00,155.0
08.01.2017,07:00,08:00,155.0
08.01.2017,08:00,09:00,154.0
08.01.2017,09:00,10:00,155.0
08.01.2017,10:00,11:00,155.0
08.01.2017,11:00,12:00,156.0
08.01.2017,12:00,13:00,155.0
08.01.2017,13:00,14:00,156.0
08.01.2017,14:00,15:00,154.0
08.01.2017,15:00,16:00,154.0
08.01.2017,16:00,17:00,154.0
08.01.2017,17:00,18:00,154.0
08.01.2017,18:00,19:00,154.0
08.01.2017,19:00,20:00,154.0
08.01.2017,20:00,21:00,154.0
08.01.2017,21:00,22:00,154.0
08.01.2017,22:00,23:00,154.0
08.01.2017,23:00,00:00,153.0
09.01.2017,00:00,01:00,154.0
09.01.2017,01:00,02:00,153.0
09.01.2017,02:00,03:00,155.0
09.01.2017,03:00,04:00,154.0
09.01.2017,04:00,05:00,154.0
09.01.2017,05:00,06:00,154.0
09.01.2017,06:00,07:00,168.0
09.01.2017,07:00,08:00,172.0
09.01.2017,08:00,09:00,172.0
09.01.2017,09:00,10:00,172.0
09.01.2017,10:00,11:00,172.0
09.01.2017,11:00,12:00,172.0
09.01.2017,12:00,13:00,171.0
09.01.2017,13:00,14:00,172.0
09.01.2017,14:00,15:00,171.0
09.01.2017,15:00,16:00,172.0
09.01.2017,16:00,17:00,156.0
09.01.2017,17:00,18:00,153.0
09.01.2017,18:00,19:00,153.0
09.01.2017,19:00,20:00,152.0
09.01.2017,20:00,21:00,155.0
09.01.2017,21:00,22:00,130.0
09.01.2017,22:00,23:00,79.0
09.01.2017,23:00,00:00,52.0
10.01.2017,00:00,01:00,51.0
10.01.2017,01:00,02:00,51.0
10.01.2017,02:00,03:00,51.0
10.01.2017,03:00,04:00,51.0
10.01.2017,04:00,05:00,54.0
10.01.2017,05:00,06:00,103.0
10.01.2017,06:00,07:00,154.0
10.01.2017,07:00,08:00,162.0
10.01.2017,08:00,09:00,161.0
10.01.2017,09:00,10:00,146.0
10.01.2017,10:00,11:00,145.0
10.01.2017,11:00,12:00,161.0
10.01.2017,12:00,13:00,143.0
10.01.2017,13:00,14:00,166.0
10.01.2017,14:00,15:00,165.0
10.01.2017,15:00,16:00,165.0
10.01.2017,16:00,17:00,169.0
10.01.2017,17:00,18:00,175.0
10.01.2017,18:00,19:00,168.0
10.01.2017,19:00,20:00,171.0
10.01.2017,20:00,21:00,172.0
10.01.2017,21:00,22:00,172.0
10.01.2017,22:00,23:00,130.0
10.01.2017,23:00,00:00,60.0
11.01.2017,00:00,01:00,0.0
11.01.2017,01:00,02:00,0.0
11.01.2017,02:00,03:00,0.0
11.01.2017,03:00,04:00,0.0
11.01.2017,04:00,05:00,0.0
11.01.2017,05:00,06:00,0.0
11.01.2017,06:00,07:00,0.0
11.01.2017,07:00,08:00,0.0
11.01.2017,08:00,09:00,0.0
11.01.2017,09:00,10:00,0.0
11.01.2017,10:00,11:00,0.0
11.01.2017,11:00,12:00,0.0
11.01.2017,12:00,13:00,0.0
11.01.2017,13:00,14:00,0.0
11.01.2017,14:00,15:00,0.0
11.01.2017,15:00,16:00,0.0
11.01.2017,16:00,17:00,0.0
11.01.2017,17:00,18:00,0.0
11.01.2017,18:00,19:00,0.0
11.01.2017,19:00,20:00,0.0
11.01.2017,20:00,21:00,0.0
11.01.2017,21:00,22:00,0.0
11.01.2017,22:00,23:00,0.0
11.01.2017,23:00,00:00,0.0
12.01.2017,00:00,01:00,0.0
12.01.2017,01:00,02:00,0.0
12.01.2017,02:00,03:00,0.0
12.01.2017,03:00,04:00,0.0
12.01.2017,04:00,05:00,0.0
12.01.2017,05:00,06:00,0.0
12.01.2017,06:00,07:00,0.0
12.01.2017,07:00,08:00,0.0
12.01.2017,08:00,09:00,0.0
12.01.2017,09:00,10:00,0.0
12.01.2017,10:00,11:00,0.0
12.01.2017,11:00,12:00,0.0
12.01.2017,12:00,13:00,0.0
12.01.2017,13:00,14:00,0.0
12.01.2017,14:00,15:00,0.0
12.01.2017,15:00,16:00,0.0
12.01.2017,16:00,17:00,0.0
12.01.2017,17:00,18:00,0.0
12.01.2017,18:00,19:00,0.0
12.01.2017,19:00,20:00,0.0
12.01.2017,20:00,21:00,0.0
12.01.2017,21:00,22:00,0.0
12.01.2017,22:00,23:00,0.0
12.01.2017,23:00,00:00,0.0
13.01.2017,00:00,01:00,0.0
13.01.2017,01:00,02:00,0.0
13.01.2017,02:00,03:00,0.0
13.01.2017,03:00,04:00,0.0
13.01.2017,04:00,05:00,0.0
13.01.2017,05:00,06:00,0.0
13.01.2017,06:00,07:00,0.0
13.01.2017,07:00,08:00,0.0
13.01.2017,08:00,09:00,0.0
13.01.2017,09:00,10:00,0.0
13.01.2017,10:00,11:00,0.0
13.01.2017,11:00,12:00,0.0
13.01.2017,12:00,13:00,0.0
13.01.2017,13:00,14:00,0.0
13.01.2017,14:00,15:00,0.0
13.01.2017,15:00,16:00,0.0
13.01.2017,16:00,17:00,0.0
13.01.2017,17:00,18:00,0.0
13.01.2017,18:00,19:00,0.0
13.01.2017,19:00,20:00,0.0
13.01.2017,20:00,21:00,0.0
13.01.2017,21:00,22:00,0.0
13.01.2017,22:00,23:00,0.0
13.01.2017,23:00,00:00,0.0
14.01.2017,00:00,01:00,0.0
14.01.2017,01:00,02:00,0.0
14.01.2017,02:00,03:00,0.0
14.01.2017,03:00,04:00,0.0
14.01.2017,04:00,05:00,0.0
14.01.2017,05:00,06:00,0.0
14.01.2017,06:00,07:00,0.0
14.01.2017,07:00,08:00,0.0
14.01.2017,08:00,09:00,0.0
14.01.2017,09:00,10:00,0.0
14.01.2017,10:00,11:00,0.0
14.01.2017,11:00,12:00,0.0
14.01.2017,12:00,13:00,0.0
14.01.2017,13:00,14:00,0.0
14.01.2017,14:00,15:00,0.0
14.01.2017,15:00,16:00,0.0
14.01.2017,16:00,17:00,0.0
14.01.2017,17:00,18:00,0.0
14.01.2017,18:00,19:00,0.0
14.01.2017,19:00,20:00,0.0
14.01.2017,20:00,21:00,0.0
14.01.2017,21:00,22:00,0.0
14.01.2017,22:00,23:00,0.0
14.01.2017,23:00,00:00,0.0
15.01.2017,00:00,01:00,0.0
15.01.2017,01:00,02:00,0.0
15.01.2017,02:00,03:00,0.0
15.01.2017,03:00,04:00,0.0
15.01.2017,04:00,05:00,0.0
15.01.2017,05:00,06:00,0.0
15.01.2017,06:00,07:00,0.0
15.01.2017,07:00,08:00,0.0
15.01.2017,08:00,09:00,0.0
15.01.2017,09:00,10:00,0.0
15.01.2017,10:00,11:00,0.0
15.01.2017,11:00,12:00,0.0
15.01.2017,12:00,13:00,0.0
15.01.2017,13:00,14:00,0.0
15.01.2017,14:00,15:00,0.0
15.01.2017,15:00,16:00,0.0
15.01.2017,16:00,17:00,0.0
15.01.2017,17:00,18:00,0.0
15.01.2017,18:00,19:00,22.0
15.01.2017,19:00,20:00,50.0
15.01.2017,20:00,21:00,63.0
15.01.2017,21:00,22:00,66.0
15.01.2017,22:00,23:00,64.0
15.01.2017,23:00,00:00,55.0
16.01.2017,00:00,01:00,51.0
16.01.2017,01:00,02:00,51.0
16.01.2017,02:00,03:00,55.0
16.01.2017,03:00,04:00,55.0
16.01.2017,04:00,05:00,51.0
16.01.2017,05:00,06:00,61.0
16.01.2017,06:00,07:00,130.0
16.01.2017,07:00,08:00,160.0
