date,start,end,11WD7VOLK5S-HKVM
01.01.2020,00:00,01:00,57.0
01.01.2020,01:00,02:00,56.0
01.01.2020,02:00,03:00,56.0
01.01.2020,03:00,04:00,56.0
01.01.2020,04:00,05:00,56.0
01.01.2020,05:00,06:00,56.0
01.01.2020,06:00,07:00,60.0
01.01.2020,07:00,08:00,58.0
01.01.2020,08:00,09:00,58.0
01.01.2020,09:00,10:00,56.0
01.01.2020,10:00,11:00,55.0
01.01.2020,11:00,12:00,55.0
01.01.2020,12:00,13:00,55.0
01.01.2020,13:00,14:00,55.0
01.01.2020,14:00,15:00,55.0
01.01.2020,15:00,16:00,55.0
01.01.2020,16:00,17:00,55.0
01.01.2020,17:00,18:00,55.0
01.01.2020,18:00,19:00,55.0
01.01.2020,19:00,20:00,56.0
01.01.2020,20:00,21:00,56.0
01.01.2020,21:00,22:00,56.0
01.01.2020,22:00,23:00,56.0
01.01.2020,23:00,00:00,56.0
02.01.2020,00:00,01:00,44.0
02.01.2020,01:00,02:00,41.0
02.01.2020,02:00,03:00,42.0
02.01.2020,03:00,04:00,41.0
02.01.2020,04:00,05:00,42.0
02.01.2020,05:00,06:00,48.0
02.01.2020,06:00,07:00,58.0
02.01.2020,07:00,08:00,59.0
02.01.2020,08:00,09:00,86.0
02.01.2020,09:00,10:00,121.0
02.01.2020,10:00,11:00,172.0
02.01.2020,11:00,12:00,142.0
02.01.2020,12:00,13:00,143.0
02.01.2020,13:00,14:00,152.0
02.01.2020,14:00,15:00,171.0
02.01.2020,15:00,16:00,171.0
02.01.2020,16:00,17:00,146.0
02.01.2020,17:00,18:00,85.0
02.01.2020,18:00,19:00,49.0
02.01.2020,19:00,20:00,45.0
02.01.2020,20:00,21:00,43.0
02.01.2020,21:00,22:00,42.0
02.01.2020,22:00,23:00,37.0
02.01.2020,23:00,00:00,32.0
03.01.2020,00:00,01:00,23.0
03.01.2020,01:00,02:00,21.0
03.01.2020,02:00,03:00,29.0
03.01.2020,03:00,04:00,30.0
03.01.2020,04:00,05:00,30.0
03.01.2020,05:00,06:00,30.0
03.01.2020,06:00,07:00,39.0
03.01.2020,07:00,08:00,39.0
03.01.2020,08:00,09:00,38.0
03.01.2020,09:00,10:00,36.0
03.01.2020,10:00,11:00,36.0
03.01.2020,11:00,12:00,29.0
03.01.2020,12:00,13:00,27.0
03.01.2020,13:00,14:00,23.0
03.01.2020,14:00,15:00,21.0
03.01.2020,15:00,16:00,25.0
03.01.2020,16:00,17:00,29.0
03.01.2020,17:00,18:00,21.0
03.01.2020,18:00,19:00,22.0
03.01.2020,19:00,20:00,24.0
03.01.2020,20:00,21:00,25.0
03.01.2020,21:00,22:00,25.0
03.01.2020,22:00,23:00,22.0
03.01.2020,23:00,00:00,21.0
04.01.2020,00:00,01:00,23.0
04.01.2020,01:00,02:00,26.0
04.01.2020,02:00,03:00,29.0
04.01.2020,03:00,04:00,26.0
04.01.2020,04:00,05:00,29.0
04.01.2020,05:00,06:00,30.0
04.01.2020,06:00,07:00,34.0
04.01.2020,07:00,08:00,33.0
04.01.2020,08:00,09:00,34.0
04.01.2020,09:00,10:00,34.0
