date,start,end,11WD7VOER1S--A-1,11WD7VOER1S--B-Z
01.01.2017,00:00,01:00,0.0,0.0
01.01.2017,01:00,02:00,0.0,0.0
01.01.2017,02:00,03:00,0.0,0.0
01.01.2017,03:00,04:00,0.0,0.0
01.01.2017,04:00,05:00,0.0,0.0
01.01.2017,05:00,06:00,0.0,0.0
01.01.2017,06:00,07:00,0.0,0.0
01.01.2017,07:00,08:00,0.0,0.0
01.01.2017,08:00,09:00,0.0,0.0
01.01.2017,09:00,10:00,0.0,0.0
01.01.2017,10:00,11:00,0.0,0.0
01.01.2017,11:00,12:00,0.0,0.0
01.01.2017,12:00,13:00,0.0,0.0
01.01.2017,13:00,14:00,0.0,0.0
01.01.2017,14:00,15:00,0.0,0.0
01.01.2017,15:00,16:00,0.0,0.0
01.01.2017,16:00,17:00,0.0,0.0
01.01.2017,17:00,18:00,0.0,0.0
01.01.2017,18:00,19:00,0.0,0.0
01.01.2017,19:00,20:00,0.0,0.0
01.01.2017,20:00,21:00,0.0,0.0
01.01.2017,21:00,22:00,0.0,0.0
01.01.2017,22:00,23:00,0.0,0.0
01.01.2017,23:00,00:00,0.0,0.0
02.01.2017,00:00,01:00,0.0,0.0
02.01.2017,01:00,02:00,0.0,0.0
02.01.2017,02:00,03:00,0.0,0.0
02.01.2017,03:00,04:00,30.0,0.0
02.01.2017,04:00,05:00,211.0,44.0
02.01.2017,05:00,06:00,277.0,266.0
02.01.2017,06:00,07:00,262.0,303.0
02.01.2017,07:00,08:00,320.0,413.0
02.01.2017,08:00,09:00,628.0,642.0
02.01.2017,09:00,10:00,662.0,715.0
02.01.2017,10:00,11:00,664.0,716.0
02.01.2017,11:00,12:00,664.0,716.0
02.01.2017,12:00,13:00,664.0,715.0
02.01.2017,13:00,14:00,664.0,716.0
02.01.2017,14:00,15:00,663.0,720.0
02.01.2017,15:00,16:00,659.0,720.0
02.01.2017,16:00,17:00,660.0,720.0
02.01.2017,17:00,18:00,660.0,720.0
02.01.2017,18:00,19:00,660.0,720.0
02.01.2017,19:00,20:00,660.0,720.0
02.01.2017,20:00,21:00,660.0,720.0
02.01.2017,21:00,22:00,660.0,623.0
02.01.2017,22:00,23:00,545.0,444.0
02.01.2017,23:00,00:00,224.0,235.0
03.01.2017,00:00,01:00,133.0,170.0
03.01.2017,01:00,02:00,124.0,167.0
03.01.2017,02:00,03:00,119.0,165.0
03.01.2017,03:00,04:00,118.0,169.0
03.01.2017,04:00,05:00,118.0,170.0
03.01.2017,05:00,06:00,119.0,170.0
03.01.2017,06:00,07:00,132.0,191.0
03.01.2017,07:00,08:00,363.0,387.0
03.01.2017,08:00,09:00,651.0,533.0
03.01.2017,09:00,10:00,659.0,673.0
03.01.2017,10:00,11:00,627.0,680.0
03.01.2017,11:00,12:00,618.0,522.0
03.01.2017,12:00,13:00,625.0,144.0
03.01.2017,13:00,14:00,332.0,0.0
03.01.2017,14:00,15:00,158.0,0.0
03.01.2017,15:00,16:00,146.0,0.0
03.01.2017,16:00,17:00,183.0,0.0
03.01.2017,17:00,18:00,390.0,0.0
03.01.2017,18:00,19:00,324.0,0.0
03.01.2017,19:00,20:00,46.0,0.0
03.01.2017,20:00,21:00,0.0,0.0
03.01.2017,21:00,22:00,0.0,0.0
03.01.2017,22:00,23:00,0.0,0.0
03.01.2017,23:00,00:00,0.0,0.0
04.01.2017,00:00,01:00,0.0,0.0
04.01.2017,01:00,02:00,0.0,0.0
04.01.2017,02:00,03:00,0.0,0.0
04.01.2017,03:00,04:00,0.0,0.0
04.01.2017,04:00,05:00,0.0,0.0
